# Energy(eV)    mu(E)
6813.518542    1.525862e+00
6813.765630    1.525862e+00
6814.016660    1.525089e+00
6814.267709    1.524778e+00
6814.518777    1.524749e+00
6814.769865    1.524060e+00
6815.020972    1.523699e+00
6815.272098    1.523559e+00
6815.523244    1.522831e+00
6815.774409    1.522232e+00
6816.021669    1.522204e+00
6816.272873    1.521971e+00
6816.524096    1.520753e+00
6816.775338    1.520822e+00
6817.026600    1.520243e+00
6817.277881    1.520426e+00
6817.529181    1.519336e+00
6817.780501    1.519070e+00
6818.031840    1.518360e+00
6818.279271    1.518396e+00
6818.530649    1.517408e+00
6818.782046    1.516962e+00
6819.033462    1.516856e+00
6819.284898    1.516368e+00
6819.536353    1.515953e+00
6819.787828    1.515652e+00
6820.039322    1.514887e+00
6820.290835    1.514641e+00
6820.538438    1.514142e+00
6820.789990    1.513738e+00
6821.041561    1.512919e+00
6821.293152    1.512573e+00
6821.544762    1.512188e+00
6821.796392    1.511875e+00
6822.048041    1.511342e+00
6822.299709    1.510914e+00
6822.551397    1.510634e+00
6822.799171    1.510138e+00
6823.050897    1.509497e+00
6823.302643    1.509557e+00
6823.554408    1.508419e+00
6823.806193    1.508357e+00
6824.057997    1.508120e+00
6824.309821    1.507388e+00
6824.561664    1.507038e+00
6824.813526    1.506777e+00
6825.061472    1.505839e+00
6825.313373    1.505768e+00
6825.565293    1.504992e+00
6825.817233    1.504952e+00
6826.069193    1.504179e+00
6826.321171    1.503742e+00
6826.573170    1.503365e+00
6826.825187    1.502685e+00
6827.077225    1.502795e+00
6827.325343    1.501749e+00
6827.577418    1.501510e+00
6827.829514    1.501451e+00
6828.081628    1.500765e+00
6828.333763    1.500165e+00
6828.585916    1.499729e+00
6828.838089    1.498945e+00
6829.090282    1.498723e+00
6829.342494    1.498436e+00
6829.590784    1.498237e+00
6829.843035    1.497161e+00
6830.095305    1.496876e+00
6830.347595    1.496009e+00
6830.599904    1.496076e+00
6830.852233    1.495705e+00
6831.104581    1.495354e+00
6831.356949    1.494631e+00
6831.609336    1.494509e+00
6831.857799    1.494046e+00
6832.110225    1.493710e+00
6832.362670    1.493244e+00
6832.615135    1.492411e+00
6832.867620    1.491846e+00
6833.120124    1.491695e+00
6833.372647    1.491079e+00
6833.625190    1.490899e+00
6833.877752    1.490254e+00
6834.126388    1.489728e+00
6834.378989    1.489364e+00
6834.631610    1.489202e+00
6834.884250    1.488891e+00
6835.136910    1.488111e+00
6835.389589    1.487711e+00
6835.642288    1.487189e+00
6835.895007    1.486961e+00
6836.147745    1.485868e+00
6836.396553    1.485640e+00
6836.649329    1.485381e+00
6836.902126    1.484894e+00
6837.154942    1.484564e+00
6837.407777    1.483913e+00
6837.660632    1.483726e+00
6837.913506    1.483013e+00
6838.166401    1.483079e+00
6838.419314    1.482348e+00
6838.668295    1.481897e+00
6838.921248    1.481383e+00
6839.174220    1.480902e+00
6839.427211    1.480385e+00
6839.680222    1.480155e+00
6839.933253    1.479722e+00
6840.186303    1.479353e+00
6840.439373    1.478714e+00
6840.692463    1.478333e+00
6840.941617    1.477565e+00
6841.194745    1.477396e+00
6841.447893    1.477025e+00
6841.701061    1.476387e+00
6841.954248    1.476098e+00
6842.207454    1.475470e+00
6842.460681    1.475078e+00
6842.713927    1.475007e+00
6842.967192    1.474272e+00
6843.216519    1.474135e+00
6843.469824    1.473488e+00
6843.723148    1.473397e+00
6843.976491    1.472819e+00
6844.229855    1.472156e+00
6844.483237    1.471694e+00
6844.736640    1.471020e+00
6844.990062    1.470878e+00
6845.243504    1.470532e+00
6845.493004    1.469810e+00
6845.746485    1.469834e+00
6845.999985    1.468993e+00
6846.253505    1.468596e+00
6846.507045    1.468146e+00
6846.760604    1.467743e+00
6847.014183    1.467382e+00
6847.267781    1.466631e+00
6847.521399    1.466195e+00
6847.771074    1.466038e+00
6848.024731    1.465412e+00
6848.278407    1.464784e+00
6848.532104    1.464470e+00
6848.785820    1.464095e+00
6849.039555    1.463848e+00
6849.293311    1.463116e+00
6849.547086    1.462663e+00
6849.800880    1.462535e+00
6850.050728    1.461996e+00
6850.304562    1.461261e+00
6850.558415    1.460647e+00
6850.812288    1.460365e+00
6851.066181    1.460216e+00
6851.320093    1.459201e+00
6851.574025    1.458818e+00
6851.827977    1.458333e+00
6852.081948    1.457863e+00
6852.331971    1.457247e+00
6852.585981    1.457164e+00
6852.840011    1.457022e+00
6853.094061    1.456097e+00
6853.348131    1.456160e+00
6853.602220    1.455573e+00
6853.856329    1.455016e+00
6854.110457    1.454617e+00
6854.364605    1.454247e+00
6854.614802    1.453287e+00
6854.868989    1.452987e+00
6855.123196    1.452998e+00
6855.377423    1.452052e+00
6855.631670    1.451945e+00
6855.885936    1.451491e+00
6856.140222    1.451201e+00
6856.394528    1.450792e+00
6856.648853    1.450448e+00
6856.899224    1.449851e+00
6857.153588    1.449108e+00
6857.407973    1.448641e+00
6857.662377    1.448259e+00
6857.916800    1.447736e+00
6858.171244    1.447463e+00
6858.425707    1.446754e+00
6858.680190    1.446473e+00
6858.934693    1.445869e+00
6859.185238    1.445662e+00
6859.439780    1.445145e+00
6859.694341    1.444565e+00
6859.948923    1.444150e+00
6860.203524    1.443641e+00
6860.458145    1.443642e+00
6860.712785    1.443053e+00
6860.967446    1.442499e+00
6861.222126    1.442229e+00
6861.472846    1.441696e+00
6861.727565    1.441005e+00
6861.982304    1.440606e+00
6862.237063    1.440101e+00
6862.491842    1.439591e+00
6862.746640    1.439085e+00
6863.001459    1.438755e+00
6863.256297    1.438729e+00
6863.511154    1.438460e+00
6863.762049    1.437645e+00
6864.016946    1.436945e+00
6864.271863    1.436851e+00
6864.526800    1.436183e+00
6864.781756    1.435629e+00
6865.036733    1.435513e+00
6865.291729    1.434689e+00
6865.546744    1.434391e+00
6865.801780    1.433917e+00
6866.052850    1.433389e+00
6866.307925    1.433011e+00
6866.563020    1.432874e+00
6866.818134    1.432455e+00
6867.073269    1.431587e+00
6867.328423    1.431158e+00
6867.583597    1.430255e+00
6867.838791    1.430074e+00
6868.094004    1.429659e+00
6868.345250    1.429429e+00
6868.600503    1.428813e+00
6868.855776    1.428580e+00
6869.111068    1.428089e+00
6869.366381    1.427793e+00
6869.621713    1.427096e+00
6869.877065    1.426542e+00
6870.132437    1.426324e+00
6870.387829    1.425867e+00
6870.639250    1.425555e+00
