Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_P2_0-10_03_10_2025
Sample ID
Option
Analyst
Date/Time:,10/03/2025 09:55:26 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.387
401.0,0.383
402.0,0.379
403.0,0.375
404.0,0.371
405.0,0.366
406.0,0.363
407.0,0.359
408.0,0.356
409.0,0.353
410.0,0.351
411.0,0.348
412.0,0.347
413.0,0.345
414.0,0.344
415.0,0.343
416.0,0.342
417.0,0.341
418.0,0.341
419.0,0.341
420.0,0.341
421.0,0.341
422.0,0.342
423.0,0.342
424.0,0.343
425.0,0.345
426.0,0.346
427.0,0.346
428.0,0.348
429.0,0.349
430.0,0.351
431.0,0.353
432.0,0.356
433.0,0.358
434.0,0.361
435.0,0.363
436.0,0.365
437.0,0.368
438.0,0.370
439.0,0.374
440.0,0.377
441.0,0.380
442.0,0.383
443.0,0.387
444.0,0.390
445.0,0.394
446.0,0.397
447.0,0.401
448.0,0.404
449.0,0.408
450.0,0.412
451.0,0.416
452.0,0.420
453.0,0.424
454.0,0.429
455.0,0.433
456.0,0.438
457.0,0.442
458.0,0.446
459.0,0.451
460.0,0.455
461.0,0.460
462.0,0.464
463.0,0.469
464.0,0.474
465.0,0.478
466.0,0.483
467.0,0.488
468.0,0.492
469.0,0.496
470.0,0.501
471.0,0.506
472.0,0.510
473.0,0.514
474.0,0.519
475.0,0.523
476.0,0.528
477.0,0.532
478.0,0.536
479.0,0.541
480.0,0.545
481.0,0.550
482.0,0.554
483.0,0.558
484.0,0.563
485.0,0.567
486.0,0.571
487.0,0.574
488.0,0.578
489.0,0.582
490.0,0.586
491.0,0.589
492.0,0.593
493.0,0.597
494.0,0.600
495.0,0.604
496.0,0.607
497.0,0.610
498.0,0.614
499.0,0.618
500.0,0.621
501.0,0.625
502.0,0.628
503.0,0.631
504.0,0.634
505.0,0.637
506.0,0.641
507.0,0.644
508.0,0.647
509.0,0.651
510.0,0.653
511.0,0.657
512.0,0.660
513.0,0.663
514.0,0.666
515.0,0.670
516.0,0.673
517.0,0.676
518.0,0.679
519.0,0.682
520.0,0.686
521.0,0.689
522.0,0.693
523.0,0.696
524.0,0.700
525.0,0.704
526.0,0.707
527.0,0.711
528.0,0.714
529.0,0.717
530.0,0.721
531.0,0.726
532.0,0.729
533.0,0.733
534.0,0.736
535.0,0.740
536.0,0.744
537.0,0.748
538.0,0.751
539.0,0.755
540.0,0.759
541.0,0.762
542.0,0.765
543.0,0.769
544.0,0.773
545.0,0.777
546.0,0.781
547.0,0.785
548.0,0.788
549.0,0.792
550.0,0.795
551.0,0.799
552.0,0.802
553.0,0.805
554.0,0.809
555.0,0.812
556.0,0.816
557.0,0.820
558.0,0.823
559.0,0.827
560.0,0.830
561.0,0.833
562.0,0.836
563.0,0.840
564.0,0.844
565.0,0.847
566.0,0.851
567.0,0.854
568.0,0.857
569.0,0.861
570.0,0.865
571.0,0.869
572.0,0.873
573.0,0.876
574.0,0.879
575.0,0.883
576.0,0.887
577.0,0.891
578.0,0.894
579.0,0.897
580.0,0.901
581.0,0.905
582.0,0.909
583.0,0.912
584.0,0.916
585.0,0.920
586.0,0.923
587.0,0.927
588.0,0.930
589.0,0.934
590.0,0.939
591.0,0.943
592.0,0.947
593.0,0.951
594.0,0.954
595.0,0.958
596.0,0.962
597.0,0.966
598.0,0.970
599.0,0.974
600.0,0.978
601.0,0.982
602.0,0.986
603.0,0.990
604.0,0.993
605.0,0.997
606.0,1.001
607.0,1.005
608.0,1.009
609.0,1.013
610.0,1.017
611.0,1.021
612.0,1.024
613.0,1.028
614.0,1.032
615.0,1.037
616.0,1.041
617.0,1.045
618.0,1.048
619.0,1.053
620.0,1.057
621.0,1.060
622.0,1.064
623.0,1.068
624.0,1.072
625.0,1.076
626.0,1.079
627.0,1.083
628.0,1.087
629.0,1.091
630.0,1.095
631.0,1.099
632.0,1.103
633.0,1.107
634.0,1.111
635.0,1.115
636.0,1.118
637.0,1.122
638.0,1.126
639.0,1.130
640.0,1.134
641.0,1.138
642.0,1.141
643.0,1.145
644.0,1.148
645.0,1.152
646.0,1.155
647.0,1.160
648.0,1.164
649.0,1.167
650.0,1.169
651.0,1.173
652.0,1.177
653.0,1.181
654.0,1.185
655.0,1.188
656.0,1.193
657.0,1.197
658.0,1.200
659.0,1.204
660.0,1.207
661.0,1.210
662.0,1.214
663.0,1.217
664.0,1.221
665.0,1.225
666.0,1.229
667.0,1.232
668.0,1.236
669.0,1.239
670.0,1.243
671.0,1.246
672.0,1.249
673.0,1.253
674.0,1.256
675.0,1.260
676.0,1.263
677.0,1.267
678.0,1.271
679.0,1.274
680.0,1.278
681.0,1.280
682.0,1.283
683.0,1.286
684.0,1.290
685.0,1.293
686.0,1.296
687.0,1.298
688.0,1.302
689.0,1.305
690.0,1.309
691.0,1.312
692.0,1.315
693.0,1.318
694.0,1.320
695.0,1.323
696.0,1.326
697.0,1.328
698.0,1.330
699.0,1.333
700.0,1.336
701.0,1.340
702.0,1.343
703.0,1.345
704.0,1.346
705.0,1.348
706.0,1.351
707.0,1.353
708.0,1.355
709.0,1.357
710.0,1.359
711.0,1.361
712.0,1.361
713.0,1.364
714.0,1.366
715.0,1.367
716.0,1.368
717.0,1.369
718.0,1.371
719.0,1.372
720.0,1.373
721.0,1.375
722.0,1.376
723.0,1.378
724.0,1.380
725.0,1.380
726.0,1.381
727.0,1.384
728.0,1.386
729.0,1.386
730.0,1.384
731.0,1.385
732.0,1.386
733.0,1.388
734.0,1.389
735.0,1.391
736.0,1.392
737.0,1.393
738.0,1.392
739.0,1.392
740.0,1.391
741.0,1.393
742.0,1.396
743.0,1.397
744.0,1.397
745.0,1.398
746.0,1.399
747.0,1.400
748.0,1.400
749.0,1.401
750.0,1.403
751.0,1.405
752.0,1.407
753.0,1.407
754.0,1.410
755.0,1.412
756.0,1.414
757.0,1.415
758.0,1.416
759.0,1.417
760.0,1.419
761.0,1.421
762.0,1.423
763.0,1.425
764.0,1.426
765.0,1.427
766.0,1.430
767.0,1.433
768.0,1.437
769.0,1.439
770.0,1.441
771.0,1.442
772.0,1.446
773.0,1.449
774.0,1.451
775.0,1.455
776.0,1.460
777.0,1.464
778.0,1.467
779.0,1.470
780.0,1.473
781.0,1.477
782.0,1.480
783.0,1.483
784.0,1.488
785.0,1.494
786.0,1.498
787.0,1.500
788.0,1.503
789.0,1.510
790.0,1.513
791.0,1.517
792.0,1.522
793.0,1.528
794.0,1.531
795.0,1.535
796.0,1.539
797.0,1.545
798.0,1.551
799.0,1.556
800.0,1.560
801.0,1.564
802.0,1.570
803.0,1.577
804.0,1.582
805.0,1.587
806.0,1.592
807.0,1.597
808.0,1.607
