Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_1_03_10_2025
Sample ID
Option
Analyst
Date/Time:,10/03/2025 09:34:44 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.072
401.0,0.072
402.0,0.072
403.0,0.073
404.0,0.073
405.0,0.073
406.0,0.073
407.0,0.073
408.0,0.074
409.0,0.074
410.0,0.075
411.0,0.075
412.0,0.076
413.0,0.077
414.0,0.077
415.0,0.078
416.0,0.079
417.0,0.079
418.0,0.080
419.0,0.081
420.0,0.082
421.0,0.083
422.0,0.084
423.0,0.085
424.0,0.086
425.0,0.087
426.0,0.087
427.0,0.088
428.0,0.089
429.0,0.091
430.0,0.092
431.0,0.094
432.0,0.095
433.0,0.096
434.0,0.098
435.0,0.099
436.0,0.100
437.0,0.101
438.0,0.102
439.0,0.104
440.0,0.105
441.0,0.107
442.0,0.108
443.0,0.109
444.0,0.111
445.0,0.113
446.0,0.114
447.0,0.116
448.0,0.117
449.0,0.119
450.0,0.121
451.0,0.122
452.0,0.124
453.0,0.125
454.0,0.127
455.0,0.129
456.0,0.131
457.0,0.133
458.0,0.135
459.0,0.137
460.0,0.139
461.0,0.140
462.0,0.142
463.0,0.144
464.0,0.146
465.0,0.148
466.0,0.150
467.0,0.152
468.0,0.154
469.0,0.155
470.0,0.157
471.0,0.159
