Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_P2_10-20_23_09_2025
Sample ID
Option
Analyst
Date/Time:,09/23/2025 04:54:09 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,-0.040
201.0,0.080
202.0,0.317
203.0,0.265
204.0,0.126
205.0,-0.029
206.0,-0.120
207.0,0.057
208.0,0.178
209.0,0.282
210.0,0.207
211.0,0.124
212.0,0.020
213.0,0.015
214.0,0.035
215.0,0.103
216.0,0.151
217.0,0.042
218.0,0.094
219.0,0.069
220.0,0.061
221.0,0.014
222.0,-0.073
223.0,0.028
224.0,0.109
225.0,0.112
226.0,0.141
227.0,-0.022
228.0,-0.036
229.0,-0.052
230.0,0.025
231.0,0.133
232.0,0.157
233.0,0.068
234.0,0.064
235.0,0.029
236.0,0.099
237.0,0.123
238.0,0.102
239.0,0.102
240.0,0.005
241.0,-0.021
242.0,0.042
243.0,0.153
244.0,0.133
245.0,-0.045
246.0,-0.065
247.0,-0.145
248.0,-0.132
249.0,-0.143
250.0,-0.030
251.0,0.054
252.0,0.055
253.0,0.106
254.0,0.113
255.0,-0.046
256.0,-0.178
257.0,-0.136
258.0,-0.030
259.0,0.017
260.0,0.046
261.0,0.035
262.0,0.155
263.0,0.192
264.0,0.169
265.0,-0.002
266.0,-0.118
267.0,-0.030
268.0,0.072
269.0,0.006
270.0,-0.058
271.0,-0.133
272.0,-0.000
273.0,-0.069
274.0,0.054
275.0,0.056
276.0,0.010
277.0,-0.125
278.0,-0.142
279.0,-0.078
280.0,-0.157
281.0,-0.195
282.0,-0.143
283.0,-0.073
284.0,-0.167
285.0,-0.221
286.0,-0.226
287.0,-0.187
288.0,-0.126
289.0,-0.180
290.0,-0.056
291.0,-0.151
292.0,-0.014
293.0,-0.077
294.0,0.008
295.0,-0.232
296.0,-0.309
297.0,-0.385
298.0,-0.295
299.0,-0.332
300.0,-0.470
301.0,-0.593
302.0,-0.700
303.0,-0.836
304.0,-0.944
305.0,-1.010
306.0,-0.973
307.0,-0.917
308.0,-0.884
309.0,-0.840
310.0,-0.777
311.0,-0.696
312.0,-0.600
313.0,-0.543
314.0,-0.500
315.0,-0.441
316.0,-0.365
317.0,-0.286
318.0,-0.223
319.0,-0.155
320.0,-0.099
321.0,-0.033
322.0,0.020
323.0,0.074
324.0,0.121
325.0,0.167
326.0,0.209
327.0,0.245
328.0,0.278
329.0,0.308
330.0,0.338
331.0,0.367
332.0,0.392
333.0,0.414
334.0,0.433
335.0,0.451
336.0,0.467
337.0,0.485
338.0,0.495
339.0,0.507
340.0,0.513
341.0,0.524
342.0,0.531
343.0,0.537
344.0,0.541
345.0,0.545
346.0,0.545
347.0,0.545
348.0,0.544
349.0,0.546
350.0,0.542
351.0,0.539
352.0,0.535
353.0,0.531
354.0,0.525
355.0,0.519
356.0,0.514
357.0,0.509
358.0,0.504
359.0,0.498
360.0,0.492
361.0,0.485
362.0,0.479
363.0,0.472
364.0,0.466
365.0,0.460
366.0,0.454
367.0,0.445
368.0,0.438
369.0,0.430
370.0,0.424
371.0,0.417
372.0,0.409
373.0,0.403
374.0,0.395
375.0,0.389
376.0,0.382
377.0,0.376
378.0,0.369
379.0,0.364
380.0,0.358
381.0,0.352
382.0,0.345
383.0,0.339
384.0,0.333
385.0,0.327
386.0,0.322
387.0,0.317
388.0,0.312
389.0,0.307
390.0,0.301
391.0,0.296
392.0,0.292
393.0,0.287
394.0,0.283
395.0,0.279
396.0,0.275
397.0,0.271
398.0,0.267
399.0,0.263
400.0,0.259
401.0,0.256
402.0,0.252
403.0,0.249
404.0,0.245
405.0,0.242
406.0,0.239
407.0,0.236
408.0,0.233
409.0,0.230
410.0,0.228
411.0,0.225
412.0,0.223
413.0,0.220
414.0,0.217
415.0,0.215
416.0,0.213
417.0,0.210
418.0,0.208
419.0,0.206
420.0,0.204
421.0,0.201
422.0,0.200
423.0,0.198
424.0,0.196
425.0,0.193
426.0,0.191
427.0,0.189
428.0,0.188
429.0,0.185
430.0,0.184
431.0,0.182
432.0,0.180
433.0,0.178
434.0,0.176
435.0,0.174
436.0,0.173
437.0,0.171
438.0,0.169
439.0,0.167
440.0,0.166
441.0,0.164
442.0,0.163
443.0,0.161
444.0,0.159
445.0,0.158
446.0,0.156
447.0,0.155
448.0,0.154
449.0,0.152
450.0,0.151
451.0,0.150
452.0,0.148
453.0,0.147
454.0,0.146
455.0,0.145
456.0,0.144
457.0,0.142
458.0,0.141
459.0,0.140
460.0,0.138
461.0,0.137
462.0,0.136
463.0,0.135
464.0,0.134
465.0,0.133
466.0,0.132
467.0,0.131
468.0,0.129
469.0,0.128
470.0,0.127
471.0,0.126
472.0,0.125
473.0,0.124
474.0,0.122
475.0,0.121
476.0,0.120
477.0,0.119
478.0,0.118
479.0,0.117
480.0,0.115
481.0,0.114
482.0,0.112
