Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R1_0-10_23_09_2025
Sample ID
Option
Analyst
Date/Time:,09/23/2025 05:03:52 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.072
201.0,0.280
202.0,0.231
203.0,0.196
204.0,-0.059
205.0,-0.033
206.0,-0.152
207.0,0.000
208.0,0.032
209.0,0.013
210.0,-0.003
211.0,0.084
212.0,0.170
213.0,0.139
214.0,0.110
215.0,0.064
216.0,0.123
217.0,0.252
218.0,0.194
219.0,0.093
220.0,-0.121
221.0,-0.023
222.0,0.024
223.0,0.071
224.0,0.020
225.0,-0.074
226.0,0.093
227.0,0.075
228.0,0.131
229.0,0.039
230.0,0.133
231.0,0.107
232.0,0.036
233.0,-0.052
234.0,0.057
235.0,0.180
236.0,0.242
237.0,0.285
238.0,0.106
239.0,0.104
240.0,-0.090
241.0,-0.044
242.0,-0.042
243.0,-0.009
244.0,-0.034
245.0,-0.148
246.0,-0.065
247.0,-0.123
248.0,-0.203
249.0,-0.224
250.0,-0.170
251.0,-0.140
252.0,-0.167
253.0,-0.059
254.0,0.018
255.0,-0.036
256.0,-0.120
257.0,-0.026
258.0,0.064
259.0,0.069
260.0,-0.010
261.0,-0.090
262.0,0.040
263.0,0.117
264.0,0.225
265.0,0.031
266.0,-0.005
267.0,-0.006
268.0,0.165
269.0,0.097
270.0,-0.043
271.0,-0.199
272.0,-0.103
273.0,-0.087
274.0,-0.024
275.0,-0.023
276.0,0.002
277.0,-0.125
278.0,-0.100
279.0,-0.151
280.0,-0.059
281.0,-0.083
282.0,-0.092
283.0,-0.106
284.0,-0.267
285.0,-0.206
286.0,-0.182
287.0,-0.083
288.0,-0.086
289.0,-0.235
290.0,-0.226
291.0,-0.293
292.0,-0.211
293.0,-0.276
294.0,-0.205
295.0,-0.280
296.0,-0.337
297.0,-0.416
298.0,-0.464
299.0,-0.538
300.0,-0.754
301.0,-0.897
302.0,-1.027
303.0,-1.105
304.0,-1.165
305.0,-1.229
306.0,-1.229
307.0,-1.209
308.0,-1.162
309.0,-1.109
310.0,-1.016
