Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,25_23_09_2025
Sample ID
Option
Analyst
Date/Time:,09/23/2025 04:21:57 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.121
201.0,0.186
202.0,0.137
203.0,0.207
204.0,0.092
205.0,0.038
206.0,0.173
207.0,0.225
208.0,0.292
209.0,0.190
210.0,0.161
211.0,0.130
212.0,-0.059
213.0,-0.079
214.0,-0.021
215.0,0.065
216.0,0.088
217.0,0.145
218.0,0.194
219.0,0.060
220.0,-0.029
221.0,-0.092
222.0,-0.059
223.0,0.021
224.0,0.177
225.0,0.228
226.0,0.186
227.0,0.094
228.0,0.146
229.0,0.228
230.0,0.334
231.0,0.269
232.0,0.248
233.0,0.201
234.0,0.217
235.0,0.193
236.0,0.200
237.0,0.342
238.0,0.240
239.0,0.229
240.0,0.109
241.0,0.084
242.0,0.075
243.0,0.145
244.0,0.335
245.0,0.185
246.0,0.121
247.0,-0.044
248.0,-0.104
249.0,-0.101
250.0,-0.091
251.0,0.026
252.0,0.123
253.0,0.215
254.0,0.236
255.0,0.181
256.0,0.245
257.0,0.346
258.0,0.314
259.0,0.177
260.0,0.055
261.0,0.036
262.0,0.080
263.0,0.170
264.0,0.250
265.0,0.089
266.0,0.110
267.0,0.123
268.0,0.335
269.0,0.229
270.0,0.188
271.0,0.190
272.0,0.318
273.0,0.261
274.0,0.213
275.0,0.285
276.0,0.213
277.0,0.201
278.0,0.012
279.0,0.065
280.0,-0.044
281.0,0.100
282.0,0.086
283.0,0.225
284.0,0.015
285.0,0.103
286.0,0.041
287.0,0.127
288.0,-0.001
289.0,-0.093
290.0,-0.121
291.0,-0.046
292.0,0.057
