Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_1_23_09_2025
Sample ID
Option
Analyst
Date/Time:,09/23/2025 04:36:26 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.317
201.0,0.302
202.0,0.242
203.0,0.158
204.0,0.061
205.0,0.112
206.0,0.250
207.0,0.392
208.0,0.362
209.0,0.332
210.0,0.292
211.0,0.173
212.0,0.076
213.0,-0.009
214.0,0.081
215.0,0.154
216.0,0.223
217.0,0.240
218.0,0.171
219.0,0.225
220.0,0.189
221.0,0.314
222.0,0.252
223.0,0.255
224.0,0.280
225.0,0.204
226.0,0.255
227.0,0.120
228.0,0.192
229.0,0.203
230.0,0.433
231.0,0.543
232.0,0.514
233.0,0.322
234.0,0.171
235.0,0.109
236.0,0.131
237.0,0.318
238.0,0.457
239.0,0.537
240.0,0.254
241.0,0.094
242.0,-0.008
243.0,0.084
244.0,0.176
245.0,0.194
246.0,0.241
247.0,0.289
248.0,0.043
249.0,0.047
250.0,-0.132
251.0,-0.056
252.0,-0.053
253.0,0.089
254.0,0.220
255.0,0.081
256.0,0.004
257.0,-0.028
258.0,0.132
259.0,0.343
260.0,0.422
261.0,0.398
262.0,0.389
263.0,0.347
264.0,0.269
265.0,0.055
266.0,0.129
267.0,0.156
268.0,0.446
269.0,0.356
270.0,0.448
271.0,0.171
272.0,0.304
273.0,0.165
274.0,0.165
275.0,0.144
276.0,0.144
277.0,0.046
278.0,-0.104
279.0,-0.223
280.0,-0.156
281.0,-0.098
282.0,0.036
283.0,0.144
284.0,0.070
285.0,0.039
286.0,0.108
287.0,0.133
288.0,0.219
289.0,0.117
290.0,0.111
291.0,0.058
292.0,0.245
293.0,0.319
294.0,0.384
295.0,0.171
296.0,0.180
297.0,0.213
298.0,0.231
299.0,0.238
300.0,0.143
301.0,0.192
302.0,0.207
303.0,0.174
304.0,0.020
305.0,-0.040
306.0,0.006
307.0,0.101
308.0,0.085
309.0,0.098
310.0,0.111
311.0,0.151
312.0,0.142
313.0,0.116
314.0,0.105
315.0,0.108
316.0,0.113
317.0,0.114
318.0,0.106
319.0,0.101
320.0,0.094
321.0,0.092
322.0,0.089
323.0,0.086
324.0,0.077
325.0,0.074
326.0,0.068
327.0,0.062
328.0,0.058
329.0,0.055
330.0,0.053
331.0,0.049
332.0,0.044
333.0,0.042
334.0,0.040
335.0,0.038
336.0,0.038
337.0,0.038
338.0,0.037
339.0,0.035
340.0,0.032
341.0,0.031
342.0,0.031
343.0,0.031
344.0,0.030
345.0,0.031
346.0,0.031
347.0,0.031
348.0,0.031
349.0,0.032
350.0,0.031
351.0,0.030
352.0,0.030
353.0,0.030
354.0,0.031
355.0,0.029
356.0,0.030
357.0,0.029
358.0,0.029
359.0,0.028
360.0,0.028
361.0,0.028
362.0,0.028
363.0,0.028
364.0,0.029
365.0,0.030
366.0,0.030
367.0,0.030
368.0,0.030
369.0,0.030
370.0,0.030
371.0,0.029
372.0,0.030
373.0,0.032
374.0,0.033
375.0,0.032
376.0,0.033
377.0,0.033
378.0,0.034
379.0,0.034
380.0,0.035
381.0,0.035
382.0,0.036
383.0,0.037
384.0,0.037
385.0,0.037
386.0,0.038
387.0,0.039
388.0,0.040
389.0,0.040
390.0,0.040
391.0,0.041
392.0,0.041
393.0,0.042
394.0,0.042
395.0,0.043
396.0,0.043
397.0,0.044
398.0,0.045
399.0,0.046
400.0,0.047
401.0,0.048
402.0,0.048
403.0,0.049
404.0,0.050
405.0,0.051
406.0,0.052
407.0,0.053
408.0,0.055
409.0,0.056
410.0,0.057
411.0,0.058
412.0,0.059
413.0,0.061
414.0,0.062
415.0,0.063
416.0,0.065
417.0,0.066
418.0,0.068
419.0,0.069
420.0,0.071
421.0,0.072
422.0,0.073
423.0,0.075
424.0,0.076
425.0,0.078
426.0,0.080
427.0,0.082
428.0,0.084
429.0,0.085
430.0,0.087
431.0,0.089
432.0,0.090
433.0,0.092
434.0,0.094
435.0,0.096
436.0,0.098
437.0,0.100
438.0,0.102
439.0,0.103
440.0,0.105
441.0,0.107
442.0,0.109
443.0,0.112
444.0,0.113
445.0,0.115
446.0,0.117
447.0,0.119
448.0,0.122
449.0,0.124
450.0,0.126
451.0,0.129
452.0,0.131
453.0,0.133
454.0,0.135
455.0,0.138
456.0,0.140
457.0,0.142
458.0,0.145
459.0,0.147
460.0,0.149
461.0,0.151
462.0,0.154
463.0,0.156
464.0,0.159
465.0,0.161
466.0,0.163
467.0,0.165
468.0,0.167
469.0,0.169
470.0,0.172
471.0,0.174
472.0,0.176
473.0,0.178
474.0,0.180
475.0,0.182
476.0,0.184
477.0,0.186
478.0,0.189
479.0,0.191
480.0,0.193
481.0,0.195
482.0,0.197
483.0,0.199
484.0,0.200
485.0,0.202
