Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R2_10-20_23_09_2025_pt
Sample ID
Option
Analyst
Date/Time:,09/23/2025 07:20:29 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.322
201.0,0.404
202.0,0.366
203.0,0.407
204.0,0.432
205.0,0.503
206.0,0.498
207.0,0.397
208.0,0.476
209.0,0.517
210.0,0.587
211.0,0.489
212.0,0.525
213.0,0.453
214.0,0.502
215.0,0.365
216.0,0.373
217.0,0.392
218.0,0.351
219.0,0.338
220.0,0.268
221.0,0.361
222.0,0.379
223.0,0.367
224.0,0.331
225.0,0.337
226.0,0.304
227.0,0.319
228.0,0.334
229.0,0.486
230.0,0.499
231.0,0.558
232.0,0.400
233.0,0.342
234.0,0.306
235.0,0.415
236.0,0.471
237.0,0.460
238.0,0.421
239.0,0.375
240.0,0.321
241.0,0.338
242.0,0.447
243.0,0.499
244.0,0.581
245.0,0.490
246.0,0.381
247.0,0.377
248.0,0.432
249.0,0.563
250.0,0.566
251.0,0.660
252.0,0.618
253.0,0.516
254.0,0.439
255.0,0.457
256.0,0.429
257.0,0.573
258.0,0.523
259.0,0.558
260.0,0.441
261.0,0.613
262.0,0.570
263.0,0.474
264.0,0.295
265.0,0.253
266.0,0.174
267.0,0.140
268.0,0.302
269.0,0.382
270.0,0.459
271.0,0.379
272.0,0.504
273.0,0.493
274.0,0.475
275.0,0.431
276.0,0.464
277.0,0.579
278.0,0.598
279.0,0.508
280.0,0.399
281.0,0.255
282.0,0.475
283.0,0.444
284.0,0.510
285.0,0.412
286.0,0.473
287.0,0.516
288.0,0.628
289.0,0.654
290.0,0.622
291.0,0.544
292.0,0.417
293.0,0.378
294.0,0.308
295.0,0.308
296.0,0.271
297.0,0.227
298.0,0.416
299.0,0.618
300.0,0.622
301.0,0.481
302.0,0.367
303.0,0.544
304.0,0.702
305.0,0.851
306.0,0.838
307.0,0.871
308.0,0.944
309.0,1.172
310.0,1.456
311.0,1.837
312.0,1.889
313.0,1.876
314.0,1.726
315.0,1.740
316.0,1.789
317.0,1.791
318.0,1.758
319.0,1.687
320.0,1.576
321.0,1.449
322.0,1.298
323.0,1.177
324.0,1.072
325.0,0.954
326.0,0.847
327.0,0.753
328.0,0.684
329.0,0.617
330.0,0.560
331.0,0.505
332.0,0.464
333.0,0.433
334.0,0.405
335.0,0.382
336.0,0.360
337.0,0.345
338.0,0.332
339.0,0.321
340.0,0.313
341.0,0.305
342.0,0.298
343.0,0.289
344.0,0.283
345.0,0.277
346.0,0.271
347.0,0.267
348.0,0.263
349.0,0.258
350.0,0.252
351.0,0.245
352.0,0.240
353.0,0.233
354.0,0.228
355.0,0.222
356.0,0.217
357.0,0.211
358.0,0.205
359.0,0.200
360.0,0.195
361.0,0.191
362.0,0.187
363.0,0.182
364.0,0.176
365.0,0.171
366.0,0.167
367.0,0.164
368.0,0.160
369.0,0.156
370.0,0.153
371.0,0.149
372.0,0.145
373.0,0.141
374.0,0.138
375.0,0.135
376.0,0.132
377.0,0.128
378.0,0.125
379.0,0.121
380.0,0.119
381.0,0.116
382.0,0.113
383.0,0.111
384.0,0.108
385.0,0.105
386.0,0.102
387.0,0.100
388.0,0.098
389.0,0.096
390.0,0.093
391.0,0.092
392.0,0.090
393.0,0.088
394.0,0.086
395.0,0.086
396.0,0.085
397.0,0.084
398.0,0.083
399.0,0.083
400.0,0.082
401.0,0.082
402.0,0.082
403.0,0.083
404.0,0.083
405.0,0.083
406.0,0.083
407.0,0.085
408.0,0.086
409.0,0.087
410.0,0.088
411.0,0.089
412.0,0.091
413.0,0.092
414.0,0.094
415.0,0.096
416.0,0.099
417.0,0.101
418.0,0.103
419.0,0.105
420.0,0.108
421.0,0.110
422.0,0.112
423.0,0.115
424.0,0.118
425.0,0.120
426.0,0.123
427.0,0.126
428.0,0.129
429.0,0.132
430.0,0.135
431.0,0.138
432.0,0.142
433.0,0.145
434.0,0.149
435.0,0.152
436.0,0.156
437.0,0.159
438.0,0.163
439.0,0.166
440.0,0.169
441.0,0.173
442.0,0.177
443.0,0.180
444.0,0.184
445.0,0.187
446.0,0.191
447.0,0.195
448.0,0.198
449.0,0.202
450.0,0.206
451.0,0.210
452.0,0.214
453.0,0.217
454.0,0.221
455.0,0.224
456.0,0.229
457.0,0.233
458.0,0.236
459.0,0.240
460.0,0.244
461.0,0.248
462.0,0.252
463.0,0.255
464.0,0.259
465.0,0.263
466.0,0.267
467.0,0.270
468.0,0.274
469.0,0.278
470.0,0.281
471.0,0.285
472.0,0.288
473.0,0.292
474.0,0.296
475.0,0.299
476.0,0.303
477.0,0.306
478.0,0.310
479.0,0.314
480.0,0.317
481.0,0.321
482.0,0.324
483.0,0.327
484.0,0.330
485.0,0.334
486.0,0.337
487.0,0.340
488.0,0.343
489.0,0.345
490.0,0.348
491.0,0.351
492.0,0.354
493.0,0.357
494.0,0.360
495.0,0.362
496.0,0.365
497.0,0.368
498.0,0.371
499.0,0.373
500.0,0.376
501.0,0.379
502.0,0.381
503.0,0.384
504.0,0.387
505.0,0.389
506.0,0.392
507.0,0.395
508.0,0.397
509.0,0.399
510.0,0.401
511.0,0.404
512.0,0.407
513.0,0.410
514.0,0.413
515.0,0.415
516.0,0.418
517.0,0.420
518.0,0.423
519.0,0.425
520.0,0.428
521.0,0.431
522.0,0.433
523.0,0.436
524.0,0.439
525.0,0.442
526.0,0.445
527.0,0.448
528.0,0.451
529.0,0.453
530.0,0.456
531.0,0.459
532.0,0.462
533.0,0.465
534.0,0.467
535.0,0.471
536.0,0.473
537.0,0.476
538.0,0.479
539.0,0.482
540.0,0.484
541.0,0.487
542.0,0.490
543.0,0.493
544.0,0.496
545.0,0.499
546.0,0.502
547.0,0.504
548.0,0.507
549.0,0.510
550.0,0.512
551.0,0.514
552.0,0.517
553.0,0.519
554.0,0.522
555.0,0.524
556.0,0.527
557.0,0.529
558.0,0.532
559.0,0.534
560.0,0.537
561.0,0.539
562.0,0.541
563.0,0.543
564.0,0.545
565.0,0.548
566.0,0.550
567.0,0.553
568.0,0.555
569.0,0.558
570.0,0.560
571.0,0.562
572.0,0.565
573.0,0.567
574.0,0.570
575.0,0.572
576.0,0.574
577.0,0.576
578.0,0.578
579.0,0.581
580.0,0.584
581.0,0.586
582.0,0.588
583.0,0.591
584.0,0.593
585.0,0.596
586.0,0.598
587.0,0.601
588.0,0.603
589.0,0.606
590.0,0.608
591.0,0.611
592.0,0.613
593.0,0.616
594.0,0.619
595.0,0.622
596.0,0.625
597.0,0.627
598.0,0.630
599.0,0.632
600.0,0.635
601.0,0.638
602.0,0.640
603.0,0.643
604.0,0.645
605.0,0.648
606.0,0.651
607.0,0.653
608.0,0.656
609.0,0.659
610.0,0.661
611.0,0.664
612.0,0.667
613.0,0.670
614.0,0.673
615.0,0.676
616.0,0.679
617.0,0.682
618.0,0.685
619.0,0.687
620.0,0.690
621.0,0.693
622.0,0.696
623.0,0.699
624.0,0.702
625.0,0.705
626.0,0.707
627.0,0.711
628.0,0.714
629.0,0.717
630.0,0.720
631.0,0.722
632.0,0.725
633.0,0.729
634.0,0.732
635.0,0.735
636.0,0.738
637.0,0.741
638.0,0.744
639.0,0.747
640.0,0.751
641.0,0.754
642.0,0.757
643.0,0.760
644.0,0.763
645.0,0.766
646.0,0.770
647.0,0.773
648.0,0.776
649.0,0.779
650.0,0.782
651.0,0.786
652.0,0.789
653.0,0.793
654.0,0.796
655.0,0.800
656.0,0.803
657.0,0.806
658.0,0.810
659.0,0.813
660.0,0.816
661.0,0.819
662.0,0.823
663.0,0.827
664.0,0.830
665.0,0.834
666.0,0.837
667.0,0.840
668.0,0.843
669.0,0.846
670.0,0.850
671.0,0.854
672.0,0.858
673.0,0.861
674.0,0.864
675.0,0.867
676.0,0.870
677.0,0.873
678.0,0.876
679.0,0.879
680.0,0.883
681.0,0.885
682.0,0.888
683.0,0.891
684.0,0.895
685.0,0.898
686.0,0.901
687.0,0.903
688.0,0.906
689.0,0.909
690.0,0.912
691.0,0.914
692.0,0.917
693.0,0.919
694.0,0.923
695.0,0.924
696.0,0.926
697.0,0.928
698.0,0.931
699.0,0.934
700.0,0.935
701.0,0.937
702.0,0.939
703.0,0.941
704.0,0.942
705.0,0.945
706.0,0.947
707.0,0.948
708.0,0.948
709.0,0.950
710.0,0.951
711.0,0.953
712.0,0.953
713.0,0.955
714.0,0.956
715.0,0.957
716.0,0.957
717.0,0.958
718.0,0.959
719.0,0.959
720.0,0.960
721.0,0.961
722.0,0.962
723.0,0.962
724.0,0.963
725.0,0.963
726.0,0.963
727.0,0.963
728.0,0.963
729.0,0.963
730.0,0.964
731.0,0.965
732.0,0.964
733.0,0.964
734.0,0.964
735.0,0.965
736.0,0.965
737.0,0.967
738.0,0.967
739.0,0.967
740.0,0.967
741.0,0.967
742.0,0.967
743.0,0.968
744.0,0.968
745.0,0.968
746.0,0.968
747.0,0.969
748.0,0.969
749.0,0.970
750.0,0.969
751.0,0.969
752.0,0.970
753.0,0.972
754.0,0.973
755.0,0.973
756.0,0.974
757.0,0.974
758.0,0.976
759.0,0.978
760.0,0.981
761.0,0.981
762.0,0.983
763.0,0.985
764.0,0.988
765.0,0.988
766.0,0.991
767.0,0.992
768.0,0.994
769.0,0.995
770.0,0.996
771.0,0.999
772.0,1.001
773.0,1.005
774.0,1.007
775.0,1.008
776.0,1.010
777.0,1.013
778.0,1.016
779.0,1.020
780.0,1.024
781.0,1.027
782.0,1.029
783.0,1.031
784.0,1.035
785.0,1.037
786.0,1.041
787.0,1.045
788.0,1.048
789.0,1.051
790.0,1.053
791.0,1.057
792.0,1.061
793.0,1.067
794.0,1.071
795.0,1.076
796.0,1.079
797.0,1.082
798.0,1.085
799.0,1.090
800.0,1.094
801.0,1.099
802.0,1.103
803.0,1.108
804.0,1.112
805.0,1.116
806.0,1.119
807.0,1.122
808.0,1.128
809.0,1.132
810.0,1.139
811.0,1.143
812.0,1.147
813.0,1.150
814.0,1.153
815.0,1.158
816.0,1.164
817.0,1.169
818.0,1.173
819.0,1.176
820.0,1.180
821.0,1.184
822.0,1.187
823.0,1.192
824.0,1.195
825.0,1.198
826.0,1.200
827.0,1.202
828.0,1.206
829.0,1.210
830.0,1.213
831.0,1.215
832.0,1.216
833.0,1.220
834.0,1.221
835.0,1.228
836.0,1.230
837.0,1.233
838.0,1.234
839.0,1.234
840.0,1.237
841.0,1.236
842.0,1.239
843.0,1.244
844.0,1.252
845.0,1.256
846.0,1.259
847.0,1.258
848.0,1.262
849.0,1.263
850.0,1.258
851.0,1.256
852.0,1.256
853.0,1.261
854.0,1.262
855.0,1.264
856.0,1.265
857.0,1.268
858.0,1.269
859.0,1.268
860.0,1.267
861.0,1.268
862.0,1.269
863.0,1.272
864.0,1.270
865.0,1.268
866.0,1.265
867.0,1.265
868.0,1.265
869.0,1.261
870.0,1.260
871.0,1.257
872.0,1.254
873.0,1.252
874.0,1.246
875.0,1.245
876.0,1.240
877.0,1.236
878.0,1.229
879.0,1.225
880.0,1.222
881.0,1.216
882.0,1.211
883.0,1.203
884.0,1.200
885.0,1.197
886.0,1.193
887.0,1.189
888.0,1.182
889.0,1.177
890.0,1.170
891.0,1.166
892.0,1.158
893.0,1.153
894.0,1.145
895.0,1.140
896.0,1.133
897.0,1.127
898.0,1.120
899.0,1.115
900.0,1.108
901.0,1.100
902.0,1.093
903.0,1.085
904.0,1.080
905.0,1.073
906.0,1.066
907.0,1.061
908.0,1.055
909.0,1.048
910.0,1.040
911.0,1.033
912.0,1.027
913.0,1.019
914.0,1.013
915.0,1.006
916.0,1.000
917.0,0.993
918.0,0.985
919.0,0.980
920.0,0.973
921.0,0.967
922.0,0.959
923.0,0.952
924.0,0.946
925.0,0.940
926.0,0.932
927.0,0.924
928.0,0.917
929.0,0.911
930.0,0.905
931.0,0.898
932.0,0.890
933.0,0.884
934.0,0.877
935.0,0.870
936.0,0.864
937.0,0.858
938.0,0.851
939.0,0.843
940.0,0.835
941.0,0.829
942.0,0.822
943.0,0.816
944.0,0.808
945.0,0.800
946.0,0.793
947.0,0.786
948.0,0.780
949.0,0.773
950.0,0.766
951.0,0.759
952.0,0.752
953.0,0.746
954.0,0.739
955.0,0.734
956.0,0.727
957.0,0.721
958.0,0.714
959.0,0.708
960.0,0.702
961.0,0.696
962.0,0.689
963.0,0.683
964.0,0.677
965.0,0.672
966.0,0.665
967.0,0.659
968.0,0.653
969.0,0.647
970.0,0.642
971.0,0.636
972.0,0.631
973.0,0.625
974.0,0.619
975.0,0.613
976.0,0.607
977.0,0.601
978.0,0.595
979.0,0.590
980.0,0.584
981.0,0.579
982.0,0.573
983.0,0.567
984.0,0.562
985.0,0.556
986.0,0.550
987.0,0.545
988.0,0.540
989.0,0.535
990.0,0.530
991.0,0.525
992.0,0.520
993.0,0.515
994.0,0.510
995.0,0.505
996.0,0.500
997.0,0.496
998.0,0.492
999.0,0.487
1000.0,0.482
1001.0,0.477
1002.0,0.473
1003.0,0.468
1004.0,0.464
1005.0,0.460
1006.0,0.456
1007.0,0.452
1008.0,0.448
1009.0,0.444
1010.0,0.440
1011.0,0.436
1012.0,0.433
1013.0,0.429
1014.0,0.425
1015.0,0.422
1016.0,0.418
1017.0,0.415
1018.0,0.411
1019.0,0.408
1020.0,0.405
1021.0,0.401
1022.0,0.398
1023.0,0.394
1024.0,0.391
1025.0,0.388
1026.0,0.385
1027.0,0.382
1028.0,0.379
1029.0,0.377
1030.0,0.374
1031.0,0.371
1032.0,0.368
1033.0,0.366
1034.0,0.363
1035.0,0.361
1036.0,0.358
1037.0,0.356
1038.0,0.353
1039.0,0.350
1040.0,0.348
1041.0,0.346
1042.0,0.343
1043.0,0.341
1044.0,0.339
1045.0,0.337
1046.0,0.335
1047.0,0.333
1048.0,0.330
1049.0,0.328
1050.0,0.326
1051.0,0.324
1052.0,0.322
1053.0,0.320
1054.0,0.317
1055.0,0.315
1056.0,0.313
1057.0,0.312
1058.0,0.310
1059.0,0.308
1060.0,0.306
1061.0,0.304
1062.0,0.302
1063.0,0.300
1064.0,0.299
1065.0,0.297
1066.0,0.295
1067.0,0.294
1068.0,0.292
1069.0,0.290
1070.0,0.289
1071.0,0.287
1072.0,0.285
1073.0,0.284
1074.0,0.282
1075.0,0.281
1076.0,0.279
1077.0,0.278
1078.0,0.276
1079.0,0.275
1080.0,0.273
1081.0,0.272
1082.0,0.271
1083.0,0.269
1084.0,0.268
1085.0,0.266
1086.0,0.265
1087.0,0.264
1088.0,0.262
1089.0,0.261
1090.0,0.260
1091.0,0.258
1092.0,0.257
1093.0,0.256
1094.0,0.255
1095.0,0.253
1096.0,0.252
1097.0,0.251
1098.0,0.250
1099.0,0.249
1100.0,0.248
1101.0,0.246
1102.0,0.245
1103.0,0.244
1104.0,0.243
1105.0,0.242
1106.0,0.241
1107.0,0.239
1108.0,0.238
1109.0,0.237
1110.0,0.236
1111.0,0.235
1112.0,0.234
1113.0,0.233
1114.0,0.232
1115.0,0.231
1116.0,0.230
1117.0,0.229
1118.0,0.228
1119.0,0.227
1120.0,0.226
1121.0,0.225
1122.0,0.224
1123.0,0.223
1124.0,0.222
1125.0,0.221
1126.0,0.221
1127.0,0.219
1128.0,0.218
1129.0,0.218
1130.0,0.217
1131.0,0.216
1132.0,0.215
1133.0,0.214
1134.0,0.213
1135.0,0.212
1136.0,0.211
1137.0,0.210
1138.0,0.210
1139.0,0.209
1140.0,0.209
1141.0,0.208
1142.0,0.207
1143.0,0.207
