Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R1_0-10_24_09_2025
Sample ID
Option
Analyst
Date/Time:,09/24/2025 12:35:14 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,1.140
401.0,1.134
402.0,1.123
403.0,1.114
404.0,1.105
405.0,1.096
406.0,1.087
407.0,1.077
408.0,1.068
409.0,1.060
410.0,1.052
411.0,1.043
412.0,1.036
413.0,1.028
414.0,1.020
415.0,1.013
416.0,1.005
417.0,0.999
418.0,0.991
419.0,0.984
420.0,0.977
421.0,0.971
422.0,0.965
423.0,0.958
424.0,0.952
425.0,0.945
426.0,0.939
427.0,0.933
428.0,0.927
429.0,0.921
430.0,0.915
431.0,0.909
432.0,0.903
433.0,0.898
434.0,0.892
435.0,0.886
436.0,0.882
437.0,0.877
438.0,0.873
439.0,0.868
440.0,0.864
441.0,0.859
442.0,0.856
443.0,0.852
444.0,0.848
445.0,0.844
446.0,0.840
447.0,0.837
448.0,0.834
449.0,0.831
450.0,0.828
451.0,0.825
452.0,0.822
453.0,0.820
454.0,0.817
455.0,0.814
456.0,0.812
457.0,0.810
458.0,0.808
459.0,0.806
460.0,0.804
461.0,0.802
462.0,0.801
463.0,0.798
464.0,0.796
465.0,0.795
466.0,0.793
467.0,0.791
468.0,0.789
469.0,0.787
470.0,0.785
471.0,0.783
472.0,0.782
473.0,0.779
474.0,0.777
475.0,0.775
476.0,0.773
477.0,0.772
478.0,0.770
479.0,0.768
480.0,0.765
481.0,0.763
482.0,0.761
483.0,0.759
484.0,0.756
485.0,0.753
486.0,0.751
487.0,0.749
488.0,0.747
489.0,0.745
490.0,0.743
491.0,0.741
492.0,0.738
493.0,0.735
494.0,0.733
495.0,0.730
496.0,0.728
497.0,0.726
498.0,0.724
499.0,0.721
500.0,0.718
501.0,0.716
502.0,0.713
503.0,0.711
504.0,0.708
505.0,0.706
506.0,0.703
507.0,0.701
508.0,0.699
509.0,0.697
510.0,0.695
511.0,0.693
512.0,0.691
513.0,0.689
514.0,0.687
515.0,0.685
516.0,0.684
517.0,0.683
518.0,0.681
519.0,0.680
520.0,0.678
521.0,0.676
522.0,0.675
523.0,0.674
524.0,0.673
525.0,0.671
526.0,0.670
527.0,0.669
528.0,0.669
529.0,0.668
530.0,0.668
531.0,0.667
532.0,0.666
533.0,0.665
534.0,0.664
535.0,0.664
536.0,0.663
537.0,0.663
538.0,0.663
539.0,0.663
540.0,0.662
541.0,0.662
542.0,0.661
543.0,0.661
544.0,0.660
545.0,0.660
546.0,0.659
547.0,0.659
548.0,0.658
549.0,0.657
550.0,0.656
551.0,0.656
552.0,0.655
553.0,0.654
554.0,0.653
555.0,0.652
556.0,0.652
557.0,0.651
558.0,0.650
559.0,0.649
560.0,0.648
561.0,0.647
562.0,0.646
563.0,0.645
564.0,0.644
565.0,0.643
566.0,0.642
567.0,0.641
568.0,0.639
569.0,0.638
570.0,0.637
571.0,0.636
572.0,0.635
573.0,0.635
574.0,0.633
575.0,0.633
576.0,0.631
577.0,0.630
578.0,0.629
579.0,0.629
580.0,0.628
581.0,0.627
582.0,0.626
583.0,0.625
584.0,0.625
585.0,0.624
586.0,0.623
587.0,0.622
588.0,0.621
589.0,0.620
590.0,0.620
591.0,0.619
592.0,0.618
593.0,0.617
594.0,0.617
595.0,0.616
596.0,0.616
597.0,0.615
598.0,0.614
599.0,0.614
600.0,0.613
601.0,0.612
602.0,0.611
603.0,0.612
604.0,0.611
605.0,0.611
606.0,0.610
607.0,0.609
608.0,0.608
609.0,0.607
610.0,0.607
611.0,0.607
612.0,0.607
613.0,0.606
614.0,0.606
615.0,0.605
616.0,0.605
617.0,0.604
618.0,0.604
619.0,0.603
620.0,0.603
621.0,0.603
622.0,0.602
623.0,0.602
624.0,0.602
625.0,0.602
626.0,0.602
627.0,0.602
628.0,0.602
629.0,0.601
630.0,0.602
631.0,0.602
632.0,0.602
633.0,0.602
634.0,0.602
635.0,0.602
636.0,0.602
637.0,0.602
638.0,0.603
639.0,0.603
640.0,0.604
641.0,0.604
642.0,0.604
643.0,0.604
644.0,0.605
645.0,0.606
646.0,0.606
647.0,0.607
648.0,0.607
649.0,0.608
650.0,0.608
651.0,0.609
652.0,0.611
653.0,0.611
654.0,0.613
655.0,0.613
656.0,0.615
657.0,0.615
658.0,0.616
659.0,0.617
660.0,0.618
661.0,0.620
662.0,0.621
663.0,0.623
664.0,0.624
665.0,0.625
666.0,0.626
667.0,0.627
668.0,0.627
669.0,0.628
670.0,0.629
671.0,0.631
672.0,0.633
673.0,0.634
674.0,0.636
675.0,0.637
676.0,0.638
677.0,0.639
678.0,0.641
679.0,0.642
680.0,0.643
681.0,0.644
682.0,0.645
683.0,0.647
684.0,0.648
685.0,0.649
686.0,0.650
687.0,0.651
688.0,0.652
689.0,0.653
690.0,0.653
691.0,0.654
692.0,0.654
693.0,0.655
694.0,0.655
695.0,0.656
696.0,0.656
697.0,0.656
698.0,0.656
699.0,0.656
700.0,0.657
701.0,0.656
702.0,0.656
703.0,0.656
704.0,0.655
705.0,0.655
706.0,0.655
707.0,0.654
708.0,0.653
709.0,0.652
710.0,0.651
711.0,0.650
712.0,0.648
713.0,0.646
714.0,0.645
715.0,0.645
716.0,0.644
717.0,0.642
718.0,0.640
719.0,0.638
720.0,0.636
721.0,0.635
722.0,0.633
723.0,0.631
724.0,0.628
725.0,0.626
726.0,0.623
727.0,0.621
728.0,0.619
729.0,0.616
730.0,0.614
731.0,0.611
732.0,0.609
733.0,0.607
734.0,0.606
735.0,0.603
736.0,0.601
737.0,0.598
738.0,0.596
739.0,0.593
740.0,0.590
741.0,0.587
742.0,0.585
743.0,0.582
744.0,0.580
745.0,0.577
746.0,0.575
747.0,0.573
748.0,0.572
749.0,0.569
750.0,0.566
751.0,0.563
752.0,0.561
753.0,0.560
754.0,0.558
755.0,0.557
756.0,0.555
757.0,0.553
758.0,0.551
759.0,0.549
760.0,0.548
761.0,0.547
762.0,0.545
763.0,0.543
764.0,0.542
765.0,0.541
766.0,0.540
767.0,0.538
768.0,0.537
769.0,0.537
770.0,0.537
771.0,0.537
772.0,0.536
773.0,0.535
774.0,0.534
775.0,0.534
776.0,0.533
777.0,0.533
778.0,0.533
779.0,0.533
780.0,0.533
781.0,0.533
782.0,0.533
783.0,0.535
