Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,5_24_09_2025
Sample ID
Option
Analyst
Date/Time:,09/24/2025 12:27:07 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.102
401.0,0.102
402.0,0.102
403.0,0.102
404.0,0.102
405.0,0.102
406.0,0.102
407.0,0.103
408.0,0.103
409.0,0.103
410.0,0.103
411.0,0.104
412.0,0.105
413.0,0.105
414.0,0.105
415.0,0.105
416.0,0.106
417.0,0.107
418.0,0.108
419.0,0.108
420.0,0.108
421.0,0.109
422.0,0.109
423.0,0.110
424.0,0.111
425.0,0.111
426.0,0.112
427.0,0.113
428.0,0.114
429.0,0.115
430.0,0.116
431.0,0.117
432.0,0.118
433.0,0.119
434.0,0.120
435.0,0.121
436.0,0.122
437.0,0.123
438.0,0.125
439.0,0.126
440.0,0.127
441.0,0.128
442.0,0.129
443.0,0.131
444.0,0.132
445.0,0.133
446.0,0.135
447.0,0.136
448.0,0.137
449.0,0.139
450.0,0.140
451.0,0.141
452.0,0.142
453.0,0.144
454.0,0.145
455.0,0.147
456.0,0.149
457.0,0.151
458.0,0.152
459.0,0.153
460.0,0.155
461.0,0.157
462.0,0.158
463.0,0.159
464.0,0.161
465.0,0.162
466.0,0.164
467.0,0.166
468.0,0.167
469.0,0.169
470.0,0.170
471.0,0.172
472.0,0.174
473.0,0.175
474.0,0.177
475.0,0.178
476.0,0.180
477.0,0.182
478.0,0.183
479.0,0.184
480.0,0.186
481.0,0.187
482.0,0.189
483.0,0.190
484.0,0.192
485.0,0.193
486.0,0.195
487.0,0.196
488.0,0.198
489.0,0.199
490.0,0.201
491.0,0.202
492.0,0.203
493.0,0.204
494.0,0.206
495.0,0.207
496.0,0.208
497.0,0.210
498.0,0.211
499.0,0.213
500.0,0.213
501.0,0.215
502.0,0.216
503.0,0.217
504.0,0.218
505.0,0.220
506.0,0.221
507.0,0.222
508.0,0.224
509.0,0.225
510.0,0.226
511.0,0.227
512.0,0.229
513.0,0.230
514.0,0.232
515.0,0.233
516.0,0.234
517.0,0.236
518.0,0.238
519.0,0.239
520.0,0.240
521.0,0.242
522.0,0.244
523.0,0.246
524.0,0.248
525.0,0.250
526.0,0.252
527.0,0.253
528.0,0.255
529.0,0.257
530.0,0.259
531.0,0.261
532.0,0.263
533.0,0.265
534.0,0.267
535.0,0.269
536.0,0.271
537.0,0.273
538.0,0.275
539.0,0.277
540.0,0.279
541.0,0.281
542.0,0.283
543.0,0.285
544.0,0.287
545.0,0.289
546.0,0.291
547.0,0.293
548.0,0.295
549.0,0.297
550.0,0.299
551.0,0.300
552.0,0.302
553.0,0.304
554.0,0.306
555.0,0.308
556.0,0.309
557.0,0.311
558.0,0.313
559.0,0.314
560.0,0.316
561.0,0.318
562.0,0.320
563.0,0.322
564.0,0.323
565.0,0.325
566.0,0.326
567.0,0.328
568.0,0.329
569.0,0.331
570.0,0.333
571.0,0.335
572.0,0.337
573.0,0.338
574.0,0.340
575.0,0.341
576.0,0.343
577.0,0.345
578.0,0.347
579.0,0.348
580.0,0.349
581.0,0.351
582.0,0.353
583.0,0.355
584.0,0.357
585.0,0.358
586.0,0.359
587.0,0.361
588.0,0.363
589.0,0.365
590.0,0.366
591.0,0.367
592.0,0.369
593.0,0.371
594.0,0.372
595.0,0.374
596.0,0.376
597.0,0.377
598.0,0.379
599.0,0.380
600.0,0.381
601.0,0.383
602.0,0.384
603.0,0.386
604.0,0.388
605.0,0.389
606.0,0.390
607.0,0.391
608.0,0.393
609.0,0.394
610.0,0.396
611.0,0.397
612.0,0.399
613.0,0.400
614.0,0.401
615.0,0.402
616.0,0.403
617.0,0.405
618.0,0.406
619.0,0.408
620.0,0.409
621.0,0.410
622.0,0.411
623.0,0.413
624.0,0.414
625.0,0.416
626.0,0.417
627.0,0.418
628.0,0.419
629.0,0.420
630.0,0.421
631.0,0.423
632.0,0.424
633.0,0.425
634.0,0.427
635.0,0.428
636.0,0.429
637.0,0.430
638.0,0.431
639.0,0.432
640.0,0.434
641.0,0.435
642.0,0.436
643.0,0.437
644.0,0.438
645.0,0.440
646.0,0.441
647.0,0.442
648.0,0.443
649.0,0.444
650.0,0.445
651.0,0.446
652.0,0.448
653.0,0.448
654.0,0.449
655.0,0.451
656.0,0.452
657.0,0.453
658.0,0.454
659.0,0.455
660.0,0.457
661.0,0.458
662.0,0.459
663.0,0.460
664.0,0.462
665.0,0.463
666.0,0.463
667.0,0.464
668.0,0.466
669.0,0.467
670.0,0.468
671.0,0.469
672.0,0.470
673.0,0.472
674.0,0.473
675.0,0.474
676.0,0.474
677.0,0.476
678.0,0.477
679.0,0.478
680.0,0.479
681.0,0.480
682.0,0.481
683.0,0.482
684.0,0.484
685.0,0.484
686.0,0.485
687.0,0.486
688.0,0.487
689.0,0.488
690.0,0.489
691.0,0.489
692.0,0.490
693.0,0.491
694.0,0.492
695.0,0.493
696.0,0.494
697.0,0.495
698.0,0.495
699.0,0.496
700.0,0.496
701.0,0.497
702.0,0.497
703.0,0.498
