Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_P2_10-20_24_09_2025_pt
Sample ID
Option
Analyst
Date/Time:,09/24/2025 04:44:41 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.068
401.0,0.067
402.0,0.067
403.0,0.066
404.0,0.067
405.0,0.067
406.0,0.068
407.0,0.068
408.0,0.069
409.0,0.070
410.0,0.072
411.0,0.073
412.0,0.075
413.0,0.076
414.0,0.078
415.0,0.080
416.0,0.082
417.0,0.084
418.0,0.086
419.0,0.088
420.0,0.091
421.0,0.093
422.0,0.095
423.0,0.098
424.0,0.100
425.0,0.103
426.0,0.106
427.0,0.109
428.0,0.112
429.0,0.116
430.0,0.119
431.0,0.122
432.0,0.125
433.0,0.129
434.0,0.132
435.0,0.136
436.0,0.139
437.0,0.142
438.0,0.146
439.0,0.150
440.0,0.153
441.0,0.157
442.0,0.160
443.0,0.164
444.0,0.167
445.0,0.170
446.0,0.175
447.0,0.178
448.0,0.182
449.0,0.186
450.0,0.189
451.0,0.193
452.0,0.197
453.0,0.200
454.0,0.205
455.0,0.208
456.0,0.212
457.0,0.216
458.0,0.219
459.0,0.223
460.0,0.227
461.0,0.231
462.0,0.235
463.0,0.239
464.0,0.242
465.0,0.246
466.0,0.249
467.0,0.253
468.0,0.256
469.0,0.259
470.0,0.263
471.0,0.267
472.0,0.270
473.0,0.274
474.0,0.277
475.0,0.280
476.0,0.284
477.0,0.287
478.0,0.291
479.0,0.294
480.0,0.298
481.0,0.301
482.0,0.304
483.0,0.307
484.0,0.310
485.0,0.313
486.0,0.317
487.0,0.319
488.0,0.322
489.0,0.325
490.0,0.328
491.0,0.330
492.0,0.333
493.0,0.336
494.0,0.339
495.0,0.341
496.0,0.344
497.0,0.347
498.0,0.349
499.0,0.352
500.0,0.354
501.0,0.357
502.0,0.359
503.0,0.362
504.0,0.365
505.0,0.367
506.0,0.370
