Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R2_0-10_24_09_2025_pt
Sample ID
Option
Analyst
Date/Time:,09/24/2025 04:47:31 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.079
401.0,0.079
402.0,0.079
403.0,0.078
404.0,0.078
405.0,0.079
406.0,0.079
407.0,0.080
408.0,0.081
409.0,0.082
410.0,0.083
411.0,0.084
412.0,0.086
413.0,0.088
414.0,0.090
415.0,0.092
416.0,0.093
417.0,0.096
418.0,0.098
419.0,0.100
420.0,0.102
421.0,0.104
422.0,0.107
423.0,0.109
424.0,0.112
425.0,0.114
426.0,0.117
427.0,0.121
428.0,0.123
429.0,0.127
430.0,0.129
431.0,0.132
432.0,0.135
433.0,0.139
434.0,0.143
435.0,0.146
436.0,0.148
437.0,0.152
438.0,0.156
439.0,0.159
440.0,0.163
441.0,0.166
442.0,0.169
443.0,0.172
444.0,0.176
445.0,0.179
446.0,0.183
447.0,0.187
448.0,0.191
449.0,0.194
450.0,0.198
451.0,0.201
452.0,0.204
453.0,0.208
454.0,0.212
455.0,0.216
456.0,0.219
457.0,0.223
458.0,0.226
459.0,0.230
460.0,0.234
461.0,0.238
462.0,0.241
463.0,0.245
464.0,0.248
465.0,0.252
466.0,0.255
467.0,0.259
468.0,0.262
469.0,0.265
470.0,0.269
471.0,0.272
472.0,0.276
473.0,0.279
474.0,0.282
475.0,0.285
476.0,0.289
477.0,0.292
478.0,0.296
479.0,0.299
480.0,0.302
481.0,0.305
482.0,0.308
483.0,0.311
484.0,0.314
485.0,0.317
486.0,0.320
487.0,0.323
488.0,0.325
489.0,0.328
490.0,0.331
491.0,0.334
492.0,0.337
493.0,0.340
494.0,0.342
495.0,0.345
496.0,0.347
497.0,0.350
498.0,0.352
499.0,0.355
500.0,0.357
501.0,0.360
502.0,0.362
503.0,0.365
504.0,0.368
505.0,0.370
506.0,0.372
507.0,0.374
508.0,0.377
509.0,0.379
510.0,0.382
511.0,0.384
512.0,0.387
513.0,0.389
514.0,0.391
515.0,0.393
516.0,0.396
517.0,0.398
518.0,0.400
519.0,0.403
520.0,0.406
521.0,0.408
522.0,0.410
523.0,0.413
524.0,0.416
525.0,0.419
526.0,0.421
527.0,0.424
528.0,0.426
529.0,0.429
530.0,0.432
531.0,0.434
532.0,0.437
533.0,0.440
534.0,0.443
535.0,0.445
536.0,0.448
537.0,0.450
538.0,0.453
539.0,0.455
540.0,0.458
541.0,0.461
542.0,0.463
543.0,0.466
544.0,0.469
545.0,0.471
546.0,0.474
547.0,0.476
548.0,0.479
549.0,0.482
550.0,0.484
551.0,0.487
552.0,0.489
553.0,0.491
554.0,0.493
555.0,0.496
556.0,0.499
557.0,0.501
558.0,0.503
559.0,0.506
560.0,0.508
561.0,0.510
562.0,0.512
563.0,0.515
564.0,0.518
565.0,0.520
566.0,0.522
567.0,0.524
568.0,0.527
569.0,0.530
570.0,0.533
571.0,0.535
572.0,0.537
573.0,0.540
574.0,0.542
575.0,0.545
