Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_P2_10-20_25_09_2025
Sample ID
Option
Analyst
Date/Time:,09/25/2025 04:12:00 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.100
401.0,0.100
402.0,0.099
403.0,0.100
404.0,0.101
405.0,0.101
406.0,0.101
407.0,0.101
408.0,0.102
409.0,0.102
410.0,0.103
411.0,0.103
412.0,0.104
413.0,0.105
414.0,0.106
415.0,0.107
416.0,0.108
417.0,0.109
418.0,0.110
419.0,0.111
420.0,0.112
421.0,0.113
422.0,0.114
423.0,0.116
424.0,0.117
425.0,0.118
426.0,0.120
427.0,0.121
428.0,0.122
429.0,0.124
430.0,0.126
431.0,0.128
432.0,0.130
433.0,0.131
434.0,0.133
435.0,0.134
436.0,0.136
437.0,0.138
438.0,0.140
439.0,0.142
440.0,0.144
441.0,0.146
442.0,0.148
443.0,0.150
444.0,0.152
445.0,0.154
446.0,0.156
447.0,0.158
448.0,0.160
449.0,0.163
450.0,0.165
451.0,0.167
452.0,0.169
453.0,0.172
454.0,0.174
455.0,0.177
456.0,0.180
457.0,0.182
458.0,0.184
459.0,0.187
460.0,0.189
461.0,0.192
462.0,0.194
463.0,0.197
464.0,0.199
465.0,0.202
466.0,0.204
467.0,0.207
468.0,0.209
469.0,0.212
470.0,0.214
471.0,0.216
472.0,0.219
473.0,0.222
474.0,0.224
475.0,0.227
476.0,0.229
477.0,0.232
478.0,0.234
479.0,0.237
480.0,0.240
481.0,0.242
482.0,0.245
483.0,0.247
484.0,0.249
485.0,0.251
486.0,0.253
487.0,0.256
488.0,0.258
489.0,0.260
490.0,0.262
491.0,0.263
492.0,0.265
493.0,0.267
494.0,0.269
495.0,0.271
496.0,0.273
497.0,0.275
498.0,0.277
499.0,0.278
500.0,0.280
501.0,0.281
502.0,0.283
503.0,0.285
504.0,0.287
505.0,0.288
506.0,0.290
507.0,0.292
508.0,0.294
509.0,0.295
510.0,0.297
511.0,0.298
512.0,0.300
513.0,0.302
514.0,0.304
515.0,0.306
516.0,0.308
517.0,0.310
518.0,0.312
519.0,0.314
520.0,0.317
521.0,0.319
522.0,0.321
523.0,0.324
524.0,0.326
525.0,0.329
526.0,0.332
527.0,0.335
528.0,0.337
529.0,0.340
530.0,0.343
531.0,0.345
532.0,0.348
533.0,0.351
534.0,0.354
535.0,0.357
536.0,0.359
537.0,0.363
538.0,0.365
539.0,0.368
540.0,0.371
541.0,0.373
542.0,0.376
543.0,0.378
544.0,0.381
545.0,0.384
546.0,0.386
547.0,0.389
548.0,0.391
549.0,0.394
550.0,0.396
551.0,0.399
552.0,0.401
553.0,0.403
554.0,0.405
555.0,0.407
556.0,0.409
557.0,0.411
558.0,0.413
559.0,0.414
560.0,0.416
561.0,0.418
562.0,0.420
563.0,0.421
564.0,0.423
565.0,0.425
566.0,0.427
567.0,0.429
568.0,0.430
569.0,0.432
570.0,0.434
571.0,0.435
572.0,0.437
573.0,0.438
574.0,0.440
575.0,0.442
576.0,0.443
577.0,0.445
578.0,0.446
579.0,0.448
580.0,0.449
581.0,0.451
582.0,0.453
583.0,0.454
584.0,0.456
585.0,0.457
586.0,0.459
587.0,0.460
588.0,0.462
589.0,0.464
590.0,0.465
591.0,0.466
592.0,0.468
593.0,0.469
594.0,0.471
595.0,0.473
596.0,0.474
597.0,0.476
598.0,0.477
599.0,0.479
600.0,0.480
601.0,0.482
602.0,0.483
603.0,0.484
604.0,0.486
605.0,0.488
606.0,0.489
607.0,0.490
608.0,0.490
609.0,0.492
610.0,0.494
611.0,0.496
612.0,0.497
613.0,0.498
614.0,0.499
615.0,0.501
616.0,0.502
617.0,0.504
618.0,0.505
619.0,0.507
620.0,0.508
621.0,0.510
622.0,0.511
623.0,0.512
624.0,0.513
625.0,0.515
626.0,0.517
627.0,0.518
628.0,0.519
629.0,0.521
630.0,0.522
631.0,0.523
632.0,0.525
633.0,0.526
634.0,0.528
635.0,0.530
636.0,0.531
637.0,0.533
638.0,0.534
639.0,0.536
640.0,0.538
641.0,0.539
642.0,0.540
643.0,0.542
644.0,0.543
645.0,0.545
646.0,0.546
647.0,0.547
648.0,0.549
649.0,0.551
650.0,0.552
651.0,0.554
652.0,0.556
653.0,0.558
654.0,0.560
655.0,0.562
656.0,0.563
657.0,0.565
658.0,0.567
659.0,0.568
660.0,0.570
661.0,0.572
662.0,0.574
663.0,0.576
664.0,0.578
665.0,0.580
666.0,0.582
667.0,0.584
668.0,0.586
669.0,0.588
670.0,0.590
671.0,0.592
672.0,0.594
673.0,0.595
674.0,0.597
675.0,0.599
676.0,0.601
677.0,0.603
678.0,0.605
679.0,0.606
680.0,0.608
681.0,0.610
682.0,0.612
683.0,0.615
684.0,0.617
685.0,0.619
686.0,0.620
