Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R1_0-10_25_09_2025
Sample ID
Option
Analyst
Date/Time:,09/25/2025 03:57:40 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.065
401.0,0.065
402.0,0.065
403.0,0.066
404.0,0.066
405.0,0.066
406.0,0.066
407.0,0.066
408.0,0.066
409.0,0.067
410.0,0.067
411.0,0.067
412.0,0.067
413.0,0.067
414.0,0.068
415.0,0.068
416.0,0.069
417.0,0.069
418.0,0.069
419.0,0.070
420.0,0.071
421.0,0.072
422.0,0.072
423.0,0.073
424.0,0.073
425.0,0.074
426.0,0.075
427.0,0.075
428.0,0.076
429.0,0.077
430.0,0.078
431.0,0.079
432.0,0.080
433.0,0.081
434.0,0.082
435.0,0.083
436.0,0.083
437.0,0.085
438.0,0.086
439.0,0.087
440.0,0.087
441.0,0.089
442.0,0.089
443.0,0.091
444.0,0.092
445.0,0.093
446.0,0.095
447.0,0.096
448.0,0.097
449.0,0.098
450.0,0.099
451.0,0.100
452.0,0.101
453.0,0.103
454.0,0.104
455.0,0.106
456.0,0.107
457.0,0.109
458.0,0.110
459.0,0.111
460.0,0.113
461.0,0.114
462.0,0.116
463.0,0.117
464.0,0.118
465.0,0.120
466.0,0.121
467.0,0.122
468.0,0.124
469.0,0.125
470.0,0.126
471.0,0.127
472.0,0.129
473.0,0.131
474.0,0.132
475.0,0.134
476.0,0.135
477.0,0.136
478.0,0.138
479.0,0.139
480.0,0.140
481.0,0.142
482.0,0.144
483.0,0.145
484.0,0.146
485.0,0.147
486.0,0.148
487.0,0.149
488.0,0.151
489.0,0.152
490.0,0.153
491.0,0.154
492.0,0.155
493.0,0.156
494.0,0.157
495.0,0.158
496.0,0.159
497.0,0.160
498.0,0.161
499.0,0.162
500.0,0.163
501.0,0.164
502.0,0.165
503.0,0.166
504.0,0.167
505.0,0.168
506.0,0.169
507.0,0.170
508.0,0.171
509.0,0.172
510.0,0.173
511.0,0.174
512.0,0.175
513.0,0.176
514.0,0.177
515.0,0.178
516.0,0.179
517.0,0.181
518.0,0.182
519.0,0.183
520.0,0.184
521.0,0.186
522.0,0.187
523.0,0.189
524.0,0.190
525.0,0.192
526.0,0.193
527.0,0.195
528.0,0.196
529.0,0.198
530.0,0.199
531.0,0.201
532.0,0.202
533.0,0.204
534.0,0.205
535.0,0.207
536.0,0.209
537.0,0.211
538.0,0.213
539.0,0.214
540.0,0.215
541.0,0.217
542.0,0.218
543.0,0.220
544.0,0.222
545.0,0.223
546.0,0.225
547.0,0.226
548.0,0.228
549.0,0.229
550.0,0.231
551.0,0.232
552.0,0.233
553.0,0.235
554.0,0.236
555.0,0.237
556.0,0.238
557.0,0.239
558.0,0.240
559.0,0.241
560.0,0.242
561.0,0.243
562.0,0.244
563.0,0.244
564.0,0.245
565.0,0.247
566.0,0.248
567.0,0.249
568.0,0.250
569.0,0.251
570.0,0.252
571.0,0.253
572.0,0.254
573.0,0.255
574.0,0.256
575.0,0.257
576.0,0.258
577.0,0.259
578.0,0.259
579.0,0.260
580.0,0.261
581.0,0.262
582.0,0.263
583.0,0.264
584.0,0.265
585.0,0.266
586.0,0.267
587.0,0.268
588.0,0.269
589.0,0.270
590.0,0.270
591.0,0.271
592.0,0.272
593.0,0.273
594.0,0.274
595.0,0.275
596.0,0.276
597.0,0.277
598.0,0.278
599.0,0.278
600.0,0.279
601.0,0.280
602.0,0.281
603.0,0.282
604.0,0.283
605.0,0.283
606.0,0.284
607.0,0.285
608.0,0.286
609.0,0.286
610.0,0.287
611.0,0.288
612.0,0.289
613.0,0.290
614.0,0.291
615.0,0.292
616.0,0.293
617.0,0.293
618.0,0.294
619.0,0.295
620.0,0.296
621.0,0.297
622.0,0.298
623.0,0.298
624.0,0.299
625.0,0.300
626.0,0.301
627.0,0.302
628.0,0.302
629.0,0.303
630.0,0.304
631.0,0.305
632.0,0.306
633.0,0.306
634.0,0.308
635.0,0.309
636.0,0.310
637.0,0.311
638.0,0.312
639.0,0.312
640.0,0.313
641.0,0.314
642.0,0.315
643.0,0.316
644.0,0.317
645.0,0.317
646.0,0.318
647.0,0.319
648.0,0.320
649.0,0.321
650.0,0.322
651.0,0.323
652.0,0.324
653.0,0.325
654.0,0.326
655.0,0.328
656.0,0.329
657.0,0.330
658.0,0.331
659.0,0.332
660.0,0.333
661.0,0.334
662.0,0.335
663.0,0.337
664.0,0.337
665.0,0.338
666.0,0.339
667.0,0.340
668.0,0.342
669.0,0.343
670.0,0.344
671.0,0.345
672.0,0.346
673.0,0.347
674.0,0.348
675.0,0.350
676.0,0.351
677.0,0.352
678.0,0.353
679.0,0.354
680.0,0.355
681.0,0.356
682.0,0.357
683.0,0.359
684.0,0.360
685.0,0.361
686.0,0.362
687.0,0.363
688.0,0.364
689.0,0.365
690.0,0.366
691.0,0.367
692.0,0.368
693.0,0.369
694.0,0.369
695.0,0.370
696.0,0.371
697.0,0.372
698.0,0.372
699.0,0.372
700.0,0.373
701.0,0.374
702.0,0.375
703.0,0.376
704.0,0.376
705.0,0.376
706.0,0.376
707.0,0.377
708.0,0.377
709.0,0.377
710.0,0.378
711.0,0.377
712.0,0.377
713.0,0.377
714.0,0.377
715.0,0.377
716.0,0.378
717.0,0.378
718.0,0.378
719.0,0.377
720.0,0.376
721.0,0.376
722.0,0.375
723.0,0.375
724.0,0.374
725.0,0.374
726.0,0.374
727.0,0.373
728.0,0.372
729.0,0.372
730.0,0.371
731.0,0.370
732.0,0.369
733.0,0.369
734.0,0.369
735.0,0.367
736.0,0.367
737.0,0.366
738.0,0.365
739.0,0.364
740.0,0.364
741.0,0.363
742.0,0.361
743.0,0.361
744.0,0.360
745.0,0.359
746.0,0.358
747.0,0.357
748.0,0.356
749.0,0.355
750.0,0.354
751.0,0.353
752.0,0.353
753.0,0.352
754.0,0.351
755.0,0.351
756.0,0.350
757.0,0.350
758.0,0.349
759.0,0.349
760.0,0.348
761.0,0.348
762.0,0.347
763.0,0.347
764.0,0.346
765.0,0.346
766.0,0.345
767.0,0.344
768.0,0.344
769.0,0.344
770.0,0.344
771.0,0.344
772.0,0.344
773.0,0.344
774.0,0.343
775.0,0.343
776.0,0.343
777.0,0.343
778.0,0.344
779.0,0.344
780.0,0.345
781.0,0.344
782.0,0.344
783.0,0.344
784.0,0.344
785.0,0.345
786.0,0.346
787.0,0.347
788.0,0.347
789.0,0.347
790.0,0.348
791.0,0.349
792.0,0.350
793.0,0.351
794.0,0.352
795.0,0.353
796.0,0.354
797.0,0.355
798.0,0.356
799.0,0.357
800.0,0.358
801.0,0.359
802.0,0.360
803.0,0.361
804.0,0.363
805.0,0.364
806.0,0.365
807.0,0.367
808.0,0.369
809.0,0.371
810.0,0.372
811.0,0.373
812.0,0.374
813.0,0.376
814.0,0.378
815.0,0.379
816.0,0.381
817.0,0.383
818.0,0.385
819.0,0.388
820.0,0.390
821.0,0.392
822.0,0.393
823.0,0.395
824.0,0.397
825.0,0.399
826.0,0.401
827.0,0.403
828.0,0.405
829.0,0.407
830.0,0.410
831.0,0.412
832.0,0.414
833.0,0.416
834.0,0.418
835.0,0.421
836.0,0.423
837.0,0.425
838.0,0.427
839.0,0.429
840.0,0.432
841.0,0.435
842.0,0.437
843.0,0.438
844.0,0.440
845.0,0.442
846.0,0.445
847.0,0.447
848.0,0.450
849.0,0.451
850.0,0.453
851.0,0.455
852.0,0.458
853.0,0.460
854.0,0.463
855.0,0.464
856.0,0.465
857.0,0.467
858.0,0.469
859.0,0.472
860.0,0.474
861.0,0.475
862.0,0.477
863.0,0.478
864.0,0.481
865.0,0.483
866.0,0.484
867.0,0.485
868.0,0.487
869.0,0.488
870.0,0.490
871.0,0.491
872.0,0.492
873.0,0.492
874.0,0.494
875.0,0.495
876.0,0.496
877.0,0.497
878.0,0.497
879.0,0.497
880.0,0.498
881.0,0.499
882.0,0.499
883.0,0.499
884.0,0.500
885.0,0.500
886.0,0.500
887.0,0.499
888.0,0.499
889.0,0.499
890.0,0.498
891.0,0.497
892.0,0.497
893.0,0.496
894.0,0.495
895.0,0.494
896.0,0.493
897.0,0.492
898.0,0.490
899.0,0.489
900.0,0.487
901.0,0.485
902.0,0.483
903.0,0.481
904.0,0.479
905.0,0.477
906.0,0.475
907.0,0.472
908.0,0.469
909.0,0.466
910.0,0.463
911.0,0.460
912.0,0.457
913.0,0.454
914.0,0.450
915.0,0.447
916.0,0.443
917.0,0.440
918.0,0.436
919.0,0.433
920.0,0.429
921.0,0.424
922.0,0.420
923.0,0.416
924.0,0.412
925.0,0.408
926.0,0.403
927.0,0.399
928.0,0.395
929.0,0.390
