Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,25_25_09_2025
Sample ID
Option
Analyst
Date/Time:,09/25/2025 03:46:13 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.009
401.0,0.009
402.0,0.009
403.0,0.010
404.0,0.010
405.0,0.011
406.0,0.011
407.0,0.011
408.0,0.011
409.0,0.012
410.0,0.012
411.0,0.012
412.0,0.012
413.0,0.013
414.0,0.013
415.0,0.013
416.0,0.014
417.0,0.014
418.0,0.014
419.0,0.015
420.0,0.015
421.0,0.016
422.0,0.017
423.0,0.017
424.0,0.018
425.0,0.018
426.0,0.019
427.0,0.019
428.0,0.019
429.0,0.019
430.0,0.020
431.0,0.020
432.0,0.021
433.0,0.021
434.0,0.022
435.0,0.022
436.0,0.023
437.0,0.023
438.0,0.024
439.0,0.025
440.0,0.025
441.0,0.025
442.0,0.026
443.0,0.026
444.0,0.027
445.0,0.028
446.0,0.028
447.0,0.029
448.0,0.029
449.0,0.030
450.0,0.030
451.0,0.030
452.0,0.031
453.0,0.032
454.0,0.032
455.0,0.033
456.0,0.033
457.0,0.034
458.0,0.035
459.0,0.035
460.0,0.036
461.0,0.036
462.0,0.037
463.0,0.037
464.0,0.038
465.0,0.039
466.0,0.039
467.0,0.040
468.0,0.040
469.0,0.041
470.0,0.041
471.0,0.042
472.0,0.042
473.0,0.043
474.0,0.044
475.0,0.044
476.0,0.045
477.0,0.045
478.0,0.046
479.0,0.046
480.0,0.047
481.0,0.048
482.0,0.048
483.0,0.049
484.0,0.049
485.0,0.050
486.0,0.050
487.0,0.051
488.0,0.051
489.0,0.051
490.0,0.052
491.0,0.052
492.0,0.052
493.0,0.053
494.0,0.053
495.0,0.054
496.0,0.054
497.0,0.055
498.0,0.055
499.0,0.055
500.0,0.055
501.0,0.056
502.0,0.056
503.0,0.057
504.0,0.057
505.0,0.058
506.0,0.058
507.0,0.058
508.0,0.059
509.0,0.059
510.0,0.059
511.0,0.060
512.0,0.060
513.0,0.061
514.0,0.061
515.0,0.061
516.0,0.062
517.0,0.063
518.0,0.063
519.0,0.063
520.0,0.064
521.0,0.064
522.0,0.065
523.0,0.065
524.0,0.066
525.0,0.066
526.0,0.067
527.0,0.067
528.0,0.068
529.0,0.069
530.0,0.069
531.0,0.070
532.0,0.070
533.0,0.071
534.0,0.071
