Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R2_10-20_25_09_2025_Pt
Sample ID
Option
Analyst
Date/Time:,09/25/2025 04:32:04 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.072
401.0,0.071
402.0,0.070
403.0,0.069
404.0,0.068
405.0,0.067
406.0,0.067
407.0,0.067
408.0,0.067
409.0,0.067
410.0,0.067
411.0,0.067
412.0,0.068
413.0,0.069
414.0,0.070
415.0,0.071
416.0,0.072
417.0,0.073
418.0,0.074
419.0,0.076
420.0,0.077
421.0,0.079
422.0,0.081
423.0,0.082
424.0,0.084
425.0,0.086
426.0,0.088
427.0,0.090
428.0,0.092
429.0,0.095
430.0,0.097
431.0,0.100
432.0,0.103
433.0,0.106
434.0,0.108
435.0,0.111
436.0,0.114
437.0,0.116
438.0,0.119
439.0,0.122
440.0,0.125
441.0,0.127
442.0,0.130
443.0,0.133
444.0,0.136
445.0,0.139
446.0,0.142
447.0,0.145
448.0,0.148
449.0,0.151
450.0,0.154
451.0,0.157
452.0,0.160
453.0,0.164
454.0,0.167
455.0,0.171
456.0,0.174
457.0,0.177
458.0,0.180
459.0,0.183
460.0,0.186
461.0,0.189
462.0,0.192
463.0,0.196
464.0,0.199
465.0,0.202
466.0,0.205
467.0,0.208
468.0,0.211
469.0,0.214
470.0,0.217
471.0,0.220
472.0,0.223
473.0,0.226
474.0,0.229
475.0,0.232
476.0,0.235
477.0,0.238
478.0,0.240
479.0,0.243
480.0,0.246
481.0,0.249
482.0,0.252
483.0,0.255
484.0,0.258
485.0,0.260
486.0,0.262
487.0,0.265
488.0,0.268
489.0,0.270
490.0,0.272
491.0,0.275
492.0,0.277
493.0,0.280
494.0,0.282
495.0,0.284
496.0,0.287
497.0,0.290
498.0,0.292
499.0,0.294
500.0,0.296
501.0,0.299
502.0,0.301
503.0,0.303
504.0,0.306
505.0,0.308
506.0,0.310
507.0,0.313
508.0,0.315
509.0,0.317
510.0,0.319
511.0,0.321
512.0,0.324
513.0,0.326
514.0,0.328
515.0,0.331
516.0,0.333
517.0,0.335
518.0,0.337
519.0,0.339
520.0,0.342
521.0,0.344
522.0,0.346
523.0,0.349
524.0,0.352
525.0,0.354
526.0,0.357
527.0,0.359
528.0,0.361
529.0,0.364
530.0,0.366
531.0,0.368
532.0,0.371
533.0,0.373
534.0,0.376
535.0,0.378
536.0,0.380
537.0,0.383
538.0,0.385
539.0,0.388
540.0,0.390
541.0,0.393
542.0,0.395
543.0,0.398
544.0,0.400
545.0,0.402
546.0,0.405
547.0,0.407
548.0,0.410
549.0,0.412
550.0,0.414
551.0,0.417
552.0,0.420
553.0,0.422
554.0,0.424
555.0,0.426
556.0,0.428
557.0,0.431
558.0,0.433
559.0,0.435
560.0,0.437
561.0,0.439
562.0,0.442
563.0,0.444
564.0,0.446
565.0,0.449
566.0,0.451
567.0,0.453
568.0,0.456
569.0,0.458
570.0,0.461
571.0,0.463
572.0,0.465
573.0,0.468
574.0,0.470
575.0,0.473
576.0,0.475
577.0,0.477
578.0,0.480
579.0,0.482
580.0,0.484
581.0,0.487
582.0,0.490
583.0,0.492
584.0,0.494
585.0,0.496
586.0,0.499
587.0,0.501
588.0,0.504
589.0,0.506
590.0,0.509
591.0,0.511
592.0,0.514
593.0,0.516
594.0,0.519
595.0,0.521
596.0,0.524
597.0,0.527
598.0,0.529
599.0,0.532
600.0,0.534
601.0,0.537
602.0,0.539
603.0,0.542
604.0,0.544
605.0,0.547
606.0,0.549
607.0,0.552
608.0,0.554
609.0,0.557
610.0,0.560
611.0,0.562
612.0,0.565
613.0,0.567
614.0,0.570
615.0,0.573
616.0,0.576
617.0,0.578
618.0,0.581
619.0,0.584
620.0,0.586
621.0,0.589
622.0,0.591
623.0,0.594
624.0,0.596
625.0,0.599
626.0,0.602
627.0,0.604
628.0,0.607
629.0,0.609
630.0,0.612
631.0,0.615
632.0,0.617
633.0,0.620
634.0,0.622
635.0,0.624
636.0,0.627
637.0,0.631
638.0,0.633
639.0,0.635
640.0,0.637
641.0,0.640
642.0,0.642
643.0,0.645
644.0,0.647
645.0,0.650
646.0,0.652
647.0,0.655
648.0,0.657
649.0,0.660
650.0,0.663
651.0,0.665
652.0,0.667
653.0,0.670
654.0,0.672
655.0,0.675
656.0,0.677
657.0,0.680
658.0,0.682
659.0,0.685
660.0,0.687
661.0,0.690
662.0,0.693
663.0,0.695
664.0,0.697
665.0,0.699
666.0,0.702
667.0,0.704
668.0,0.707
669.0,0.709
670.0,0.711
671.0,0.713
672.0,0.716
673.0,0.717
674.0,0.720
675.0,0.722
676.0,0.725
677.0,0.727
678.0,0.729
679.0,0.732
680.0,0.734
681.0,0.736
682.0,0.739
683.0,0.741
684.0,0.744
685.0,0.745
686.0,0.747
687.0,0.749
688.0,0.751
689.0,0.753
690.0,0.755
691.0,0.757
692.0,0.759
693.0,0.761
694.0,0.763
695.0,0.765
696.0,0.766
697.0,0.768
698.0,0.770
699.0,0.772
700.0,0.774
701.0,0.776
702.0,0.778
703.0,0.779
704.0,0.780
705.0,0.783
706.0,0.784
707.0,0.786
708.0,0.788
709.0,0.789
710.0,0.790
711.0,0.791
712.0,0.792
713.0,0.794
714.0,0.796
715.0,0.798
716.0,0.799
717.0,0.801
718.0,0.802
719.0,0.802
720.0,0.803
721.0,0.805
722.0,0.807
723.0,0.808
724.0,0.808
725.0,0.810
726.0,0.811
727.0,0.813
728.0,0.814
729.0,0.816
730.0,0.817
731.0,0.818
732.0,0.819
733.0,0.821
734.0,0.823
735.0,0.824
736.0,0.825
737.0,0.826
738.0,0.828
739.0,0.829
740.0,0.830
741.0,0.832
742.0,0.833
743.0,0.835
744.0,0.836
745.0,0.838
746.0,0.840
747.0,0.841
748.0,0.843
749.0,0.845
750.0,0.847
751.0,0.847
752.0,0.849
753.0,0.852
754.0,0.854
755.0,0.856
756.0,0.858
757.0,0.860
758.0,0.863
759.0,0.865
760.0,0.867
761.0,0.869
762.0,0.871
763.0,0.874
764.0,0.876
765.0,0.878
766.0,0.881
767.0,0.883
768.0,0.885
769.0,0.888
770.0,0.891
771.0,0.894
772.0,0.897
773.0,0.900
774.0,0.903
775.0,0.906
776.0,0.909
777.0,0.911
778.0,0.914
779.0,0.917
780.0,0.922
781.0,0.925
782.0,0.929
783.0,0.931
784.0,0.935
785.0,0.937
786.0,0.941
787.0,0.946
788.0,0.950
789.0,0.953
790.0,0.956
791.0,0.960
792.0,0.964
793.0,0.968
794.0,0.972
795.0,0.975
796.0,0.979
797.0,0.983
798.0,0.987
799.0,0.992
800.0,0.996
801.0,0.999
802.0,1.001
803.0,1.004
804.0,1.008
805.0,1.012
806.0,1.017
807.0,1.021
808.0,1.025
809.0,1.028
810.0,1.031
811.0,1.035
812.0,1.038
813.0,1.042
814.0,1.046
815.0,1.048
816.0,1.052
817.0,1.055
818.0,1.059
819.0,1.062
820.0,1.066
821.0,1.069
822.0,1.073
823.0,1.076
824.0,1.080
825.0,1.082
826.0,1.085
827.0,1.087
828.0,1.089
829.0,1.091
830.0,1.095
831.0,1.097
832.0,1.098
833.0,1.100
834.0,1.103
835.0,1.106
836.0,1.106
837.0,1.108
838.0,1.110
839.0,1.110
840.0,1.112
841.0,1.116
842.0,1.118
843.0,1.118
844.0,1.120
845.0,1.123
