Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,75_25_09_2025
Sample ID
Option
Analyst
Date/Time:,09/25/2025 03:52:06 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.025
401.0,0.025
402.0,0.025
403.0,0.025
404.0,0.025
405.0,0.026
406.0,0.026
407.0,0.026
408.0,0.026
409.0,0.027
410.0,0.027
411.0,0.027
412.0,0.027
413.0,0.028
414.0,0.029
415.0,0.029
416.0,0.029
417.0,0.029
418.0,0.029
419.0,0.030
420.0,0.031
421.0,0.031
422.0,0.032
423.0,0.032
424.0,0.032
425.0,0.033
426.0,0.033
427.0,0.034
428.0,0.034
429.0,0.035
430.0,0.035
431.0,0.036
432.0,0.037
433.0,0.037
434.0,0.038
435.0,0.038
436.0,0.039
437.0,0.040
438.0,0.041
439.0,0.041
440.0,0.042
441.0,0.042
442.0,0.042
443.0,0.043
444.0,0.044
445.0,0.045
446.0,0.046
447.0,0.047
448.0,0.047
449.0,0.048
450.0,0.048
451.0,0.049
452.0,0.050
453.0,0.051
454.0,0.052
455.0,0.053
456.0,0.054
457.0,0.054
458.0,0.055
459.0,0.056
460.0,0.057
461.0,0.058
462.0,0.058
463.0,0.059
464.0,0.060
465.0,0.061
466.0,0.062
467.0,0.062
468.0,0.063
469.0,0.064
470.0,0.064
471.0,0.065
472.0,0.066
473.0,0.067
474.0,0.068
475.0,0.069
476.0,0.069
477.0,0.070
478.0,0.071
479.0,0.072
480.0,0.073
481.0,0.074
482.0,0.075
483.0,0.075
484.0,0.076
485.0,0.076
486.0,0.077
487.0,0.078
488.0,0.078
489.0,0.079
490.0,0.079
491.0,0.080
492.0,0.080
493.0,0.081
494.0,0.082
495.0,0.082
496.0,0.083
497.0,0.083
498.0,0.084
499.0,0.084
500.0,0.085
501.0,0.085
502.0,0.086
503.0,0.087
504.0,0.087
505.0,0.088
506.0,0.088
507.0,0.089
508.0,0.089
509.0,0.090
510.0,0.090
511.0,0.091
512.0,0.092
513.0,0.092
514.0,0.092
515.0,0.093
516.0,0.094
517.0,0.095
518.0,0.095
519.0,0.096
520.0,0.096
521.0,0.097
522.0,0.098
523.0,0.099
524.0,0.100
525.0,0.101
526.0,0.101
527.0,0.102
528.0,0.103
529.0,0.104
530.0,0.105
531.0,0.105
532.0,0.106
533.0,0.107
534.0,0.108
535.0,0.109
536.0,0.109
537.0,0.111
538.0,0.111
539.0,0.112
540.0,0.113
541.0,0.113
542.0,0.114
543.0,0.115
544.0,0.116
545.0,0.117
546.0,0.117
547.0,0.118
548.0,0.119
549.0,0.120
550.0,0.120
551.0,0.121
552.0,0.122
553.0,0.123
554.0,0.123
555.0,0.124
556.0,0.124
557.0,0.125
558.0,0.125
559.0,0.126
560.0,0.126
561.0,0.127
562.0,0.127
563.0,0.128
564.0,0.128
565.0,0.129
566.0,0.129
567.0,0.130
568.0,0.130
569.0,0.130
570.0,0.131
571.0,0.131
572.0,0.132
573.0,0.132
574.0,0.133
575.0,0.133
576.0,0.134
577.0,0.134
578.0,0.134
579.0,0.135
580.0,0.135
581.0,0.135
582.0,0.136
583.0,0.137
584.0,0.137
585.0,0.137
586.0,0.138
587.0,0.138
588.0,0.139
589.0,0.139
590.0,0.139
591.0,0.140
592.0,0.140
593.0,0.141
594.0,0.141
595.0,0.142
596.0,0.142
597.0,0.142
598.0,0.143
599.0,0.143
600.0,0.144
601.0,0.144
602.0,0.145
603.0,0.145
604.0,0.145
605.0,0.146
606.0,0.146
607.0,0.147
608.0,0.147
609.0,0.147
610.0,0.147
611.0,0.148
612.0,0.148
613.0,0.148
614.0,0.149
615.0,0.149
616.0,0.150
617.0,0.150
618.0,0.151
619.0,0.151
620.0,0.151
621.0,0.152
622.0,0.152
623.0,0.153
624.0,0.153
625.0,0.154
626.0,0.154
627.0,0.154
628.0,0.155
629.0,0.155
630.0,0.156
631.0,0.156
632.0,0.156
633.0,0.157
634.0,0.157
635.0,0.158
636.0,0.159
637.0,0.159
638.0,0.160
639.0,0.160
640.0,0.160
641.0,0.161
642.0,0.161
643.0,0.162
644.0,0.162
645.0,0.163
646.0,0.163
647.0,0.164
648.0,0.164
649.0,0.165
650.0,0.165
651.0,0.166
652.0,0.166
653.0,0.166
654.0,0.167
655.0,0.168
656.0,0.169
657.0,0.169
658.0,0.170
659.0,0.170
660.0,0.171
661.0,0.171
662.0,0.172
663.0,0.173
664.0,0.173
665.0,0.174
666.0,0.175
667.0,0.176
668.0,0.176
669.0,0.177
670.0,0.177
671.0,0.178
672.0,0.178
673.0,0.179
674.0,0.179
675.0,0.180
676.0,0.181
677.0,0.182
678.0,0.182
679.0,0.183
680.0,0.183
681.0,0.184
682.0,0.185
683.0,0.185
684.0,0.186
685.0,0.187
686.0,0.187
687.0,0.188
688.0,0.188
689.0,0.189
690.0,0.190
691.0,0.190
692.0,0.190
693.0,0.191
694.0,0.191
695.0,0.192
696.0,0.192
697.0,0.192
698.0,0.193
699.0,0.193
700.0,0.194
701.0,0.194
702.0,0.194
703.0,0.194
704.0,0.194
705.0,0.194
706.0,0.194
707.0,0.195
708.0,0.195
709.0,0.195
710.0,0.195
711.0,0.195
712.0,0.195
713.0,0.195
714.0,0.195
715.0,0.195
716.0,0.195
717.0,0.195
718.0,0.195
719.0,0.194
720.0,0.194
721.0,0.194
722.0,0.193
723.0,0.193
724.0,0.192
725.0,0.192
726.0,0.192
727.0,0.191
728.0,0.191
729.0,0.192
730.0,0.191
731.0,0.190
732.0,0.190
733.0,0.189
734.0,0.190
735.0,0.188
736.0,0.188
737.0,0.187
738.0,0.187
739.0,0.187
740.0,0.185
741.0,0.185
742.0,0.184
743.0,0.184
744.0,0.183
745.0,0.182
746.0,0.182
747.0,0.181
748.0,0.181
749.0,0.180
750.0,0.179
751.0,0.179
752.0,0.179
753.0,0.178
754.0,0.178
755.0,0.177
756.0,0.177
757.0,0.177
758.0,0.177
759.0,0.176
760.0,0.176
761.0,0.175
762.0,0.175
763.0,0.175
764.0,0.175
765.0,0.174
766.0,0.174
767.0,0.173
768.0,0.173
769.0,0.173
770.0,0.172
771.0,0.172
772.0,0.172
773.0,0.172
774.0,0.172
775.0,0.172
776.0,0.173
777.0,0.173
778.0,0.173
779.0,0.173
780.0,0.173
781.0,0.173
782.0,0.173
783.0,0.173
784.0,0.173
785.0,0.174
786.0,0.174
787.0,0.175
788.0,0.176
789.0,0.176
790.0,0.176
791.0,0.176
792.0,0.177
793.0,0.177
794.0,0.178
795.0,0.178
796.0,0.178
797.0,0.178
798.0,0.179
799.0,0.180
800.0,0.181
801.0,0.182
802.0,0.182
803.0,0.183
804.0,0.184
805.0,0.185
806.0,0.186
807.0,0.187
808.0,0.188
809.0,0.189
810.0,0.189
811.0,0.190
812.0,0.191
813.0,0.191
814.0,0.192
815.0,0.193
816.0,0.194
817.0,0.195
818.0,0.196
819.0,0.198
820.0,0.199
821.0,0.201
822.0,0.201
823.0,0.202
824.0,0.203
825.0,0.205
826.0,0.206
827.0,0.208
828.0,0.209
829.0,0.210
830.0,0.212
831.0,0.213
832.0,0.214
833.0,0.215
834.0,0.217
835.0,0.218
836.0,0.220
837.0,0.221
838.0,0.222
839.0,0.224
840.0,0.225
841.0,0.226
842.0,0.228
843.0,0.229
844.0,0.230
845.0,0.231
846.0,0.232
847.0,0.234
848.0,0.235
849.0,0.237
850.0,0.238
851.0,0.239
852.0,0.240
853.0,0.242
854.0,0.243
855.0,0.244
856.0,0.245
857.0,0.246
858.0,0.248
859.0,0.249
860.0,0.250
861.0,0.251
862.0,0.252
863.0,0.253
864.0,0.254
865.0,0.256
866.0,0.257
867.0,0.258
868.0,0.259
869.0,0.260
870.0,0.261
871.0,0.262
872.0,0.263
873.0,0.264
874.0,0.265
875.0,0.265
876.0,0.265
877.0,0.266
878.0,0.266
879.0,0.267
880.0,0.268
881.0,0.268
882.0,0.269
883.0,0.269
884.0,0.269
885.0,0.269
886.0,0.269
887.0,0.269
888.0,0.270
889.0,0.270
890.0,0.270
891.0,0.269
892.0,0.269
893.0,0.269
894.0,0.268
895.0,0.268
896.0,0.267
897.0,0.267
898.0,0.266
899.0,0.265
900.0,0.264
901.0,0.263
902.0,0.262
903.0,0.261
904.0,0.260
905.0,0.259
906.0,0.258
907.0,0.257
908.0,0.255
909.0,0.253
910.0,0.252
911.0,0.250
912.0,0.249
913.0,0.247
914.0,0.245
915.0,0.243
916.0,0.241
917.0,0.239
918.0,0.237
919.0,0.235
920.0,0.233
921.0,0.231
922.0,0.228
923.0,0.226
924.0,0.224
925.0,0.221
926.0,0.219
927.0,0.216
928.0,0.214
929.0,0.211
930.0,0.209
931.0,0.206
932.0,0.204
933.0,0.201
934.0,0.198
935.0,0.196
936.0,0.193
937.0,0.191
938.0,0.188
939.0,0.185
940.0,0.183
941.0,0.180
942.0,0.177
943.0,0.174
944.0,0.172
945.0,0.169
946.0,0.167
947.0,0.164
948.0,0.162
949.0,0.159
950.0,0.157
951.0,0.155
952.0,0.152
953.0,0.149
954.0,0.147
955.0,0.144
956.0,0.142
957.0,0.140
958.0,0.138
959.0,0.135
960.0,0.133
961.0,0.131
962.0,0.129
963.0,0.127
964.0,0.125
965.0,0.123
966.0,0.121
967.0,0.119
968.0,0.117
969.0,0.115
970.0,0.114
971.0,0.112
972.0,0.110
973.0,0.108
974.0,0.107
975.0,0.105
976.0,0.104
977.0,0.102
978.0,0.100
979.0,0.099
980.0,0.097
981.0,0.096
982.0,0.095
983.0,0.093
984.0,0.092
985.0,0.090
986.0,0.089
987.0,0.088
988.0,0.087
989.0,0.085
990.0,0.084
991.0,0.083
992.0,0.082
993.0,0.081
994.0,0.080
995.0,0.079
996.0,0.078
997.0,0.077
998.0,0.076
999.0,0.075
1000.0,0.074
1001.0,0.073
1002.0,0.072
1003.0,0.071
1004.0,0.070
1005.0,0.069
1006.0,0.068
1007.0,0.068
1008.0,0.067
1009.0,0.066
1010.0,0.065
1011.0,0.065
1012.0,0.064
1013.0,0.063
1014.0,0.062
1015.0,0.062
1016.0,0.061
1017.0,0.060
1018.0,0.059
1019.0,0.059
1020.0,0.058
1021.0,0.058
1022.0,0.057
1023.0,0.057
1024.0,0.056
1025.0,0.055
1026.0,0.055
1027.0,0.054
1028.0,0.054
1029.0,0.053
1030.0,0.052
1031.0,0.052
1032.0,0.051
1033.0,0.051
1034.0,0.051
1035.0,0.050
1036.0,0.050
1037.0,0.049
1038.0,0.049
1039.0,0.048
1040.0,0.048
1041.0,0.047
1042.0,0.047
1043.0,0.047
1044.0,0.046
1045.0,0.046
1046.0,0.045
1047.0,0.045
1048.0,0.045
1049.0,0.044
1050.0,0.044
1051.0,0.044
1052.0,0.043
1053.0,0.043
1054.0,0.042
1055.0,0.042
1056.0,0.042
1057.0,0.042
1058.0,0.041
1059.0,0.041
1060.0,0.041
1061.0,0.040
1062.0,0.040
1063.0,0.040
1064.0,0.039
1065.0,0.039
1066.0,0.039
1067.0,0.039
1068.0,0.038
1069.0,0.038
1070.0,0.038
1071.0,0.037
1072.0,0.037
1073.0,0.037
1074.0,0.037
1075.0,0.037
1076.0,0.036
1077.0,0.036
1078.0,0.036
1079.0,0.036
1080.0,0.035
1081.0,0.035
1082.0,0.035
1083.0,0.035
1084.0,0.035
1085.0,0.034
1086.0,0.034
1087.0,0.034
1088.0,0.034
1089.0,0.033
1090.0,0.033
1091.0,0.033
1092.0,0.033
1093.0,0.033
1094.0,0.032
1095.0,0.032
1096.0,0.032
1097.0,0.032
1098.0,0.032
1099.0,0.032
1100.0,0.032
