Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,5_26_09_2025_diluida_1_1
Sample ID
Option
Analyst
Date/Time:,09/26/2025 12:16:22 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.120
401.0,0.120
402.0,0.120
403.0,0.119
404.0,0.119
405.0,0.119
406.0,0.119
407.0,0.119
408.0,0.119
409.0,0.119
410.0,0.119
411.0,0.120
412.0,0.120
413.0,0.120
414.0,0.120
415.0,0.120
416.0,0.120
417.0,0.120
418.0,0.120
419.0,0.121
420.0,0.121
421.0,0.121
422.0,0.121
423.0,0.122
424.0,0.122
425.0,0.123
426.0,0.123
427.0,0.123
428.0,0.124
429.0,0.124
430.0,0.124
431.0,0.125
432.0,0.125
433.0,0.126
434.0,0.127
435.0,0.127
436.0,0.128
437.0,0.128
438.0,0.129
439.0,0.130
440.0,0.131
441.0,0.131
442.0,0.132
443.0,0.132
444.0,0.133
445.0,0.134
446.0,0.135
447.0,0.136
448.0,0.137
449.0,0.138
450.0,0.139
451.0,0.140
452.0,0.140
453.0,0.141
454.0,0.143
455.0,0.144
456.0,0.145
457.0,0.146
458.0,0.147
459.0,0.147
460.0,0.149
461.0,0.150
462.0,0.151
463.0,0.152
464.0,0.153
465.0,0.154
466.0,0.155
467.0,0.156
468.0,0.158
469.0,0.158
470.0,0.160
471.0,0.161
472.0,0.162
473.0,0.163
474.0,0.164
475.0,0.165
476.0,0.166
477.0,0.167
478.0,0.169
479.0,0.170
480.0,0.171
481.0,0.172
482.0,0.173
483.0,0.174
484.0,0.175
485.0,0.176
486.0,0.177
487.0,0.178
488.0,0.179
489.0,0.180
490.0,0.181
491.0,0.182
492.0,0.183
493.0,0.184
494.0,0.185
495.0,0.186
496.0,0.187
497.0,0.188
498.0,0.189
499.0,0.190
500.0,0.191
501.0,0.192
502.0,0.193
503.0,0.194
504.0,0.195
505.0,0.196
506.0,0.197
507.0,0.198
508.0,0.199
509.0,0.200
510.0,0.201
511.0,0.202
512.0,0.203
513.0,0.204
514.0,0.205
515.0,0.206
516.0,0.207
517.0,0.208
518.0,0.209
519.0,0.210
520.0,0.212
521.0,0.213
522.0,0.214
523.0,0.215
524.0,0.217
525.0,0.218
526.0,0.219
527.0,0.221
528.0,0.222
529.0,0.223
530.0,0.224
531.0,0.226
532.0,0.227
533.0,0.228
534.0,0.229
535.0,0.230
536.0,0.231
537.0,0.233
538.0,0.235
539.0,0.236
540.0,0.237
541.0,0.238
542.0,0.240
543.0,0.241
544.0,0.242
545.0,0.244
546.0,0.245
547.0,0.246
548.0,0.247
549.0,0.249
550.0,0.250
551.0,0.251
552.0,0.253
553.0,0.254
554.0,0.255
555.0,0.257
556.0,0.258
557.0,0.259
558.0,0.260
559.0,0.261
560.0,0.262
561.0,0.263
562.0,0.264
563.0,0.266
564.0,0.267
565.0,0.268
566.0,0.269
567.0,0.270
568.0,0.272
569.0,0.273
570.0,0.275
571.0,0.275
572.0,0.276
573.0,0.278
574.0,0.279
575.0,0.280
576.0,0.281
577.0,0.282
578.0,0.283
579.0,0.285
580.0,0.286
581.0,0.287
582.0,0.288
583.0,0.289
584.0,0.291
585.0,0.292
586.0,0.293
587.0,0.294
588.0,0.296
589.0,0.297
590.0,0.298
591.0,0.299
592.0,0.300
593.0,0.301
594.0,0.302
595.0,0.304
596.0,0.305
597.0,0.306
598.0,0.307
599.0,0.309
600.0,0.309
601.0,0.310
602.0,0.312
603.0,0.313
604.0,0.314
605.0,0.315
606.0,0.316
607.0,0.317
608.0,0.318
609.0,0.319
610.0,0.320
611.0,0.321
612.0,0.322
613.0,0.323
614.0,0.325
615.0,0.326
616.0,0.327
617.0,0.328
618.0,0.329
619.0,0.330
620.0,0.330
621.0,0.331
622.0,0.332
623.0,0.333
624.0,0.334
625.0,0.335
626.0,0.336
627.0,0.337
628.0,0.338
629.0,0.339
630.0,0.340
631.0,0.340
632.0,0.341
633.0,0.342
634.0,0.343
635.0,0.344
636.0,0.345
637.0,0.346
638.0,0.347
639.0,0.348
640.0,0.348
641.0,0.348
642.0,0.349
643.0,0.350
644.0,0.351
645.0,0.351
646.0,0.351
647.0,0.352
648.0,0.353
649.0,0.354
650.0,0.354
651.0,0.356
652.0,0.356
653.0,0.357
654.0,0.357
655.0,0.357
656.0,0.358
657.0,0.359
658.0,0.360
659.0,0.360
660.0,0.361
661.0,0.361
662.0,0.362
663.0,0.362
664.0,0.363
665.0,0.364
666.0,0.364
667.0,0.364
668.0,0.365
669.0,0.365
670.0,0.366
671.0,0.367
672.0,0.367
673.0,0.367
674.0,0.367
675.0,0.369
676.0,0.370
677.0,0.370
678.0,0.370
679.0,0.369
680.0,0.369
681.0,0.369
682.0,0.370
683.0,0.371
684.0,0.372
685.0,0.372
686.0,0.373
687.0,0.373
688.0,0.375
689.0,0.375
690.0,0.375
691.0,0.374
692.0,0.374
693.0,0.374
694.0,0.374
695.0,0.375
696.0,0.375
697.0,0.375
698.0,0.375
699.0,0.375
700.0,0.375
701.0,0.376
702.0,0.375
703.0,0.376
704.0,0.376
705.0,0.377
706.0,0.376
707.0,0.375
708.0,0.375
709.0,0.374
710.0,0.375
711.0,0.375
712.0,0.375
713.0,0.374
714.0,0.374
715.0,0.374
716.0,0.374
717.0,0.374
718.0,0.373
719.0,0.373
720.0,0.373
721.0,0.372
722.0,0.372
723.0,0.371
724.0,0.371
725.0,0.370
726.0,0.370
727.0,0.369
728.0,0.368
729.0,0.368
730.0,0.367
731.0,0.367
732.0,0.366
733.0,0.365
734.0,0.365
735.0,0.365
736.0,0.365
737.0,0.365
738.0,0.363
739.0,0.360
740.0,0.359
741.0,0.359
742.0,0.359
743.0,0.358
744.0,0.358
745.0,0.357
746.0,0.356
747.0,0.354
748.0,0.353
749.0,0.353
750.0,0.351
751.0,0.352
752.0,0.351
753.0,0.350
754.0,0.348
755.0,0.347
756.0,0.346
757.0,0.346
758.0,0.344
759.0,0.344
760.0,0.342
761.0,0.342
762.0,0.340
763.0,0.340
764.0,0.339
765.0,0.339
766.0,0.338
767.0,0.337
768.0,0.336
769.0,0.334
770.0,0.334
771.0,0.333
772.0,0.333
773.0,0.332
774.0,0.332
775.0,0.330
776.0,0.329
777.0,0.328
778.0,0.328
779.0,0.329
780.0,0.328
781.0,0.327
782.0,0.325
783.0,0.323
784.0,0.323
785.0,0.323
786.0,0.323
787.0,0.322
788.0,0.322
789.0,0.322
790.0,0.323
791.0,0.323
792.0,0.321
793.0,0.320
794.0,0.320
795.0,0.321
796.0,0.319
797.0,0.318
798.0,0.317
799.0,0.316
800.0,0.317
801.0,0.316
802.0,0.317
803.0,0.317
804.0,0.316
805.0,0.316
806.0,0.316
807.0,0.318
808.0,0.318
809.0,0.319
810.0,0.318
811.0,0.318
812.0,0.317
813.0,0.319
814.0,0.319
815.0,0.321
816.0,0.319
817.0,0.318
818.0,0.317
819.0,0.318
820.0,0.319
821.0,0.320
822.0,0.322
823.0,0.322
824.0,0.322
825.0,0.322
826.0,0.322
827.0,0.320
828.0,0.322
829.0,0.322
830.0,0.325
831.0,0.324
832.0,0.325
833.0,0.326
834.0,0.327
835.0,0.327
836.0,0.327
837.0,0.329
838.0,0.332
839.0,0.334
840.0,0.334
841.0,0.332
842.0,0.334
843.0,0.334
844.0,0.335
845.0,0.335
846.0,0.335
847.0,0.338
848.0,0.339
849.0,0.342
850.0,0.342
851.0,0.341
852.0,0.342
853.0,0.344
854.0,0.348
855.0,0.348
856.0,0.349
857.0,0.350
858.0,0.351
859.0,0.352
860.0,0.352
861.0,0.355
862.0,0.356
863.0,0.358
864.0,0.357
865.0,0.358
866.0,0.360
867.0,0.362
868.0,0.364
869.0,0.365
870.0,0.366
871.0,0.366
872.0,0.367
873.0,0.368
874.0,0.369
875.0,0.371
876.0,0.372
877.0,0.373
878.0,0.374
879.0,0.375
880.0,0.377
881.0,0.376
882.0,0.376
883.0,0.377
884.0,0.379
885.0,0.381
886.0,0.381
887.0,0.381
888.0,0.382
889.0,0.382
890.0,0.384
891.0,0.383
892.0,0.384
893.0,0.384
894.0,0.385
895.0,0.386
896.0,0.385
897.0,0.386
898.0,0.387
899.0,0.387
900.0,0.387
901.0,0.387
902.0,0.386
903.0,0.386
904.0,0.386
905.0,0.386
906.0,0.385
907.0,0.384
908.0,0.384
909.0,0.383
910.0,0.384
911.0,0.384
912.0,0.383
913.0,0.381
914.0,0.380
915.0,0.380
916.0,0.380
917.0,0.379
918.0,0.378
919.0,0.377
920.0,0.376
921.0,0.374
922.0,0.373
923.0,0.373
924.0,0.372
925.0,0.371
926.0,0.369
927.0,0.369
928.0,0.367
929.0,0.365
930.0,0.364
931.0,0.363
932.0,0.363
933.0,0.361
934.0,0.360
935.0,0.358
936.0,0.357
937.0,0.356
938.0,0.355
939.0,0.353
940.0,0.352
941.0,0.349
942.0,0.348
943.0,0.347
944.0,0.345
945.0,0.344
946.0,0.342
947.0,0.341
948.0,0.340
949.0,0.338
950.0,0.337
951.0,0.336
952.0,0.334
953.0,0.333
954.0,0.332
955.0,0.331
956.0,0.329
957.0,0.328
958.0,0.327
959.0,0.325
960.0,0.324
961.0,0.322
962.0,0.322
963.0,0.321
964.0,0.320
965.0,0.319
966.0,0.318
967.0,0.317
968.0,0.315
969.0,0.314
970.0,0.313
971.0,0.312
972.0,0.312
973.0,0.311
974.0,0.310
975.0,0.308
976.0,0.307
977.0,0.306
978.0,0.306
979.0,0.305
980.0,0.304
981.0,0.303
982.0,0.303
983.0,0.302
984.0,0.301
985.0,0.300
986.0,0.299
987.0,0.298
988.0,0.298
989.0,0.297
990.0,0.296
991.0,0.296
992.0,0.296
993.0,0.295
994.0,0.294
995.0,0.293
996.0,0.293
997.0,0.292
998.0,0.292
999.0,0.291
1000.0,0.290
1001.0,0.290
1002.0,0.290
1003.0,0.289
1004.0,0.289
1005.0,0.288
1006.0,0.288
1007.0,0.287
1008.0,0.286
1009.0,0.286
1010.0,0.285
1011.0,0.285
1012.0,0.285
1013.0,0.285
1014.0,0.284
1015.0,0.284
1016.0,0.283
1017.0,0.283
1018.0,0.282
1019.0,0.282
1020.0,0.282
1021.0,0.281
1022.0,0.281
1023.0,0.280
1024.0,0.280
1025.0,0.280
1026.0,0.280
1027.0,0.280
1028.0,0.279
1029.0,0.279
1030.0,0.278
1031.0,0.278
1032.0,0.278
1033.0,0.277
1034.0,0.277
1035.0,0.277
1036.0,0.277
1037.0,0.277
1038.0,0.276
1039.0,0.276
1040.0,0.276
1041.0,0.275
1042.0,0.275
1043.0,0.275
1044.0,0.275
1045.0,0.274
1046.0,0.274
1047.0,0.273
1048.0,0.273
1049.0,0.273
1050.0,0.273
1051.0,0.272
1052.0,0.272
1053.0,0.272
1054.0,0.272
1055.0,0.272
1056.0,0.272
1057.0,0.271
1058.0,0.271
1059.0,0.270
1060.0,0.270
1061.0,0.270
1062.0,0.270
1063.0,0.270
1064.0,0.270
1065.0,0.269
1066.0,0.269
1067.0,0.269
1068.0,0.269
1069.0,0.269
1070.0,0.269
1071.0,0.268
1072.0,0.268
1073.0,0.268
1074.0,0.268
1075.0,0.268
1076.0,0.268
1077.0,0.268
