Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_Pi_amostra_P2_0-10_26_09_2025
Sample ID
Option
Analyst
Date/Time:,09/26/2025 01:20:49 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.515
401.0,0.510
402.0,0.503
403.0,0.497
404.0,0.491
405.0,0.485
406.0,0.480
407.0,0.474
408.0,0.467
409.0,0.461
410.0,0.455
411.0,0.450
412.0,0.444
413.0,0.438
414.0,0.433
415.0,0.428
416.0,0.423
417.0,0.418
418.0,0.413
419.0,0.408
420.0,0.403
421.0,0.399
422.0,0.394
423.0,0.390
424.0,0.385
425.0,0.381
426.0,0.376
427.0,0.372
428.0,0.367
429.0,0.363
430.0,0.359
431.0,0.356
432.0,0.351
433.0,0.347
434.0,0.343
435.0,0.339
436.0,0.335
437.0,0.332
438.0,0.329
439.0,0.326
440.0,0.323
441.0,0.319
442.0,0.316
443.0,0.313
444.0,0.310
445.0,0.307
446.0,0.304
447.0,0.301
448.0,0.299
449.0,0.296
450.0,0.294
451.0,0.291
452.0,0.288
453.0,0.285
454.0,0.283
455.0,0.281
456.0,0.279
457.0,0.277
458.0,0.274
459.0,0.272
460.0,0.270
461.0,0.268
462.0,0.266
463.0,0.264
464.0,0.262
465.0,0.260
466.0,0.258
467.0,0.256
468.0,0.254
