Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_Pi_amostra_R1_0-10_26_09_2025
Sample ID
Option
Analyst
Date/Time:,09/26/2025 01:05:24 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.274
401.0,0.270
402.0,0.266
403.0,0.261
404.0,0.257
405.0,0.253
406.0,0.249
407.0,0.244
408.0,0.240
409.0,0.236
410.0,0.232
411.0,0.227
412.0,0.223
413.0,0.219
414.0,0.215
415.0,0.211
416.0,0.208
417.0,0.204
418.0,0.200
419.0,0.197
420.0,0.193
421.0,0.189
422.0,0.186
423.0,0.183
424.0,0.179
425.0,0.176
426.0,0.172
427.0,0.169
428.0,0.166
429.0,0.163
430.0,0.160
431.0,0.157
432.0,0.154
433.0,0.151
434.0,0.148
435.0,0.145
436.0,0.143
437.0,0.140
438.0,0.137
439.0,0.135
440.0,0.133
441.0,0.130
442.0,0.128
443.0,0.125
444.0,0.123
445.0,0.121
446.0,0.119
447.0,0.117
448.0,0.115
449.0,0.113
450.0,0.111
451.0,0.109
452.0,0.107
453.0,0.105
454.0,0.103
455.0,0.102
456.0,0.100
457.0,0.098
458.0,0.096
459.0,0.094
460.0,0.093
461.0,0.091
462.0,0.090
463.0,0.088
464.0,0.087
465.0,0.085
466.0,0.084
467.0,0.082
468.0,0.080
469.0,0.079
470.0,0.078
471.0,0.076
472.0,0.074
473.0,0.073
474.0,0.071
475.0,0.070
476.0,0.068
477.0,0.067
478.0,0.065
479.0,0.063
480.0,0.062
481.0,0.060
482.0,0.058
483.0,0.056
484.0,0.055
485.0,0.053
486.0,0.051
487.0,0.050
488.0,0.048
489.0,0.046
490.0,0.044
491.0,0.043
492.0,0.041
493.0,0.039
494.0,0.037
495.0,0.035
496.0,0.033
497.0,0.031
498.0,0.029
499.0,0.027
500.0,0.025
501.0,0.024
502.0,0.021
503.0,0.020
504.0,0.017
505.0,0.016
506.0,0.014
507.0,0.012
508.0,0.009
509.0,0.007
510.0,0.005
511.0,0.003
512.0,0.002
513.0,-0.001
514.0,-0.002
515.0,-0.004
516.0,-0.006
517.0,-0.008
518.0,-0.010
519.0,-0.012
520.0,-0.014
521.0,-0.016
522.0,-0.018
523.0,-0.019
524.0,-0.021
525.0,-0.023
526.0,-0.025
527.0,-0.026
528.0,-0.028
529.0,-0.030
530.0,-0.032
531.0,-0.034
532.0,-0.036
533.0,-0.038
534.0,-0.039
535.0,-0.041
536.0,-0.043
537.0,-0.045
538.0,-0.046
539.0,-0.048
540.0,-0.050
541.0,-0.052
542.0,-0.054
543.0,-0.056
544.0,-0.058
545.0,-0.060
546.0,-0.062
547.0,-0.064
548.0,-0.066
549.0,-0.068
550.0,-0.070
551.0,-0.072
552.0,-0.074
553.0,-0.076
554.0,-0.078
555.0,-0.080
556.0,-0.083
557.0,-0.085
558.0,-0.087
559.0,-0.089
560.0,-0.092
561.0,-0.094
562.0,-0.096
563.0,-0.098
564.0,-0.100
565.0,-0.103
566.0,-0.106
567.0,-0.109
568.0,-0.111
569.0,-0.114
570.0,-0.116
571.0,-0.119
572.0,-0.121
573.0,-0.124
574.0,-0.126
575.0,-0.129
576.0,-0.131
577.0,-0.133
578.0,-0.135
579.0,-0.137
580.0,-0.140
581.0,-0.142
582.0,-0.144
583.0,-0.147
584.0,-0.149
585.0,-0.151
586.0,-0.153
587.0,-0.156
588.0,-0.158
589.0,-0.160
590.0,-0.163
591.0,-0.165
592.0,-0.167
593.0,-0.169
594.0,-0.171
595.0,-0.173
596.0,-0.176
597.0,-0.178
598.0,-0.179
599.0,-0.181
600.0,-0.183
601.0,-0.186
602.0,-0.188
603.0,-0.190
604.0,-0.191
605.0,-0.193
606.0,-0.195
607.0,-0.198
608.0,-0.200
609.0,-0.202
610.0,-0.203
611.0,-0.205
612.0,-0.207
613.0,-0.209
614.0,-0.210
615.0,-0.212
616.0,-0.214
617.0,-0.216
618.0,-0.217
619.0,-0.219
620.0,-0.221
621.0,-0.222
622.0,-0.224
623.0,-0.226
624.0,-0.227
625.0,-0.228
626.0,-0.230
627.0,-0.231
628.0,-0.233
629.0,-0.234
630.0,-0.235
631.0,-0.237
632.0,-0.238
633.0,-0.240
634.0,-0.241
635.0,-0.242
636.0,-0.243
637.0,-0.244
638.0,-0.245
639.0,-0.246
640.0,-0.247
641.0,-0.248
642.0,-0.249
643.0,-0.250
644.0,-0.251
645.0,-0.253
646.0,-0.254
647.0,-0.254
648.0,-0.255
649.0,-0.256
650.0,-0.256
651.0,-0.257
652.0,-0.258
653.0,-0.259
654.0,-0.260
655.0,-0.260
656.0,-0.261
657.0,-0.262
658.0,-0.262
659.0,-0.263
660.0,-0.263
661.0,-0.264
662.0,-0.264
663.0,-0.265
664.0,-0.265
665.0,-0.266
666.0,-0.266
667.0,-0.266
