Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,75_26_09_2025_diluida_1_1
Sample ID
Option
Analyst
Date/Time:,09/26/2025 12:20:30 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.127
401.0,0.126
402.0,0.126
403.0,0.126
404.0,0.126
405.0,0.126
406.0,0.126
407.0,0.125
408.0,0.125
409.0,0.125
410.0,0.126
411.0,0.126
412.0,0.126
413.0,0.126
414.0,0.126
415.0,0.127
416.0,0.127
417.0,0.127
418.0,0.127
419.0,0.127
420.0,0.128
421.0,0.128
422.0,0.128
423.0,0.128
424.0,0.128
425.0,0.129
426.0,0.130
427.0,0.130
428.0,0.131
429.0,0.131
430.0,0.131
431.0,0.132
432.0,0.132
433.0,0.134
434.0,0.134
435.0,0.135
436.0,0.135
437.0,0.136
438.0,0.137
439.0,0.138
440.0,0.139
441.0,0.140
442.0,0.141
443.0,0.141
444.0,0.142
445.0,0.143
446.0,0.144
447.0,0.145
448.0,0.146
449.0,0.148
450.0,0.149
451.0,0.149
452.0,0.151
453.0,0.152
454.0,0.153
455.0,0.154
456.0,0.155
457.0,0.156
458.0,0.158
459.0,0.159
460.0,0.160
461.0,0.162
462.0,0.163
463.0,0.164
464.0,0.165
465.0,0.166
466.0,0.168
467.0,0.169
468.0,0.170
469.0,0.171
470.0,0.173
471.0,0.174
472.0,0.175
473.0,0.176
474.0,0.177
475.0,0.179
476.0,0.180
477.0,0.182
478.0,0.183
479.0,0.184
480.0,0.185
481.0,0.186
482.0,0.187
483.0,0.188
484.0,0.190
485.0,0.191
486.0,0.192
487.0,0.193
488.0,0.194
489.0,0.195
490.0,0.196
491.0,0.197
492.0,0.199
493.0,0.200
494.0,0.201
495.0,0.201
496.0,0.202
497.0,0.204
498.0,0.205
499.0,0.206
500.0,0.207
501.0,0.208
502.0,0.209
503.0,0.210
504.0,0.210
505.0,0.211
506.0,0.213
507.0,0.214
508.0,0.215
509.0,0.216
510.0,0.217
511.0,0.218
512.0,0.219
513.0,0.220
514.0,0.221
515.0,0.222
516.0,0.223
517.0,0.224
518.0,0.225
519.0,0.226
520.0,0.228
521.0,0.229
522.0,0.230
523.0,0.231
524.0,0.233
525.0,0.234
526.0,0.235
527.0,0.237
528.0,0.238
529.0,0.240
530.0,0.241
531.0,0.242
532.0,0.243
533.0,0.245
534.0,0.246
535.0,0.248
536.0,0.249
537.0,0.250
538.0,0.251
539.0,0.253
540.0,0.254
541.0,0.256
542.0,0.257
543.0,0.259
544.0,0.260
545.0,0.261
546.0,0.262
547.0,0.263
548.0,0.265
549.0,0.266
550.0,0.268
551.0,0.269
552.0,0.270
553.0,0.271
554.0,0.272
555.0,0.274
556.0,0.275
557.0,0.276
558.0,0.277
559.0,0.278
560.0,0.279
561.0,0.280
562.0,0.281
563.0,0.283
564.0,0.284
565.0,0.285
566.0,0.286
567.0,0.287
568.0,0.288
569.0,0.290
570.0,0.290
571.0,0.292
572.0,0.293
573.0,0.294
574.0,0.295
575.0,0.296
576.0,0.297
577.0,0.298
578.0,0.299
579.0,0.301
580.0,0.302
581.0,0.303
582.0,0.304
583.0,0.305
584.0,0.306
585.0,0.307
586.0,0.308
587.0,0.310
588.0,0.311
589.0,0.312
590.0,0.314
591.0,0.315
592.0,0.316
593.0,0.317
594.0,0.318
595.0,0.319
596.0,0.320
597.0,0.321
598.0,0.323
599.0,0.324
600.0,0.325
601.0,0.326
602.0,0.327
603.0,0.328
604.0,0.329
605.0,0.331
606.0,0.332
607.0,0.332
608.0,0.333
609.0,0.334
610.0,0.335
611.0,0.336
612.0,0.338
613.0,0.339
614.0,0.340
615.0,0.341
616.0,0.342
617.0,0.343
618.0,0.344
619.0,0.346
620.0,0.347
621.0,0.348
622.0,0.348
623.0,0.349
624.0,0.350
625.0,0.351
626.0,0.352
627.0,0.354
628.0,0.354
629.0,0.355
630.0,0.356
631.0,0.357
632.0,0.358
633.0,0.358
634.0,0.359
635.0,0.361
636.0,0.361
637.0,0.362
638.0,0.363
639.0,0.364
640.0,0.365
641.0,0.366
642.0,0.367
643.0,0.367
