Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_1_26_09_2025_diluida_1_1
Sample ID
Option
Analyst
Date/Time:,09/26/2025 12:23:44 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.124
401.0,0.123
402.0,0.122
403.0,0.122
404.0,0.122
405.0,0.122
406.0,0.122
407.0,0.122
408.0,0.122
409.0,0.122
410.0,0.123
411.0,0.123
412.0,0.123
413.0,0.123
414.0,0.124
415.0,0.124
416.0,0.124
417.0,0.124
418.0,0.124
419.0,0.125
420.0,0.125
421.0,0.125
422.0,0.125
423.0,0.126
424.0,0.127
425.0,0.127
426.0,0.127
427.0,0.128
428.0,0.129
429.0,0.129
430.0,0.130
431.0,0.130
432.0,0.131
433.0,0.132
434.0,0.133
435.0,0.134
436.0,0.135
437.0,0.135
438.0,0.137
439.0,0.138
440.0,0.139
441.0,0.139
442.0,0.140
443.0,0.141
444.0,0.142
445.0,0.143
446.0,0.144
447.0,0.145
448.0,0.147
449.0,0.148
450.0,0.149
451.0,0.150
452.0,0.151
453.0,0.152
454.0,0.153
455.0,0.155
456.0,0.156
457.0,0.158
458.0,0.159
459.0,0.160
460.0,0.162
461.0,0.163
462.0,0.164
463.0,0.166
464.0,0.167
465.0,0.168
466.0,0.170
467.0,0.171
468.0,0.173
469.0,0.174
470.0,0.175
471.0,0.177
472.0,0.178
473.0,0.179
474.0,0.180
475.0,0.182
476.0,0.183
477.0,0.185
478.0,0.186
479.0,0.188
480.0,0.189
481.0,0.190
482.0,0.191
483.0,0.192
484.0,0.194
485.0,0.195
486.0,0.196
487.0,0.197
488.0,0.198
489.0,0.199
490.0,0.200
491.0,0.201
492.0,0.203
493.0,0.204
494.0,0.205
495.0,0.206
496.0,0.207
497.0,0.208
498.0,0.209
499.0,0.210
500.0,0.211
501.0,0.212
502.0,0.212
503.0,0.213
504.0,0.214
505.0,0.215
506.0,0.216
507.0,0.217
508.0,0.218
509.0,0.219
510.0,0.220
511.0,0.221
512.0,0.222
513.0,0.223
514.0,0.224
515.0,0.225
516.0,0.226
517.0,0.227
518.0,0.228
519.0,0.229
520.0,0.230
521.0,0.231
522.0,0.233
523.0,0.234
524.0,0.235
525.0,0.236
526.0,0.237
527.0,0.239
528.0,0.241
529.0,0.242
530.0,0.243
531.0,0.245
532.0,0.246
533.0,0.247
534.0,0.249
535.0,0.250
536.0,0.251
537.0,0.253
538.0,0.254
539.0,0.255
540.0,0.256
541.0,0.258
542.0,0.259
543.0,0.260
544.0,0.262
545.0,0.263
546.0,0.264
547.0,0.265
548.0,0.266
549.0,0.268
550.0,0.269
551.0,0.270
552.0,0.271
553.0,0.272
554.0,0.273
555.0,0.274
556.0,0.275
557.0,0.277
558.0,0.277
559.0,0.278
560.0,0.279
561.0,0.280
562.0,0.281
563.0,0.282
564.0,0.283
565.0,0.284
566.0,0.285
567.0,0.286
568.0,0.287
569.0,0.288
570.0,0.289
571.0,0.290
572.0,0.291
573.0,0.292
574.0,0.293
575.0,0.294
576.0,0.295
577.0,0.296
578.0,0.296
579.0,0.297
580.0,0.298
