Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_P2_10-20_03_10_2025
Sample ID
Option
Analyst
Date/Time:,10/03/2025 09:57:50 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.546
401.0,0.541
402.0,0.535
403.0,0.529
404.0,0.523
405.0,0.517
406.0,0.512
407.0,0.508
408.0,0.503
409.0,0.499
410.0,0.496
411.0,0.492
412.0,0.489
413.0,0.486
414.0,0.484
415.0,0.482
416.0,0.480
417.0,0.478
418.0,0.476
419.0,0.475
420.0,0.474
421.0,0.473
422.0,0.473
423.0,0.472
424.0,0.473
425.0,0.473
426.0,0.472
427.0,0.472
428.0,0.473
429.0,0.474
430.0,0.475
431.0,0.476
432.0,0.477
433.0,0.478
434.0,0.480
435.0,0.481
436.0,0.483
437.0,0.485
438.0,0.487
439.0,0.489
440.0,0.491
441.0,0.494
442.0,0.496
443.0,0.499
444.0,0.502
445.0,0.504
446.0,0.507
447.0,0.510
448.0,0.513
449.0,0.517
450.0,0.521
451.0,0.523
452.0,0.527
453.0,0.530
454.0,0.534
455.0,0.537
456.0,0.542
457.0,0.546
458.0,0.549
459.0,0.553
460.0,0.557
461.0,0.562
462.0,0.566
463.0,0.570
464.0,0.573
465.0,0.577
466.0,0.581
467.0,0.586
468.0,0.590
469.0,0.594
470.0,0.598
471.0,0.602
472.0,0.607
473.0,0.611
474.0,0.614
475.0,0.619
476.0,0.623
477.0,0.627
478.0,0.631
479.0,0.635
480.0,0.639
481.0,0.643
482.0,0.647
483.0,0.651
484.0,0.655
485.0,0.658
486.0,0.662
487.0,0.666
488.0,0.669
489.0,0.673
490.0,0.676
491.0,0.679
492.0,0.682
493.0,0.685
494.0,0.689
495.0,0.692
496.0,0.695
497.0,0.698
498.0,0.701
499.0,0.704
500.0,0.708
501.0,0.711
502.0,0.714
503.0,0.717
504.0,0.720
505.0,0.723
506.0,0.726
507.0,0.729
508.0,0.732
509.0,0.735
510.0,0.738
511.0,0.741
512.0,0.744
513.0,0.747
514.0,0.750
515.0,0.753
516.0,0.755
517.0,0.758
518.0,0.761
519.0,0.764
520.0,0.768
521.0,0.771
522.0,0.775
523.0,0.777
524.0,0.781
525.0,0.785
526.0,0.788
527.0,0.791
528.0,0.794
529.0,0.797
530.0,0.801
531.0,0.805
532.0,0.808
533.0,0.811
534.0,0.815
535.0,0.818
536.0,0.821
537.0,0.825
538.0,0.829
539.0,0.833
540.0,0.836
541.0,0.840
542.0,0.843
543.0,0.846
544.0,0.850
545.0,0.853
546.0,0.858
547.0,0.861
548.0,0.865
549.0,0.869
550.0,0.872
551.0,0.875
552.0,0.878
553.0,0.882
554.0,0.885
555.0,0.888
556.0,0.892
557.0,0.894
558.0,0.898
559.0,0.901
560.0,0.905
561.0,0.908
562.0,0.911
563.0,0.914
564.0,0.918
565.0,0.922
566.0,0.925
567.0,0.929
568.0,0.932
569.0,0.935
570.0,0.939
571.0,0.942
572.0,0.946
573.0,0.950
574.0,0.953
575.0,0.957
576.0,0.960
577.0,0.964
578.0,0.968
579.0,0.971
580.0,0.974
581.0,0.978
582.0,0.982
583.0,0.986
584.0,0.989
585.0,0.993
586.0,0.996
587.0,1.000
588.0,1.003
589.0,1.007
590.0,1.012
591.0,1.015
592.0,1.019
593.0,1.023
594.0,1.027
595.0,1.030
596.0,1.034
597.0,1.038
598.0,1.042
599.0,1.046
600.0,1.050
601.0,1.054
602.0,1.057
603.0,1.061
604.0,1.064
605.0,1.068
606.0,1.072
607.0,1.076
608.0,1.079
609.0,1.083
610.0,1.087
611.0,1.091
612.0,1.095
613.0,1.099
614.0,1.102
615.0,1.107
616.0,1.111
617.0,1.115
618.0,1.118
619.0,1.122
620.0,1.126
621.0,1.131
622.0,1.134
623.0,1.138
624.0,1.141
625.0,1.145
626.0,1.149
627.0,1.153
628.0,1.157
629.0,1.160
630.0,1.164
631.0,1.167
632.0,1.171
633.0,1.175
634.0,1.180
635.0,1.184
636.0,1.187
637.0,1.191
638.0,1.194
639.0,1.199
640.0,1.202
641.0,1.206
642.0,1.209
643.0,1.212
644.0,1.216
645.0,1.220
646.0,1.224
647.0,1.227
648.0,1.230
649.0,1.233
650.0,1.236
651.0,1.240
652.0,1.244
653.0,1.248
654.0,1.252
655.0,1.256
656.0,1.260
657.0,1.263
658.0,1.267
659.0,1.271
660.0,1.274
661.0,1.278
662.0,1.282
663.0,1.286
664.0,1.289
665.0,1.292
666.0,1.295
667.0,1.299
668.0,1.303
669.0,1.305
670.0,1.310
671.0,1.313
672.0,1.317
673.0,1.320
674.0,1.324
675.0,1.327
676.0,1.330
677.0,1.333
678.0,1.338
679.0,1.342
680.0,1.345
681.0,1.349
682.0,1.351
683.0,1.355
684.0,1.358
685.0,1.361
686.0,1.364
687.0,1.367
688.0,1.370
689.0,1.373
690.0,1.378
691.0,1.381
692.0,1.385
693.0,1.386
694.0,1.388
695.0,1.390
696.0,1.394
697.0,1.397
698.0,1.400
699.0,1.402
700.0,1.406
701.0,1.409
702.0,1.412
703.0,1.414
704.0,1.415
705.0,1.418
706.0,1.420
707.0,1.424
708.0,1.426
709.0,1.427
710.0,1.428
711.0,1.431
712.0,1.434
713.0,1.435
714.0,1.435
715.0,1.438
716.0,1.439
717.0,1.441
718.0,1.441
719.0,1.443
720.0,1.444
721.0,1.446
722.0,1.448
723.0,1.450
724.0,1.451
725.0,1.452
726.0,1.453
727.0,1.456
728.0,1.457
729.0,1.457
730.0,1.456
731.0,1.458
732.0,1.458
733.0,1.459
734.0,1.459
735.0,1.459
736.0,1.461
737.0,1.461
738.0,1.464
739.0,1.465
740.0,1.466
741.0,1.467
742.0,1.467
743.0,1.469
744.0,1.470
745.0,1.472
746.0,1.473
747.0,1.473
748.0,1.474
749.0,1.474
750.0,1.475
751.0,1.477
752.0,1.479
753.0,1.480
754.0,1.481
755.0,1.483
756.0,1.485
757.0,1.485
758.0,1.485
759.0,1.488
760.0,1.492
761.0,1.494
762.0,1.495
763.0,1.498
764.0,1.499
765.0,1.500
766.0,1.501
767.0,1.504
768.0,1.507
769.0,1.510
770.0,1.512
771.0,1.514
772.0,1.518
773.0,1.521
774.0,1.523
775.0,1.525
776.0,1.528
777.0,1.531
778.0,1.535
779.0,1.538
780.0,1.543
781.0,1.547
782.0,1.552
783.0,1.555
784.0,1.557
785.0,1.562
786.0,1.565
787.0,1.569
788.0,1.570
789.0,1.574
790.0,1.581
791.0,1.587
792.0,1.592
793.0,1.596
794.0,1.599
795.0,1.603
796.0,1.606
797.0,1.611
798.0,1.616
799.0,1.624
800.0,1.629
801.0,1.636
802.0,1.641
803.0,1.648
804.0,1.652
805.0,1.658
806.0,1.664
807.0,1.670
808.0,1.674
809.0,1.676
810.0,1.681
811.0,1.688
812.0,1.695
813.0,1.700
814.0,1.704
815.0,1.710
816.0,1.717
817.0,1.724
818.0,1.730
819.0,1.734
820.0,1.740
821.0,1.745
822.0,1.753
823.0,1.756
824.0,1.761
825.0,1.763
826.0,1.771
827.0,1.775
828.0,1.782
829.0,1.786
830.0,1.787
831.0,1.787
832.0,1.790
833.0,1.789
834.0,1.802
835.0,1.812
836.0,1.825
837.0,1.821
838.0,1.810
839.0,1.816
840.0,1.825
841.0,1.838
842.0,1.836
843.0,1.832
844.0,1.832
845.0,1.828
846.0,1.827
847.0,1.850
848.0,1.878
849.0,1.894
850.0,1.882
851.0,1.872
852.0,1.867
853.0,1.870
854.0,1.875
855.0,1.882
856.0,1.891
857.0,1.895
858.0,1.897
859.0,1.894
860.0,1.893
861.0,1.895
862.0,1.901
863.0,1.917
864.0,1.912
865.0,1.896
866.0,1.888
867.0,1.909
868.0,1.914
869.0,1.907
870.0,1.893
871.0,1.902
872.0,1.906
873.0,1.899
874.0,1.885
875.0,1.874
876.0,1.879
877.0,1.879
878.0,1.874
879.0,1.855
880.0,1.849
881.0,1.840
882.0,1.828
883.0,1.817
884.0,1.805
885.0,1.803
886.0,1.783
887.0,1.771
888.0,1.760
889.0,1.751
890.0,1.744
891.0,1.734
892.0,1.728
893.0,1.710
894.0,1.703
895.0,1.691
896.0,1.686
897.0,1.668
898.0,1.655
899.0,1.642
900.0,1.632
901.0,1.620
902.0,1.606
903.0,1.592
904.0,1.580
905.0,1.571
906.0,1.561
907.0,1.552
908.0,1.534
909.0,1.521
910.0,1.507
911.0,1.497
912.0,1.488
913.0,1.476
914.0,1.467
915.0,1.455
916.0,1.448
917.0,1.440
918.0,1.428
919.0,1.416
920.0,1.401
921.0,1.391
922.0,1.381
923.0,1.373
924.0,1.362
925.0,1.351
926.0,1.339
927.0,1.331
928.0,1.321
929.0,1.312
930.0,1.300
931.0,1.292
932.0,1.282
933.0,1.275
934.0,1.265
935.0,1.254
936.0,1.243
937.0,1.233
938.0,1.223
939.0,1.214
940.0,1.204
941.0,1.197
942.0,1.187
943.0,1.178
944.0,1.169
945.0,1.161
946.0,1.151
947.0,1.143
948.0,1.133
949.0,1.125
950.0,1.116
951.0,1.109
952.0,1.099
953.0,1.090
954.0,1.082
955.0,1.074
956.0,1.065
957.0,1.056
958.0,1.048
959.0,1.040
960.0,1.034
961.0,1.027
962.0,1.021
963.0,1.013
964.0,1.006
965.0,0.998
966.0,0.992
967.0,0.984
968.0,0.977
969.0,0.970
970.0,0.963
971.0,0.957
972.0,0.951
973.0,0.944
974.0,0.937
975.0,0.931
976.0,0.925
977.0,0.919
978.0,0.912
979.0,0.906
980.0,0.900
981.0,0.894
982.0,0.889
983.0,0.884
984.0,0.878
985.0,0.871
986.0,0.866
987.0,0.861
988.0,0.856
989.0,0.850
990.0,0.845
991.0,0.840
