Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,5_03_10_2025
Sample ID
Option
Analyst
Date/Time:,10/03/2025 09:30:30 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.008
401.0,0.008
402.0,0.009
403.0,0.009
404.0,0.009
405.0,0.010
406.0,0.010
407.0,0.011
408.0,0.012
409.0,0.012
410.0,0.012
411.0,0.013
412.0,0.014
413.0,0.015
414.0,0.015
415.0,0.015
416.0,0.016
417.0,0.017
418.0,0.018
419.0,0.018
420.0,0.019
421.0,0.020
422.0,0.021
423.0,0.022
424.0,0.022
425.0,0.023
426.0,0.023
427.0,0.024
428.0,0.024
429.0,0.026
430.0,0.027
431.0,0.028
432.0,0.028
433.0,0.029
434.0,0.030
435.0,0.031
436.0,0.032
437.0,0.033
438.0,0.033
439.0,0.034
440.0,0.035
441.0,0.036
442.0,0.036
443.0,0.037
444.0,0.038
445.0,0.039
446.0,0.040
447.0,0.040
448.0,0.041
449.0,0.042
450.0,0.043
451.0,0.044
452.0,0.045
453.0,0.046
454.0,0.047
455.0,0.048
456.0,0.049
457.0,0.050
458.0,0.051
459.0,0.051
460.0,0.052
461.0,0.053
462.0,0.055
463.0,0.055
464.0,0.056
465.0,0.057
466.0,0.058
467.0,0.059
468.0,0.060
469.0,0.061
470.0,0.062
471.0,0.063
472.0,0.064
473.0,0.065
474.0,0.066
475.0,0.066
476.0,0.068
477.0,0.069
478.0,0.070
479.0,0.070
480.0,0.071
481.0,0.072
482.0,0.073
483.0,0.074
484.0,0.075
485.0,0.076
486.0,0.077
487.0,0.077
488.0,0.078
489.0,0.079
490.0,0.079
491.0,0.080
492.0,0.081
493.0,0.081
494.0,0.082
495.0,0.083
496.0,0.084
497.0,0.085
498.0,0.085
499.0,0.086
500.0,0.087
501.0,0.087
502.0,0.088
503.0,0.088
504.0,0.089
505.0,0.090
506.0,0.091
507.0,0.092
508.0,0.092
509.0,0.093
510.0,0.093
511.0,0.094
512.0,0.095
513.0,0.096
514.0,0.097
515.0,0.098
516.0,0.098
517.0,0.099
518.0,0.099
519.0,0.100
520.0,0.101
521.0,0.102
522.0,0.103
523.0,0.104
524.0,0.104
525.0,0.106
526.0,0.107
527.0,0.108
528.0,0.108
529.0,0.110
530.0,0.111
531.0,0.112
532.0,0.113
533.0,0.114
534.0,0.115
535.0,0.116
536.0,0.117
537.0,0.118
538.0,0.119
539.0,0.121
540.0,0.122
541.0,0.123
542.0,0.123
543.0,0.124
544.0,0.125
545.0,0.126
546.0,0.127
547.0,0.128
548.0,0.129
549.0,0.130
550.0,0.131
551.0,0.132
552.0,0.133
553.0,0.133
554.0,0.134
555.0,0.135
556.0,0.136
557.0,0.136
558.0,0.137
559.0,0.138
560.0,0.139
561.0,0.140
562.0,0.140
563.0,0.141
564.0,0.141
565.0,0.142
566.0,0.143
567.0,0.143
568.0,0.144
569.0,0.144
570.0,0.145
571.0,0.146
572.0,0.147
573.0,0.147
574.0,0.148
575.0,0.148
576.0,0.149
577.0,0.150
578.0,0.150
579.0,0.151
580.0,0.152
581.0,0.152
582.0,0.153
583.0,0.153
584.0,0.154
585.0,0.155
586.0,0.155
587.0,0.156
588.0,0.156
589.0,0.157
590.0,0.157
591.0,0.158
592.0,0.159
593.0,0.159
594.0,0.160
595.0,0.160
596.0,0.161
597.0,0.161
598.0,0.162
599.0,0.162
600.0,0.163
601.0,0.164
602.0,0.164
603.0,0.164
604.0,0.165
605.0,0.166
606.0,0.166
607.0,0.167
608.0,0.167
609.0,0.168
610.0,0.168
611.0,0.168
612.0,0.169
613.0,0.169
614.0,0.170
615.0,0.170
616.0,0.170
617.0,0.171
618.0,0.171
619.0,0.172
620.0,0.172
621.0,0.173
622.0,0.174
623.0,0.174
624.0,0.175
625.0,0.175
626.0,0.176
627.0,0.176
628.0,0.177
629.0,0.177
630.0,0.178
631.0,0.179
632.0,0.179
633.0,0.180
634.0,0.180
635.0,0.181
636.0,0.181
637.0,0.181
638.0,0.182
639.0,0.183
640.0,0.184
641.0,0.184
642.0,0.185
643.0,0.185
644.0,0.186
645.0,0.187
646.0,0.187
647.0,0.187
648.0,0.188
649.0,0.188
650.0,0.189
651.0,0.190
652.0,0.190
653.0,0.191
654.0,0.192
655.0,0.193
656.0,0.193
657.0,0.194
658.0,0.194
659.0,0.195
660.0,0.195
661.0,0.196
662.0,0.197
663.0,0.198
664.0,0.198
665.0,0.199
666.0,0.200
667.0,0.200
668.0,0.201
669.0,0.202
670.0,0.203
671.0,0.204
672.0,0.204
673.0,0.205
674.0,0.205
675.0,0.206
676.0,0.207
677.0,0.207
678.0,0.208
679.0,0.208
680.0,0.209
681.0,0.210
682.0,0.210
683.0,0.211
684.0,0.212
685.0,0.212
686.0,0.213
687.0,0.213
688.0,0.214
689.0,0.214
690.0,0.215
691.0,0.216
692.0,0.216
693.0,0.217
694.0,0.217
695.0,0.218
696.0,0.218
697.0,0.219
698.0,0.219
699.0,0.220
700.0,0.220
701.0,0.220
702.0,0.221
703.0,0.221
704.0,0.221
705.0,0.221
706.0,0.221
707.0,0.221
708.0,0.222
709.0,0.222
710.0,0.222
711.0,0.222
712.0,0.222
713.0,0.222
714.0,0.222
715.0,0.222
716.0,0.222
717.0,0.222
718.0,0.222
719.0,0.221
720.0,0.221
721.0,0.220
722.0,0.220
723.0,0.220
724.0,0.219
725.0,0.219
726.0,0.218
727.0,0.218
728.0,0.218
729.0,0.218
730.0,0.217
731.0,0.216
732.0,0.215
733.0,0.215
734.0,0.215
735.0,0.215
736.0,0.214
737.0,0.213
738.0,0.213
739.0,0.212
740.0,0.211
741.0,0.211
742.0,0.210
743.0,0.209
744.0,0.208
745.0,0.208
746.0,0.208
747.0,0.207
748.0,0.207
749.0,0.206
750.0,0.205
751.0,0.205
752.0,0.204
753.0,0.203
754.0,0.203
755.0,0.203
756.0,0.202
757.0,0.202
758.0,0.201
759.0,0.201
760.0,0.200
761.0,0.200
762.0,0.199
763.0,0.200
764.0,0.199
765.0,0.199
766.0,0.198
767.0,0.198
768.0,0.198
769.0,0.198
770.0,0.198
771.0,0.197
772.0,0.197
773.0,0.197
774.0,0.197
775.0,0.196
776.0,0.196
777.0,0.197
778.0,0.197
779.0,0.197
780.0,0.197
781.0,0.198
782.0,0.198
783.0,0.197
784.0,0.197
785.0,0.198
786.0,0.198
787.0,0.198
788.0,0.198
789.0,0.198
790.0,0.199
791.0,0.199
792.0,0.200
793.0,0.200
794.0,0.200
795.0,0.200
796.0,0.201
797.0,0.202
798.0,0.202
799.0,0.203
800.0,0.204
801.0,0.204
802.0,0.205
803.0,0.206
804.0,0.207
805.0,0.208
806.0,0.208
807.0,0.209
808.0,0.210
809.0,0.211
810.0,0.212
811.0,0.213
812.0,0.214
813.0,0.215
814.0,0.216
815.0,0.217
816.0,0.218
817.0,0.219
818.0,0.220
819.0,0.221
820.0,0.222
