Wavelength (nm),Absorbance
200.0,0.185
201.0,0.241
202.0,0.284
203.0,0.159
204.0,0.142
205.0,0.101
206.0,0.171
207.0,0.219
208.0,0.260
209.0,0.185
210.0,0.159
211.0,0.117
212.0,0.256
213.0,0.315
214.0,0.321
215.0,0.261
216.0,0.147
217.0,0.173
218.0,0.167
219.0,0.209
220.0,0.218
221.0,0.155
222.0,0.171
223.0,0.154
224.0,0.181
225.0,0.095
226.0,0.197
227.0,0.158
228.0,0.270
229.0,0.176
230.0,0.240
231.0,0.219
232.0,0.236
233.0,0.187
234.0,0.130
235.0,0.186
236.0,0.200
237.0,0.290
238.0,0.261
239.0,0.364
240.0,0.258
241.0,0.223
242.0,0.200
243.0,0.254
244.0,0.253
245.0,0.284
246.0,0.305
247.0,0.393
248.0,0.247
249.0,0.299
250.0,0.250
251.0,0.343
252.0,0.282
253.0,0.279
254.0,0.250
255.0,0.223
256.0,0.183
257.0,0.146
258.0,0.059
259.0,0.078
260.0,0.092
261.0,0.198
262.0,0.234
263.0,0.205
264.0,0.283
265.0,0.318
266.0,0.332
267.0,0.186
268.0,0.125
269.0,0.132
270.0,0.154
271.0,0.148
272.0,0.192
273.0,0.284
274.0,0.252
275.0,0.115
276.0,-0.002
277.0,0.067
278.0,0.206
279.0,0.312
280.0,0.378
281.0,0.342
282.0,0.311
283.0,0.210
284.0,0.155
285.0,0.103
286.0,0.142
287.0,0.209
288.0,0.154
289.0,0.184
290.0,0.194
291.0,0.285
292.0,0.285
293.0,0.223
294.0,0.293
295.0,0.169
296.0,0.230
297.0,0.175
298.0,0.241
299.0,0.295
300.0,0.302
301.0,0.273
302.0,0.243
303.0,0.290
304.0,0.352
305.0,0.379
306.0,0.377
307.0,0.382
308.0,0.394
309.0,0.399
310.0,0.403
311.0,0.411
312.0,0.409
313.0,0.413
314.0,0.410
315.0,0.415
316.0,0.409
317.0,0.405
318.0,0.394
319.0,0.385
320.0,0.377
321.0,0.370
322.0,0.362
323.0,0.353
324.0,0.342
325.0,0.332
326.0,0.320
