Wavelength (nm),Absorbance
200.0,0.320
201.0,0.351
202.0,0.375
203.0,0.201
204.0,0.212
205.0,0.192
206.0,0.372
207.0,0.385
208.0,0.407
209.0,0.281
210.0,0.203
211.0,0.178
212.0,0.302
213.0,0.401
214.0,0.338
215.0,0.262
216.0,0.163
217.0,0.264
218.0,0.245
219.0,0.284
220.0,0.268
221.0,0.278
222.0,0.254
223.0,0.204
224.0,0.147
225.0,0.179
226.0,0.343
227.0,0.375
228.0,0.342
229.0,0.191
230.0,0.184
231.0,0.190
232.0,0.300
233.0,0.276
234.0,0.324
235.0,0.263
236.0,0.283
237.0,0.297
238.0,0.303
239.0,0.439
240.0,0.385
241.0,0.338
242.0,0.211
243.0,0.260
244.0,0.274
245.0,0.300
246.0,0.255
247.0,0.257
248.0,0.223
249.0,0.272
250.0,0.278
251.0,0.246
252.0,0.186
253.0,0.216
254.0,0.323
255.0,0.284
256.0,0.296
257.0,0.172
258.0,0.166
259.0,0.125
260.0,0.226
261.0,0.224
262.0,0.254
263.0,0.198
264.0,0.259
265.0,0.289
266.0,0.302
267.0,0.306
268.0,0.378
269.0,0.360
270.0,0.376
271.0,0.249
272.0,0.270
273.0,0.312
274.0,0.347
275.0,0.314
276.0,0.229
277.0,0.207
278.0,0.239
279.0,0.289
280.0,0.345
281.0,0.326
282.0,0.320
283.0,0.319
284.0,0.305
285.0,0.242
286.0,0.203
287.0,0.314
288.0,0.384
289.0,0.385
290.0,0.300
291.0,0.406
292.0,0.432
293.0,0.423
294.0,0.297
295.0,0.223
296.0,0.255
297.0,0.299
298.0,0.297
299.0,0.335
300.0,0.278
301.0,0.324
302.0,0.307
303.0,0.372
304.0,0.393
305.0,0.429
306.0,0.427
307.0,0.462
308.0,0.470
309.0,0.504
310.0,0.496
311.0,0.502
312.0,0.482
313.0,0.484
314.0,0.485
315.0,0.492
316.0,0.488
317.0,0.476
318.0,0.465
319.0,0.455
320.0,0.445
321.0,0.435
322.0,0.422
323.0,0.409
324.0,0.397
325.0,0.387
326.0,0.373
327.0,0.361
328.0,0.349
329.0,0.337
330.0,0.325
331.0,0.314
332.0,0.303
333.0,0.291
334.0,0.281
335.0,0.272
336.0,0.264
337.0,0.255
338.0,0.246
339.0,0.237
340.0,0.231
341.0,0.225
342.0,0.218
343.0,0.211
344.0,0.206
345.0,0.200
346.0,0.195
347.0,0.188
348.0,0.183
349.0,0.179
350.0,0.175
351.0,0.172
352.0,0.168
353.0,0.164
354.0,0.161
355.0,0.157
356.0,0.154
357.0,0.151
358.0,0.148
359.0,0.145
360.0,0.143
361.0,0.141
362.0,0.139
363.0,0.137
364.0,0.134
365.0,0.131
366.0,0.130
367.0,0.129
368.0,0.128
369.0,0.126
370.0,0.124
371.0,0.122
372.0,0.121
373.0,0.120
374.0,0.119
375.0,0.118
376.0,0.117
377.0,0.116
378.0,0.115
379.0,0.114
380.0,0.113
381.0,0.112
382.0,0.111
383.0,0.110
384.0,0.109
385.0,0.108
386.0,0.107
387.0,0.107
388.0,0.106
389.0,0.105
390.0,0.105
391.0,0.103
392.0,0.102
393.0,0.102
394.0,0.102
395.0,0.101
396.0,0.101
397.0,0.100
398.0,0.100
399.0,0.100
400.0,0.099
401.0,0.099
402.0,0.099
403.0,0.099
404.0,0.099
405.0,0.099
406.0,0.099
407.0,0.099
408.0,0.099
409.0,0.099
410.0,0.099
411.0,0.099
412.0,0.099
413.0,0.100
414.0,0.101
415.0,0.101
416.0,0.101
417.0,0.102
418.0,0.102
419.0,0.103
420.0,0.103
421.0,0.104
422.0,0.104
423.0,0.104
424.0,0.105
425.0,0.106
426.0,0.107
427.0,0.108
428.0,0.109
429.0,0.109
430.0,0.110
431.0,0.111
432.0,0.112
433.0,0.113
434.0,0.114
435.0,0.115
436.0,0.116
437.0,0.117
438.0,0.118
439.0,0.119
440.0,0.120
441.0,0.121
442.0,0.123
443.0,0.124
444.0,0.126
445.0,0.126
446.0,0.128
447.0,0.129
448.0,0.130
449.0,0.132
450.0,0.133
451.0,0.134
452.0,0.135
453.0,0.137
454.0,0.139
455.0,0.140
456.0,0.142
457.0,0.143
458.0,0.145
459.0,0.147
460.0,0.148
461.0,0.150
462.0,0.152
463.0,0.154
464.0,0.155
465.0,0.156
466.0,0.158
467.0,0.159
468.0,0.161
469.0,0.162
470.0,0.164
471.0,0.166
472.0,0.167
473.0,0.169
474.0,0.171
475.0,0.172
476.0,0.174
477.0,0.176
478.0,0.177
479.0,0.179
480.0,0.181
481.0,0.182
482.0,0.184
483.0,0.186
484.0,0.187
485.0,0.189
486.0,0.190
487.0,0.192
488.0,0.193
489.0,0.195
490.0,0.196
491.0,0.197
492.0,0.199
493.0,0.200
494.0,0.202
495.0,0.203
496.0,0.204
497.0,0.205
498.0,0.206
499.0,0.208
500.0,0.209
501.0,0.210
502.0,0.212
503.0,0.213
504.0,0.214
505.0,0.215
506.0,0.216
507.0,0.218
508.0,0.219
509.0,0.220
510.0,0.221
511.0,0.223
512.0,0.224
513.0,0.226
514.0,0.227
515.0,0.228
516.0,0.230
517.0,0.231
518.0,0.232
519.0,0.234
520.0,0.236
521.0,0.238
522.0,0.239
523.0,0.241
524.0,0.243
525.0,0.245
526.0,0.247
527.0,0.249
528.0,0.251
529.0,0.253
530.0,0.255
531.0,0.257
532.0,0.259
533.0,0.261
534.0,0.263
535.0,0.265
536.0,0.267
537.0,0.269
538.0,0.271
539.0,0.273
540.0,0.275
541.0,0.277
542.0,0.279
543.0,0.281
544.0,0.283
545.0,0.285
546.0,0.287
547.0,0.289
548.0,0.291
549.0,0.293
550.0,0.295
551.0,0.296
552.0,0.298
553.0,0.300
554.0,0.301
555.0,0.303
556.0,0.305
557.0,0.306
558.0,0.308
559.0,0.309
560.0,0.311
561.0,0.312
562.0,0.314
563.0,0.315
564.0,0.317
565.0,0.318
566.0,0.320
567.0,0.321
568.0,0.323
569.0,0.324
570.0,0.326
571.0,0.328
572.0,0.329
573.0,0.331
574.0,0.332
575.0,0.333
576.0,0.334
577.0,0.336
578.0,0.337
579.0,0.339
580.0,0.340
581.0,0.342
582.0,0.343
583.0,0.344
584.0,0.345
585.0,0.346
586.0,0.348
587.0,0.349
588.0,0.351
589.0,0.352
590.0,0.353
591.0,0.355
592.0,0.356
593.0,0.358
594.0,0.359
595.0,0.361
596.0,0.362
597.0,0.363
598.0,0.365
599.0,0.366
600.0,0.367
601.0,0.368
602.0,0.369
603.0,0.370
604.0,0.371
605.0,0.373
606.0,0.374
607.0,0.375
608.0,0.376
609.0,0.377
610.0,0.379
611.0,0.380
612.0,0.381
613.0,0.383
614.0,0.384
615.0,0.385
616.0,0.386
617.0,0.388
618.0,0.389
619.0,0.390
620.0,0.391
621.0,0.392
622.0,0.393
623.0,0.394
624.0,0.396
625.0,0.397
626.0,0.398
627.0,0.399
628.0,0.400
629.0,0.402
630.0,0.403
631.0,0.404
632.0,0.405
633.0,0.406
634.0,0.408
635.0,0.409
636.0,0.410
637.0,0.411
638.0,0.412
639.0,0.413
640.0,0.414
641.0,0.416
642.0,0.417
643.0,0.419
644.0,0.420
645.0,0.421
646.0,0.422
647.0,0.423
648.0,0.424
649.0,0.426
650.0,0.427
651.0,0.428
652.0,0.430
653.0,0.431
654.0,0.432
655.0,0.434
656.0,0.435
657.0,0.436
658.0,0.437
659.0,0.439
660.0,0.440
661.0,0.441
662.0,0.443
663.0,0.444
664.0,0.446
665.0,0.447
666.0,0.449
667.0,0.450
668.0,0.451
669.0,0.453
670.0,0.454
671.0,0.456
672.0,0.457
673.0,0.458
674.0,0.459
675.0,0.461
676.0,0.463
677.0,0.464
678.0,0.466
679.0,0.467
680.0,0.468
681.0,0.470
682.0,0.471
683.0,0.472
684.0,0.473
685.0,0.474
686.0,0.475
687.0,0.477
688.0,0.478
689.0,0.479
690.0,0.480
691.0,0.481
692.0,0.482
693.0,0.483
694.0,0.484
695.0,0.485
696.0,0.486
697.0,0.487
698.0,0.487
699.0,0.488
700.0,0.489
701.0,0.490
702.0,0.490
703.0,0.490
704.0,0.491
705.0,0.492
706.0,0.493
707.0,0.493
708.0,0.493
709.0,0.492
710.0,0.493
711.0,0.493
712.0,0.493
713.0,0.493
714.0,0.492
715.0,0.492
716.0,0.492
717.0,0.492
718.0,0.492
719.0,0.492
720.0,0.491
721.0,0.491
722.0,0.490
723.0,0.490
724.0,0.489
725.0,0.488
726.0,0.487
727.0,0.486
728.0,0.486
729.0,0.485
730.0,0.484
731.0,0.483
732.0,0.482
733.0,0.482
734.0,0.481
735.0,0.480
736.0,0.479
737.0,0.477
738.0,0.477
739.0,0.475
740.0,0.474
741.0,0.473
742.0,0.471
743.0,0.471
744.0,0.470
745.0,0.469
746.0,0.467
747.0,0.467
