Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name
Sample ID
Option
Analyst
Date/Time:,09/23/2025 04:49:34 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.182
201.0,0.375
202.0,0.392
203.0,0.387
204.0,0.162
205.0,0.143
206.0,0.153
207.0,0.178
208.0,0.120
209.0,0.079
210.0,0.018
211.0,-0.008
212.0,-0.078
213.0,0.007
214.0,0.116
215.0,0.166
216.0,0.077
217.0,-0.012
218.0,-0.029
219.0,-0.042
220.0,-0.017
221.0,-0.006
222.0,-0.052
223.0,-0.011
224.0,0.084
225.0,0.137
226.0,0.127
227.0,-0.012
228.0,0.026
229.0,-0.023
230.0,0.115
231.0,0.164
232.0,0.194
233.0,0.228
234.0,0.128
235.0,0.316
236.0,0.153
237.0,0.248
238.0,0.057
239.0,0.123
240.0,0.011
241.0,0.050
242.0,0.074
243.0,0.188
244.0,0.114
245.0,0.052
246.0,0.158
247.0,0.185
248.0,0.089
249.0,-0.057
250.0,-0.081
251.0,-0.070
252.0,-0.049
253.0,0.022
254.0,0.059
255.0,0.016
256.0,-0.014
257.0,0.142
258.0,0.187
259.0,0.230
260.0,0.112
261.0,0.099
262.0,0.191
263.0,0.229
264.0,0.312
265.0,0.173
266.0,0.145
267.0,0.082
268.0,0.163
269.0,0.119
270.0,0.060
271.0,0.039
272.0,0.147
273.0,0.160
274.0,0.099
275.0,0.136
276.0,0.062
277.0,0.017
278.0,-0.057
279.0,-0.004
280.0,-0.088
281.0,-0.094
282.0,-0.140
283.0,-0.032
284.0,-0.119
285.0,-0.140
286.0,-0.077
287.0,-0.022
288.0,0.045
289.0,-0.137
290.0,-0.232
291.0,-0.393
292.0,-0.454
293.0,-0.585
294.0,-0.630
295.0,-0.794
296.0,-0.845
297.0,-0.939
298.0,-0.916
299.0,-0.965
300.0,-1.070
301.0,-1.208
302.0,-1.309
303.0,-1.384
304.0,-1.415
305.0,-1.424
306.0,-1.363
307.0,-1.284
308.0,-1.233
309.0,-1.171
310.0,-1.075
311.0,-0.963
312.0,-0.879
313.0,-0.843
314.0,-0.799
315.0,-0.727
316.0,-0.661
317.0,-0.594
318.0,-0.539
319.0,-0.471
320.0,-0.417
321.0,-0.356
322.0,-0.306
323.0,-0.252
324.0,-0.211
325.0,-0.166
326.0,-0.127
327.0,-0.091
328.0,-0.059
329.0,-0.026
330.0,0.003
331.0,0.030
332.0,0.051
