Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_P2_0-10_23_09_2025
Sample ID
Option
Analyst
Date/Time:,09/23/2025 04:40:16 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.614
201.0,0.671
202.0,0.703
203.0,0.596
204.0,0.450
205.0,0.391
206.0,0.312
207.0,0.486
208.0,0.342
209.0,0.554
210.0,0.488
211.0,0.619
212.0,0.699
213.0,0.687
214.0,0.780
215.0,0.580
216.0,0.694
217.0,0.557
218.0,0.524
219.0,0.366
220.0,0.537
221.0,0.586
222.0,0.549
223.0,0.369
224.0,0.489
225.0,0.565
226.0,0.652
227.0,0.483
228.0,0.396
229.0,0.212
230.0,0.186
231.0,0.360
232.0,0.597
233.0,0.824
234.0,0.779
235.0,0.720
236.0,0.614
237.0,0.501
238.0,0.433
239.0,3.567
240.0,3.539
241.0,3.666
242.0,0.707
243.0,0.739
244.0,0.657
245.0,0.370
246.0,0.548
247.0,0.590
248.0,0.646
249.0,0.428
250.0,0.418
251.0,0.333
252.0,0.380
253.0,0.500
254.0,0.575
255.0,0.477
256.0,0.251
257.0,0.254
258.0,0.469
259.0,0.582
260.0,0.574
261.0,0.404
262.0,0.451
263.0,0.407
264.0,0.479
265.0,0.361
266.0,0.469
267.0,0.523
268.0,0.679
269.0,0.587
270.0,0.441
271.0,0.343
272.0,0.352
273.0,0.359
274.0,0.428
275.0,0.682
276.0,0.857
277.0,0.730
278.0,0.480
279.0,0.327
280.0,0.306
281.0,0.322
282.0,0.319
283.0,0.383
284.0,0.352
285.0,0.408
286.0,0.455
287.0,0.416
288.0,0.336
289.0,0.236
290.0,0.367
291.0,0.503
292.0,0.707
293.0,0.706
294.0,0.740
295.0,0.535
296.0,0.666
297.0,0.702
298.0,0.997
299.0,0.933
300.0,0.865
301.0,0.652
302.0,0.538
303.0,0.526
304.0,0.562
305.0,0.747
306.0,1.049
307.0,1.480
308.0,4.432
309.0,4.326
310.0,4.087
311.0,1.229
312.0,1.435
313.0,1.531
314.0,1.610
315.0,1.565
316.0,1.609
317.0,1.689
318.0,1.712
319.0,1.724
320.0,1.703
321.0,1.719
322.0,1.730
323.0,1.741
324.0,1.716
325.0,1.696
326.0,1.667
327.0,1.661
328.0,1.643
329.0,1.639
330.0,1.613
331.0,1.592
332.0,1.571
333.0,1.549
334.0,1.531
335.0,1.511
336.0,1.495
337.0,1.477
338.0,1.461
339.0,1.444
340.0,1.421
341.0,1.396
342.0,1.373
343.0,1.354
344.0,1.332
345.0,1.311
346.0,1.288
347.0,1.267
348.0,1.250
349.0,1.231
350.0,1.213
351.0,1.193
352.0,1.173
353.0,1.156
354.0,1.136
355.0,1.118
356.0,1.098
357.0,1.079
358.0,1.063
359.0,1.045
360.0,1.030
361.0,1.012
362.0,0.997
363.0,0.978
364.0,0.964
365.0,0.949
366.0,0.935
367.0,0.920
368.0,0.906
369.0,0.894
370.0,0.881
371.0,0.869
372.0,0.854
373.0,0.841
374.0,0.828
375.0,0.817
376.0,0.805
377.0,0.792
378.0,0.781
379.0,0.770
380.0,0.760
381.0,0.749
382.0,0.739
383.0,0.729
384.0,0.720
385.0,0.710
386.0,0.700
387.0,0.691
388.0,0.682
389.0,0.673
390.0,0.664
391.0,0.656
392.0,0.648
393.0,0.640
394.0,0.633
395.0,0.625
396.0,0.618
397.0,0.612
398.0,0.606
399.0,0.599
400.0,0.594
401.0,0.588
402.0,0.582
403.0,0.576
404.0,0.571
405.0,0.566
406.0,0.560
407.0,0.555
408.0,0.549
409.0,0.545
410.0,0.540
411.0,0.536
412.0,0.532
413.0,0.527
414.0,0.523
415.0,0.519
416.0,0.516
417.0,0.513
418.0,0.509
419.0,0.506
420.0,0.503
421.0,0.500
422.0,0.497
423.0,0.493
424.0,0.490
425.0,0.487
426.0,0.484
427.0,0.482
428.0,0.479
429.0,0.477
430.0,0.475
431.0,0.472
432.0,0.469
433.0,0.467
434.0,0.465
435.0,0.462
436.0,0.460
437.0,0.458
438.0,0.456
439.0,0.454
440.0,0.452
441.0,0.450
442.0,0.448
443.0,0.446
444.0,0.445
445.0,0.443
446.0,0.441
447.0,0.440
448.0,0.439
449.0,0.438
450.0,0.437
451.0,0.435
452.0,0.434
453.0,0.433
454.0,0.432
455.0,0.431
456.0,0.430
457.0,0.430
458.0,0.429
459.0,0.428
460.0,0.427
461.0,0.427
462.0,0.426
463.0,0.425
464.0,0.424
465.0,0.424
466.0,0.423
467.0,0.423
468.0,0.422
469.0,0.422
470.0,0.421
471.0,0.421
472.0,0.420
473.0,0.419
474.0,0.419
475.0,0.418
476.0,0.418
477.0,0.418
478.0,0.417
479.0,0.417
480.0,0.416
481.0,0.416
482.0,0.415
483.0,0.415
484.0,0.414
485.0,0.414
486.0,0.413
487.0,0.413
488.0,0.412
489.0,0.412
490.0,0.411
491.0,0.411
492.0,0.410
493.0,0.409
494.0,0.408
495.0,0.408
496.0,0.407
497.0,0.406
498.0,0.406
499.0,0.405
500.0,0.404
501.0,0.404
502.0,0.403
503.0,0.403
504.0,0.402
505.0,0.402
506.0,0.401
507.0,0.400
508.0,0.400
509.0,0.399
510.0,0.398
511.0,0.398
512.0,0.398
513.0,0.397
514.0,0.397
515.0,0.397
516.0,0.397
517.0,0.396
518.0,0.397
519.0,0.397
520.0,0.397
521.0,0.398
522.0,0.398
523.0,0.398
524.0,0.398
525.0,0.398
526.0,0.399
527.0,0.400
528.0,0.401
529.0,0.401
530.0,0.402
531.0,0.403
532.0,0.404
533.0,0.404
534.0,0.405
535.0,0.406
536.0,0.407
537.0,0.408
538.0,0.409
539.0,0.410
540.0,0.411
541.0,0.413
542.0,0.414
543.0,0.414
544.0,0.415
545.0,0.416
546.0,0.417
547.0,0.419
548.0,0.419
549.0,0.421
550.0,0.422
551.0,0.423
552.0,0.424
553.0,0.426
554.0,0.426
555.0,0.427
556.0,0.428
557.0,0.430
558.0,0.431
559.0,0.432
560.0,0.433
561.0,0.434
562.0,0.435
563.0,0.436
564.0,0.437
565.0,0.438
566.0,0.440
567.0,0.441
568.0,0.443
569.0,0.444
570.0,0.445
571.0,0.446
572.0,0.448
573.0,0.450
574.0,0.452
575.0,0.453
576.0,0.454
577.0,0.456
578.0,0.457
579.0,0.459
580.0,0.460
581.0,0.462
582.0,0.464
583.0,0.466
584.0,0.468
585.0,0.469
586.0,0.471
587.0,0.473
588.0,0.475
589.0,0.477
590.0,0.479
591.0,0.481
592.0,0.483
593.0,0.485
594.0,0.487
595.0,0.490
596.0,0.492
597.0,0.494
598.0,0.496
599.0,0.498
600.0,0.500
601.0,0.502
602.0,0.504
603.0,0.506
604.0,0.509
605.0,0.511
606.0,0.513
607.0,0.515
608.0,0.517
609.0,0.519
610.0,0.522
611.0,0.525
612.0,0.527
613.0,0.530
614.0,0.532
615.0,0.535
616.0,0.537
617.0,0.539
618.0,0.541
619.0,0.544
620.0,0.547
621.0,0.549
622.0,0.551
623.0,0.554
624.0,0.556
625.0,0.558
626.0,0.560
627.0,0.563
628.0,0.565
629.0,0.568
630.0,0.570
631.0,0.572
632.0,0.575
633.0,0.577
634.0,0.580
635.0,0.582
636.0,0.585
637.0,0.587
638.0,0.590
639.0,0.592
640.0,0.595
641.0,0.597
642.0,0.600
643.0,0.602
644.0,0.603
645.0,0.606
646.0,0.608
647.0,0.611
648.0,0.613
649.0,0.616
650.0,0.618
651.0,0.620
652.0,0.622
653.0,0.625
654.0,0.628
655.0,0.630
656.0,0.633
657.0,0.635
658.0,0.637
659.0,0.640
660.0,0.643
661.0,0.645
662.0,0.648
663.0,0.650
664.0,0.653
665.0,0.656
666.0,0.658
667.0,0.660
668.0,0.662
669.0,0.664
670.0,0.666
671.0,0.669
672.0,0.671
673.0,0.674
674.0,0.677
675.0,0.678
676.0,0.681
677.0,0.684
678.0,0.686
679.0,0.688
680.0,0.690
681.0,0.692
682.0,0.694
683.0,0.697
684.0,0.699
685.0,0.701
686.0,0.702
687.0,0.704
688.0,0.707
689.0,0.709
690.0,0.710
691.0,0.711
692.0,0.714
693.0,0.716
694.0,0.717
695.0,0.718
696.0,0.719
697.0,0.721
698.0,0.722
699.0,0.724
700.0,0.725
701.0,0.727
702.0,0.727
703.0,0.728
704.0,0.729
705.0,0.730
706.0,0.731
707.0,0.731
708.0,0.732
709.0,0.733
710.0,0.734
711.0,0.734
712.0,0.735
713.0,0.734
714.0,0.734
715.0,0.734
716.0,0.735
717.0,0.735
718.0,0.734
719.0,0.733
720.0,0.733
721.0,0.734
722.0,0.734
723.0,0.733
724.0,0.732
725.0,0.731
726.0,0.730
727.0,0.729
728.0,0.729
729.0,0.728
730.0,0.727
731.0,0.727
732.0,0.726
733.0,0.725
734.0,0.723
735.0,0.722
736.0,0.721
737.0,0.719
738.0,0.718
739.0,0.717
740.0,0.717
741.0,0.716
742.0,0.714
743.0,0.713
744.0,0.712
745.0,0.711
746.0,0.709
747.0,0.708
748.0,0.706
749.0,0.705
750.0,0.703
751.0,0.701
752.0,0.700
753.0,0.699
754.0,0.698
755.0,0.696
756.0,0.695
757.0,0.693
758.0,0.693
759.0,0.691
760.0,0.690
761.0,0.689
762.0,0.688
763.0,0.687
764.0,0.686
765.0,0.685
766.0,0.683
767.0,0.682
768.0,0.681
769.0,0.681
770.0,0.679
771.0,0.677
772.0,0.676
773.0,0.675
774.0,0.673
775.0,0.673
776.0,0.673
777.0,0.673
778.0,0.672
779.0,0.672
780.0,0.672
781.0,0.672
782.0,0.671
783.0,0.669
784.0,0.668
785.0,0.667
786.0,0.668
787.0,0.668
788.0,0.667
789.0,0.666
790.0,0.667
791.0,0.669
792.0,0.668
793.0,0.666
794.0,0.665
795.0,0.666
796.0,0.667
797.0,0.668
798.0,0.669
799.0,0.668
800.0,0.667
801.0,0.666
802.0,0.668
803.0,0.669
804.0,0.671
805.0,0.671
806.0,0.671
807.0,0.671
808.0,0.671
809.0,0.673
810.0,0.673
811.0,0.674
812.0,0.674
813.0,0.675
814.0,0.677
815.0,0.677
816.0,0.677
817.0,0.678
818.0,0.678
819.0,0.679
820.0,0.680
821.0,0.681
822.0,0.683
823.0,0.684
824.0,0.685
825.0,0.685
826.0,0.686
827.0,0.687
828.0,0.689
829.0,0.688
830.0,0.689
831.0,0.689
832.0,0.692
833.0,0.691
834.0,0.693
835.0,0.695
836.0,0.697
837.0,0.698
838.0,0.698
839.0,0.700
840.0,0.703
841.0,0.706
842.0,0.708
843.0,0.708
844.0,0.707
845.0,0.706
846.0,0.709
847.0,0.710
848.0,0.714
849.0,0.715
850.0,0.719
851.0,0.719
852.0,0.723
853.0,0.724
854.0,0.727
855.0,0.728
856.0,0.729
857.0,0.730
858.0,0.731
859.0,0.735
860.0,0.737
861.0,0.737
862.0,0.736
863.0,0.736
864.0,0.736
865.0,0.738
866.0,0.740
867.0,0.741
868.0,0.742
869.0,0.740
870.0,0.738
871.0,0.737
872.0,0.738
873.0,0.738
874.0,0.738
875.0,0.736
876.0,0.736
877.0,0.735
878.0,0.734
879.0,0.734
880.0,0.732
881.0,0.729
882.0,0.726
883.0,0.724
884.0,0.722
885.0,0.720
886.0,0.717
887.0,0.713
888.0,0.710
889.0,0.705
890.0,0.702
891.0,0.699
892.0,0.697
893.0,0.694
894.0,0.690
895.0,0.685
896.0,0.681
897.0,0.678
898.0,0.673
899.0,0.668
900.0,0.664
901.0,0.659
902.0,0.655
903.0,0.648
904.0,0.644
905.0,0.639
906.0,0.635
907.0,0.631
908.0,0.625
909.0,0.619
910.0,0.614
911.0,0.609
912.0,0.602
913.0,0.596
914.0,0.589
915.0,0.584
916.0,0.579
917.0,0.574
918.0,0.567
919.0,0.561
920.0,0.554
921.0,0.548
922.0,0.541
923.0,0.535
924.0,0.529
925.0,0.523
926.0,0.516
927.0,0.510
928.0,0.504
929.0,0.497
930.0,0.490
931.0,0.484
932.0,0.478
933.0,0.471
934.0,0.465
935.0,0.458
936.0,0.451
937.0,0.444
938.0,0.437
939.0,0.431
940.0,0.425
941.0,0.418
942.0,0.412
943.0,0.405
944.0,0.399
945.0,0.393
946.0,0.387
947.0,0.380
948.0,0.374
949.0,0.368
950.0,0.363
951.0,0.357
952.0,0.351
953.0,0.345
954.0,0.340
955.0,0.334
956.0,0.329
957.0,0.323
958.0,0.317
959.0,0.312
960.0,0.307
961.0,0.301
962.0,0.297
963.0,0.292
964.0,0.288
965.0,0.283
966.0,0.279
967.0,0.275
968.0,0.270
969.0,0.266
970.0,0.262
971.0,0.258
972.0,0.254
973.0,0.250
974.0,0.246
975.0,0.242
976.0,0.237
977.0,0.234
978.0,0.230
979.0,0.227
980.0,0.223
981.0,0.219
982.0,0.216
983.0,0.213
984.0,0.210
985.0,0.207
986.0,0.204
987.0,0.200
988.0,0.198
989.0,0.195
990.0,0.192
991.0,0.189
992.0,0.186
993.0,0.184
994.0,0.182
995.0,0.180
996.0,0.177
997.0,0.174
998.0,0.172
999.0,0.170
1000.0,0.168
1001.0,0.165
1002.0,0.163
1003.0,0.161
1004.0,0.159
1005.0,0.157
1006.0,0.155
1007.0,0.153
1008.0,0.151
1009.0,0.149
1010.0,0.148
1011.0,0.146
1012.0,0.144
1013.0,0.142
1014.0,0.140
1015.0,0.139
1016.0,0.137
1017.0,0.135
1018.0,0.133
1019.0,0.132
1020.0,0.131
1021.0,0.129
1022.0,0.128
1023.0,0.126
1024.0,0.125
1025.0,0.123
1026.0,0.122
1027.0,0.121
1028.0,0.120
1029.0,0.118
1030.0,0.117
1031.0,0.116
1032.0,0.115
1033.0,0.113
1034.0,0.112
1035.0,0.111
1036.0,0.110
1037.0,0.109
1038.0,0.108
1039.0,0.107
1040.0,0.106
1041.0,0.105
1042.0,0.104
1043.0,0.103
1044.0,0.102
1045.0,0.101
1046.0,0.100
1047.0,0.099
1048.0,0.098
1049.0,0.097
1050.0,0.097
1051.0,0.096
1052.0,0.095
1053.0,0.094
1054.0,0.093
1055.0,0.092
1056.0,0.092
1057.0,0.091
1058.0,0.091
1059.0,0.090
1060.0,0.089
1061.0,0.088
1062.0,0.088
1063.0,0.087
1064.0,0.086
1065.0,0.086
1066.0,0.085
1067.0,0.084
1068.0,0.083
1069.0,0.083
1070.0,0.082
1071.0,0.082
1072.0,0.081
1073.0,0.081
1074.0,0.080
1075.0,0.079
1076.0,0.079
1077.0,0.078
1078.0,0.078
1079.0,0.078
1080.0,0.077
1081.0,0.076
1082.0,0.076
1083.0,0.075
1084.0,0.075
1085.0,0.074
1086.0,0.074
1087.0,0.073
1088.0,0.073
1089.0,0.072
1090.0,0.072
1091.0,0.071
1092.0,0.071
1093.0,0.070
1094.0,0.070
1095.0,0.069
1096.0,0.069
1097.0,0.069
1098.0,0.068
1099.0,0.068
1100.0,0.068
1101.0,0.067
1102.0,0.067
1103.0,0.066
1104.0,0.066
1105.0,0.065
1106.0,0.065
1107.0,0.064
1108.0,0.064
1109.0,0.064
1110.0,0.063
1111.0,0.063
1112.0,0.063
1113.0,0.062
1114.0,0.062
1115.0,0.061
1116.0,0.061
1117.0,0.061
1118.0,0.060
1119.0,0.060
