Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R2_10-20_23_09_2025
Sample ID
Option
Analyst
Date/Time:,09/23/2025 05:07:46 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.000
201.0,0.059
202.0,0.027
203.0,0.076
204.0,-0.009
205.0,0.067
206.0,-0.000
207.0,0.159
208.0,0.207
209.0,0.256
210.0,0.148
211.0,0.079
212.0,0.064
213.0,0.037
214.0,0.012
215.0,-0.056
216.0,0.013
217.0,0.063
218.0,0.021
219.0,-0.041
220.0,-0.088
221.0,-0.024
222.0,-0.091
223.0,-0.144
224.0,-0.016
225.0,-0.089
226.0,0.006
227.0,-0.210
228.0,-0.127
229.0,-0.210
230.0,-0.129
231.0,-0.003
232.0,0.073
233.0,0.132
234.0,0.081
235.0,0.037
236.0,-0.132
237.0,-0.091
238.0,-0.110
239.0,0.010
240.0,-0.191
241.0,-0.133
242.0,-0.082
243.0,0.078
244.0,0.045
245.0,-0.083
246.0,-0.006
247.0,-0.016
248.0,-0.055
249.0,-0.212
250.0,-0.182
251.0,-0.114
252.0,-0.052
253.0,-0.051
254.0,-0.088
255.0,-0.074
256.0,-0.102
257.0,-0.004
258.0,-0.056
259.0,0.056
260.0,-0.011
261.0,0.000
262.0,-0.045
263.0,0.016
264.0,0.016
265.0,-0.071
266.0,-0.065
267.0,0.018
268.0,0.080
269.0,0.031
270.0,-0.049
271.0,-0.140
272.0,-0.111
273.0,-0.116
274.0,-0.089
275.0,-0.084
276.0,-0.052
277.0,-0.109
278.0,-0.056
279.0,-0.076
280.0,-0.052
281.0,-0.163
282.0,-0.213
283.0,-0.220
284.0,-0.259
285.0,-0.245
286.0,-0.077
287.0,-0.016
288.0,-0.005
289.0,-0.183
290.0,-0.293
291.0,-0.310
292.0,-0.236
293.0,-0.062
294.0,-0.045
295.0,-0.175
296.0,-0.182
297.0,-0.094
298.0,0.062
299.0,0.025
300.0,-0.147
301.0,-0.312
302.0,-0.389
303.0,-0.475
304.0,-0.554
305.0,-0.645
306.0,-0.671
307.0,-0.671
308.0,-0.714
309.0,-0.674
310.0,-0.604
311.0,-0.504
312.0,-0.443
313.0,-0.404
314.0,-0.358
315.0,-0.297
316.0,-0.235
317.0,-0.171
318.0,-0.113
319.0,-0.047
320.0,0.010
321.0,0.070
322.0,0.124
323.0,0.178
324.0,0.225
325.0,0.267
326.0,0.308
327.0,0.344
328.0,0.379
329.0,0.413
330.0,0.442
331.0,0.472
332.0,0.495
333.0,0.515
334.0,0.531
335.0,0.548
336.0,0.564
337.0,0.576
338.0,0.584
339.0,0.593
340.0,0.599
341.0,0.604
342.0,0.607
343.0,0.609
344.0,0.612
345.0,0.614
346.0,0.613
347.0,0.610
348.0,0.606
349.0,0.602
350.0,0.594
351.0,0.588
352.0,0.581
353.0,0.574
354.0,0.567
355.0,0.560
356.0,0.551
357.0,0.542
358.0,0.534
359.0,0.526
360.0,0.517
361.0,0.508
362.0,0.499
363.0,0.488
364.0,0.478
365.0,0.469
366.0,0.460
367.0,0.452
368.0,0.443
369.0,0.434
370.0,0.425
371.0,0.415
372.0,0.405
373.0,0.396
374.0,0.388
375.0,0.379
376.0,0.372
377.0,0.362
378.0,0.355
379.0,0.347
380.0,0.340
381.0,0.332
382.0,0.325
383.0,0.318
384.0,0.311
385.0,0.304
386.0,0.297
387.0,0.291
388.0,0.285
389.0,0.279
390.0,0.272
391.0,0.267
392.0,0.261
393.0,0.256
394.0,0.251
395.0,0.246
396.0,0.241
397.0,0.236
398.0,0.231
399.0,0.226
400.0,0.222
401.0,0.219
402.0,0.215
403.0,0.211
404.0,0.206
405.0,0.203
406.0,0.199
407.0,0.196
408.0,0.193
409.0,0.189
410.0,0.186
411.0,0.183
412.0,0.180
413.0,0.177
414.0,0.174
415.0,0.171
416.0,0.169
417.0,0.166
418.0,0.164
419.0,0.161
420.0,0.159
421.0,0.156
422.0,0.154
423.0,0.152
424.0,0.150
425.0,0.147
426.0,0.145
427.0,0.143
428.0,0.141
429.0,0.138
430.0,0.136
431.0,0.134
432.0,0.132
433.0,0.131
434.0,0.129
435.0,0.127
436.0,0.125
437.0,0.123
438.0,0.121
439.0,0.119
440.0,0.117
441.0,0.115
442.0,0.113
443.0,0.112
444.0,0.110
445.0,0.109
446.0,0.107
447.0,0.105
448.0,0.104
449.0,0.103
450.0,0.102
451.0,0.100
452.0,0.098
453.0,0.097
454.0,0.096
455.0,0.094
456.0,0.093
457.0,0.092
458.0,0.090
459.0,0.089
460.0,0.088
461.0,0.086
462.0,0.085
463.0,0.084
464.0,0.082
465.0,0.081
466.0,0.080
467.0,0.078
468.0,0.078
469.0,0.076
470.0,0.075
471.0,0.074
472.0,0.073
473.0,0.071
474.0,0.070
475.0,0.068
476.0,0.067
477.0,0.066
478.0,0.065
479.0,0.064
480.0,0.062
481.0,0.061
482.0,0.060
483.0,0.058
484.0,0.057
485.0,0.056
486.0,0.055
487.0,0.053
488.0,0.052
489.0,0.051
490.0,0.049
491.0,0.048
492.0,0.046
493.0,0.045
494.0,0.044
495.0,0.042
496.0,0.040
497.0,0.038
498.0,0.037
499.0,0.036
500.0,0.034
501.0,0.033
502.0,0.031
503.0,0.029
504.0,0.028
505.0,0.026
506.0,0.025
507.0,0.023
508.0,0.021
509.0,0.020
510.0,0.018
511.0,0.016
512.0,0.015
513.0,0.013
514.0,0.012
515.0,0.010
516.0,0.009
517.0,0.007
518.0,0.006
519.0,0.004
520.0,0.003
521.0,0.001
522.0,-0.000
523.0,-0.002
524.0,-0.004
525.0,-0.005
526.0,-0.007
527.0,-0.008
528.0,-0.010
529.0,-0.011
530.0,-0.013
531.0,-0.014
532.0,-0.016
533.0,-0.017
534.0,-0.019
535.0,-0.020
536.0,-0.022
537.0,-0.023
538.0,-0.025
539.0,-0.027
540.0,-0.029
541.0,-0.030
542.0,-0.032
543.0,-0.034
544.0,-0.035
545.0,-0.037
546.0,-0.039
547.0,-0.041
548.0,-0.043
549.0,-0.044
550.0,-0.046
551.0,-0.048
552.0,-0.050
553.0,-0.052
554.0,-0.055
555.0,-0.057
556.0,-0.059
557.0,-0.061
558.0,-0.062
559.0,-0.065
560.0,-0.067
561.0,-0.069
562.0,-0.071
563.0,-0.073
564.0,-0.075
565.0,-0.078
566.0,-0.080
567.0,-0.082
568.0,-0.084
569.0,-0.087
570.0,-0.089
571.0,-0.091
572.0,-0.093
573.0,-0.095
574.0,-0.097
575.0,-0.099
576.0,-0.102
577.0,-0.104
578.0,-0.105
579.0,-0.108
580.0,-0.109
581.0,-0.111
582.0,-0.113
583.0,-0.115
584.0,-0.117
585.0,-0.119
586.0,-0.121
587.0,-0.122
588.0,-0.124
589.0,-0.126
590.0,-0.128
591.0,-0.129
592.0,-0.131
593.0,-0.133
594.0,-0.134
595.0,-0.136
596.0,-0.138
597.0,-0.139
598.0,-0.140
599.0,-0.142
600.0,-0.143
601.0,-0.144
602.0,-0.146
603.0,-0.147
604.0,-0.148
605.0,-0.149
606.0,-0.151
607.0,-0.152
608.0,-0.153
609.0,-0.155
610.0,-0.156
611.0,-0.157
612.0,-0.158
613.0,-0.159
614.0,-0.161
615.0,-0.161
616.0,-0.162
617.0,-0.163
618.0,-0.164
619.0,-0.165
620.0,-0.165
621.0,-0.166
622.0,-0.167
623.0,-0.168
624.0,-0.168
625.0,-0.169
626.0,-0.170
627.0,-0.170
628.0,-0.171
629.0,-0.172
630.0,-0.172
631.0,-0.173
632.0,-0.173
633.0,-0.174
634.0,-0.174
635.0,-0.175
636.0,-0.175
637.0,-0.176
638.0,-0.176
639.0,-0.177
640.0,-0.177
641.0,-0.178
642.0,-0.178
643.0,-0.179
644.0,-0.179
645.0,-0.180
646.0,-0.180
647.0,-0.180
648.0,-0.180
649.0,-0.181
650.0,-0.181
651.0,-0.181
652.0,-0.182
653.0,-0.182
654.0,-0.182
655.0,-0.182
656.0,-0.182
657.0,-0.183
658.0,-0.183
659.0,-0.184
660.0,-0.184
661.0,-0.184
662.0,-0.184
663.0,-0.184
664.0,-0.184
665.0,-0.184
666.0,-0.184
667.0,-0.184
668.0,-0.185
669.0,-0.185
670.0,-0.185
671.0,-0.185
672.0,-0.186
673.0,-0.186
674.0,-0.186
675.0,-0.186
676.0,-0.186
677.0,-0.186
678.0,-0.186
679.0,-0.186
680.0,-0.186
681.0,-0.187
682.0,-0.187
683.0,-0.187
684.0,-0.187
685.0,-0.187
686.0,-0.187
687.0,-0.187
688.0,-0.187
689.0,-0.187
690.0,-0.188
691.0,-0.188
692.0,-0.189
693.0,-0.189
694.0,-0.189
695.0,-0.190
696.0,-0.190
697.0,-0.191
698.0,-0.191
699.0,-0.192
700.0,-0.192
701.0,-0.192
702.0,-0.193
703.0,-0.193
704.0,-0.194
705.0,-0.195
706.0,-0.195
707.0,-0.196
708.0,-0.196
709.0,-0.197
710.0,-0.198
711.0,-0.199
712.0,-0.199
713.0,-0.200
714.0,-0.201
715.0,-0.202
716.0,-0.202
717.0,-0.203
718.0,-0.204
719.0,-0.205
720.0,-0.206
721.0,-0.207
722.0,-0.208
723.0,-0.209
724.0,-0.210
725.0,-0.211
726.0,-0.212
727.0,-0.213
728.0,-0.214
729.0,-0.216
730.0,-0.217
731.0,-0.218
732.0,-0.219
733.0,-0.221
734.0,-0.222
735.0,-0.223
736.0,-0.224
737.0,-0.225
738.0,-0.227
739.0,-0.227
740.0,-0.229
741.0,-0.230
742.0,-0.231
743.0,-0.232
744.0,-0.233
745.0,-0.235
746.0,-0.236
747.0,-0.237
748.0,-0.238
749.0,-0.239
750.0,-0.241
751.0,-0.242
752.0,-0.243
753.0,-0.243
754.0,-0.244
755.0,-0.245
756.0,-0.246
757.0,-0.247
758.0,-0.248
759.0,-0.249
760.0,-0.249
761.0,-0.249
762.0,-0.250
763.0,-0.251
764.0,-0.252
765.0,-0.252
766.0,-0.252
767.0,-0.252
768.0,-0.253
769.0,-0.253
770.0,-0.254
771.0,-0.255
772.0,-0.255
773.0,-0.255
774.0,-0.256
775.0,-0.256
776.0,-0.256
777.0,-0.256
778.0,-0.255
779.0,-0.255
780.0,-0.255
781.0,-0.254
782.0,-0.253
783.0,-0.253
784.0,-0.253
785.0,-0.253
786.0,-0.252
787.0,-0.252
788.0,-0.251
789.0,-0.251
790.0,-0.251
791.0,-0.250
792.0,-0.249
793.0,-0.248
794.0,-0.247
795.0,-0.246
796.0,-0.244
797.0,-0.244
798.0,-0.243
799.0,-0.243
800.0,-0.241
801.0,-0.240
802.0,-0.237
803.0,-0.236
804.0,-0.235
805.0,-0.233
806.0,-0.231
807.0,-0.230
808.0,-0.229
809.0,-0.228
810.0,-0.225
811.0,-0.223
812.0,-0.222
813.0,-0.221
814.0,-0.219
815.0,-0.217
816.0,-0.214
817.0,-0.212
818.0,-0.209
819.0,-0.207
820.0,-0.204
821.0,-0.203
822.0,-0.201
823.0,-0.198
824.0,-0.195
825.0,-0.192
826.0,-0.189
827.0,-0.186
828.0,-0.184
829.0,-0.182
830.0,-0.180
831.0,-0.177
832.0,-0.173
833.0,-0.170
834.0,-0.167
835.0,-0.164
836.0,-0.161
837.0,-0.158
838.0,-0.155
839.0,-0.151
840.0,-0.148
841.0,-0.145
842.0,-0.142
843.0,-0.139
844.0,-0.136
845.0,-0.133
846.0,-0.130
847.0,-0.126
848.0,-0.123
849.0,-0.120
850.0,-0.117
851.0,-0.114
852.0,-0.110
853.0,-0.107
854.0,-0.103
855.0,-0.101
856.0,-0.098
857.0,-0.095
858.0,-0.092
859.0,-0.089
860.0,-0.086
861.0,-0.083
862.0,-0.080
863.0,-0.078
864.0,-0.075
865.0,-0.072
866.0,-0.070
867.0,-0.067
868.0,-0.065
869.0,-0.063
870.0,-0.060
871.0,-0.058
872.0,-0.057
873.0,-0.055
874.0,-0.053
875.0,-0.052
876.0,-0.051
877.0,-0.049
878.0,-0.048
879.0,-0.047
880.0,-0.047
881.0,-0.046
882.0,-0.045
883.0,-0.045
884.0,-0.044
885.0,-0.043
886.0,-0.043
887.0,-0.043
888.0,-0.043
889.0,-0.044
890.0,-0.044
891.0,-0.044
892.0,-0.044
893.0,-0.045
894.0,-0.045
895.0,-0.045
896.0,-0.047
897.0,-0.047
898.0,-0.048
899.0,-0.048
900.0,-0.049
901.0,-0.050
902.0,-0.051
903.0,-0.051
904.0,-0.053
905.0,-0.054
906.0,-0.055
907.0,-0.057
908.0,-0.058
909.0,-0.059
910.0,-0.060
911.0,-0.062
912.0,-0.063
913.0,-0.064
914.0,-0.066
915.0,-0.067
916.0,-0.069
917.0,-0.070
918.0,-0.072
919.0,-0.073
920.0,-0.074
921.0,-0.076
922.0,-0.078
923.0,-0.080
924.0,-0.081
925.0,-0.083
926.0,-0.085
927.0,-0.087
928.0,-0.088
929.0,-0.090
930.0,-0.092
931.0,-0.093
932.0,-0.095
933.0,-0.097
934.0,-0.098
935.0,-0.100
936.0,-0.102
937.0,-0.104
938.0,-0.106
939.0,-0.108
940.0,-0.109
941.0,-0.111
942.0,-0.113
943.0,-0.115
944.0,-0.116
945.0,-0.118
946.0,-0.120
947.0,-0.122
948.0,-0.123
949.0,-0.124
950.0,-0.126
951.0,-0.128
952.0,-0.130
953.0,-0.131
954.0,-0.133
955.0,-0.134
956.0,-0.136
957.0,-0.137
958.0,-0.138
959.0,-0.140
960.0,-0.141
961.0,-0.142
962.0,-0.143
963.0,-0.144
964.0,-0.146
965.0,-0.147
966.0,-0.147
967.0,-0.148
968.0,-0.150
969.0,-0.151
970.0,-0.151
971.0,-0.152
972.0,-0.153
973.0,-0.153
974.0,-0.154
975.0,-0.155
976.0,-0.156
977.0,-0.156
978.0,-0.157
979.0,-0.157
980.0,-0.158
981.0,-0.158
982.0,-0.159
983.0,-0.159
984.0,-0.160
985.0,-0.160
986.0,-0.160
987.0,-0.160
988.0,-0.161
989.0,-0.161
990.0,-0.161
