Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,50_23_09_2025
Sample ID
Option
Analyst
Date/Time:,09/23/2025 04:30:15 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.169
201.0,0.324
202.0,0.335
203.0,0.299
204.0,0.052
205.0,0.141
206.0,0.185
207.0,0.313
208.0,0.296
209.0,0.348
210.0,0.301
211.0,0.194
212.0,0.093
213.0,-0.013
214.0,0.032
215.0,0.015
216.0,0.183
217.0,0.161
218.0,0.039
219.0,-0.028
220.0,0.022
221.0,0.182
222.0,0.158
223.0,0.046
224.0,0.134
225.0,0.069
226.0,0.195
227.0,0.061
228.0,0.127
229.0,0.041
230.0,0.048
231.0,0.067
232.0,0.159
233.0,0.139
234.0,0.209
235.0,0.308
236.0,0.410
237.0,0.411
238.0,0.178
239.0,0.215
240.0,0.144
241.0,0.270
242.0,0.279
243.0,0.303
244.0,0.285
245.0,0.169
246.0,0.252
247.0,0.181
248.0,0.064
249.0,-0.049
250.0,-0.052
251.0,0.054
252.0,0.132
253.0,0.322
254.0,0.368
255.0,0.278
256.0,0.047
257.0,0.049
258.0,0.106
259.0,0.227
260.0,0.214
261.0,0.187
262.0,0.212
263.0,0.126
264.0,0.140
265.0,0.046
266.0,0.173
267.0,0.320
268.0,0.438
269.0,0.355
270.0,0.193
271.0,0.142
272.0,0.241
273.0,0.187
274.0,0.216
275.0,0.156
276.0,0.193
277.0,0.093
278.0,0.255
279.0,0.214
280.0,0.141
281.0,0.042
282.0,0.176
283.0,0.332
284.0,0.220
285.0,0.176
286.0,0.119
287.0,0.191
288.0,0.147
289.0,0.139
290.0,0.156
291.0,0.148
292.0,0.200
293.0,0.158
294.0,0.278
295.0,0.212
296.0,0.227
297.0,0.253
298.0,0.356
299.0,0.452
300.0,0.312
301.0,0.269
302.0,0.144
303.0,0.125
304.0,0.105
305.0,0.136
306.0,0.175
307.0,0.167
308.0,0.157
309.0,0.144
310.0,0.179
311.0,0.227
312.0,0.282
313.0,0.260
314.0,0.228
315.0,0.206
316.0,0.187
317.0,0.178
318.0,0.174
319.0,0.173
320.0,0.166
321.0,0.153
322.0,0.144
323.0,0.139
324.0,0.130
325.0,0.127
326.0,0.117
327.0,0.112
328.0,0.102
329.0,0.098
330.0,0.092
331.0,0.088
332.0,0.080
333.0,0.076
334.0,0.071
335.0,0.069
336.0,0.067
337.0,0.065
338.0,0.062
339.0,0.060
340.0,0.058
341.0,0.055
342.0,0.053
343.0,0.051
344.0,0.049
345.0,0.048
346.0,0.047
347.0,0.047
348.0,0.046
349.0,0.046
350.0,0.044
351.0,0.043
352.0,0.042
353.0,0.041
354.0,0.041
355.0,0.039
356.0,0.039
357.0,0.038
358.0,0.037
359.0,0.036
360.0,0.037
361.0,0.036
362.0,0.036
363.0,0.035
364.0,0.035
365.0,0.035
366.0,0.036
367.0,0.035
368.0,0.035
369.0,0.035
