Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R1_0-10_23_09_2025_pt
Sample ID
Option
Analyst
Date/Time:,09/23/2025 07:07:18 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.514
201.0,0.534
202.0,0.401
203.0,0.375
204.0,0.276
205.0,0.453
206.0,0.367
207.0,0.396
208.0,0.229
209.0,0.373
210.0,0.392
211.0,0.449
212.0,0.591
213.0,0.436
214.0,0.513
215.0,0.243
216.0,0.307
217.0,0.306
218.0,0.372
219.0,0.413
220.0,0.355
221.0,0.334
222.0,0.460
223.0,0.480
224.0,0.576
225.0,0.415
226.0,0.395
227.0,0.312
228.0,0.361
229.0,0.587
230.0,0.676
231.0,0.736
232.0,0.642
233.0,0.583
234.0,0.500
235.0,0.300
236.0,0.296
237.0,0.269
238.0,0.435
239.0,0.472
240.0,0.411
241.0,0.310
242.0,0.294
243.0,0.377
244.0,0.459
245.0,0.449
246.0,0.417
247.0,0.337
248.0,0.276
249.0,0.364
250.0,0.347
251.0,0.554
252.0,0.586
253.0,0.555
254.0,0.457
255.0,0.421
256.0,0.416
257.0,0.392
258.0,0.254
259.0,0.432
260.0,0.301
261.0,0.520
262.0,0.314
263.0,0.409
264.0,0.208
265.0,0.209
266.0,0.184
267.0,0.142
268.0,0.248
269.0,0.316
270.0,0.452
271.0,0.308
272.0,0.238
273.0,0.211
274.0,0.252
275.0,0.336
276.0,0.465
277.0,0.526
278.0,0.563
279.0,0.393
280.0,0.408
281.0,0.299
282.0,0.372
283.0,0.412
284.0,0.364
285.0,0.413
286.0,0.372
287.0,0.463
288.0,0.466
289.0,0.502
290.0,0.565
291.0,0.558
292.0,0.517
293.0,0.448
294.0,0.409
295.0,0.324
296.0,0.332
297.0,0.320
298.0,0.419
299.0,0.426
300.0,0.475
301.0,0.470
302.0,0.469
303.0,0.429
304.0,0.419
305.0,0.593
306.0,1.165
307.0,1.522
308.0,1.621
309.0,1.596
310.0,1.677
311.0,1.827
312.0,1.616
313.0,1.635
314.0,1.695
315.0,1.767
316.0,1.676
317.0,1.602
318.0,1.592
319.0,1.586
320.0,1.491
321.0,1.381
322.0,1.254
323.0,1.126
324.0,1.003
325.0,0.897
326.0,0.792
327.0,0.712
328.0,0.636
329.0,0.572
330.0,0.517
331.0,0.470
332.0,0.433
333.0,0.395
334.0,0.369
335.0,0.345
336.0,0.326
337.0,0.311
338.0,0.299
339.0,0.289
