Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,50_23_09_2025
Sample ID
Option
Analyst
Date/Time:,09/23/2025 04:26:33 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.177
201.0,0.098
202.0,0.052
203.0,0.196
204.0,0.226
205.0,0.216
206.0,0.113
207.0,0.168
208.0,0.203
209.0,0.209
210.0,0.059
211.0,-0.016
212.0,-0.045
213.0,0.024
214.0,0.050
215.0,0.055
216.0,0.099
217.0,0.179
218.0,0.202
219.0,0.179
220.0,0.108
221.0,0.077
222.0,0.018
223.0,0.039
224.0,0.175
225.0,0.158
226.0,0.175
227.0,-0.004
228.0,-0.024
229.0,-0.110
230.0,-0.076
231.0,0.189
232.0,0.206
233.0,0.322
234.0,0.238
235.0,0.326
236.0,0.280
237.0,0.339
238.0,0.343
239.0,0.308
240.0,0.204
241.0,0.157
242.0,0.129
243.0,0.115
244.0,0.121
245.0,0.052
246.0,0.034
247.0,-0.026
248.0,-0.024
249.0,0.038
250.0,0.072
251.0,0.238
252.0,0.211
253.0,0.318
254.0,0.207
255.0,0.190
256.0,0.142
257.0,0.188
258.0,0.214
259.0,0.239
260.0,0.228
261.0,0.229
262.0,0.287
263.0,0.356
264.0,0.337
265.0,0.270
266.0,0.204
267.0,0.163
268.0,0.247
269.0,0.199
270.0,0.125
271.0,-0.032
272.0,0.055
273.0,0.144
274.0,0.216
275.0,0.228
276.0,0.082
277.0,-0.029
278.0,-0.105
279.0,-0.087
280.0,-0.079
281.0,-0.090
282.0,-0.044
283.0,0.005
284.0,-0.081
285.0,-0.053
286.0,-0.081
287.0,0.089
288.0,0.181
289.0,0.141
290.0,0.150
291.0,0.075
292.0,0.201
293.0,0.196
294.0,0.211
295.0,0.132
296.0,0.074
297.0,0.176
298.0,0.303
299.0,0.381
300.0,0.285
301.0,0.210
302.0,0.180
303.0,0.205
304.0,0.193
305.0,0.230
306.0,0.299
307.0,0.297
308.0,0.260
309.0,0.194
310.0,0.239
311.0,0.291
312.0,0.304
313.0,0.248
314.0,0.229
315.0,0.222
316.0,0.237
317.0,0.210
318.0,0.196
319.0,0.186
320.0,0.184
321.0,0.185
322.0,0.183
323.0,0.176
324.0,0.163
325.0,0.154
326.0,0.151
327.0,0.148
328.0,0.141
329.0,0.132
330.0,0.123
331.0,0.117
332.0,0.109
333.0,0.103
334.0,0.097
335.0,0.092
336.0,0.089
337.0,0.085
338.0,0.081
339.0,0.079
340.0,0.075
341.0,0.072
342.0,0.069
343.0,0.068
344.0,0.066
345.0,0.065
346.0,0.063
347.0,0.061
348.0,0.058
349.0,0.057
350.0,0.055
351.0,0.053
352.0,0.053
353.0,0.052
354.0,0.051
355.0,0.049
356.0,0.048
357.0,0.047
358.0,0.046
359.0,0.045
360.0,0.045
361.0,0.045
362.0,0.045
363.0,0.044
364.0,0.043
365.0,0.042
366.0,0.042
367.0,0.041
