Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R2_0-10_24_09_2025
Sample ID
Option
Analyst
Date/Time:,09/24/2025 12:44:12 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,1.149
401.0,1.142
402.0,1.132
403.0,1.122
404.0,1.112
405.0,1.102
406.0,1.094
407.0,1.085
408.0,1.077
409.0,1.068
410.0,1.059
411.0,1.050
412.0,1.042
413.0,1.035
414.0,1.027
415.0,1.019
416.0,1.011
417.0,1.004
418.0,0.996
419.0,0.988
420.0,0.980
421.0,0.974
422.0,0.968
423.0,0.962
424.0,0.954
425.0,0.947
426.0,0.940
427.0,0.933
428.0,0.926
429.0,0.919
430.0,0.913
431.0,0.907
432.0,0.901
433.0,0.895
434.0,0.889
435.0,0.883
436.0,0.877
437.0,0.873
438.0,0.868
439.0,0.863
440.0,0.859
441.0,0.855
442.0,0.851
443.0,0.847
444.0,0.844
445.0,0.841
446.0,0.838
447.0,0.835
448.0,0.832
449.0,0.829
450.0,0.826
451.0,0.824
452.0,0.821
453.0,0.820
454.0,0.818
455.0,0.817
456.0,0.815
457.0,0.813
458.0,0.811
459.0,0.810
460.0,0.808
461.0,0.807
462.0,0.805
463.0,0.804
464.0,0.802
465.0,0.800
466.0,0.799
467.0,0.797
468.0,0.795
469.0,0.793
470.0,0.792
471.0,0.791
472.0,0.789
473.0,0.787
474.0,0.785
475.0,0.783
476.0,0.781
477.0,0.779
478.0,0.777
479.0,0.774
480.0,0.772
481.0,0.770
482.0,0.767
483.0,0.765
484.0,0.762
485.0,0.760
486.0,0.757
487.0,0.754
488.0,0.751
489.0,0.749
490.0,0.747
491.0,0.744
492.0,0.741
493.0,0.739
494.0,0.736
495.0,0.733
496.0,0.731
497.0,0.728
498.0,0.726
499.0,0.723
500.0,0.720
501.0,0.718
502.0,0.715
503.0,0.712
504.0,0.710
505.0,0.707
506.0,0.705
507.0,0.703
508.0,0.701
509.0,0.698
510.0,0.696
511.0,0.694
512.0,0.692
513.0,0.689
514.0,0.687
515.0,0.685
516.0,0.683
517.0,0.682
518.0,0.680
519.0,0.678
520.0,0.676
521.0,0.674
522.0,0.673
523.0,0.671
524.0,0.670
525.0,0.668
526.0,0.666
527.0,0.665
528.0,0.664
529.0,0.663
530.0,0.662
531.0,0.660
532.0,0.659
533.0,0.658
534.0,0.657
535.0,0.655
536.0,0.655
537.0,0.654
538.0,0.653
539.0,0.652
540.0,0.651
541.0,0.650
542.0,0.649
543.0,0.648
544.0,0.647
545.0,0.646
546.0,0.645
547.0,0.644
548.0,0.643
549.0,0.641
550.0,0.640
551.0,0.640
552.0,0.639
553.0,0.637
554.0,0.636
555.0,0.636
556.0,0.635
557.0,0.634
558.0,0.633
559.0,0.631
560.0,0.630
561.0,0.629
562.0,0.628
563.0,0.627
564.0,0.626
565.0,0.625
566.0,0.624
567.0,0.622
568.0,0.621
569.0,0.621
