Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,25_24_09_2025
Sample ID
Option
Analyst
Date/Time:,09/24/2025 12:23:49 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.063
401.0,0.063
402.0,0.063
403.0,0.063
404.0,0.063
405.0,0.063
406.0,0.063
407.0,0.063
408.0,0.063
409.0,0.063
410.0,0.063
411.0,0.063
412.0,0.063
413.0,0.064
414.0,0.064
415.0,0.064
416.0,0.064
417.0,0.065
418.0,0.065
419.0,0.065
420.0,0.065
421.0,0.065
422.0,0.066
423.0,0.066
424.0,0.067
425.0,0.067
426.0,0.067
427.0,0.067
428.0,0.068
429.0,0.069
430.0,0.069
431.0,0.069
432.0,0.070
433.0,0.071
434.0,0.071
435.0,0.072
436.0,0.073
437.0,0.073
438.0,0.074
439.0,0.074
440.0,0.074
441.0,0.075
442.0,0.076
443.0,0.077
444.0,0.078
445.0,0.078
446.0,0.079
447.0,0.080
448.0,0.081
449.0,0.081
450.0,0.082
451.0,0.082
452.0,0.083
453.0,0.084
454.0,0.085
455.0,0.086
456.0,0.087
457.0,0.088
458.0,0.089
459.0,0.089
460.0,0.090
461.0,0.091
462.0,0.092
463.0,0.093
464.0,0.093
465.0,0.094
466.0,0.095
467.0,0.096
468.0,0.096
469.0,0.097
470.0,0.098
471.0,0.099
472.0,0.100
473.0,0.101
474.0,0.102
475.0,0.103
476.0,0.103
477.0,0.104
478.0,0.105
479.0,0.106
480.0,0.107
481.0,0.108
482.0,0.109
483.0,0.110
484.0,0.111
485.0,0.111
486.0,0.112
487.0,0.113
488.0,0.114
489.0,0.115
490.0,0.115
491.0,0.116
492.0,0.117
493.0,0.118
494.0,0.119
495.0,0.119
496.0,0.120
497.0,0.121
498.0,0.121
499.0,0.122
500.0,0.122
501.0,0.123
502.0,0.124
503.0,0.125
504.0,0.126
505.0,0.127
506.0,0.128
507.0,0.128
508.0,0.129
509.0,0.130
510.0,0.131
511.0,0.131
512.0,0.132
513.0,0.133
514.0,0.133
515.0,0.134
516.0,0.136
517.0,0.137
518.0,0.138
519.0,0.138
520.0,0.139
521.0,0.141
522.0,0.142
523.0,0.143
524.0,0.144
525.0,0.145
526.0,0.146
527.0,0.147
528.0,0.148
529.0,0.149
530.0,0.150
531.0,0.152
532.0,0.153
533.0,0.154
534.0,0.155
535.0,0.156
536.0,0.158
537.0,0.159
538.0,0.160
539.0,0.161
540.0,0.163
541.0,0.164
542.0,0.165
543.0,0.166
544.0,0.167
545.0,0.169
546.0,0.170
547.0,0.171
548.0,0.172
549.0,0.174
550.0,0.175
551.0,0.176
552.0,0.177
553.0,0.178
554.0,0.179
555.0,0.180
556.0,0.182
557.0,0.183
558.0,0.184
559.0,0.185
560.0,0.186
561.0,0.187
562.0,0.188
563.0,0.189
564.0,0.190
565.0,0.191
566.0,0.192
567.0,0.193
568.0,0.194
569.0,0.196
570.0,0.197
571.0,0.198
572.0,0.199
573.0,0.200
574.0,0.201
575.0,0.202
576.0,0.203
577.0,0.204
578.0,0.205
579.0,0.207
580.0,0.208
581.0,0.209
582.0,0.210
583.0,0.211
584.0,0.212
585.0,0.213
586.0,0.214
587.0,0.215
588.0,0.216
589.0,0.217
590.0,0.218
591.0,0.219
592.0,0.220
593.0,0.221
594.0,0.222
595.0,0.223
596.0,0.224
597.0,0.225
598.0,0.226
599.0,0.227
600.0,0.228
601.0,0.228
602.0,0.229
603.0,0.230
604.0,0.231
605.0,0.232
606.0,0.233
607.0,0.234
608.0,0.235
609.0,0.236
610.0,0.236
611.0,0.237
612.0,0.239
613.0,0.239
614.0,0.240
615.0,0.241
616.0,0.242
617.0,0.242
618.0,0.243
