Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_1_24_09_2025
Sample ID
Option
Analyst
Date/Time:,09/24/2025 12:32:01 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.132
401.0,0.132
402.0,0.133
403.0,0.133
404.0,0.133
405.0,0.133
406.0,0.134
407.0,0.134
408.0,0.135
409.0,0.135
410.0,0.136
411.0,0.137
412.0,0.138
413.0,0.139
414.0,0.140
415.0,0.141
416.0,0.142
417.0,0.143
418.0,0.144
419.0,0.145
420.0,0.146
421.0,0.147
422.0,0.148
423.0,0.149
424.0,0.151
425.0,0.152
426.0,0.154
427.0,0.155
428.0,0.156
429.0,0.158
430.0,0.159
431.0,0.161
432.0,0.163
433.0,0.165
434.0,0.167
435.0,0.168
436.0,0.170
437.0,0.172
438.0,0.174
439.0,0.176
440.0,0.178
441.0,0.180
442.0,0.182
443.0,0.184
444.0,0.186
445.0,0.188
446.0,0.190
447.0,0.192
448.0,0.195
449.0,0.197
450.0,0.199
451.0,0.202
452.0,0.204
453.0,0.207
454.0,0.209
455.0,0.212
456.0,0.214
457.0,0.217
458.0,0.219
459.0,0.222
460.0,0.224
461.0,0.227
462.0,0.230
463.0,0.232
464.0,0.235
465.0,0.237
466.0,0.240
467.0,0.242
468.0,0.244
469.0,0.247
470.0,0.249
471.0,0.252
472.0,0.255
473.0,0.257
474.0,0.260
475.0,0.262
476.0,0.265
477.0,0.268
478.0,0.270
479.0,0.272
480.0,0.275
481.0,0.277
482.0,0.280
483.0,0.282
484.0,0.285
485.0,0.287
486.0,0.289
487.0,0.291
488.0,0.293
489.0,0.295
490.0,0.297
491.0,0.299
492.0,0.301
493.0,0.304
494.0,0.305
495.0,0.307
496.0,0.309
497.0,0.311
498.0,0.313
499.0,0.314
500.0,0.316
501.0,0.318
502.0,0.319
503.0,0.321
504.0,0.323
505.0,0.325
506.0,0.327
507.0,0.329
508.0,0.330
509.0,0.332
510.0,0.334
511.0,0.335
512.0,0.337
513.0,0.339
514.0,0.341
515.0,0.343
516.0,0.345
517.0,0.347
518.0,0.349
519.0,0.351
520.0,0.354
521.0,0.356
522.0,0.359
523.0,0.361
524.0,0.364
525.0,0.367
526.0,0.370
527.0,0.372
528.0,0.375
529.0,0.378
530.0,0.381
531.0,0.384
532.0,0.386
533.0,0.389
534.0,0.392
535.0,0.394
536.0,0.397
537.0,0.400
538.0,0.403
539.0,0.406
540.0,0.409
541.0,0.412
542.0,0.414
543.0,0.417
544.0,0.420
545.0,0.423
546.0,0.425
547.0,0.428
548.0,0.431
549.0,0.433
550.0,0.435
551.0,0.438
552.0,0.440
553.0,0.443
554.0,0.445
555.0,0.447
556.0,0.449
557.0,0.452
558.0,0.453
559.0,0.455
560.0,0.457
561.0,0.459
562.0,0.461
563.0,0.463
564.0,0.465
565.0,0.467
566.0,0.469
567.0,0.471
568.0,0.473
569.0,0.475
570.0,0.477
571.0,0.479
572.0,0.481
573.0,0.483
574.0,0.485
575.0,0.487
576.0,0.489
577.0,0.491
578.0,0.493
579.0,0.495
580.0,0.497
581.0,0.499
582.0,0.501
583.0,0.503
584.0,0.505
585.0,0.506
586.0,0.508
587.0,0.510
588.0,0.512
589.0,0.514
590.0,0.516
591.0,0.518
592.0,0.520
593.0,0.522
594.0,0.524
595.0,0.526
596.0,0.527
597.0,0.529
598.0,0.531
599.0,0.533
600.0,0.535
601.0,0.537
602.0,0.538
603.0,0.540
604.0,0.542
605.0,0.544
606.0,0.545
607.0,0.547
608.0,0.549
609.0,0.551
610.0,0.552
611.0,0.554
612.0,0.556
613.0,0.557
614.0,0.559
615.0,0.561
616.0,0.563
617.0,0.565
618.0,0.566
619.0,0.568
620.0,0.569
621.0,0.570
622.0,0.572
623.0,0.574
624.0,0.576
625.0,0.578
626.0,0.579
627.0,0.581
628.0,0.582
629.0,0.584
630.0,0.586
631.0,0.588
632.0,0.589
633.0,0.591
634.0,0.593
635.0,0.595
636.0,0.596
637.0,0.598
638.0,0.600
639.0,0.601
640.0,0.603
641.0,0.604
642.0,0.606
643.0,0.608
644.0,0.610
645.0,0.611
646.0,0.613
647.0,0.614
648.0,0.616
649.0,0.618
650.0,0.619
651.0,0.621
652.0,0.623
653.0,0.625
654.0,0.627
655.0,0.629
656.0,0.630
657.0,0.632
658.0,0.634
659.0,0.636
660.0,0.638
661.0,0.639
662.0,0.641
663.0,0.643
664.0,0.645
665.0,0.647
666.0,0.649
667.0,0.650
668.0,0.652
669.0,0.654
670.0,0.656
671.0,0.658
672.0,0.660
673.0,0.661
674.0,0.664
675.0,0.665
676.0,0.667
677.0,0.669
678.0,0.671
679.0,0.672
680.0,0.674
681.0,0.676
682.0,0.678
683.0,0.679
684.0,0.681
685.0,0.682
686.0,0.684
687.0,0.685
688.0,0.687
689.0,0.689
690.0,0.691
691.0,0.691
692.0,0.692
693.0,0.694
694.0,0.696
695.0,0.697
696.0,0.698
697.0,0.699
698.0,0.700
699.0,0.700
700.0,0.701
701.0,0.702
702.0,0.703
703.0,0.703
704.0,0.704
705.0,0.704
706.0,0.705
707.0,0.706
708.0,0.706
709.0,0.706
710.0,0.706
711.0,0.706
712.0,0.706
713.0,0.706
714.0,0.706
715.0,0.706
716.0,0.705
717.0,0.705
718.0,0.704
719.0,0.703
720.0,0.702
721.0,0.701
722.0,0.701
723.0,0.700
724.0,0.699
725.0,0.697
726.0,0.696
727.0,0.695
728.0,0.695
729.0,0.693
730.0,0.692
731.0,0.690
732.0,0.689
733.0,0.687
734.0,0.686
735.0,0.685
736.0,0.683
737.0,0.682
738.0,0.681
739.0,0.678
740.0,0.676
741.0,0.674
742.0,0.672
743.0,0.670
744.0,0.669
745.0,0.668
746.0,0.666
747.0,0.664
748.0,0.663
749.0,0.662
750.0,0.661
751.0,0.658
752.0,0.656
753.0,0.654
754.0,0.653
755.0,0.651
756.0,0.650
757.0,0.649
758.0,0.648
759.0,0.646
760.0,0.645
761.0,0.644
762.0,0.643
763.0,0.642
764.0,0.641
765.0,0.640
766.0,0.639
767.0,0.638
768.0,0.636
769.0,0.635
770.0,0.634
771.0,0.634
772.0,0.634
773.0,0.633
774.0,0.632
775.0,0.632
776.0,0.632
777.0,0.631
778.0,0.631
779.0,0.631
780.0,0.631
781.0,0.632
782.0,0.632
783.0,0.632
784.0,0.631
785.0,0.631
786.0,0.632
787.0,0.633
788.0,0.633
789.0,0.634
790.0,0.634
791.0,0.635
792.0,0.635
793.0,0.636
794.0,0.637
795.0,0.640
796.0,0.641
797.0,0.644
798.0,0.644
799.0,0.646
800.0,0.647
801.0,0.648
802.0,0.649
803.0,0.650
804.0,0.653
805.0,0.656
806.0,0.658
807.0,0.660
808.0,0.662
809.0,0.663
810.0,0.666
811.0,0.669
812.0,0.672
813.0,0.675
814.0,0.677
815.0,0.681
816.0,0.683
817.0,0.685
818.0,0.686
819.0,0.689
820.0,0.690
821.0,0.695
822.0,0.698
823.0,0.702
824.0,0.704
825.0,0.708
826.0,0.710
827.0,0.713
828.0,0.715
829.0,0.719
830.0,0.723
831.0,0.726
832.0,0.729
833.0,0.731
834.0,0.734
835.0,0.738
836.0,0.742
837.0,0.746
838.0,0.748
839.0,0.752
840.0,0.753
841.0,0.757
842.0,0.760
843.0,0.763
844.0,0.766
845.0,0.768
846.0,0.774
847.0,0.779
848.0,0.782
849.0,0.786
850.0,0.791
851.0,0.796
852.0,0.799
853.0,0.799
854.0,0.800
855.0,0.805
856.0,0.810
857.0,0.813
858.0,0.816
859.0,0.820
860.0,0.824
861.0,0.826
862.0,0.829
863.0,0.831
864.0,0.836
865.0,0.838
866.0,0.840
867.0,0.841
868.0,0.845
869.0,0.847
870.0,0.850
871.0,0.852
872.0,0.855
873.0,0.857
874.0,0.859
875.0,0.860
876.0,0.861
877.0,0.862
878.0,0.863
879.0,0.866
880.0,0.867
881.0,0.868
882.0,0.868
883.0,0.869
884.0,0.871
885.0,0.870
886.0,0.870
887.0,0.867
888.0,0.867
889.0,0.867
890.0,0.868
891.0,0.867
892.0,0.866
893.0,0.865
894.0,0.864
895.0,0.862
896.0,0.859
897.0,0.857
898.0,0.856
899.0,0.855
900.0,0.852
901.0,0.849
902.0,0.846
903.0,0.843
904.0,0.840
905.0,0.835
906.0,0.833
907.0,0.829
908.0,0.825
909.0,0.820
910.0,0.815
911.0,0.810
912.0,0.805
913.0,0.801
914.0,0.796
915.0,0.790
916.0,0.785
917.0,0.778
918.0,0.772
919.0,0.766
920.0,0.760
921.0,0.755
922.0,0.748
923.0,0.741
924.0,0.735
925.0,0.729
926.0,0.721
927.0,0.714
928.0,0.706
929.0,0.698
930.0,0.691
931.0,0.684
932.0,0.678
933.0,0.670
934.0,0.663
935.0,0.655
936.0,0.647
937.0,0.640
938.0,0.632
939.0,0.625
940.0,0.618
941.0,0.611
942.0,0.603
943.0,0.595
944.0,0.587
945.0,0.580
946.0,0.573
947.0,0.565
948.0,0.558
949.0,0.551
950.0,0.544
951.0,0.537
952.0,0.530
953.0,0.523
954.0,0.516
955.0,0.509
956.0,0.503
957.0,0.496
958.0,0.491
959.0,0.484
960.0,0.478
961.0,0.472
962.0,0.465
963.0,0.459
964.0,0.454
965.0,0.449
966.0,0.443
967.0,0.437
968.0,0.431
969.0,0.426
970.0,0.421
971.0,0.416
972.0,0.411
973.0,0.407
974.0,0.402
975.0,0.398
976.0,0.393
977.0,0.388
978.0,0.383
979.0,0.379
980.0,0.374
981.0,0.371
982.0,0.366
983.0,0.363
984.0,0.359
985.0,0.355
986.0,0.351
987.0,0.347
988.0,0.344
989.0,0.340
990.0,0.337
991.0,0.334
992.0,0.330
993.0,0.327
994.0,0.324
995.0,0.321
996.0,0.318
997.0,0.315
998.0,0.312
999.0,0.309
1000.0,0.306
1001.0,0.304
1002.0,0.301
1003.0,0.298
1004.0,0.296
1005.0,0.293
1006.0,0.291
1007.0,0.289
1008.0,0.286
1009.0,0.284
1010.0,0.281
1011.0,0.279
1012.0,0.277
1013.0,0.275
1014.0,0.273
1015.0,0.271
1016.0,0.269
1017.0,0.267
1018.0,0.265
1019.0,0.263
1020.0,0.261
1021.0,0.259
1022.0,0.257
1023.0,0.256
1024.0,0.254
1025.0,0.252
1026.0,0.250
1027.0,0.249
1028.0,0.247
1029.0,0.246
1030.0,0.244
1031.0,0.243
1032.0,0.241
1033.0,0.240
1034.0,0.238
1035.0,0.237
1036.0,0.235
1037.0,0.234
1038.0,0.233
1039.0,0.231
1040.0,0.230
1041.0,0.229
1042.0,0.228
1043.0,0.226
1044.0,0.225
1045.0,0.224
1046.0,0.222
1047.0,0.221
1048.0,0.220
1049.0,0.219
1050.0,0.218
1051.0,0.217
1052.0,0.216
1053.0,0.215
1054.0,0.214
1055.0,0.213
1056.0,0.212
1057.0,0.211
1058.0,0.210
1059.0,0.209
1060.0,0.208
1061.0,0.207
1062.0,0.206
1063.0,0.205
1064.0,0.205
1065.0,0.204
1066.0,0.203
1067.0,0.202
1068.0,0.201
1069.0,0.201
1070.0,0.200
1071.0,0.199
1072.0,0.198
1073.0,0.197
1074.0,0.197
1075.0,0.196
1076.0,0.195
1077.0,0.194
1078.0,0.193
1079.0,0.193
1080.0,0.192
1081.0,0.192
1082.0,0.191
1083.0,0.190
1084.0,0.189
1085.0,0.189
1086.0,0.188
1087.0,0.188
1088.0,0.187
1089.0,0.186
1090.0,0.186
1091.0,0.185
1092.0,0.184
1093.0,0.184
1094.0,0.183
1095.0,0.183
1096.0,0.182
1097.0,0.182
1098.0,0.181
1099.0,0.180
1100.0,0.180
