Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_P2_0-10_24_09_2025_pt
Sample ID
Option
Analyst
Date/Time:,09/24/2025 04:42:10 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.063
401.0,0.062
402.0,0.062
403.0,0.061
404.0,0.061
405.0,0.061
406.0,0.061
407.0,0.062
408.0,0.063
409.0,0.064
410.0,0.065
411.0,0.066
412.0,0.068
413.0,0.070
414.0,0.071
415.0,0.073
416.0,0.075
417.0,0.077
418.0,0.079
419.0,0.081
420.0,0.083
421.0,0.086
422.0,0.088
423.0,0.091
424.0,0.093
425.0,0.096
426.0,0.100
427.0,0.103
428.0,0.106
429.0,0.109
430.0,0.112
431.0,0.115
432.0,0.118
433.0,0.122
434.0,0.126
435.0,0.129
436.0,0.133
437.0,0.136
438.0,0.140
439.0,0.144
440.0,0.148
441.0,0.151
442.0,0.154
443.0,0.158
444.0,0.161
445.0,0.165
446.0,0.170
447.0,0.174
448.0,0.177
449.0,0.181
450.0,0.185
451.0,0.189
452.0,0.192
453.0,0.197
454.0,0.201
455.0,0.205
456.0,0.208
457.0,0.212
458.0,0.216
459.0,0.221
460.0,0.225
461.0,0.229
462.0,0.232
463.0,0.236
464.0,0.240
465.0,0.244
466.0,0.248
467.0,0.251
468.0,0.255
469.0,0.258
470.0,0.262
471.0,0.265
472.0,0.269
473.0,0.273
474.0,0.276
475.0,0.280
476.0,0.283
477.0,0.287
478.0,0.290
479.0,0.294
480.0,0.298
481.0,0.301
482.0,0.305
483.0,0.308
484.0,0.311
485.0,0.314
486.0,0.317
487.0,0.320
488.0,0.323
489.0,0.326
490.0,0.329
491.0,0.332
492.0,0.335
493.0,0.338
494.0,0.341
495.0,0.344
496.0,0.347
497.0,0.349
498.0,0.352
499.0,0.355
500.0,0.358
501.0,0.360
502.0,0.363
503.0,0.366
504.0,0.369
505.0,0.371
506.0,0.374
507.0,0.376
508.0,0.379
509.0,0.381
510.0,0.384
511.0,0.387
512.0,0.390
513.0,0.392
514.0,0.395
515.0,0.398
516.0,0.400
517.0,0.403
518.0,0.405
519.0,0.408
520.0,0.411
521.0,0.414
522.0,0.417
523.0,0.420
524.0,0.423
525.0,0.425
526.0,0.428
527.0,0.431
528.0,0.434
529.0,0.437
530.0,0.440
531.0,0.442
532.0,0.445
533.0,0.448
534.0,0.451
535.0,0.454
536.0,0.457
537.0,0.460
538.0,0.462
539.0,0.466
540.0,0.469
541.0,0.472
542.0,0.474
543.0,0.477
544.0,0.480
545.0,0.482
546.0,0.485
547.0,0.488
548.0,0.491
549.0,0.494
550.0,0.497
551.0,0.500
552.0,0.502
553.0,0.505
554.0,0.508
555.0,0.511
556.0,0.513
557.0,0.516
558.0,0.518
