Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R1_10-20_24_09_2025_pt
Sample ID
Option
Analyst
Date/Time:,09/24/2025 04:39:13 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.078
401.0,0.078
402.0,0.077
403.0,0.075
404.0,0.075
405.0,0.075
406.0,0.074
407.0,0.075
408.0,0.075
409.0,0.076
410.0,0.076
411.0,0.078
412.0,0.078
413.0,0.079
414.0,0.081
415.0,0.082
416.0,0.084
417.0,0.085
418.0,0.087
419.0,0.089
420.0,0.091
421.0,0.093
422.0,0.096
423.0,0.098
424.0,0.100
425.0,0.103
426.0,0.105
427.0,0.108
428.0,0.111
429.0,0.114
430.0,0.117
431.0,0.120
432.0,0.123
433.0,0.127
434.0,0.130
435.0,0.133
436.0,0.136
437.0,0.139
438.0,0.143
439.0,0.147
440.0,0.151
441.0,0.154
442.0,0.157
443.0,0.160
444.0,0.164
445.0,0.168
446.0,0.172
447.0,0.176
448.0,0.179
449.0,0.183
450.0,0.187
451.0,0.191
452.0,0.194
453.0,0.198
454.0,0.202
455.0,0.206
456.0,0.210
457.0,0.213
458.0,0.217
459.0,0.221
460.0,0.225
461.0,0.229
462.0,0.233
463.0,0.237
464.0,0.241
465.0,0.244
466.0,0.248
467.0,0.251
468.0,0.255
469.0,0.258
470.0,0.262
471.0,0.266
472.0,0.269
473.0,0.273
474.0,0.276
475.0,0.280
476.0,0.283
477.0,0.287
478.0,0.291
479.0,0.294
480.0,0.298
481.0,0.301
482.0,0.305
483.0,0.308
484.0,0.311
485.0,0.314
486.0,0.317
487.0,0.320
488.0,0.323
489.0,0.326
490.0,0.329
491.0,0.332
492.0,0.335
493.0,0.338
494.0,0.341
495.0,0.344
496.0,0.347
497.0,0.350
498.0,0.352
499.0,0.355
500.0,0.357
501.0,0.360
502.0,0.363
503.0,0.365
504.0,0.368
505.0,0.371
506.0,0.374
507.0,0.376
508.0,0.379
509.0,0.382
510.0,0.384
511.0,0.387
512.0,0.389
513.0,0.392
514.0,0.395
515.0,0.397
516.0,0.400
517.0,0.402
518.0,0.405
519.0,0.408
520.0,0.410
521.0,0.413
522.0,0.416
523.0,0.419
524.0,0.422
525.0,0.425
526.0,0.428
527.0,0.430
528.0,0.433
529.0,0.436
530.0,0.439
531.0,0.442
532.0,0.445
533.0,0.448
534.0,0.451
535.0,0.454
536.0,0.457
537.0,0.460
538.0,0.463
539.0,0.466
540.0,0.469
541.0,0.472
542.0,0.475
543.0,0.477
544.0,0.480
545.0,0.483
546.0,0.486
547.0,0.489
548.0,0.492
549.0,0.494
550.0,0.497
551.0,0.500
552.0,0.502
553.0,0.505
554.0,0.508
555.0,0.511
556.0,0.514
557.0,0.516
558.0,0.519
559.0,0.521
560.0,0.524
561.0,0.526
562.0,0.529
563.0,0.532
564.0,0.535
565.0,0.537
566.0,0.540
567.0,0.542
568.0,0.545
569.0,0.548
570.0,0.551
571.0,0.554
572.0,0.556
573.0,0.559
574.0,0.562
575.0,0.565
576.0,0.567
577.0,0.570
578.0,0.573
579.0,0.576
580.0,0.578
581.0,0.581
582.0,0.584
583.0,0.586
584.0,0.589
585.0,0.592
586.0,0.595
587.0,0.598
588.0,0.600
589.0,0.603
590.0,0.606
591.0,0.609
592.0,0.612
593.0,0.615
594.0,0.618
595.0,0.621
596.0,0.624
597.0,0.627
598.0,0.630
599.0,0.632
600.0,0.635
601.0,0.638
602.0,0.642
603.0,0.644
604.0,0.647
605.0,0.650
606.0,0.653
607.0,0.656
608.0,0.659
609.0,0.662
610.0,0.665
611.0,0.668
612.0,0.671
613.0,0.674
614.0,0.677
615.0,0.680
616.0,0.683
617.0,0.686
618.0,0.689
619.0,0.692
620.0,0.695
621.0,0.698
622.0,0.701
623.0,0.704
624.0,0.707
625.0,0.710
626.0,0.713
627.0,0.716
628.0,0.719
629.0,0.722
630.0,0.725
631.0,0.728
632.0,0.731
633.0,0.734
634.0,0.737
635.0,0.740
636.0,0.743
637.0,0.746
638.0,0.748
639.0,0.752
640.0,0.755
641.0,0.758
642.0,0.761
643.0,0.764
644.0,0.766
645.0,0.769
646.0,0.772
647.0,0.775
648.0,0.778
649.0,0.780
650.0,0.783
651.0,0.786
652.0,0.789
653.0,0.792
654.0,0.795
655.0,0.798
656.0,0.801
657.0,0.804
658.0,0.808
659.0,0.810
660.0,0.813
661.0,0.816
662.0,0.819
663.0,0.822
664.0,0.825
665.0,0.828
666.0,0.830
667.0,0.833
668.0,0.835
669.0,0.838
670.0,0.841
671.0,0.844
672.0,0.846
673.0,0.850
674.0,0.852
675.0,0.856
676.0,0.858
677.0,0.861
678.0,0.863
679.0,0.867
680.0,0.869
681.0,0.872
682.0,0.874
683.0,0.878
684.0,0.881
685.0,0.883
686.0,0.885
687.0,0.887
688.0,0.890
689.0,0.893
690.0,0.895
691.0,0.897
692.0,0.900
693.0,0.902
694.0,0.905
695.0,0.907
696.0,0.910
697.0,0.913
698.0,0.915
699.0,0.917
700.0,0.919
701.0,0.920
702.0,0.923
703.0,0.925
704.0,0.928
705.0,0.930
706.0,0.932
707.0,0.934
708.0,0.936
709.0,0.938
710.0,0.939
