Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_1_24_09_2025_pt
Sample ID
Option
Analyst
Date/Time:,09/24/2025 03:57:36 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.201
401.0,0.201
402.0,0.201
403.0,0.201
404.0,0.201
405.0,0.202
406.0,0.202
407.0,0.202
408.0,0.203
409.0,0.203
410.0,0.204
411.0,0.204
412.0,0.205
413.0,0.205
414.0,0.206
415.0,0.207
416.0,0.207
417.0,0.208
418.0,0.210
419.0,0.210
420.0,0.211
421.0,0.212
422.0,0.213
423.0,0.214
424.0,0.215
425.0,0.217
426.0,0.218
427.0,0.220
428.0,0.221
429.0,0.223
430.0,0.225
431.0,0.226
432.0,0.228
433.0,0.230
434.0,0.232
435.0,0.234
436.0,0.235
437.0,0.237
438.0,0.239
439.0,0.241
440.0,0.244
441.0,0.245
442.0,0.247
443.0,0.249
444.0,0.252
445.0,0.254
446.0,0.257
447.0,0.260
448.0,0.262
449.0,0.265
450.0,0.267
451.0,0.269
452.0,0.272
453.0,0.275
454.0,0.277
455.0,0.280
456.0,0.283
457.0,0.285
458.0,0.288
459.0,0.291
460.0,0.294
461.0,0.297
462.0,0.300
463.0,0.303
464.0,0.306
465.0,0.309
466.0,0.312
467.0,0.314
468.0,0.317
469.0,0.320
470.0,0.323
471.0,0.326
472.0,0.328
473.0,0.331
474.0,0.334
475.0,0.337
476.0,0.340
477.0,0.342
478.0,0.345
479.0,0.348
480.0,0.351
481.0,0.354
482.0,0.357
483.0,0.359
484.0,0.362
485.0,0.364
486.0,0.367
487.0,0.370
488.0,0.373
489.0,0.375
490.0,0.377
491.0,0.379
492.0,0.382
493.0,0.384
494.0,0.386
495.0,0.389
496.0,0.391
497.0,0.393
498.0,0.395
499.0,0.398
500.0,0.399
501.0,0.401
502.0,0.403
503.0,0.405
504.0,0.408
505.0,0.410
506.0,0.412
507.0,0.414
508.0,0.416
509.0,0.418
510.0,0.421
511.0,0.423
512.0,0.425
513.0,0.427
514.0,0.430
515.0,0.432
516.0,0.434
517.0,0.437
518.0,0.439
519.0,0.442
520.0,0.445
521.0,0.448
522.0,0.451
523.0,0.454
524.0,0.457
525.0,0.460
526.0,0.464
527.0,0.468
528.0,0.471
529.0,0.474
530.0,0.477
531.0,0.480
532.0,0.484
533.0,0.487
534.0,0.491
535.0,0.494
536.0,0.497
537.0,0.501
538.0,0.504
539.0,0.508
540.0,0.511
541.0,0.515
542.0,0.518
543.0,0.522
544.0,0.525
545.0,0.529
546.0,0.532
547.0,0.535
548.0,0.539
549.0,0.542
550.0,0.545
551.0,0.548
552.0,0.552
553.0,0.555
554.0,0.558
555.0,0.561
556.0,0.564
557.0,0.566
558.0,0.569
559.0,0.572
560.0,0.575
561.0,0.577
562.0,0.580
563.0,0.583
564.0,0.586
565.0,0.589
566.0,0.591
567.0,0.594
568.0,0.597
569.0,0.600
570.0,0.603
571.0,0.605
572.0,0.608
573.0,0.611
574.0,0.613
575.0,0.616
576.0,0.619
577.0,0.621
578.0,0.624
579.0,0.627
580.0,0.630
581.0,0.632
582.0,0.634
583.0,0.637
584.0,0.640
585.0,0.642
586.0,0.645
587.0,0.648
588.0,0.650
589.0,0.653
590.0,0.656
591.0,0.658
592.0,0.661
593.0,0.664
594.0,0.666
595.0,0.668
596.0,0.671
597.0,0.673
598.0,0.676
599.0,0.678
600.0,0.681
601.0,0.683
602.0,0.685
603.0,0.688
604.0,0.690
605.0,0.692
606.0,0.694
607.0,0.696
608.0,0.699
609.0,0.701
610.0,0.703
611.0,0.705
612.0,0.707
613.0,0.709
614.0,0.711
615.0,0.714
616.0,0.716
617.0,0.718
618.0,0.720
619.0,0.722
620.0,0.724
621.0,0.726
622.0,0.727
623.0,0.730
624.0,0.732
625.0,0.734
626.0,0.736
627.0,0.738
628.0,0.740
629.0,0.742
630.0,0.744
631.0,0.746
632.0,0.748
633.0,0.749
634.0,0.751
635.0,0.753
636.0,0.755
637.0,0.757
638.0,0.759
639.0,0.760
640.0,0.762
641.0,0.764
642.0,0.766
643.0,0.768
644.0,0.770
645.0,0.772
646.0,0.774
647.0,0.776
648.0,0.778
649.0,0.779
650.0,0.781
651.0,0.783
652.0,0.785
653.0,0.787
654.0,0.789
655.0,0.791
656.0,0.792
657.0,0.795
658.0,0.797
659.0,0.799
660.0,0.801
661.0,0.803
662.0,0.805
663.0,0.807
664.0,0.808
665.0,0.810
666.0,0.812
667.0,0.814
668.0,0.817
669.0,0.819
670.0,0.821
671.0,0.823
672.0,0.824
673.0,0.826
674.0,0.828
675.0,0.830
676.0,0.832
677.0,0.834
678.0,0.836
679.0,0.837
680.0,0.839
681.0,0.841
682.0,0.844
683.0,0.846
684.0,0.848
685.0,0.849
686.0,0.851
687.0,0.853
688.0,0.854
689.0,0.856
690.0,0.858
691.0,0.859
692.0,0.861
693.0,0.862
694.0,0.864
695.0,0.865
696.0,0.866
697.0,0.868
698.0,0.870
699.0,0.871
700.0,0.871
701.0,0.872
702.0,0.873
703.0,0.873
704.0,0.875
705.0,0.875
706.0,0.876
707.0,0.876
708.0,0.877
709.0,0.878
710.0,0.878
711.0,0.878
712.0,0.878
713.0,0.877
714.0,0.877
715.0,0.877
716.0,0.877
717.0,0.877
718.0,0.876
719.0,0.876
720.0,0.875
721.0,0.875
722.0,0.874
723.0,0.873
724.0,0.872
725.0,0.871
726.0,0.870
727.0,0.871
728.0,0.870
729.0,0.869
730.0,0.867
731.0,0.865
732.0,0.864
733.0,0.863
734.0,0.862
735.0,0.860
736.0,0.859
737.0,0.858
738.0,0.856
739.0,0.855
740.0,0.852
741.0,0.850
742.0,0.848
743.0,0.848
744.0,0.847
745.0,0.845
746.0,0.843
747.0,0.842
748.0,0.840
749.0,0.839
750.0,0.838
751.0,0.837
752.0,0.835
753.0,0.833
754.0,0.832
755.0,0.831
756.0,0.830
757.0,0.830
758.0,0.829
759.0,0.827
760.0,0.826
761.0,0.824
762.0,0.823
763.0,0.823
764.0,0.823
765.0,0.822
766.0,0.820
767.0,0.819
768.0,0.819
769.0,0.818
770.0,0.819
771.0,0.818
772.0,0.817
773.0,0.816
774.0,0.816
775.0,0.815
776.0,0.814
777.0,0.815
778.0,0.816
779.0,0.817
780.0,0.817
781.0,0.817
782.0,0.817
783.0,0.817
784.0,0.817
785.0,0.818
786.0,0.819
787.0,0.820
788.0,0.820
789.0,0.821
790.0,0.820
791.0,0.821
792.0,0.823
793.0,0.824
794.0,0.824
795.0,0.825
796.0,0.826
797.0,0.828
798.0,0.829
799.0,0.831
800.0,0.833
801.0,0.836
802.0,0.838
803.0,0.841
804.0,0.842
805.0,0.844
806.0,0.844
807.0,0.847
808.0,0.848
809.0,0.851
810.0,0.853
811.0,0.856
812.0,0.857
813.0,0.860
814.0,0.862
815.0,0.866
816.0,0.869
817.0,0.872
818.0,0.875
819.0,0.876
820.0,0.877
821.0,0.880
822.0,0.883
823.0,0.887
824.0,0.890
825.0,0.893
826.0,0.896
827.0,0.899
828.0,0.902
829.0,0.905
830.0,0.908
831.0,0.910
832.0,0.914
833.0,0.916
834.0,0.919
835.0,0.922
836.0,0.924
837.0,0.927
838.0,0.931
839.0,0.935
840.0,0.937
841.0,0.939
842.0,0.941
843.0,0.945
844.0,0.949
845.0,0.953
846.0,0.955
847.0,0.959
848.0,0.962
849.0,0.966
850.0,0.969
851.0,0.972
852.0,0.976
853.0,0.980
854.0,0.983
855.0,0.984
856.0,0.985
857.0,0.988
858.0,0.993
859.0,0.997
860.0,1.000
861.0,1.002
862.0,1.005
863.0,1.007
864.0,1.010
865.0,1.013
866.0,1.016
867.0,1.018
868.0,1.020
869.0,1.022
870.0,1.021
871.0,1.022
872.0,1.024
873.0,1.028
874.0,1.030
875.0,1.031
876.0,1.031
877.0,1.032
878.0,1.034
879.0,1.035
880.0,1.037
881.0,1.038
882.0,1.038
883.0,1.039
884.0,1.037
885.0,1.037
886.0,1.035
887.0,1.034
888.0,1.033
889.0,1.033
890.0,1.033
891.0,1.032
892.0,1.030
893.0,1.029
894.0,1.028
895.0,1.026
896.0,1.024
897.0,1.021
898.0,1.017
899.0,1.014
900.0,1.011
901.0,1.009
902.0,1.006
903.0,1.003
904.0,0.998
905.0,0.994
906.0,0.991
907.0,0.987
908.0,0.983
909.0,0.977
910.0,0.971
911.0,0.966
912.0,0.961
913.0,0.955
914.0,0.949
915.0,0.944
916.0,0.937
917.0,0.931
918.0,0.924
919.0,0.918
920.0,0.912
921.0,0.905
922.0,0.899
923.0,0.892
924.0,0.885
925.0,0.878
926.0,0.870
927.0,0.862
928.0,0.854
929.0,0.847
930.0,0.839
931.0,0.832
932.0,0.824
933.0,0.817
934.0,0.809
935.0,0.802
936.0,0.794
937.0,0.785
938.0,0.777
939.0,0.769
940.0,0.762
941.0,0.754
942.0,0.746
943.0,0.738
944.0,0.729
945.0,0.722
946.0,0.714
947.0,0.707
948.0,0.699
949.0,0.692
950.0,0.684
