Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R2_0-10_25_09_2025
Sample ID
Option
Analyst
Date/Time:,09/25/2025 04:03:36 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.138
401.0,0.138
402.0,0.138
403.0,0.138
404.0,0.138
405.0,0.138
406.0,0.138
407.0,0.138
408.0,0.138
409.0,0.138
410.0,0.139
411.0,0.139
412.0,0.140
413.0,0.141
414.0,0.141
415.0,0.142
416.0,0.143
417.0,0.144
418.0,0.145
419.0,0.146
420.0,0.148
421.0,0.149
422.0,0.150
423.0,0.152
424.0,0.153
425.0,0.154
426.0,0.156
427.0,0.158
428.0,0.159
429.0,0.161
430.0,0.163
431.0,0.165
432.0,0.167
433.0,0.169
434.0,0.171
435.0,0.173
436.0,0.175
437.0,0.177
438.0,0.179
439.0,0.181
440.0,0.184
441.0,0.186
442.0,0.188
443.0,0.191
444.0,0.193
445.0,0.196
446.0,0.199
447.0,0.202
448.0,0.203
449.0,0.206
450.0,0.208
451.0,0.212
452.0,0.214
453.0,0.217
454.0,0.220
455.0,0.223
456.0,0.226
457.0,0.229
458.0,0.232
459.0,0.235
460.0,0.238
461.0,0.240
462.0,0.243
463.0,0.247
464.0,0.250
465.0,0.253
466.0,0.256
467.0,0.259
468.0,0.261
469.0,0.265
470.0,0.267
471.0,0.270
472.0,0.273
473.0,0.277
474.0,0.280
475.0,0.283
476.0,0.286
477.0,0.289
478.0,0.292
479.0,0.295
480.0,0.298
481.0,0.301
482.0,0.303
483.0,0.306
484.0,0.309
485.0,0.311
486.0,0.314
487.0,0.317
488.0,0.319
489.0,0.322
490.0,0.324
491.0,0.326
492.0,0.328
493.0,0.330
494.0,0.332
495.0,0.334
496.0,0.337
497.0,0.339
498.0,0.341
499.0,0.343
500.0,0.345
501.0,0.347
502.0,0.349
