Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_P2_10-20_25_09_2025_Pt
Sample ID
Option
Analyst
Date/Time:,09/25/2025 04:36:56 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.073
401.0,0.073
402.0,0.072
403.0,0.071
404.0,0.070
405.0,0.070
406.0,0.069
407.0,0.069
408.0,0.069
409.0,0.070
410.0,0.070
411.0,0.070
412.0,0.071
413.0,0.072
414.0,0.074
415.0,0.075
416.0,0.076
417.0,0.077
418.0,0.078
419.0,0.080
420.0,0.081
421.0,0.083
422.0,0.085
423.0,0.087
424.0,0.089
425.0,0.091
426.0,0.093
427.0,0.096
428.0,0.098
429.0,0.100
430.0,0.102
431.0,0.105
432.0,0.109
433.0,0.111
434.0,0.114
435.0,0.117
436.0,0.119
437.0,0.122
438.0,0.125
439.0,0.128
440.0,0.131
441.0,0.133
442.0,0.137
443.0,0.140
444.0,0.143
445.0,0.146
446.0,0.149
447.0,0.152
448.0,0.155
449.0,0.158
450.0,0.161
451.0,0.164
452.0,0.168
453.0,0.171
454.0,0.175
455.0,0.178
456.0,0.181
457.0,0.184
458.0,0.188
459.0,0.191
460.0,0.194
461.0,0.197
462.0,0.200
463.0,0.204
464.0,0.207
465.0,0.211
466.0,0.213
467.0,0.216
468.0,0.219
469.0,0.222
470.0,0.225
471.0,0.228
472.0,0.231
473.0,0.234
474.0,0.238
475.0,0.241
476.0,0.243
477.0,0.247
478.0,0.249
479.0,0.252
480.0,0.255
481.0,0.258
482.0,0.261
483.0,0.264
484.0,0.266
485.0,0.269
486.0,0.272
487.0,0.274
488.0,0.277
489.0,0.279
490.0,0.282
491.0,0.284
492.0,0.287
493.0,0.289
494.0,0.292
495.0,0.294
496.0,0.296
497.0,0.299
498.0,0.301
499.0,0.303
500.0,0.305
501.0,0.308
502.0,0.310
503.0,0.313
504.0,0.315
505.0,0.318
506.0,0.320
507.0,0.322
508.0,0.324
509.0,0.326
510.0,0.329
511.0,0.331
512.0,0.333
513.0,0.335
514.0,0.338
515.0,0.340
516.0,0.342
517.0,0.344
518.0,0.347
519.0,0.349
520.0,0.352
521.0,0.354
522.0,0.356
523.0,0.359
524.0,0.361
525.0,0.364
526.0,0.366
527.0,0.368
528.0,0.371
529.0,0.373
530.0,0.375
531.0,0.378
532.0,0.380
533.0,0.382
534.0,0.385
535.0,0.387
536.0,0.390
537.0,0.393
538.0,0.395
539.0,0.397
540.0,0.399
541.0,0.401
542.0,0.404
543.0,0.406
544.0,0.409
545.0,0.411
546.0,0.414
547.0,0.417
548.0,0.419
549.0,0.421
550.0,0.423
551.0,0.426
552.0,0.429
553.0,0.431
554.0,0.433
555.0,0.435
556.0,0.438
557.0,0.440
558.0,0.442
559.0,0.444
560.0,0.447
561.0,0.449
562.0,0.451
563.0,0.453
564.0,0.456
565.0,0.458
566.0,0.461
567.0,0.463
568.0,0.465
569.0,0.468
570.0,0.471
571.0,0.473
572.0,0.475
573.0,0.477
574.0,0.480
575.0,0.482
576.0,0.485
577.0,0.487
578.0,0.490
579.0,0.492
580.0,0.494
581.0,0.497
582.0,0.499
583.0,0.501
584.0,0.504
585.0,0.506
586.0,0.509
587.0,0.511
588.0,0.514
589.0,0.517
590.0,0.519
591.0,0.522
592.0,0.525
593.0,0.527
594.0,0.530
595.0,0.532
596.0,0.535
597.0,0.538
598.0,0.540
599.0,0.543
600.0,0.545
601.0,0.548
602.0,0.551
603.0,0.553
604.0,0.556
605.0,0.558
606.0,0.561
607.0,0.563
608.0,0.566
609.0,0.568
610.0,0.571
611.0,0.574
612.0,0.577
613.0,0.579
614.0,0.582
615.0,0.585
616.0,0.588
617.0,0.591
618.0,0.593
619.0,0.596
620.0,0.599
621.0,0.602
622.0,0.604
623.0,0.606
624.0,0.609
625.0,0.612
626.0,0.614
627.0,0.617
628.0,0.619
629.0,0.622
630.0,0.625
631.0,0.628
632.0,0.631
633.0,0.633
634.0,0.636
635.0,0.638
636.0,0.641
637.0,0.644
638.0,0.647
639.0,0.649
640.0,0.652
641.0,0.654
642.0,0.657
643.0,0.660
644.0,0.663
645.0,0.665
646.0,0.667
647.0,0.670
648.0,0.672
649.0,0.675
650.0,0.678
651.0,0.680
652.0,0.683
653.0,0.685
654.0,0.688
655.0,0.691
656.0,0.694
657.0,0.697
658.0,0.700
659.0,0.702
660.0,0.705
661.0,0.707
662.0,0.710
663.0,0.712
664.0,0.715
665.0,0.718
666.0,0.720
667.0,0.723
668.0,0.726
669.0,0.728
670.0,0.730
671.0,0.732
672.0,0.735
673.0,0.738
674.0,0.740
675.0,0.743
676.0,0.745
677.0,0.747
678.0,0.749
679.0,0.752
680.0,0.754
681.0,0.757
682.0,0.759
683.0,0.762
684.0,0.764
685.0,0.766
686.0,0.768
687.0,0.770
688.0,0.772
689.0,0.775
690.0,0.777
691.0,0.779
692.0,0.781
693.0,0.783
694.0,0.785
695.0,0.787
696.0,0.788
697.0,0.790
698.0,0.792
699.0,0.794
700.0,0.795
701.0,0.797
702.0,0.799
703.0,0.801
704.0,0.802
705.0,0.803
706.0,0.804
707.0,0.805
708.0,0.807
709.0,0.809
710.0,0.811
711.0,0.811
712.0,0.812
713.0,0.814
714.0,0.816
715.0,0.817
716.0,0.819
717.0,0.820
718.0,0.821
719.0,0.821
720.0,0.822
721.0,0.822
722.0,0.823
723.0,0.825
724.0,0.826
725.0,0.827
726.0,0.828
727.0,0.829
728.0,0.830
729.0,0.832
730.0,0.833
731.0,0.833
732.0,0.833
733.0,0.835
734.0,0.837
735.0,0.839
736.0,0.840
737.0,0.841
738.0,0.841
739.0,0.842
740.0,0.842
741.0,0.844
742.0,0.845
743.0,0.847
744.0,0.849
745.0,0.850
746.0,0.851
747.0,0.853
748.0,0.854
749.0,0.856
750.0,0.857
751.0,0.858
752.0,0.860
753.0,0.862
754.0,0.864
755.0,0.865
756.0,0.866
757.0,0.869
758.0,0.872
759.0,0.875
760.0,0.877
761.0,0.879
762.0,0.881
763.0,0.883
764.0,0.886
765.0,0.889
766.0,0.891
767.0,0.894
768.0,0.895
769.0,0.899
770.0,0.901
771.0,0.904
772.0,0.907
773.0,0.909
774.0,0.912
775.0,0.916
776.0,0.919
777.0,0.922
778.0,0.925
779.0,0.929
780.0,0.932
781.0,0.936
782.0,0.939
783.0,0.942
784.0,0.945
785.0,0.949
786.0,0.953
787.0,0.957
788.0,0.961
789.0,0.964
790.0,0.968
791.0,0.972
792.0,0.977
793.0,0.980
