Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R1_0-10_25_09_2025_Pt_diluida
Sample ID
Option
Analyst
Date/Time:,09/25/2025 04:25:07 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.072
401.0,0.071
402.0,0.070
403.0,0.070
404.0,0.069
405.0,0.068
406.0,0.068
407.0,0.068
408.0,0.068
409.0,0.068
410.0,0.069
411.0,0.069
412.0,0.069
413.0,0.070
414.0,0.072
415.0,0.073
416.0,0.074
417.0,0.075
418.0,0.076
419.0,0.078
420.0,0.080
421.0,0.082
422.0,0.083
423.0,0.085
424.0,0.087
425.0,0.090
426.0,0.092
427.0,0.094
428.0,0.096
429.0,0.099
430.0,0.101
431.0,0.104
432.0,0.107
433.0,0.109
434.0,0.112
435.0,0.114
436.0,0.118
437.0,0.120
438.0,0.123
439.0,0.126
440.0,0.129
441.0,0.132
442.0,0.135
443.0,0.138
444.0,0.141
445.0,0.144
446.0,0.147
447.0,0.151
448.0,0.153
449.0,0.157
450.0,0.160
451.0,0.163
452.0,0.166
453.0,0.169
454.0,0.173
455.0,0.176
456.0,0.180
457.0,0.183
458.0,0.186
459.0,0.189
460.0,0.193
461.0,0.196
462.0,0.199
463.0,0.202
464.0,0.205
465.0,0.208
466.0,0.211
467.0,0.215
468.0,0.218
469.0,0.220
470.0,0.223
471.0,0.226
472.0,0.230
473.0,0.233
474.0,0.236
475.0,0.239
476.0,0.242
477.0,0.245
478.0,0.248
479.0,0.251
480.0,0.254
481.0,0.257
482.0,0.260
483.0,0.263
484.0,0.265
485.0,0.268
486.0,0.270
487.0,0.273
488.0,0.276
489.0,0.278
490.0,0.280
491.0,0.283
492.0,0.285
493.0,0.288
494.0,0.291
495.0,0.293
496.0,0.295
497.0,0.298
498.0,0.300
499.0,0.303
500.0,0.305
501.0,0.307
502.0,0.309
503.0,0.312
504.0,0.315
505.0,0.317
506.0,0.319
507.0,0.321
508.0,0.324
509.0,0.326
510.0,0.328
511.0,0.330
512.0,0.333
513.0,0.335
514.0,0.337
515.0,0.339
516.0,0.341
517.0,0.344
518.0,0.346
519.0,0.348
520.0,0.351
521.0,0.353
522.0,0.356
523.0,0.358
524.0,0.361
525.0,0.363
526.0,0.365
527.0,0.368
528.0,0.370
529.0,0.373
530.0,0.375
531.0,0.377
532.0,0.379
533.0,0.382
534.0,0.385
535.0,0.387
536.0,0.389
537.0,0.392
538.0,0.394
539.0,0.397
540.0,0.399
541.0,0.401
542.0,0.403
543.0,0.406
544.0,0.408
545.0,0.411
546.0,0.413
547.0,0.416
548.0,0.418
549.0,0.421
550.0,0.423
551.0,0.425
552.0,0.428
553.0,0.430
554.0,0.433
555.0,0.435
556.0,0.437
557.0,0.439
558.0,0.441
559.0,0.443
560.0,0.445
561.0,0.448
562.0,0.450
563.0,0.452
564.0,0.454
565.0,0.457
566.0,0.459
567.0,0.462
568.0,0.464
569.0,0.466
570.0,0.469
571.0,0.471
572.0,0.474
573.0,0.476
574.0,0.479
575.0,0.481
576.0,0.483
577.0,0.485
578.0,0.488
579.0,0.490
580.0,0.492
581.0,0.494
582.0,0.497
583.0,0.499
584.0,0.501
585.0,0.504
586.0,0.506
587.0,0.508
588.0,0.511
589.0,0.514
590.0,0.517
591.0,0.519
592.0,0.521
593.0,0.524
594.0,0.526
595.0,0.529
596.0,0.532
597.0,0.535
598.0,0.537
599.0,0.540
600.0,0.542
601.0,0.544
602.0,0.546
603.0,0.549
604.0,0.551
