Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_Pi_amostra_R1_1-20_26_09_2025
Sample ID
Option
Analyst
Date/Time:,09/26/2025 01:09:54 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.162
401.0,0.160
402.0,0.157
403.0,0.155
404.0,0.152
405.0,0.150
406.0,0.147
407.0,0.145
408.0,0.142
409.0,0.140
410.0,0.138
411.0,0.136
412.0,0.134
413.0,0.132
414.0,0.130
415.0,0.127
416.0,0.125
417.0,0.124
418.0,0.121
419.0,0.120
420.0,0.117
421.0,0.116
422.0,0.114
423.0,0.112
424.0,0.111
425.0,0.109
426.0,0.107
427.0,0.106
428.0,0.104
429.0,0.103
430.0,0.101
431.0,0.100
432.0,0.098
433.0,0.097
434.0,0.096
435.0,0.095
436.0,0.094
437.0,0.093
438.0,0.092
439.0,0.091
440.0,0.090
441.0,0.089
442.0,0.088
443.0,0.087
444.0,0.086
445.0,0.086
446.0,0.085
447.0,0.084
448.0,0.084
449.0,0.083
450.0,0.083
451.0,0.082
452.0,0.082
453.0,0.081
454.0,0.081
455.0,0.080
456.0,0.080
457.0,0.080
458.0,0.079
459.0,0.079
460.0,0.079
461.0,0.078
462.0,0.078
463.0,0.077
464.0,0.077
465.0,0.077
466.0,0.077
467.0,0.077
468.0,0.077
469.0,0.076
470.0,0.076
471.0,0.076
472.0,0.075
473.0,0.075
474.0,0.075
475.0,0.074
476.0,0.074
477.0,0.074
478.0,0.073
479.0,0.073
480.0,0.073
481.0,0.072
482.0,0.071
483.0,0.071
484.0,0.070
485.0,0.070
486.0,0.069
487.0,0.069
488.0,0.068
489.0,0.067
490.0,0.066
491.0,0.065
492.0,0.065
493.0,0.063
494.0,0.063
495.0,0.061
496.0,0.060
497.0,0.059
498.0,0.058
499.0,0.058
500.0,0.056
501.0,0.055
502.0,0.054
503.0,0.052
504.0,0.051
505.0,0.050
506.0,0.049
507.0,0.048
508.0,0.046
509.0,0.045
510.0,0.044
511.0,0.043
512.0,0.042
513.0,0.040
514.0,0.040
515.0,0.039
516.0,0.037
517.0,0.036
518.0,0.035
519.0,0.034
520.0,0.033
521.0,0.032
522.0,0.031
523.0,0.030
524.0,0.029
525.0,0.028
526.0,0.028
527.0,0.027
528.0,0.026
529.0,0.025
530.0,0.024
531.0,0.023
532.0,0.023
533.0,0.022
534.0,0.021
535.0,0.021
536.0,0.020
537.0,0.019
538.0,0.018
539.0,0.017
540.0,0.016
541.0,0.015
542.0,0.014
543.0,0.013
544.0,0.012
545.0,0.011
546.0,0.010
547.0,0.008
548.0,0.007
549.0,0.006
550.0,0.005
551.0,0.003
552.0,0.002
553.0,0.000
554.0,-0.001
555.0,-0.003
556.0,-0.004
557.0,-0.006
558.0,-0.008
559.0,-0.009
560.0,-0.011
561.0,-0.013
562.0,-0.014
563.0,-0.016
564.0,-0.018
565.0,-0.020
566.0,-0.022
567.0,-0.024
568.0,-0.026
569.0,-0.028
570.0,-0.029
571.0,-0.031
572.0,-0.033
573.0,-0.035
574.0,-0.037
575.0,-0.039
576.0,-0.041
577.0,-0.043
578.0,-0.045
579.0,-0.046
580.0,-0.048
581.0,-0.050
582.0,-0.052
583.0,-0.054
584.0,-0.055
585.0,-0.057
586.0,-0.059
587.0,-0.061
588.0,-0.062
589.0,-0.064
590.0,-0.066
591.0,-0.068
592.0,-0.069
593.0,-0.070
594.0,-0.072
595.0,-0.074
596.0,-0.076
597.0,-0.078
598.0,-0.079
599.0,-0.080
600.0,-0.082
601.0,-0.084
602.0,-0.085
603.0,-0.087
604.0,-0.089
605.0,-0.090
606.0,-0.091
607.0,-0.093
608.0,-0.095
609.0,-0.096
610.0,-0.098
611.0,-0.100
612.0,-0.101
613.0,-0.102
614.0,-0.103
615.0,-0.104
616.0,-0.106
617.0,-0.108
618.0,-0.109
619.0,-0.110
620.0,-0.111
621.0,-0.113
622.0,-0.114
623.0,-0.115
624.0,-0.116
625.0,-0.117
626.0,-0.118
627.0,-0.119
628.0,-0.120
629.0,-0.121
630.0,-0.122
631.0,-0.123
632.0,-0.124
633.0,-0.124
634.0,-0.126
635.0,-0.126
636.0,-0.127
637.0,-0.128
638.0,-0.128
639.0,-0.129
640.0,-0.130
641.0,-0.131
642.0,-0.131
643.0,-0.132
644.0,-0.132
645.0,-0.134
646.0,-0.134
647.0,-0.134
648.0,-0.134
649.0,-0.135
650.0,-0.136
651.0,-0.136
652.0,-0.136
653.0,-0.137
654.0,-0.137
655.0,-0.137
656.0,-0.138
657.0,-0.138
658.0,-0.138
659.0,-0.139
660.0,-0.139
661.0,-0.139
662.0,-0.139
663.0,-0.139
664.0,-0.139
665.0,-0.139
666.0,-0.139
667.0,-0.139
668.0,-0.139
669.0,-0.139
670.0,-0.139
671.0,-0.139
672.0,-0.139
673.0,-0.139
674.0,-0.139
675.0,-0.139
676.0,-0.138
677.0,-0.138
678.0,-0.138
679.0,-0.139
