Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,25_diluido_1_1
Sample ID
Option
Analyst
Date/Time:,09/26/2025 01:51:20 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,-0.056
401.0,-0.057
402.0,-0.058
403.0,-0.060
404.0,-0.061
405.0,-0.062
406.0,-0.063
407.0,-0.064
408.0,-0.065
409.0,-0.066
410.0,-0.067
411.0,-0.068
412.0,-0.069
413.0,-0.070
414.0,-0.071
415.0,-0.072
416.0,-0.073
417.0,-0.074
418.0,-0.076
419.0,-0.077
420.0,-0.078
421.0,-0.080
422.0,-0.081
423.0,-0.082
424.0,-0.083
425.0,-0.084
426.0,-0.085
427.0,-0.086
428.0,-0.087
429.0,-0.088
430.0,-0.090
431.0,-0.090
432.0,-0.092
433.0,-0.093
434.0,-0.094
435.0,-0.095
436.0,-0.096
437.0,-0.097
438.0,-0.097
439.0,-0.098
440.0,-0.099
441.0,-0.101
442.0,-0.102
443.0,-0.103
444.0,-0.103
445.0,-0.105
446.0,-0.105
447.0,-0.106
448.0,-0.107
449.0,-0.108
450.0,-0.109
451.0,-0.110
452.0,-0.111
453.0,-0.112
454.0,-0.113
455.0,-0.113
456.0,-0.114
457.0,-0.115
458.0,-0.116
459.0,-0.117
460.0,-0.118
461.0,-0.119
462.0,-0.120
463.0,-0.121
464.0,-0.122
465.0,-0.122
466.0,-0.123
467.0,-0.124
468.0,-0.125
469.0,-0.126
470.0,-0.127
471.0,-0.128
472.0,-0.129
473.0,-0.130
474.0,-0.131
475.0,-0.132
476.0,-0.133
477.0,-0.134
478.0,-0.135
479.0,-0.136
480.0,-0.137
481.0,-0.138
482.0,-0.139
483.0,-0.140
484.0,-0.142
485.0,-0.143
486.0,-0.144
487.0,-0.145
488.0,-0.146
489.0,-0.148
490.0,-0.149
491.0,-0.150
492.0,-0.151
493.0,-0.152
494.0,-0.154
495.0,-0.155
496.0,-0.157
497.0,-0.158
498.0,-0.159
499.0,-0.160
500.0,-0.162
501.0,-0.163
502.0,-0.165
503.0,-0.166
504.0,-0.168
505.0,-0.169
506.0,-0.170
507.0,-0.171
508.0,-0.173
509.0,-0.175
510.0,-0.176
511.0,-0.178
512.0,-0.179
513.0,-0.181
514.0,-0.182
515.0,-0.184
516.0,-0.185
517.0,-0.187
518.0,-0.189
519.0,-0.190
520.0,-0.192
521.0,-0.193
522.0,-0.195
523.0,-0.197
524.0,-0.198
525.0,-0.200
526.0,-0.202
527.0,-0.203
528.0,-0.205
529.0,-0.206
530.0,-0.208
531.0,-0.210
532.0,-0.212
533.0,-0.214
534.0,-0.215
535.0,-0.217
536.0,-0.219
537.0,-0.221
538.0,-0.222
539.0,-0.224
540.0,-0.226
541.0,-0.228
542.0,-0.230
543.0,-0.232
544.0,-0.234
545.0,-0.236
546.0,-0.238
547.0,-0.240
548.0,-0.242
549.0,-0.244
550.0,-0.246
551.0,-0.248
552.0,-0.250
553.0,-0.252
554.0,-0.254
555.0,-0.256
556.0,-0.258
557.0,-0.260
558.0,-0.262
559.0,-0.264
560.0,-0.266
561.0,-0.268
562.0,-0.270
563.0,-0.273
564.0,-0.275
565.0,-0.277
566.0,-0.280
567.0,-0.282
568.0,-0.284
569.0,-0.286
570.0,-0.289
571.0,-0.291
572.0,-0.293
573.0,-0.295
574.0,-0.297
575.0,-0.300
576.0,-0.302
577.0,-0.304
578.0,-0.306
579.0,-0.308
580.0,-0.310
581.0,-0.312
582.0,-0.314
583.0,-0.316
584.0,-0.319
585.0,-0.321
586.0,-0.323
587.0,-0.325
588.0,-0.327
589.0,-0.329
590.0,-0.331
591.0,-0.333
592.0,-0.335
