Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_Pt_amostra_P2_0-10_26_09_2025_diluida_1_1
Sample ID
Option
Analyst
Date/Time:,09/26/2025 12:57:32 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.157
401.0,0.154
402.0,0.150
403.0,0.145
404.0,0.141
405.0,0.136
406.0,0.133
407.0,0.131
408.0,0.128
409.0,0.125
410.0,0.123
411.0,0.121
412.0,0.120
413.0,0.118
414.0,0.116
415.0,0.116
416.0,0.115
417.0,0.115
418.0,0.114
419.0,0.113
420.0,0.113
421.0,0.113
422.0,0.113
423.0,0.114
424.0,0.115
425.0,0.116
426.0,0.117
427.0,0.118
428.0,0.120
429.0,0.121
430.0,0.122
431.0,0.124
432.0,0.126
433.0,0.128
434.0,0.130
435.0,0.133
436.0,0.135
437.0,0.138
438.0,0.140
439.0,0.143
440.0,0.146
441.0,0.148
442.0,0.151
443.0,0.154
444.0,0.157
445.0,0.160
446.0,0.163
447.0,0.166
448.0,0.170
449.0,0.173
450.0,0.177
451.0,0.180
452.0,0.183
453.0,0.187
454.0,0.190
455.0,0.194
456.0,0.198
457.0,0.202
458.0,0.205
459.0,0.209
460.0,0.212
461.0,0.216
462.0,0.220
463.0,0.223
464.0,0.226
465.0,0.230
466.0,0.234
467.0,0.237
468.0,0.240
469.0,0.243
470.0,0.247
471.0,0.250
472.0,0.254
473.0,0.257
474.0,0.260
475.0,0.263
476.0,0.266
477.0,0.270
478.0,0.272
479.0,0.275
480.0,0.278
481.0,0.281
482.0,0.284
483.0,0.287
484.0,0.289
485.0,0.292
486.0,0.294
487.0,0.297
488.0,0.299
489.0,0.301
490.0,0.304
491.0,0.306
492.0,0.309
493.0,0.311
494.0,0.313
495.0,0.315
496.0,0.317
497.0,0.319
498.0,0.321
499.0,0.323
500.0,0.325
501.0,0.327
502.0,0.328
503.0,0.330
504.0,0.332
505.0,0.334
506.0,0.335
507.0,0.337
508.0,0.339
509.0,0.341
510.0,0.342
511.0,0.344
512.0,0.345
513.0,0.346
514.0,0.348
515.0,0.349
516.0,0.352
517.0,0.353
518.0,0.354
519.0,0.356
520.0,0.357
521.0,0.359
522.0,0.360
523.0,0.362
524.0,0.364
525.0,0.365
526.0,0.366
527.0,0.368
528.0,0.369
529.0,0.371
530.0,0.373
531.0,0.374
532.0,0.376
533.0,0.377
534.0,0.378
535.0,0.380
536.0,0.381
537.0,0.383
538.0,0.385
539.0,0.386
540.0,0.387
541.0,0.388
542.0,0.389
543.0,0.391
544.0,0.392
545.0,0.394
546.0,0.395
547.0,0.396
548.0,0.397
549.0,0.398
550.0,0.399
551.0,0.400
552.0,0.401
553.0,0.402
554.0,0.403
555.0,0.405
556.0,0.406
