Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_Pt_amostra_R2_10-20_26_09_2025_diluida_1_1
Sample ID
Option
Analyst
Date/Time:,09/26/2025 12:52:54 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
400.0,0.131
401.0,0.128
402.0,0.123
403.0,0.118
404.0,0.114
405.0,0.111
406.0,0.107
407.0,0.105
408.0,0.102
409.0,0.099
410.0,0.096
411.0,0.094
412.0,0.093
413.0,0.091
414.0,0.089
415.0,0.088
416.0,0.087
417.0,0.087
418.0,0.086
419.0,0.085
420.0,0.085
421.0,0.085
422.0,0.085
423.0,0.085
424.0,0.085
425.0,0.086
426.0,0.086
427.0,0.087
428.0,0.088
429.0,0.089
430.0,0.090
431.0,0.091
432.0,0.093
433.0,0.094
434.0,0.096
435.0,0.098
436.0,0.100
437.0,0.102
438.0,0.104
439.0,0.106
440.0,0.108
441.0,0.110
442.0,0.112
443.0,0.115
444.0,0.117
445.0,0.120
446.0,0.122
447.0,0.125
448.0,0.128
449.0,0.131
450.0,0.133
451.0,0.136
452.0,0.139
453.0,0.142
454.0,0.145
455.0,0.148
456.0,0.151
457.0,0.154
458.0,0.157
459.0,0.160
460.0,0.163
461.0,0.166
462.0,0.169
463.0,0.172
464.0,0.175
465.0,0.178
466.0,0.181
467.0,0.184
468.0,0.187
469.0,0.189
470.0,0.193
471.0,0.195
472.0,0.198
473.0,0.201
474.0,0.204
475.0,0.207
476.0,0.209
477.0,0.212
478.0,0.214
479.0,0.216
480.0,0.219
481.0,0.221
482.0,0.224
483.0,0.226
484.0,0.228
485.0,0.230
486.0,0.232
487.0,0.235
488.0,0.236
489.0,0.238
490.0,0.240
491.0,0.242
492.0,0.244
493.0,0.246
494.0,0.248
495.0,0.249
496.0,0.251
497.0,0.253
498.0,0.254
499.0,0.256
500.0,0.257
501.0,0.259
502.0,0.260
503.0,0.261
504.0,0.263
505.0,0.264
506.0,0.266
507.0,0.267
508.0,0.269
509.0,0.270
510.0,0.271
511.0,0.272
512.0,0.273
513.0,0.275
514.0,0.276
515.0,0.277
516.0,0.279
517.0,0.280
518.0,0.281
519.0,0.282
520.0,0.283
521.0,0.284
522.0,0.285
523.0,0.286
524.0,0.288
525.0,0.289
526.0,0.290
527.0,0.291
528.0,0.292
529.0,0.293
530.0,0.294
531.0,0.296
532.0,0.297
533.0,0.298
534.0,0.298
535.0,0.299
536.0,0.300
537.0,0.301
538.0,0.303
539.0,0.304
540.0,0.305
541.0,0.305
542.0,0.306
543.0,0.307
544.0,0.308
545.0,0.309
546.0,0.309
547.0,0.310
548.0,0.311
549.0,0.312
550.0,0.313
551.0,0.313
552.0,0.314
553.0,0.314
554.0,0.316
555.0,0.316
556.0,0.317
557.0,0.318
558.0,0.318
559.0,0.319
560.0,0.319
561.0,0.320
562.0,0.320
563.0,0.321
564.0,0.321
565.0,0.322
566.0,0.322
567.0,0.322
568.0,0.323
569.0,0.324
570.0,0.325
571.0,0.325
572.0,0.326
573.0,0.327
574.0,0.328
575.0,0.328
576.0,0.329
577.0,0.330
