Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_R1_10-20_22_09_2025
Sample ID
Option
Analyst
Date/Time:,09/22/2025 11:29:58 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.111
201.0,0.169
202.0,0.334
203.0,0.316
204.0,0.345
205.0,0.299
206.0,0.288
207.0,0.239
208.0,0.277
209.0,0.313
210.0,0.326
211.0,0.263
212.0,0.335
213.0,0.410
214.0,0.387
215.0,0.287
216.0,0.257
217.0,0.353
218.0,0.339
219.0,0.297
220.0,0.242
221.0,0.286
222.0,0.219
223.0,0.161
224.0,0.090
225.0,0.245
226.0,0.371
227.0,0.319
228.0,0.129
229.0,0.011
230.0,0.021
231.0,0.198
232.0,0.241
233.0,0.295
234.0,0.173
235.0,0.198
236.0,0.183
237.0,0.360
238.0,0.442
239.0,0.555
240.0,0.446
241.0,0.312
242.0,0.158
243.0,0.168
244.0,0.147
245.0,0.220
246.0,0.259
247.0,0.230
248.0,0.179
249.0,0.103
250.0,0.143
251.0,0.151
252.0,0.215
253.0,0.151
254.0,0.175
255.0,0.174
256.0,0.228
257.0,0.214
258.0,0.109
259.0,0.254
260.0,0.316
261.0,0.426
262.0,0.394
263.0,0.361
264.0,0.394
265.0,0.362
266.0,0.368
267.0,0.223
268.0,0.220
269.0,0.224
270.0,0.276
271.0,0.245
272.0,0.230
273.0,0.251
274.0,0.174
275.0,0.176
276.0,0.226
277.0,0.335
278.0,0.313
279.0,0.343
280.0,0.348
281.0,0.179
282.0,0.132
283.0,0.079
284.0,0.299
285.0,0.306
286.0,0.311
287.0,0.359
288.0,0.326
289.0,0.303
290.0,0.244
291.0,0.216
292.0,0.193
293.0,0.129
294.0,0.184
295.0,0.125
296.0,0.103
297.0,0.050
298.0,0.136
299.0,0.234
300.0,0.298
301.0,0.324
302.0,0.320
303.0,0.303
304.0,0.326
305.0,0.369
306.0,0.389
307.0,0.391
308.0,0.390
309.0,0.416
310.0,0.421
311.0,0.434
312.0,0.427
313.0,0.438
314.0,0.434
315.0,0.436
316.0,0.436
317.0,0.435
318.0,0.426
319.0,0.416
320.0,0.407
321.0,0.400
322.0,0.390
323.0,0.379
324.0,0.366
325.0,0.355
326.0,0.343
327.0,0.334
328.0,0.324
329.0,0.315
330.0,0.303
331.0,0.294
332.0,0.283
333.0,0.273
334.0,0.265
335.0,0.257
336.0,0.248
337.0,0.240
338.0,0.232
339.0,0.226
340.0,0.219
341.0,0.214
342.0,0.206
343.0,0.200
344.0,0.194
345.0,0.189
346.0,0.184
347.0,0.179
348.0,0.175
349.0,0.171
350.0,0.167
351.0,0.163
352.0,0.159
353.0,0.156
354.0,0.152
355.0,0.149
356.0,0.146
357.0,0.143
358.0,0.141
359.0,0.138
360.0,0.137
361.0,0.135
362.0,0.133
363.0,0.131
364.0,0.129
365.0,0.127
366.0,0.124
367.0,0.123
368.0,0.122
369.0,0.121
370.0,0.119
371.0,0.118
372.0,0.117
373.0,0.116
374.0,0.115
375.0,0.114
376.0,0.113
377.0,0.111
378.0,0.110
379.0,0.109
380.0,0.108
381.0,0.107
382.0,0.106
383.0,0.106
384.0,0.105
385.0,0.104
386.0,0.103
387.0,0.102
388.0,0.101
389.0,0.101
390.0,0.100
391.0,0.099
392.0,0.099
393.0,0.098
394.0,0.098
395.0,0.098
396.0,0.097
397.0,0.097
398.0,0.096
399.0,0.096
400.0,0.095
401.0,0.095
402.0,0.095
403.0,0.095
404.0,0.095
405.0,0.095
406.0,0.095
407.0,0.095
408.0,0.095
409.0,0.095
410.0,0.096
411.0,0.096
412.0,0.096
413.0,0.097
414.0,0.097
415.0,0.097
416.0,0.097
417.0,0.098
418.0,0.098
419.0,0.099
420.0,0.100
421.0,0.100
422.0,0.100
423.0,0.101
424.0,0.102
425.0,0.102
