Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,5_22_09_2025
Sample ID
Option
Analyst
Date/Time:,09/22/2025 11:09:59 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.184
201.0,0.163
202.0,0.256
203.0,0.166
204.0,0.253
205.0,0.202
206.0,0.226
207.0,0.078
208.0,0.070
209.0,0.125
210.0,0.216
211.0,0.143
212.0,0.196
213.0,0.335
214.0,0.327
215.0,0.266
216.0,0.077
217.0,0.114
218.0,0.074
219.0,0.204
220.0,0.225
221.0,0.237
222.0,0.154
223.0,0.198
224.0,0.262
225.0,0.320
226.0,0.415
227.0,0.381
228.0,0.229
229.0,0.112
230.0,0.084
231.0,0.197
232.0,0.208
233.0,0.223
234.0,0.210
235.0,0.212
236.0,0.191
237.0,0.245
238.0,0.238
239.0,0.361
240.0,0.333
241.0,0.309
242.0,0.149
243.0,0.091
244.0,0.154
245.0,0.268
246.0,0.290
247.0,0.244
248.0,0.169
249.0,0.188
250.0,0.088
251.0,0.152
252.0,0.179
253.0,0.264
254.0,0.146
255.0,0.034
256.0,0.067
257.0,0.127
258.0,0.159
259.0,0.196
260.0,0.255
261.0,0.273
262.0,0.276
263.0,0.198
264.0,0.286
265.0,0.247
266.0,0.220
267.0,0.072
268.0,-0.035
269.0,-0.027
270.0,0.063
271.0,0.167
272.0,0.177
273.0,0.210
274.0,0.276
275.0,0.302
276.0,0.286
277.0,0.240
278.0,0.203
279.0,0.187
280.0,0.184
281.0,0.178
282.0,0.192
283.0,0.276
284.0,0.284
285.0,0.297
286.0,0.114
287.0,0.195
288.0,0.233
289.0,0.278
290.0,0.233
291.0,0.150
292.0,0.185
293.0,0.178
294.0,0.166
295.0,0.095
296.0,0.043
297.0,0.059
298.0,0.036
299.0,0.076
300.0,0.028
301.0,0.065
302.0,0.040
303.0,0.097
304.0,0.117
305.0,0.140
306.0,0.119
307.0,0.115
308.0,0.121
309.0,0.139
310.0,0.135
311.0,0.155
312.0,0.157
313.0,0.163
314.0,0.164
315.0,0.171
316.0,0.176
317.0,0.178
318.0,0.177
319.0,0.177
320.0,0.176
321.0,0.175
322.0,0.173
323.0,0.169
324.0,0.165
325.0,0.161
326.0,0.155
327.0,0.152
328.0,0.148
329.0,0.146
330.0,0.142
331.0,0.138
332.0,0.135
333.0,0.131
334.0,0.127
335.0,0.125
336.0,0.122
337.0,0.119
338.0,0.116
339.0,0.114
340.0,0.111
341.0,0.110
342.0,0.107
343.0,0.106
344.0,0.103
345.0,0.100
346.0,0.098
347.0,0.095
348.0,0.094
349.0,0.093
350.0,0.091
351.0,0.090
352.0,0.088
353.0,0.086
354.0,0.085
355.0,0.083
356.0,0.081
357.0,0.080
358.0,0.079
359.0,0.078
360.0,0.077
361.0,0.076
362.0,0.075
363.0,0.074
364.0,0.073
365.0,0.072
366.0,0.071
367.0,0.070
368.0,0.070
369.0,0.069
370.0,0.068
371.0,0.067
372.0,0.066
373.0,0.066
374.0,0.066
375.0,0.065
376.0,0.064
377.0,0.064
378.0,0.064
379.0,0.063
380.0,0.063
381.0,0.062
382.0,0.062
383.0,0.061
384.0,0.061
385.0,0.061
386.0,0.060
387.0,0.060
388.0,0.059
389.0,0.059
390.0,0.059
391.0,0.058
392.0,0.058
393.0,0.058
394.0,0.058
395.0,0.058
396.0,0.057
397.0,0.058
398.0,0.057
399.0,0.058
400.0,0.058
401.0,0.058
402.0,0.058
403.0,0.059
404.0,0.059
405.0,0.059
406.0,0.059
407.0,0.059
408.0,0.060
409.0,0.060
410.0,0.061
411.0,0.062
412.0,0.062
413.0,0.063
414.0,0.064
415.0,0.064
416.0,0.065
417.0,0.065
418.0,0.066
419.0,0.067
420.0,0.068
421.0,0.068
422.0,0.069
423.0,0.070
424.0,0.071
425.0,0.072
426.0,0.072
427.0,0.073
428.0,0.074
429.0,0.075
