Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_1_22_09_2025
Sample ID
Option
Analyst
Date/Time:,09/22/2025 11:19:51 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.380
201.0,0.424
202.0,0.452
203.0,0.355
204.0,0.328
205.0,0.233
206.0,0.325
207.0,0.147
208.0,0.190
209.0,0.075
210.0,0.203
211.0,0.244
212.0,0.328
213.0,0.422
214.0,0.255
215.0,0.219
216.0,0.153
217.0,0.235
218.0,0.226
219.0,0.167
220.0,0.219
221.0,0.220
222.0,0.253
223.0,0.268
224.0,0.276
225.0,0.295
226.0,0.235
227.0,0.225
228.0,0.080
229.0,0.130
230.0,0.137
231.0,0.214
232.0,0.186
233.0,0.190
234.0,0.210
235.0,0.199
236.0,0.217
237.0,0.362
238.0,0.440
239.0,0.434
240.0,0.279
241.0,0.194
242.0,0.181
243.0,0.244
244.0,0.308
245.0,0.334
246.0,0.314
247.0,0.227
248.0,0.172
249.0,0.161
250.0,0.160
251.0,0.196
252.0,0.175
253.0,0.180
254.0,0.084
255.0,0.060
256.0,0.140
257.0,0.253
258.0,0.255
259.0,0.258
260.0,0.320
261.0,0.302
262.0,0.286
263.0,0.149
264.0,0.287
265.0,0.394
266.0,0.376
267.0,0.234
268.0,0.124
269.0,0.170
270.0,0.258
271.0,0.257
272.0,0.324
273.0,0.353
274.0,0.397
275.0,0.342
276.0,0.333
277.0,0.307
278.0,0.324
279.0,0.255
280.0,0.344
281.0,0.332
282.0,0.470
283.0,0.388
284.0,0.395
285.0,0.324
286.0,0.255
287.0,0.305
288.0,0.377
289.0,0.330
290.0,0.254
291.0,0.182
292.0,0.359
293.0,0.284
294.0,0.281
295.0,0.116
296.0,0.100
297.0,0.048
298.0,0.031
299.0,0.086
300.0,0.026
301.0,0.011
302.0,-0.001
303.0,0.024
304.0,0.059
305.0,0.076
306.0,0.084
307.0,0.114
308.0,0.139
309.0,0.162
310.0,0.164
311.0,0.178
312.0,0.185
313.0,0.202
314.0,0.211
315.0,0.218
316.0,0.219
317.0,0.221
318.0,0.222
319.0,0.221
320.0,0.220
321.0,0.219
322.0,0.216
323.0,0.213
324.0,0.209
325.0,0.206
326.0,0.200
327.0,0.196
328.0,0.190
329.0,0.186
330.0,0.181
331.0,0.177
332.0,0.172
333.0,0.167
334.0,0.162
335.0,0.159
336.0,0.155
337.0,0.152
338.0,0.148
339.0,0.145
340.0,0.142
341.0,0.140
342.0,0.137
343.0,0.135
344.0,0.132
345.0,0.129
346.0,0.127
347.0,0.124
348.0,0.122
349.0,0.119
350.0,0.118
351.0,0.116
352.0,0.114
353.0,0.112
354.0,0.111
355.0,0.109
356.0,0.107
357.0,0.105
358.0,0.104
359.0,0.102
360.0,0.101
361.0,0.100
362.0,0.099
363.0,0.098
364.0,0.096
365.0,0.095
366.0,0.094
367.0,0.093
368.0,0.093
369.0,0.092
370.0,0.091
371.0,0.090
372.0,0.090
373.0,0.089
374.0,0.089
375.0,0.088
376.0,0.087
377.0,0.086
378.0,0.086
379.0,0.086
380.0,0.085
381.0,0.084
382.0,0.083
383.0,0.083
384.0,0.083
385.0,0.082
386.0,0.082
387.0,0.081
388.0,0.080
389.0,0.080
390.0,0.080
391.0,0.080
392.0,0.079
393.0,0.079
394.0,0.080
395.0,0.080
396.0,0.080
397.0,0.080
398.0,0.079
399.0,0.080
400.0,0.080
401.0,0.080
402.0,0.080
403.0,0.081
404.0,0.082
405.0,0.082
406.0,0.082
407.0,0.082
408.0,0.083
409.0,0.084
410.0,0.085
411.0,0.086
412.0,0.087
413.0,0.088
414.0,0.088
415.0,0.089
416.0,0.090
417.0,0.091
418.0,0.092
419.0,0.093
420.0,0.094
421.0,0.095
422.0,0.096
423.0,0.097
424.0,0.099
425.0,0.100
426.0,0.101
427.0,0.102
428.0,0.104
429.0,0.106
430.0,0.107
431.0,0.108
432.0,0.110
433.0,0.111
434.0,0.113
435.0,0.115
436.0,0.117
437.0,0.118
438.0,0.120
439.0,0.122
440.0,0.124
441.0,0.126
442.0,0.127
443.0,0.129
444.0,0.131
445.0,0.133
446.0,0.135
447.0,0.136
448.0,0.138
449.0,0.141
450.0,0.143
451.0,0.145
452.0,0.147
453.0,0.149
454.0,0.151
455.0,0.153
456.0,0.155
457.0,0.157
458.0,0.160
459.0,0.162
460.0,0.164
461.0,0.167
462.0,0.169
463.0,0.172
464.0,0.174
465.0,0.176
466.0,0.179
467.0,0.180
468.0,0.183
469.0,0.185
470.0,0.187
471.0,0.190
472.0,0.192
473.0,0.194
474.0,0.196
475.0,0.198
476.0,0.200
477.0,0.203
478.0,0.205
479.0,0.208
480.0,0.210
481.0,0.212
482.0,0.214
483.0,0.216
484.0,0.218
485.0,0.220
486.0,0.222
487.0,0.224
488.0,0.225
489.0,0.227
490.0,0.229
491.0,0.231
492.0,0.233
493.0,0.234
494.0,0.236
495.0,0.237
496.0,0.239
497.0,0.240
498.0,0.242
499.0,0.244
500.0,0.245
501.0,0.246
502.0,0.248
503.0,0.249
504.0,0.251
505.0,0.252
506.0,0.253
507.0,0.255
508.0,0.256
509.0,0.258
510.0,0.259
511.0,0.261
512.0,0.263
513.0,0.264
514.0,0.266
515.0,0.267
516.0,0.269
517.0,0.270
518.0,0.273
519.0,0.275
520.0,0.277
521.0,0.279
522.0,0.281
523.0,0.283
524.0,0.285
525.0,0.288
526.0,0.290
527.0,0.292
528.0,0.295
529.0,0.297
530.0,0.300
531.0,0.302
532.0,0.304
533.0,0.307
534.0,0.309
535.0,0.312
536.0,0.314
537.0,0.316
538.0,0.319
539.0,0.321
540.0,0.323
541.0,0.326
542.0,0.328
543.0,0.330
544.0,0.333
545.0,0.335
546.0,0.337
547.0,0.339
548.0,0.342
549.0,0.343
550.0,0.345
551.0,0.347
552.0,0.349
553.0,0.351
554.0,0.352
555.0,0.353
556.0,0.355
557.0,0.357
558.0,0.358
559.0,0.360
560.0,0.361
561.0,0.363
562.0,0.364
563.0,0.366
564.0,0.367
565.0,0.368
566.0,0.369
567.0,0.371
568.0,0.372
569.0,0.374
570.0,0.375
571.0,0.376
572.0,0.378
573.0,0.379
574.0,0.380
575.0,0.381
576.0,0.383
577.0,0.384
578.0,0.385
579.0,0.386
580.0,0.387
581.0,0.388
582.0,0.390
583.0,0.391
584.0,0.392
585.0,0.393
586.0,0.394
587.0,0.395
588.0,0.397
589.0,0.398
590.0,0.399
591.0,0.400
592.0,0.401
593.0,0.403
594.0,0.404
595.0,0.405
596.0,0.406
597.0,0.407
598.0,0.408
599.0,0.409
600.0,0.410
601.0,0.412
602.0,0.413
603.0,0.414
604.0,0.415
605.0,0.416
606.0,0.418
607.0,0.419
608.0,0.420
609.0,0.421
610.0,0.422
611.0,0.423
612.0,0.424
613.0,0.425
614.0,0.426
615.0,0.427
616.0,0.429
617.0,0.430
618.0,0.431
619.0,0.432
620.0,0.433
621.0,0.434
622.0,0.436
623.0,0.437
624.0,0.438
625.0,0.440
626.0,0.440
627.0,0.442
628.0,0.443
629.0,0.445
630.0,0.446
631.0,0.447
632.0,0.449
633.0,0.450
634.0,0.451
635.0,0.453
636.0,0.454
637.0,0.455
638.0,0.456
639.0,0.458
640.0,0.459
641.0,0.461
642.0,0.462
643.0,0.463
644.0,0.465
645.0,0.466
646.0,0.468
647.0,0.469
648.0,0.471
649.0,0.472
650.0,0.474
651.0,0.475
652.0,0.477
653.0,0.479
654.0,0.480
655.0,0.482
656.0,0.484
657.0,0.486
658.0,0.487
659.0,0.489
660.0,0.491
661.0,0.493
662.0,0.495
663.0,0.496
664.0,0.498
665.0,0.500
666.0,0.502
667.0,0.504
668.0,0.505
669.0,0.507
670.0,0.509
671.0,0.512
672.0,0.513
673.0,0.515
674.0,0.516
675.0,0.519
676.0,0.521
677.0,0.523
678.0,0.525
679.0,0.527
680.0,0.529
681.0,0.530
682.0,0.532
683.0,0.533
684.0,0.535
685.0,0.537
686.0,0.539
687.0,0.540
688.0,0.542
689.0,0.544
690.0,0.546
691.0,0.547
692.0,0.548
693.0,0.549
694.0,0.551
695.0,0.552
696.0,0.553
697.0,0.553
698.0,0.554
699.0,0.556
700.0,0.558
701.0,0.559
702.0,0.560
703.0,0.560
704.0,0.561
705.0,0.561
706.0,0.561
707.0,0.562
708.0,0.562
709.0,0.562
710.0,0.562
711.0,0.562
712.0,0.563
713.0,0.562
714.0,0.562
715.0,0.562
716.0,0.562
717.0,0.561
718.0,0.560
719.0,0.560
720.0,0.559
721.0,0.558
722.0,0.557
723.0,0.556
724.0,0.555
725.0,0.554
726.0,0.552
727.0,0.551
728.0,0.549
729.0,0.549
730.0,0.548
731.0,0.546
732.0,0.545
733.0,0.543
734.0,0.542
735.0,0.540
736.0,0.538
737.0,0.536
738.0,0.534
739.0,0.533
740.0,0.531
741.0,0.529
742.0,0.527
743.0,0.525
744.0,0.524
745.0,0.522
746.0,0.519
747.0,0.517
748.0,0.516
749.0,0.515
750.0,0.513
751.0,0.512
752.0,0.510
753.0,0.508
754.0,0.507
755.0,0.505
756.0,0.503
757.0,0.502
758.0,0.500
759.0,0.499
760.0,0.497
761.0,0.496
762.0,0.495
763.0,0.495
764.0,0.494
765.0,0.493
766.0,0.491
767.0,0.490
768.0,0.489
769.0,0.488
770.0,0.487
771.0,0.487
772.0,0.486
773.0,0.486
774.0,0.486
775.0,0.486
776.0,0.485
777.0,0.484
778.0,0.485
779.0,0.484
780.0,0.486
781.0,0.485
782.0,0.486
783.0,0.486
784.0,0.486
785.0,0.487
786.0,0.487
787.0,0.487
788.0,0.488
789.0,0.489
790.0,0.491
791.0,0.492
792.0,0.493
793.0,0.493
794.0,0.493
795.0,0.494
796.0,0.496
797.0,0.499
798.0,0.500
799.0,0.502
800.0,0.503
801.0,0.505
802.0,0.506
803.0,0.509
804.0,0.511
805.0,0.512
806.0,0.514
807.0,0.517
808.0,0.520
809.0,0.523
810.0,0.526
811.0,0.528
812.0,0.531
813.0,0.533
814.0,0.536
815.0,0.538
816.0,0.541
817.0,0.545
818.0,0.548
819.0,0.551
820.0,0.554
821.0,0.557
822.0,0.559
823.0,0.563
824.0,0.567
825.0,0.572
826.0,0.576
827.0,0.579
828.0,0.581
829.0,0.584
830.0,0.588
831.0,0.591
832.0,0.595
833.0,0.599
834.0,0.603
835.0,0.607
836.0,0.610
837.0,0.614
838.0,0.618
839.0,0.622
840.0,0.625
841.0,0.629
842.0,0.634
843.0,0.638
844.0,0.642
845.0,0.645
846.0,0.649
847.0,0.654
848.0,0.659
849.0,0.663
850.0,0.666
851.0,0.669
852.0,0.673
853.0,0.676
854.0,0.681
855.0,0.685
856.0,0.690
857.0,0.693
858.0,0.696
859.0,0.699
860.0,0.703
861.0,0.707
862.0,0.711
863.0,0.715
864.0,0.718
865.0,0.720
866.0,0.724
867.0,0.728
868.0,0.731
869.0,0.734
870.0,0.737
871.0,0.740
872.0,0.743
873.0,0.744
874.0,0.746
875.0,0.748
876.0,0.751
877.0,0.754
878.0,0.756
879.0,0.758
880.0,0.759
881.0,0.760
882.0,0.762
883.0,0.763
884.0,0.764
885.0,0.764
886.0,0.766
887.0,0.766
888.0,0.767
889.0,0.767
890.0,0.767
891.0,0.766
892.0,0.767
893.0,0.766
894.0,0.765
895.0,0.764
896.0,0.762
897.0,0.761
898.0,0.759
899.0,0.758
900.0,0.755
901.0,0.753
902.0,0.750
903.0,0.747
904.0,0.743
905.0,0.740
906.0,0.737
907.0,0.734
908.0,0.730
909.0,0.726
910.0,0.721
911.0,0.716
912.0,0.712
913.0,0.708
914.0,0.702
915.0,0.696
916.0,0.691
917.0,0.686
918.0,0.680
919.0,0.674
920.0,0.668
921.0,0.662
922.0,0.656
923.0,0.650
924.0,0.642
925.0,0.636
926.0,0.629
927.0,0.622
928.0,0.614
929.0,0.607
930.0,0.601
931.0,0.593
932.0,0.586
933.0,0.578
934.0,0.571
935.0,0.564
936.0,0.557
937.0,0.549
938.0,0.542
939.0,0.534
940.0,0.527
941.0,0.519
942.0,0.512
943.0,0.504
944.0,0.496
945.0,0.489
946.0,0.482
947.0,0.475
948.0,0.468
949.0,0.460
950.0,0.453
951.0,0.446
952.0,0.439
953.0,0.433
954.0,0.426
955.0,0.420
956.0,0.413
957.0,0.406
958.0,0.400
959.0,0.393
960.0,0.387
961.0,0.381
962.0,0.375
963.0,0.369
964.0,0.363
965.0,0.357
966.0,0.351
967.0,0.346
968.0,0.341
969.0,0.336
970.0,0.331
971.0,0.326
972.0,0.321
973.0,0.316
974.0,0.312
975.0,0.307
976.0,0.302
977.0,0.297
978.0,0.293
979.0,0.288
980.0,0.284
981.0,0.280
982.0,0.276
983.0,0.272
984.0,0.268
985.0,0.264
986.0,0.260
987.0,0.256
988.0,0.252
989.0,0.249
990.0,0.246
991.0,0.243
992.0,0.239
993.0,0.236
994.0,0.233
995.0,0.230
996.0,0.227
997.0,0.224
998.0,0.221
999.0,0.218
1000.0,0.215
1001.0,0.213
1002.0,0.210
1003.0,0.207
1004.0,0.205
1005.0,0.202
1006.0,0.200
1007.0,0.198
1008.0,0.195
1009.0,0.193
1010.0,0.191
1011.0,0.189
1012.0,0.186
1013.0,0.184
1014.0,0.182
1015.0,0.180
1016.0,0.178
1017.0,0.176
1018.0,0.174
1019.0,0.172
1020.0,0.170
1021.0,0.168
1022.0,0.166
1023.0,0.165
1024.0,0.163
1025.0,0.162
1026.0,0.160
1027.0,0.158
1028.0,0.157
1029.0,0.155
1030.0,0.154
1031.0,0.152
1032.0,0.151
1033.0,0.149
1034.0,0.148
1035.0,0.146
1036.0,0.145
1037.0,0.144
1038.0,0.142
1039.0,0.141
1040.0,0.140
1041.0,0.139
1042.0,0.138
1043.0,0.136
1044.0,0.135
