Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_P2_10-20_22_09_2025
Sample ID
Option
Analyst
Date/Time:,09/22/2025 11:49:14 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.388
201.0,0.296
202.0,0.292
203.0,0.088
204.0,0.127
205.0,0.130
206.0,0.272
207.0,0.208
208.0,0.185
209.0,0.063
210.0,0.171
211.0,0.176
212.0,0.356
213.0,0.312
214.0,0.284
215.0,0.205
216.0,0.242
217.0,0.229
218.0,0.230
219.0,0.251
220.0,0.324
221.0,0.236
222.0,0.113
223.0,0.062
224.0,0.148
225.0,0.192
226.0,0.282
227.0,0.267
228.0,0.330
229.0,0.233
230.0,0.195
231.0,0.161
232.0,0.169
233.0,0.201
234.0,0.238
235.0,0.253
236.0,0.342
237.0,0.430
238.0,0.509
239.0,0.467
240.0,0.337
241.0,0.199
242.0,0.186
243.0,0.251
244.0,0.234
245.0,0.245
246.0,0.280
247.0,0.424
248.0,0.333
249.0,0.300
250.0,0.202
251.0,0.259
252.0,0.222
253.0,0.257
254.0,0.225
255.0,0.183
256.0,0.218
257.0,0.179
258.0,0.125
259.0,0.040
260.0,0.175
261.0,0.230
262.0,0.279
263.0,0.163
264.0,0.259
265.0,0.346
266.0,0.521
267.0,0.373
268.0,0.289
269.0,0.212
270.0,0.274
271.0,0.347
272.0,0.307
273.0,0.358
274.0,0.276
275.0,0.262
276.0,0.229
277.0,0.278
278.0,0.315
279.0,0.334
280.0,0.347
281.0,0.319
282.0,0.342
283.0,0.292
284.0,0.263
285.0,0.216
286.0,0.188
287.0,0.269
288.0,0.357
289.0,0.432
290.0,0.322
291.0,0.314
292.0,0.262
293.0,0.300
294.0,0.301
295.0,0.247
296.0,0.216
297.0,0.133
298.0,0.140
299.0,0.188
300.0,0.190
301.0,0.213
302.0,0.247
303.0,0.275
304.0,0.323
305.0,0.340
306.0,0.365
307.0,0.378
308.0,0.385
309.0,0.396
310.0,0.411
311.0,0.425
312.0,0.428
313.0,0.426
314.0,0.429
315.0,0.432
316.0,0.430
317.0,0.428
318.0,0.423
319.0,0.415
320.0,0.408
321.0,0.399
322.0,0.392
323.0,0.381
324.0,0.373
325.0,0.363
326.0,0.355
327.0,0.344
328.0,0.333
329.0,0.322
330.0,0.313
331.0,0.302
332.0,0.293
333.0,0.283
334.0,0.274
335.0,0.265
336.0,0.256
337.0,0.248
338.0,0.240
339.0,0.233
340.0,0.226
341.0,0.220
342.0,0.214
343.0,0.208
344.0,0.201
345.0,0.196
346.0,0.191
347.0,0.186
348.0,0.181
349.0,0.177
350.0,0.174
351.0,0.170
352.0,0.166
353.0,0.162
354.0,0.159
355.0,0.156
356.0,0.153
357.0,0.150
358.0,0.147
359.0,0.145
360.0,0.143
361.0,0.141
362.0,0.139
363.0,0.137
364.0,0.134
365.0,0.133
366.0,0.131
367.0,0.129
368.0,0.129
369.0,0.127
370.0,0.126
371.0,0.124
372.0,0.123
373.0,0.122
374.0,0.121
375.0,0.119
376.0,0.118
377.0,0.117
378.0,0.116
379.0,0.116
380.0,0.114
381.0,0.113
382.0,0.112
383.0,0.111
384.0,0.110
385.0,0.110
386.0,0.109
387.0,0.108
388.0,0.107
389.0,0.106
390.0,0.106
391.0,0.105
392.0,0.104
393.0,0.103
394.0,0.103
395.0,0.102
396.0,0.101
397.0,0.101
398.0,0.100
399.0,0.100
400.0,0.100
401.0,0.099
402.0,0.099
403.0,0.099
404.0,0.099
405.0,0.099
406.0,0.098
407.0,0.098
408.0,0.098
409.0,0.099
410.0,0.099
411.0,0.099
412.0,0.099
413.0,0.099
414.0,0.099
415.0,0.099
416.0,0.100
417.0,0.100
418.0,0.100
419.0,0.101
420.0,0.101
421.0,0.101
422.0,0.102
423.0,0.102
424.0,0.103
425.0,0.103
426.0,0.104
427.0,0.104
428.0,0.105
429.0,0.106
430.0,0.107
431.0,0.107
432.0,0.108
433.0,0.109
434.0,0.110
435.0,0.111
436.0,0.112
437.0,0.113
438.0,0.113
439.0,0.114
440.0,0.116
441.0,0.117
442.0,0.118
443.0,0.119
444.0,0.120
445.0,0.121
446.0,0.122
447.0,0.123
448.0,0.125
449.0,0.126
450.0,0.127
451.0,0.128
452.0,0.129
453.0,0.130
454.0,0.132
455.0,0.134
456.0,0.135
457.0,0.136
458.0,0.138
459.0,0.139
460.0,0.141
461.0,0.142
462.0,0.144
463.0,0.146
464.0,0.147
465.0,0.149
466.0,0.150
467.0,0.151
468.0,0.152
469.0,0.154
470.0,0.155
471.0,0.157
472.0,0.158
473.0,0.160
474.0,0.162
475.0,0.163
476.0,0.165
477.0,0.166
478.0,0.168
479.0,0.169
480.0,0.171
481.0,0.172
482.0,0.174
483.0,0.175
484.0,0.177
485.0,0.178
486.0,0.179
487.0,0.181
488.0,0.182
489.0,0.184
490.0,0.185
491.0,0.186
492.0,0.187
493.0,0.189
494.0,0.190
495.0,0.191
496.0,0.192
497.0,0.193
498.0,0.194
499.0,0.196
500.0,0.197
501.0,0.198
502.0,0.200
503.0,0.200
504.0,0.202
505.0,0.203
506.0,0.204
507.0,0.205
508.0,0.207
509.0,0.208
510.0,0.209
511.0,0.210
512.0,0.211
513.0,0.212
514.0,0.213
515.0,0.215
516.0,0.216
517.0,0.218
518.0,0.219
519.0,0.221
520.0,0.222
521.0,0.224
522.0,0.226
523.0,0.228
524.0,0.229
525.0,0.231
526.0,0.233
527.0,0.235
528.0,0.236
529.0,0.238
530.0,0.240
531.0,0.242
532.0,0.244
533.0,0.245
534.0,0.247
535.0,0.249
536.0,0.251
537.0,0.253
538.0,0.255
539.0,0.257
540.0,0.259
541.0,0.260
542.0,0.262
543.0,0.264
544.0,0.266
545.0,0.268
546.0,0.270
547.0,0.272
548.0,0.274
549.0,0.276
550.0,0.277
551.0,0.279
552.0,0.281
553.0,0.282
554.0,0.284
555.0,0.285
556.0,0.287
557.0,0.288
558.0,0.290
559.0,0.291
560.0,0.293
561.0,0.294
562.0,0.296
563.0,0.297
564.0,0.299
565.0,0.300
566.0,0.302
567.0,0.303
568.0,0.304
