Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_padrao_0,25_22_09_2025
Sample ID
Option
Analyst
Date/Time:,09/22/2025 11:04:08 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,0.058
201.0,0.034
202.0,0.048
203.0,-0.126
204.0,-0.101
205.0,-0.075
206.0,0.041
207.0,0.041
208.0,0.053
209.0,0.011
210.0,0.023
211.0,-0.031
212.0,0.069
213.0,0.182
214.0,0.195
215.0,0.188
216.0,0.067
217.0,0.073
218.0,-0.048
219.0,-0.051
220.0,-0.026
221.0,0.093
222.0,0.078
223.0,0.051
224.0,-0.041
225.0,0.008
226.0,0.097
227.0,0.128
228.0,-0.013
229.0,-0.112
230.0,-0.154
231.0,-0.132
232.0,-0.101
233.0,-0.082
234.0,0.004
235.0,0.015
236.0,0.082
237.0,0.160
238.0,0.174
239.0,0.171
240.0,0.078
241.0,0.024
242.0,0.001
243.0,0.107
244.0,0.224
245.0,0.264
246.0,0.239
247.0,0.127
248.0,0.027
249.0,-0.015
250.0,-0.001
251.0,0.071
252.0,0.091
253.0,0.079
254.0,0.046
255.0,0.014
256.0,0.071
257.0,0.176
258.0,0.077
259.0,0.105
260.0,0.009
261.0,0.087
262.0,0.054
263.0,0.045
264.0,0.205
265.0,0.264
266.0,0.216
267.0,0.056
268.0,0.031
269.0,0.045
270.0,0.055
271.0,-0.044
272.0,-0.053
273.0,0.042
274.0,0.120
275.0,0.123
276.0,0.035
277.0,-0.004
278.0,0.019
279.0,0.077
280.0,0.083
281.0,0.029
282.0,0.003
283.0,0.010
284.0,0.042
285.0,0.040
286.0,0.033
287.0,0.153
288.0,0.075
289.0,0.064
290.0,0.043
291.0,0.152
292.0,0.228
293.0,0.108
294.0,0.126
295.0,-0.028
296.0,-0.004
297.0,-0.039
298.0,0.033
299.0,0.120
300.0,0.099
301.0,0.091
302.0,0.065
303.0,0.079
304.0,0.093
305.0,0.102
306.0,0.095
307.0,0.097
308.0,0.087
309.0,0.087
310.0,0.085
311.0,0.092
312.0,0.093
313.0,0.093
314.0,0.096
315.0,0.097
316.0,0.100
317.0,0.098
318.0,0.094
319.0,0.092
320.0,0.091
321.0,0.090
322.0,0.087
323.0,0.084
324.0,0.083
325.0,0.081
326.0,0.078
327.0,0.075
