SRR33750943.4918__1.4833	UniClust90_MKPDLIIB02020|1__8|SGB131913
SRR33750943.5343__1.5251	UniClust90_NNOGEMDJ02283|1__13|SGB128987
SRR33750943.5573__1.5477	UniClust90_EJAHAFID00708|1__11|SGB130007
SRR33750943.6153__1.6046	UniClust90_OPLEJCPF01626|1__13|SGB125949
SRR33750943.8116__1.7979	UniClust90_DHCJNNEN01442|1__3|SGB89423
SRR33750943.9149__1.8987	UniRef90_A0A1Q7BGW6|1__5|SGB56640
SRR33750943.10529__1.10334	UniClust90_FJMBIAMN01513|1__10|SGB87293
SRR33750943.11875__1.11658	UniClust90_EDNFDLAG00955|2__6|SGB84078
SRR33750943.14121__1.13855	UniClust90_IPBGJNGD00190|1__7|SGB89408
SRR33750943.18542__1.18200	UniClust90_PIHLJOEE01441|1__10|SGB84075
SRR33750943.20272__1.19887	UniClust90_OJGLOKOM01700|1__15|SGB84075
SRR33750943.21102__1.20700	UniClust90_EBGAMEMI00084|1__11|SGB133121
SRR33750943.22066__1.21650	UniClust90_EJFOFLBH00638|1__12|SGB133091
SRR33750943.22842__1.22414	UniClust90_HGJNCPHJ02720|1__8|SGB125949
SRR33750943.23230__1.22796	UniClust90_JKKHKAPH00965|7__20|SGB89408
SRR33750943.24043__1.23597	UniClust90_GIMAHFHH00650|1__10|SGB89408
SRR33750943.24840__1.24382	UniClust90_EJAHAFID00710|1__7|SGB130007
SRR33750943.26144__1.25670	UniClust90_OJGLOKOM02223|1__4|SGB84075
SRR33750943.27761__1.27264	UniClust90_IAFJOFII02173|3__12|SGB134112
SRR33750943.29459__1.28928	UniClust90_OPLEJCPF06182|1__21|SGB125949
SRR33750943.31030__1.30470	UniClust90_CMHDMJOM03759|1__5|SGB56640
SRR33750943.33386__1.32791	UniClust90_DCOEIGHC00333|1__3|SGB89423
SRR33750943.33845__1.33236	UniClust90_IOFPBIHC03266|1__6|SGB130007
SRR33750943.34144__1.33530	UniClust90_MDONDNCB00053|1__5|SGB74789
SRR33750943.35077__1.34458	UniClust90_ICJPFPDN01943|1__7|SGB74789
SRR33750943.35311__1.34686	UniClust90_KDDPKKIL00751|1__10|SGB128471
SRR33750943.35176__1.34555	UniClust90_ICJPFPDN01943|1__7|SGB74789
SRR33750943.36780__1.36090	UniClust90_JCMEFMGF03992|1__6|SGB74780
SRR33750943.37263__1.36564	UniClust90_CHLBPEBB01456|1__13|SGB89725
SRR33750943.37259__1.36560	UniClust90_CHLBPEBB01456|1__13|SGB89725
SRR33750943.37461__1.36759	UniClust90_DPJLILCC01550|1__4|SGB89725
SRR33750943.37920__1.37213	UniClust90_JMFJJCJA04630|1__13|SGB130007
SRR33750943.38788__1.38066	UniClust90_JMFJJCJA04630|1__13|SGB130007
SRR33750943.39230__1.38499	UniClust90_PPJAIDOO01985|1__10|SGB84075
SRR33750943.42200__1.41412	UniClust90_LMGOGHNA02110|1__7|SGB74789
SRR33750943.42745__1.41944	UniClust90_JAIHKEGN01709|1__6|SGB74789
SRR33750943.44426__1.43590	UniClust90_PJBHHLBH01327|1__6|SGB74789
SRR33750943.45214__1.44364	UniClust90_IOFPBIHC03144|1__11|SGB130007
SRR33750943.45150__1.44301	UniClust90_NJNOLCPJ01552|1__6|SGB69553
SRR33750943.45921__1.45062	UniClust90_BGDHDLNA04274|1__17|SGB84075
SRR33750943.46162__1.45297	UniClust90_BGDHDLNA04274|1__17|SGB84075
SRR33750943.46173__1.45308	UniClust90_ECOHMLGB01426|1__5|SGB56640
SRR33750943.47422__1.46533	UniClust90_JBMBCDML01525|2__15|SGB89725
SRR33750943.48824__1.47898	UniClust90_KDDPKKIL02348|1__8|SGB128471
SRR33750943.50919__1.49956	UniClust90_MOPOFHCP02010|1__8|SGB89408
SRR33750943.53422__1.52400	UniClust90_OJFFJDAM00771|1__5|SGB89423
SRR33750943.54897__1.53841	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.57906__1.56787	UniClust90_IOFPBIHC01165|1__8|SGB130007
SRR33750943.59428__1.58281	UniClust90_GEHFPKBH00122|1__8|SGB84075
SRR33750943.60304__1.59137	UniClust90_EDDDEINJ01109|1__5|SGB89423
SRR33750943.60370__1.59202	UniClust90_HDGMGAGN01775|1__5|SGB74789
SRR33750943.60050__1.58889	UniClust90_OPLEJCPF04736|1__13|SGB125949
SRR33750943.60455__1.59285	UniClust90_IGKPANEM02997|1__12|SGB128987
SRR33750943.62528__1.61323	UniClust90_NOMIGGEC00722|1__16|SGB125949
SRR33750943.63026__1.61809	UniRef90_A0A1Q7BT39|1__6|SGB56640
SRR33750943.63412__1.62193	UniClust90_CAGCLOCO01573|1__5|SGB89423
SRR33750943.63956__1.62728	UniRef90_A0A2V5KWV3|11__17|SGB52720
SRR33750943.64218__1.62988	UniClust90_CFIKCEGJ01277|1__15|SGB131808
SRR33750943.65147__1.63904	UniClust90_DIBLBONP01456|1__7|SGB84078
SRR33750943.65869__1.64617	UniClust90_OALLKAFI00141|1__16|SGB84078
SRR33750943.66007__1.64752	UniClust90_EDNFDLAG02091|1__6|SGB84078
SRR33750943.66032__1.64777	UniClust90_EDNFDLAG02091|1__6|SGB84078
SRR33750943.65743__1.64494	UniClust90_JMFJJCJA04630|1__13|SGB130007
SRR33750943.68627__1.67319	UniClust90_NNOGEMDJ01853|2__11|SGB128987
SRR33750943.70803__1.69455	UniClust90_HGJNCPHJ00714|1__10|SGB125949
SRR33750943.70980__1.69628	UniClust90_KIKAPEFO00235|1__4|SGB74789
SRR33750943.71693__1.70324	UniClust90_PPJAIDOO03506|1__6|SGB84075
SRR33750943.72060__1.70687	UniClust90_JMFJJCJA00050|1__6|SGB130007
SRR33750943.74365__1.72947	UniClust90_KPGCMLFP00718|1__12|SGB89408
SRR33750943.74531__1.73110	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.79294__1.77767	UniClust90_KKJMBHPC00382|1__9|SGB128677
SRR33750943.79985__1.78448	UniClust90_AHMCBMKF02138|1__4|SGB89423
SRR33750943.81006__1.79445	UniClust90_GAEJHPDC02649|1__13|SGB128753
SRR33750943.83050__1.81448	UniClust90_NOMIGGEC03544|1__20|SGB125949
SRR33750943.83067__1.81465	UniRef90_A0A2V5RPA1|1__15|SGB52719
SRR33750943.84649__1.83013	UniClust90_CCEFDEIK01148|1__3|SGB74789
SRR33750943.85240__1.83594	UniClust90_GEHFPKBH01024|1__8|SGB84075
SRR33750943.87306__1.85630	UniClust90_JOMGGAEL00115|1__3|SGB74789
SRR33750943.89838__1.88118	UniClust90_CFOAODNO03519|1__16|SGB176247
SRR33750943.89880__1.88159	UniClust90_CFOAODNO03519|1__16|SGB176247
SRR33750943.90388__1.88655	UniClust90_DDBCBOLD02075|1__4|SGB130045
SRR33750943.90604__1.88867	UniClust90_EDNFDLAG00532|1__6|SGB84078
SRR33750943.90793__1.89053	UniClust90_NHAODOGE01744|1__5|SGB131282
SRR33750943.94687__1.92881	UniClust90_PIHLJOEE02617|1__9|SGB84075
SRR33750943.95521__1.93702	UniClust90_BOKHIPMC03200|1__15|SGB130007
SRR33750943.97754__1.95902	UniClust90_BOKHIPMC03200|1__15|SGB130007
SRR33750943.97720__1.95868	UniClust90_OALLKAFI02534|2__5|SGB84078
SRR33750943.99099__1.97228	UniClust90_AOMEFECO01387|5__13|SGB133090
SRR33750943.99863__1.97975	UniClust90_ANDLCEDJ01046|1__14|SGB133091
SRR33750943.100992__1.99083	UniClust90_EGGMCINA03504|1__14|SGB131808
SRR33750943.101727__1.99808	UniRef90_A0A1Q7N393|1__7|SGB56062
SRR33750943.103598__1.101650	UniRef90_A0A0Q3WBH1|1__4|SGB7713
SRR33750943.104121__1.102165	UniClust90_IPBGJNGD03292|1__9|SGB89408
SRR33750943.110277__1.108213	UniClust90_BKEMCFBC01127|1__9|SGB131913
SRR33750943.109977__1.107919	UniClust90_HNBLJKFC02298|1__10|SGB128778
SRR33750943.110795__1.108725	UniClust90_BNOEINHM01536|1__5|SGB122683
SRR33750943.113334__1.111222	UniClust90_NEMDDJGI00988|1__12|SGB133209
SRR33750943.113489__1.111376	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750943.113254__1.111142	UniRef90_UPI0009E57B2E|1__20|SGB31869
SRR33750943.115204__1.113065	UniClust90_GMGIGFBN01545|1__18|SGB128987
SRR33750943.116984__1.114812	UniClust90_HCIGMLJO01740|1__6|SGB89423
SRR33750943.117280__1.115107	UniClust90_ANHDKACD01563|1__4|SGB84076
