Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR33750934_bin.1	72.01	24.7	Neural Network (Specific Model)	11	0.781	3719	202.24768375540458	2505827	0.39	3238	661	11321	None
SRR33750934_bin.2	7.7	0.05	Neural Network (Specific Model)	11	0.94	2903	239.54849498327758	227964	0.69	299	77	4245	None
SRR33750934_bin.3	37.63	3.78	Neural Network (Specific Model)	11	0.89	3102	252.37171215880895	1710817	0.64	2015	529	8648	None
SRR33750935_bin.1	37.38	4.15	Neural Network (Specific Model)	11	0.898	3114	252.70290964777948	1651306	0.65	1959	507	8281	None
SRR33750935_bin.2	11.01	0.0	Neural Network (Specific Model)	11	0.811	3095	211.80696202531647	246732	0.37	316	77	5738	None
SRR33750935_bin.3	20.24	0.9	Neural Network (Specific Model)	11	0.941	3010	243.04045512010114	610619	0.7	791	194	6540	None
SRR33750936_bin.1	8.77	0.0	Neural Network (Specific Model)	11	0.923	2990	251.80453257790367	288134	0.7	353	92	6438	None
SRR33750936_bin.2	32.4	3.08	Neural Network (Specific Model)	11	0.893	2934	246.0146124523507	1297524	0.64	1574	425	6803	None
SRR33750937_bin.1	81.22	40.7	Gradient Boost (General Model)	11	0.885	3574	256.69011186832967	6753346	0.63	7777	1827	16861	None
SRR33750937_bin.2	6.96	0.0	Neural Network (Specific Model)	11	0.893	2931	262.9203187250996	220966	0.71	251	73	4399	None
SRR33750937_bin.3	99.2	32.16	Gradient Boost (General Model)	11	0.912	3472	249.11316447439938	7518672	0.69	9199	2114	15991	None
SRR33750937_bin.4	95.67	2.35	Neural Network (Specific Model)	11	0.758	43248	205.23405870445345	3198161	0.41	3952	121	228438	None
SRR33750937_bin.5	53.06	0.95	Neural Network (Specific Model)	11	0.888	4967	253.54676952748312	1771209	0.56	2074	387	16157	None
SRR33750937_bin.6	90.54	5.36	Gradient Boost (General Model)	11	0.897	15093	288.0719480117592	6210235	0.7	6463	559	71398	None
SRR33750937_bin.7	21.08	2.43	Neural Network (Specific Model)	11	0.9	3085	257.7297709923664	561577	0.62	655	173	11066	None
SRR33750937_bin.8	32.72	0.47	Neural Network (Specific Model)	11	0.913	4235	267.14072693383036	939214	0.71	1073	223	11525	None
SRR33750937_bin.9	81.41	0.44	Neural Network (Specific Model)	11	0.744	6979	203.93037260067746	2177815	0.38	2657	356	39761	None
SRR33750938_bin.1	60.86	12.82	Neural Network (Specific Model)	11	0.762	3802	206.61077283372364	1732597	0.38	2135	438	16246	None
SRR33750938_bin.2	51.81	15.38	Gradient Boost (General Model)	11	0.888	3077	246.21072285942918	3112124	0.63	3749	970	8868	None
SRR33750938_bin.3	51.49	6.38	Gradient Boost (General Model)	11	0.935	3192	240.87765706188003	1630719	0.69	2117	490	8373	None
SRR33750940_bin.1	43.89	5.6	Neural Network (Specific Model)	11	0.788	3200	201.55586987270155	1081845	0.36	1414	323	8272	None
SRR33750940_bin.2	35.24	5.47	Neural Network (Specific Model)	11	0.893	3031	254.27672679278487	1937150	0.65	2273	619	7642	None
SRR33750943_bin.1	35.64	5.52	Neural Network (Specific Model)	11	0.891	3073	252.56973434535104	1788797	0.64	2108	568	7231	None
SRR33750943_bin.2	56.93	3.35	Gradient Boost (General Model)	11	0.931	4214	255.21505376344086	1602647	0.69	1953	389	12249	None
SRR33750943_bin.3	18.65	1.14	Neural Network (Specific Model)	11	0.858	3087	218.70844686648502	279930	0.36	367	89	7369	None
SRR33750947_bin.1	42.61	0.06	Neural Network (Specific Model)	11	0.882	3753	283.64367311072056	2191900	0.6	2276	575	9718	None
SRR33750947_bin.2	7.32	0.0	Neural Network (Specific Model)	11	0.888	3046	303.4515050167224	305884	0.59	299	98	6530	None
SRR33750947_bin.3	28.34	2.35	Neural Network (Specific Model)	11	0.932	3115	241.21471927162366	1019811	0.7	1318	316	6882	None
SRR33750947_bin.4	90.16	1.55	Gradient Boost (General Model)	11	0.942	9714	268.8829206882081	2032159	0.69	2383	264	32094	None
SRR33750947_bin.5	30.41	0.21	Neural Network (Specific Model)	11	0.911	3165	250.29813664596273	793923	0.7	966	240	9886	None
SRR33750947_bin.6	71.94	23.67	Neural Network (Specific Model)	11	0.771	3994	202.16778728606357	2567164	0.39	3272	642	16073	None
SRR33750947_bin.7	43.87	7.62	Gradient Boost (General Model)	11	0.887	3212	247.23946360153258	1742761	0.62	2088	521	10495	None
SRR33750947_bin.8	73.12	27.79	Gradient Boost (General Model)	11	0.895	3247	259.37588815035525	3784718	0.64	4363	1125	14486	None
SRR33750947_bin.9	25.1	0.31	Neural Network (Specific Model)	11	0.869	5583	248.83502538071065	337425	0.44	394	65	12172	None
SRR33750950_bin.1	24.74	0.46	Neural Network (Specific Model)	11	0.883	3294	252.0746887966805	1030269	0.65	1205	304	8604	None
SRR33750950_bin.2	45.7	7.22	Gradient Boost (General Model)	11	0.893	3136	255.43846153846152	2225895	0.62	2600	684	9065	None
SRR33750950_bin.3	28.01	0.08	Neural Network (Specific Model)	11	0.918	3559	253.35471331389698	849715	0.56	1029	236	9563	None
