SRR33750934.1002__1.987	UniRef90_A0A1Q7B5C4|2__6|SGB56640
SRR33750934.1292__1.1273	UniClust90_NNOGEMDJ02283|1__13|SGB128987
SRR33750934.2257__1.2226	UniClust90_BKEMCFBC04394|1__8|SGB131913
SRR33750934.2748__1.2709	UniRef90_A0A2V5RGC3|1__7|SGB52719
SRR33750934.3166__1.3120	UniRef90_A0A3D5DM36|1__8|SGB130007
SRR33750934.5048__1.4972	UniClust90_LOFKKCOB05192|1__7|SGB154065
SRR33750934.6277__1.6188	UniClust90_AABABCCC01567|1__3|SGB74789
SRR33750934.6654__1.6559	UniClust90_BOKHIPMC00669|1__11|SGB130007
SRR33750934.8094__1.7974	UniClust90_HOPPLHLN01180|1__8|SGB128471
SRR33750934.8482__1.8351	UniClust90_IBNNDEFK01535|1__10|SGB89408
SRR33750934.10392__1.10218	UniClust90_HGJNCPHJ01683|1__9|SGB125949
SRR33750934.11214__1.11024	UniClust90_DLOKBJPP00691|1__6|SGB131913
SRR33750934.11691__1.11491	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750934.12029__1.11822	UniClust90_JFOPKFBK03094|1__5|SGB122683
SRR33750934.11437__1.11241	UniRef90_A0A1Q7N0H3|1__12|SGB17587
SRR33750934.12260__1.12048	UniRef90_A0A3D5E167|5__9|SGB130007
SRR33750934.13801__1.13557	UniClust90_MEABCEIN01071|1__9|SGB84078
SRR33750934.13501__1.13270	UniClust90_LACEKAON02267|1__12|SGB129874
SRR33750934.15290__1.15021	UniClust90_OEKPEMHO01566|1__13|SGB129874
SRR33750934.15662__1.15386	UniClust90_ECOHMLGB01426|1__5|SGB56640
SRR33750934.16417__1.16131	UniClust90_CBNLCMFD00284|1__9|SGB74789
SRR33750934.18262__1.17947	UniClust90_PIHLJOEE01087|1__8|SGB84075
SRR33750934.18782__1.18457	UniClust90_ADGGMJFC00353|1__11|SGB74789
SRR33750934.19919__1.19569	UniClust90_EJAHAFID02739|1__11|SGB130007
SRR33750934.21396__1.21012	UniRef90_A0A1Q7BT41|1__13|SGB56640
SRR33750934.21679__1.21293	UniClust90_NOMIGGEC00941|1__20|SGB125949
SRR33750934.21326__1.20944	UniClust90_PKMOJOJK04439|1__7|SGB84078
SRR33750934.24320__1.23898	UniClust90_PJKCPLGD01524|1__3|SGB89423
SRR33750934.25759__1.25311	UniClust90_EJAHAFID03224|1__13|SGB130007
SRR33750934.26314__1.25858	UniClust90_HGJNCPHJ04543|1__11|SGB125949
SRR33750934.26751__1.26286	UniClust90_FNPCGKEP00622|5__10|SGB84078
SRR33750934.28017__1.27538	UniRef90_A0A2V8LA21|1__8|SGB17587
SRR33750934.29542__1.29042	UniClust90_ELBNJALK00495|1__4|SGB74789
SRR33750934.29584__1.29084	UniClust90_ELBNJALK00495|1__4|SGB74789
SRR33750934.32242__1.31709	UniClust90_OOJDGJFL00994|1__11|SGB74789
SRR33750934.34466__1.33843	UniRef90_A0A345ZY02|1__11|SGB89408
SRR33750934.35809__1.35159	UniClust90_BIEFPEBK00666|1__4|SGB56638
