SRR33750958.128__1.127	UniClust90_PLNJEBMN01166|1__4|SGB133091
SRR33750958.1263__1.1245	UniClust90_CMHDMJOM04887|1__5|SGB56640
SRR33750958.2069__1.2037	UniClust90_BGMDAEJF00577|1__6|SGB122526
SRR33750958.2849__1.2790	UniClust90_OFJJKHAK01408|1__10|SGB84078
SRR33750958.2860__1.2801	VDB|0008-002B-0-0000|MV1064-c1042-c1-c2
SRR33750958.3638__1.3559	UniClust90_CBDIOHJF04333|1__8|SGB89725
SRR33750958.5014__1.4909	UniClust90_MDGCCGDH01476|1__5|SGB56640
SRR33750958.6290__1.6162	UniClust90_OAHKOOFD01976|1__7|SGB122526
SRR33750958.7447__1.7293	UniClust90_LGBMFDOL01265|1__13|SGB129206
SRR33750958.7736__1.7576	UniClust90_DPLIHBNC01476|1__6|SGB89725
SRR33750958.8191__1.8023	UniRef90_A0A2V5SA52|1__5|SGB52719
SRR33750958.9663__1.9472	UniClust90_IOFPBIHC02500|1__7|SGB130007
SRR33750958.10312__1.10103	UniClust90_DJBDGBNB01841|1__20|SGB89725
SRR33750958.10788__1.10571	UniClust90_OPLEJCPF04794|1__13|SGB125949
SRR33750958.11611__1.11381	UniClust90_BOKHIPMC05211|1__6|SGB130007
SRR33750958.11713__1.11481	UniRef90_A0A1Q7BBC4|1__6|SGB73517
SRR33750958.11910__1.11671	UniClust90_NOMIGGEC03544|1__20|SGB125949
SRR33750958.12008__1.11768	UniRef90_A0A0R3MKS1|1__13|SGB11343
SRR33750958.12300__1.12044	UniClust90_NOMIGGEC00046|1__15|SGB125949
SRR33750958.12304__1.12048	UniClust90_NOMIGGEC00046|1__15|SGB125949
SRR33750958.14155__1.13854	UniClust90_GIMAHFHH00711|6__12|SGB89408
SRR33750958.13371__1.13095	UniClust90_GIMAHFHH00711|6__12|SGB89408
SRR33750958.14751__1.14442	UniClust90_NHHHKJJE01164|1__11|SGB125949
SRR33750958.14694__1.14385	UniClust90_LLFOFLNB00447|1__8|SGB56638
SRR33750958.15111__1.14792	UniClust90_KIMIJBHB04526|1__21|SGB126432
SRR33750958.16416__1.16066	UniClust90_IDPAEINK00639|1__5|SGB89725
SRR33750958.21055__1.20613	UniClust90_DPJLILCC00136|1__18|SGB89725
SRR33750958.21545__1.21096	UniClust90_LMGOGHNA02110|1__7|SGB74789
SRR33750958.21178__1.20734	UniRef90_A0A2V5RFJ6|1__9|SGB52729
SRR33750958.21820__1.21365	UniClust90_DEFNONOM02357|8__12|SGB56640
SRR33750958.23719__1.23225	UniClust90_DPJLILCC01896|1__9|SGB89725
SRR33750958.23856__1.23359	UniClust90_DPJLILCC01896|1__9|SGB89725
SRR33750958.24616__1.24101	UniClust90_NOMIGGEC00979|1__9|SGB125949
SRR33750958.24044__1.23545	UniClust90_NOMIGGEC02686|1__9|SGB125949
SRR33750958.24792__1.24272	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750958.26442__1.25888	UniClust90_BGMDAEJF01552|1__7|SGB122526
SRR33750958.26779__1.26218	UniClust90_LHPBCBPG00718|1__4|SGB74780
SRR33750958.27160__1.26597	UniClust90_FMCCKGAC00869|1__11|SGB122610
SRR33750958.27215__1.26652	UniClust90_FMCCKGAC00869|1__11|SGB122610
SRR33750958.28840__1.28241	UniClust90_BKIEHKJF00390|1__9|SGB131913
SRR33750958.29985__1.29367	UniClust90_IBNNDEFK04269|1__7|SGB89408
SRR33750958.30232__1.29610	UniClust90_IMMCPGKG01619|1__8|SGB128778
SRR33750958.30289__1.29667	UniClust90_ECOHMLGB02482|1__10|SGB56640
SRR33750958.31136__1.30495	UniClust90_CBDKFAGD00617|1__16|SGB73712
SRR33750958.31756__1.31093	UniClust90_IDPAEINK00794|1__8|SGB89725
SRR33750958.33981__1.33256	UniClust90_EDNFDLAG00889|1__6|SGB84078
SRR33750958.34300__1.33567	UniClust90_OPLEJCPF05100|1__9|SGB125949
SRR33750958.35747__1.34983	UniClust90_GJEIHIOJ00683|5__8|SGB122526
SRR33750958.36994__1.36217	UniClust90_ECOHMLGB00268|7__13|SGB56640
SRR33750958.37720__1.36920	UniClust90_JMFJJCJA00953|1__7|SGB130007
SRR33750958.37837__1.37036	UniRef90_A0A1Q7BMJ0|2__5|SGB56640
SRR33750958.39203__1.38385	UniClust90_FECOCFCC03111|1__10|SGB128987
SRR33750958.39966__1.39127	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750958.40093__1.39252	UniClust90_ELKMOIOH01471|1__4|SGB122683
SRR33750958.41142__1.40281	UniClust90_FECOCFCC00999|1__14|SGB128987
SRR33750958.41796__1.40923	UniClust90_DCJCBMEC03046|15__21|SGB122526
SRR33750958.42623__1.41737	UniClust90_DCJCBMEC03307|5__9|SGB122526
SRR33750958.43054__1.42162	UniClust90_EJAHAFID00324|1__8|SGB130007
SRR33750958.44177__1.43260	UniClust90_JHNMEHIJ02718|1__7|SGB56640
SRR33750958.44166__1.43249	UniClust90_JHNMEHIJ02718|1__7|SGB56640
SRR33750958.45346__1.44400	UniClust90_DPLIHBNC00784|1__9|SGB89725
SRR33750958.45352__1.44406	UniClust90_DPLIHBNC00784|1__9|SGB89725
SRR33750958.46018__1.45059	UniClust90_ELKMOIOH01267|1__3|SGB122683
SRR33750958.46726__1.45752	UniClust90_NHAODOGE01120|1__9|SGB131282
SRR33750958.47174__1.46190	UniClust90_CMJGEBLA03514|1__12|SGB89408
SRR33750958.47599__1.46610	UniClust90_EDNFDLAG02240|1__3|SGB84078
SRR33750958.48203__1.47202	UniRef90_A0A2V5SS10|1__7|SGB52719
SRR33750958.48215__1.47214	UniClust90_ELKMOIOH01267|1__3|SGB122683
SRR33750958.49291__1.48271	UniClust90_MNIJDAKE02919|1__9|SGB109939
SRR33750958.49998__1.48965	UniClust90_OALLKAFI01276|1__7|SGB84078
SRR33750958.51646__1.50573	UniClust90_BHLGKCAN03061|1__9|SGB56640
SRR33750958.52134__1.51052	UniClust90_HOPPLHLN02273|1__7|SGB128471
SRR33750958.52445__1.51358	UniClust90_DJBDGBNB01635|1__6|SGB89725
SRR33750958.52536__1.51449	UniClust90_DCJCBMEC03957|1__8|SGB122526
SRR33750958.52482__1.51395	UniClust90_NHHHKJJE00275|1__12|SGB125949
SRR33750958.52421__1.51334	UniClust90_DJBDGBNB01635|1__6|SGB89725
SRR33750958.53420__1.52317	UniClust90_BNNPPPCD01538|1__12|SGB94640
SRR33750958.54555__1.53431	UniClust90_OJFAJFEC00285|1__4|SGB89423
SRR33750958.54658__1.53532	UniClust90_EKCLMAKM04919|2__8|SGB89408
SRR33750958.54726__1.53599	UniClust90_CKIMIKLI02519|1__21|SGB133129
SRR33750958.54913__1.53784	UniRef90_A0A1Q7J9K3|4__11|SGB84078
SRR33750958.55407__1.54268	UniRef90_A0A1Q7BG25|1__8|SGB56640
SRR33750958.55875__1.54730	UniRef90_A0A1Q7J9K3|4__11|SGB84078
SRR33750958.56031__1.54885	UniClust90_IMMCPGKG02367|1__10|SGB128778
SRR33750958.56815__1.55649	UniClust90_CBDIOHJF00521|1__7|SGB89725
SRR33750958.56807__1.55641	UniClust90_CBDIOHJF00521|1__7|SGB89725
SRR33750958.57837__1.56650	UniRef90_A0A1S5Y239|1__9|SGB125949
SRR33750958.57918__1.56731	UniClust90_GIDCBJMF01365|1__9|SGB134112
SRR33750958.58300__1.57108	UniClust90_BNNPPPCD00366|1__15|SGB94640
SRR33750958.57819__1.56632	UniClust90_BNNPPPCD00366|1__15|SGB94640
SRR33750958.60975__1.59721	UniClust90_DAODNPOA00428|1__4|SGB89725
SRR33750958.63762__1.62454	UniClust90_ABOOFKJJ01515|1__7|SGB127159
SRR33750958.64514__1.63196	UniClust90_GEHFPKBH04297|1__9|SGB84075
SRR33750958.66961__1.65598	UniClust90_JMFJJCJA01374|1__6|SGB130007
SRR33750958.67146__1.65779	UniClust90_MADMLNLG01808|1__6|SGB89423
SRR33750958.67882__1.66500	UniClust90_JBMBCDML00509|1__6|SGB89725
SRR33750958.68515__1.67122	UniClust90_LHPBCBPG01697|4__7|SGB74780
SRR33750958.70233__1.68815	UniClust90_OCCBPJCL01584|1__8|SGB132245
SRR33750958.70264__1.68846	UniClust90_PCIJFCLC00199|1__6|SGB132245
SRR33750958.71198__1.69756	UniClust90_DAODNPOA02193|1__5|SGB89725
SRR33750958.71381__1.69937	UniClust90_HOPPLHLN02081|1__9|SGB128471
SRR33750958.71579__1.70131	UniClust90_JMJHPHJK01529|7__15|SGB134112
SRR33750958.72107__1.70651	UniRef90_A0A1Q7BFX1|3__9|SGB56640
SRR33750958.73179__1.71703	UniClust90_MIFDONLI00107|1__6|SGB89423
SRR33750958.73210__1.71734	UniClust90_PLNJEBMN01430|1__6|SGB133091
SRR33750958.73470__1.71991	UniRef90_A0A2V5K3V3|1__19|SGB25332
SRR33750958.74663__1.73160	UniClust90_CHMIEHDJ04510|1__7|SGB56640
SRR33750958.75310__1.73798	UniClust90_JKKHKAPH01688|1__20|SGB89408
SRR33750958.76104__1.74575	UniClust90_IDPAEINK00794|1__8|SGB89725
SRR33750958.76076__1.74547	UniClust90_DPLIHBNC00819|1__6|SGB89725
SRR33750958.76367__1.74834	UniClust90_OALLKAFI00141|1__16|SGB84078
SRR33750958.76689__1.75149	UniClust90_LEJLODHJ01330|2__5|SGB89423
SRR33750958.77663__1.76109	UniClust90_EDNFDLAG00532|1__6|SGB84078
SRR33750958.77861__1.76304	UniClust90_EDNFDLAG00532|1__6|SGB84078
SRR33750958.78076__1.76516	UniRef90_A0A1Q7B865|1__5|SGB56640
SRR33750958.78111__1.76549	UniClust90_FCPHDNIE03855|6__9|SGB74780
SRR33750958.79331__1.77742	UniRef90_A0A1Q7BYS5|1__6|SGB56640
SRR33750958.80993__1.79374	UniClust90_GMGIGFBN03195|1__14|SGB128987
SRR33750958.81002__1.79383	UniClust90_GMGIGFBN03195|1__14|SGB128987
SRR33750958.81056__1.79434	UniClust90_DPLIHBNC01353|1__10|SGB89725
SRR33750958.82223__1.80578	UniClust90_HGJNCPHJ01094|1__14|SGB125949
SRR33750958.82254__1.80609	UniClust90_HGJNCPHJ01094|1__14|SGB125949
SRR33750958.82523__1.80871	UniClust90_OPBPCBGI00811|1__8|SGB132245
SRR33750958.83075__1.81412	UniClust90_PIHLJOEE02617|1__9|SGB84075
SRR33750958.83617__1.81943	UniRef90_A0A3D5DSW4|1__8|SGB130007
SRR33750958.83581__1.81907	UniRef90_A0A3D5DSW4|1__8|SGB130007
SRR33750958.84024__1.82341	UniClust90_DPLIHBNC01349|1__19|SGB89725
SRR33750958.84162__1.82476	UniClust90_HGJNCPHJ01094|1__14|SGB125949
SRR33750958.84178__1.82492	UniClust90_HGJNCPHJ01094|1__14|SGB125949
SRR33750958.85818__1.84095	UniClust90_GMEAMNGB02090|2__10|SGB134112
SRR33750958.86385__1.84652	UniRef90_A0A408JHR7|1__8|SGB12760
SRR33750958.86454__1.84720	UniRef90_A0A408JHR7|1__8|SGB12760
SRR33750958.87498__1.85746	UniClust90_OCJAPFEA00132|1__8|SGB125949
SRR33750958.87815__1.86051	UniClust90_DJBDGBNB00607|1__6|SGB89725
SRR33750958.87859__1.86095	UniClust90_KFAENHBI02465|1__21|SGB134833
SRR33750958.87986__1.86220	UniClust90_LLIEHLNH03282|1__7|SGB130007
SRR33750958.88033__1.86265	UniClust90_KFAENHBI02465|1__21|SGB134833
SRR33750958.89958__1.88161	UniRef90_A0A1Q7J1G6|1__10|SGB84075
SRR33750958.91251__1.89434	UniClust90_MCIKAKAA05122|9__20|SGB89693
SRR33750958.91352__1.89535	UniClust90_HOPPLHLN01180|1__8|SGB128471
SRR33750958.92488__1.90655	UniClust90_GFFNGEKC01386|1__5|SGB56640
SRR33750958.93020__1.91178	UniClust90_OPLEJCPF02044|4__15|SGB125949
SRR33750958.93318__1.91468	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750958.92888__1.91050	UniClust90_BOKHIPMC03304|1__5|SGB130007
SRR33750958.93454__1.91601	UniClust90_HGJNCPHJ03907|1__8|SGB125949
SRR33750958.94835__1.92964	UniClust90_CJJELLGD00950|1__6|SGB84331
SRR33750958.94918__1.93044	UniClust90_CMJGEBLA00318|1__11|SGB89408
SRR33750958.95001__1.93127	UniRef90_A0A1Q7BYS5|1__6|SGB56640
SRR33750958.95072__1.93197	UniRef90_A0A2V5YU65|3__10|SGB52714
SRR33750958.95503__1.93620	UniRef90_A0A2V5P394|1__8|SGB52714
SRR33750958.95585__1.93700	UniClust90_CMJGEBLA00318|1__11|SGB89408
SRR33750958.95586__1.93701	UniClust90_CMJGEBLA00318|1__11|SGB89408
SRR33750958.95578__1.93693	UniClust90_CMJGEBLA00318|1__11|SGB89408
SRR33750958.97706__1.95785	UniClust90_EFBPFKCE00423|1__5|SGB122683
SRR33750958.100888__1.98894	UniClust90_DCJCBMEC01539|4__7|SGB122526
SRR33750958.102005__1.99992	UniClust90_OAGJJAJI00769|1__5|SGB122683
SRR33750958.102389__1.100372	UniClust90_OAGJJAJI00769|1__5|SGB122683
SRR33750958.102626__1.100601	UniRef90_A0A1B1Z7A6|1__7|SGB154150
SRR33750958.103282__1.101241	UniRef90_UPI00042554AC|1__5|SGB31987
SRR33750958.104092__1.102038	UniClust90_DJFHEFAJ02190|1__3|SGB89423
SRR33750958.104878__1.102816	UniRef90_A0A2A8S7R9|1__8|SGB7708
SRR33750958.105526__1.103452	UniClust90_IPFPHDNG00001|1__6|SGB131926
SRR33750958.106108__1.104020	UniClust90_OAHKOOFD02739|5__8|SGB122526
SRR33750958.106229__1.104135	UniClust90_JMJHPHJK01716|1__13|SGB134112
SRR33750958.108110__1.105986	UniClust90_BKIEHKJF02319|1__5|SGB131913
SRR33750958.110527__1.108367	UniClust90_GMGIGFBN00532|1__11|SGB128987
SRR33750958.111108__1.108932	UniClust90_AGBJGNAA00277|1__8|SGB74789
SRR33750958.111371__1.109193	UniClust90_EGGMCINA00448|1__16|SGB131808
SRR33750958.111744__1.109562	UniClust90_EGGMCINA00448|1__16|SGB131808
SRR33750958.113175__1.110971	UniRef90_A0A1Q7B5A3|1__5|SGB56640
SRR33750958.114486__1.112255	UniRef90_UPI0003A94D88|10__19|SGB31966
SRR33750958.115614__1.113361	UniRef90_A0A2V6AX30|1__9|SGB52714
SRR33750958.117589__1.115310	UniClust90_IOFPBIHC03172|1__6|SGB130007
SRR33750958.119165__1.116859	UniClust90_LJMOGHMP01139|5__11|SGB128778
SRR33750958.119614__1.117301	UniClust90_OPLEJCPF04794|1__13|SGB125949
SRR33750958.120113__1.117789	UniClust90_CANGFCMM00730|1__6|SGB122683
SRR33750958.119987__1.117664	UniClust90_IOFPBIHC03172|1__6|SGB130007
SRR33750958.120803__1.118466	UniClust90_DJBDGBNB01295|1__8|SGB89725
SRR33750958.121138__1.118797	UniClust90_OCJAPFEA01889|1__12|SGB125949
SRR33750958.121326__1.118981	UniClust90_CHLBPEBB02682|3__6|SGB89725
SRR33750958.122255__1.119894	UniClust90_EHFFKAJJ03722|3__9|SGB74780
SRR33750958.121381__1.119035	UniClust90_IOFPBIHC04358|1__11|SGB130007
SRR33750958.121906__1.119553	UniClust90_OPLEJCPF02018|1__11|SGB125949
SRR33750958.122788__1.120417	UniClust90_EHFFKAJJ05764|2__6|SGB74780
SRR33750958.123117__1.120745	UniClust90_EDNFDLAG02086|1__6|SGB84078
SRR33750958.124649__1.122253	UniClust90_CLKOHAKG00773|1__7|SGB74789
SRR33750958.126321__1.123895	UniClust90_EGGMCINA03438|1__15|SGB131808
SRR33750958.127477__1.125027	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750958.127447__1.124997	UniClust90_JJIPPMBI01159|1__11|SGB133090
SRR33750958.127738__1.125284	UniClust90_BJEHKANM02987|2__5|SGB89410
SRR33750958.127204__1.124760	UniClust90_LHPBCBPG02866|4__7|SGB74780
SRR33750958.128089__1.125634	UniClust90_LLIEHLNH03104|1__5|SGB130007
SRR33750958.129435__1.126953	UniClust90_EJFOFLBH00016|1__3|SGB133091
SRR33750958.130067__1.127574	UniRef90_A0A1Q7B4K4|1__5|SGB56640
SRR33750958.131188__1.128679	UniClust90_PKNCJFOJ02377|1__3|SGB56640
SRR33750958.131595__1.129080	UniRef90_A0A2V5MPW6|5__9|SGB52717
SRR33750958.132839__1.130309	UniClust90_DPJLILCC00590|1__24|SGB89725
SRR33750958.133100__1.130563	UniClust90_NHHHKJJE01449|1__10|SGB125949
SRR33750958.133265__1.130727	UniClust90_IJHKGIGD02835|1__8|SGB128471
SRR33750958.133315__1.130777	UniClust90_IJHKGIGD02835|1__8|SGB128471
SRR33750958.134025__1.131477	UniClust90_EDBNNBOB02138|1__6|SGB56640
SRR33750958.135118__1.132553	UniClust90_OPLEJCPF02018|1__11|SGB125949
SRR33750958.135987__1.133411	UniClust90_GEHFPKBH01295|1__4|SGB84075
SRR33750958.136904__1.134314	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750958.136783__1.134196	UniClust90_DPLIHBNC01543|1__15|SGB89725
SRR33750958.137439__1.134834	UniRef90_A0A2V5MPW6|5__9|SGB52717
SRR33750958.139070__1.136437	UniClust90_GIDCBJMF00462|1__6|SGB134112
SRR33750958.139046__1.136413	UniClust90_PIHLJOEE02851|1__8|SGB84075
SRR33750958.139914__1.137261	UniClust90_GFHGLNMO00861|1__5|SGB133091
SRR33750958.140351__1.137691	UniClust90_GFHGLNMO00861|1__5|SGB133091
SRR33750958.140610__1.137946	UniClust90_JMFJJCJA02522|1__6|SGB130007
SRR33750958.140708__1.138040	UniClust90_CFIKCEGJ00820|1__17|SGB131808
SRR33750958.142247__1.139550	UniClust90_PIHLJOEE02851|1__8|SGB84075
SRR33750958.142286__1.139588	UniClust90_NOMIGGEC03544|1__20|SGB125949
SRR33750958.142240__1.139543	UniClust90_NOMIGGEC03544|1__20|SGB125949
SRR33750958.142439__1.139738	UniClust90_NOMIGGEC03544|1__20|SGB125949
SRR33750958.144675__1.141927	UniClust90_OAHKOOFD02153|2__16|SGB122526
SRR33750958.146169__1.143395	UniClust90_EAKADGJF00531|1__4|SGB131926
SRR33750958.146861__1.144076	UniClust90_KIMNEABG02224|1__6|SGB131913
SRR33750958.147278__1.144488	UniClust90_BOKHIPMC02909|1__7|SGB130007
SRR33750958.148023__1.145218	UniClust90_FECOCFCC03242|10__22|SGB128987
SRR33750958.150621__1.147776	UniClust90_FNPCGKEP02875|10__15|SGB84078
SRR33750958.151985__1.149128	UniClust90_GOLEECJA01732|1__14|SGB111168
SRR33750958.152066__1.149208	UniClust90_DEFNONOM00677|1__6|SGB56640
SRR33750958.152167__1.149309	UniClust90_ANDLCEDJ00505|2__6|SGB133091
SRR33750958.151936__1.149081	UniClust90_GOLEECJA01732|1__14|SGB111168
SRR33750958.152958__1.150091	UniClust90_KNIHHCNM01600|1__8|SGB130183
SRR33750958.153101__1.150232	UniClust90_JJIPPMBI01159|1__11|SGB133090
SRR33750958.153369__1.150495	UniClust90_JMFJJCJA05250|4__8|SGB130007
SRR33750958.155763__1.152849	UniClust90_DPLIHBNC01042|1__5|SGB89725
SRR33750958.155733__1.152819	UniClust90_NOMIGGEC01663|1__12|SGB125949
