SRR33750937.876__1.866	UniRef90_A0A1Q7B3L9|1__5|SGB56640
SRR33750937.1244__1.1223	UniClust90_ANDLCEDJ00965|1__6|SGB133091
SRR33750937.1938__1.1905	UniRef90_A0A2V8L318|1__11|SGB17587
SRR33750937.2554__1.2515	UniClust90_CFAJFCKN01776|1__11|SGB90577
SRR33750937.2732__1.2689	UniClust90_BKMLPNMA00472|2__5|SGB89423
SRR33750937.3713__1.3646	UniClust90_CHMIEHDJ01175|1__8|SGB56640
SRR33750937.6626__1.6517	UniRef90_A0A1Q7S1W9|1__7|SGB17587
SRR33750937.7330__1.7209	UniRef90_A0A1I1V5Z5|2__13|SGB8289
SRR33750937.8477__1.8330	UniClust90_COMJOMMO00065|1__13|SGB132736
SRR33750937.8485__1.8338	UniClust90_DPJLILCC00136|1__18|SGB89725
SRR33750937.8993__1.8840	UniRef90_A0A1Q7B355|1__3|SGB56640
SRR33750937.9007__1.8854	UniRef90_A0A1F2XPV1|2__7|SGB89423
SRR33750937.9820__1.9659	UniRef90_A0A2V5R805|1__7|SGB52719
SRR33750937.10240__1.10073	UniClust90_OFJJKHAK01408|1__10|SGB84078
SRR33750937.11900__1.11699	UniClust90_EDBNNBOB00489|1__6|SGB56640
SRR33750937.13118__1.12895	UniClust90_EJAHAFID04658|1__9|SGB130007
SRR33750937.13648__1.13417	UniClust90_EJAHAFID03446|1__5|SGB130007
SRR33750937.15827__1.15560	UniClust90_EJAHAFID04301|1__5|SGB130007
SRR33750937.16391__1.16105	UniClust90_OJGLOKOM02885|1__5|SGB84075
SRR33750937.16411__1.16125	UniClust90_OFHGBGGN01239|1__4|SGB89423
SRR33750937.17008__1.16708	UniClust90_HGJNCPHJ00714|1__10|SGB125949
SRR33750937.18519__1.18196	UniClust90_JMFJJCJA01564|1__5|SGB130007
SRR33750937.18184__1.17865	UniClust90_IOFPBIHC03266|1__6|SGB130007
SRR33750937.19670__1.19332	UniClust90_CBDKFAGD00294|1__12|SGB73712
SRR33750937.20022__1.19678	UniClust90_OCJAPFEA04719|1__9|SGB125949
SRR33750937.19627__1.19289	UniClust90_IPBGJNGD03291|1__11|SGB89408
SRR33750937.21832__1.21457	UniRef90_A0A2V5SKZ0|2__8|SGB52719
SRR33750937.21831__1.21456	UniClust90_FECOCFCC00836|1__10|SGB128987
SRR33750937.23060__1.22663	UniRef90_A0A2V8H1W6|1__20|SGB17587
SRR33750937.25817__1.25369	UniClust90_OECKFAOL00951|1__9|SGB89423
SRR33750937.26123__1.25670	UniClust90_FNPCGKEP04821|1__8|SGB84078
SRR33750937.26103__1.25650	UniRef90_UPI0008386755|1__12|SGB208811
SRR33750937.26369__1.25913	UniClust90_OECKFAOL00951|1__9|SGB89423
SRR33750937.26784__1.26322	UniClust90_GLCCIAAD00405|1__3|SGB89423
SRR33750937.26962__1.26498	UniClust90_OJFAJFEC01728|1__3|SGB89423
SRR33750937.27015__1.26551	UniClust90_OJFAJFEC01728|1__3|SGB89423
SRR33750937.27353__1.26884	UniClust90_FCIDFMNO00259|1__9|SGB86998
SRR33750937.27396__1.26926	UniClust90_IOFPBIHC04359|1__6|SGB130007
SRR33750937.28205__1.27721	UniClust90_AOMEFECO00717|1__12|SGB133090
SRR33750937.28201__1.27717	UniClust90_AOMEFECO00717|1__12|SGB133090
SRR33750937.30879__1.30350	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750937.32026__1.31476	UniClust90_OALLKAFI00407|1__6|SGB84078
SRR33750937.32618__1.32065	UniRef90_A0A2V5TPG6|1__16|SGB52719
SRR33750937.33709__1.33144	UniClust90_NHHHKJJE03593|1__8|SGB125949
SRR33750937.33780__1.33215	UniClust90_NOMIGGEC04463|1__9|SGB125949
SRR33750937.33837__1.33272	UniClust90_EDNFDLAG02239|1__11|SGB84078
SRR33750937.33928__1.33362	UniClust90_NOMIGGEC04463|1__9|SGB125949
SRR33750937.35164__1.34586	UniClust90_EJAHAFID00708|1__11|SGB130007
SRR33750937.36759__1.36154	UniClust90_EDNFDLAG01851|1__6|SGB84078
SRR33750937.37147__1.36534	UniRef90_UPI00041ED3F4|2__8|SGB31987
SRR33750937.37128__1.36515	UniRef90_A0A2V5R4I1|1__7|SGB52719
SRR33750937.37657__1.37033	UniRef90_A0A1Q7B355|1__3|SGB56640
SRR33750937.38948__1.38300	UniClust90_GEHFPKBH00350|1__7|SGB84075
SRR33750937.40508__1.39796	UniClust90_LLIEHLNH02423|1__9|SGB130007
SRR33750937.39727__1.39061	UniClust90_MEABCEIN00919|1__6|SGB84078
SRR33750937.41077__1.40346	UniClust90_HNBLJKFC01798|6__16|SGB128778
SRR33750937.42557__1.41802	UniRef90_A0A357CG32|2__6|SGB89423
SRR33750937.44402__1.43623	UniClust90_BOAKGFPK04833|1__17|SGB130909
SRR33750937.44588__1.43805	UniClust90_PKCJLHDA00360|1__9|SGB89408
SRR33750937.44994__1.44206	UniClust90_OOINIOFJ01657|1__4|SGB84076
SRR33750937.45508__1.44714	UniClust90_PIHLJOEE04833|1__17|SGB84075
SRR33750937.46441__1.45636	UniClust90_NOMIGGEC00046|1__15|SGB125949
SRR33750937.46689__1.45878	UniClust90_CJJELLGD01175|1__11|SGB84331
SRR33750937.47093__1.46274	UniClust90_GEHFPKBH01024|1__8|SGB84075
SRR33750937.47335__1.46515	UniClust90_NOMIGGEC00941|1__20|SGB125949
SRR33750937.47384__1.46563	UniRef90_A0A1Q7BEL8|1__7|SGB56640
SRR33750937.47539__1.46715	UniClust90_JMFJJCJA01908|1__5|SGB130007
SRR33750937.47876__1.47047	UniRef90_A0A1Q7BYS5|1__6|SGB56640
SRR33750937.48220__1.47388	UniClust90_HMPPKHGP00324|1__4|SGB133091
SRR33750937.48753__1.47910	UniClust90_LOGOHNGJ01095|1__13|SGB126057
SRR33750937.49027__1.48181	UniClust90_IBMDDACE00649|1__7|SGB128778
SRR33750937.49809__1.48954	UniRef90_A0A1Q7BEL8|1__7|SGB56640
SRR33750937.49927__1.49071	UniClust90_EJHPGLNK01677|1__5|SGB89423
SRR33750937.50530__1.49663	UniClust90_LOGOHNGJ01095|1__13|SGB126057
SRR33750937.50970__1.50096	UniClust90_JBOFJENC05463|1__7|SGB56104
SRR33750937.50923__1.50050	UniClust90_JBOFJENC05463|1__7|SGB56104
SRR33750937.50938__1.50064	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750937.50781__1.49909	UniRef90_A0A2V8JIT0|1__16|SGB22097
SRR33750937.52267__1.51370	UniClust90_OCJAPFEA03769|1__15|SGB125949
SRR33750937.53519__1.52594	UniRef90_A0A2V6DHG8|1__8|SGB22169
SRR33750937.55177__1.54229	UniClust90_DEFNONOM01870|3__10|SGB56640
SRR33750937.55751__1.54781	UniClust90_MDILPPEF00028|1__4|SGB89423
SRR33750937.55735__1.54765	UniClust90_MDILPPEF00028|1__4|SGB89423
SRR33750937.55911__1.54938	UniClust90_HGJNCPHJ03693|1__9|SGB125949
SRR33750937.55915__1.54942	UniClust90_CHMIEHDJ01632|7__10|SGB56640
SRR33750937.55977__1.55002	UniClust90_MDILPPEF00618|1__5|SGB89423
SRR33750937.57703__1.56706	UniClust90_IOFPBIHC03296|1__5|SGB130007
SRR33750937.58061__1.57060	UniClust90_EEMCGFAP02851|1__14|SGB128685
SRR33750937.58859__1.57843	UniRef90_A0A1Q7B9J9|1__4|SGB56640
SRR33750937.60862__1.59821	UniClust90_HGAMACDH01567|1__14|SGB128778
SRR33750937.60783__1.59744	UniClust90_HGAMACDH01567|1__14|SGB128778
SRR33750937.61043__1.60000	UniClust90_FNPCGKEP01659|1__4|SGB84078
SRR33750937.61187__1.60142	UniClust90_BPNLEABE02535|1__7|SGB89423
SRR33750937.61290__1.60245	UniClust90_IOFPBIHC04359|1__6|SGB130007
SRR33750937.61777__1.60725	UniClust90_BHLGKCAN00022|1__16|SGB56640
SRR33750937.63779__1.62692	UniRef90_A0A2V5IX94|1__8|SGB52720
SRR33750937.64180__1.63087	UniClust90_OJGLOKOM00306|1__7|SGB84075
SRR33750937.64025__1.62933	UniClust90_EOFGAKMC01069|1__12|SGB84075
SRR33750937.65357__1.64255	UniRef90_UPI00041ED3F4|12__16|SGB31987
SRR33750937.66084__1.64972	UniClust90_MDGCCGDH03367|2__7|SGB56640
SRR33750937.66561__1.65444	UniClust90_JMFJJCJA04673|1__5|SGB130007
SRR33750937.67372__1.66241	UniClust90_CMJGEBLA04069|1__7|SGB89408
SRR33750937.67849__1.66705	UniRef90_A0A1Q7BQQ2|1__6|SGB56638
SRR33750937.67873__1.66728	UniRef90_A0A1Q7BQQ2|1__6|SGB56638
SRR33750937.68089__1.66942	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750937.68831__1.67670	UniClust90_OCJAPFEA01349|1__11|SGB125949
SRR33750937.68842__1.67681	UniRef90_A0A1Q8B7J7|1__7|SGB17587
SRR33750937.69082__1.67920	UniClust90_IOFPBIHC03266|1__6|SGB130007
SRR33750937.69381__1.68215	UniClust90_AHBBACPJ00350|1__5|SGB122683
SRR33750937.69391__1.68225	UniRef90_A0A1Q7BFB1|1__5|SGB56640
SRR33750937.70470__1.69283	UniClust90_PFBNAPOO00708|1__4|SGB89423
SRR33750937.70761__1.69570	UniClust90_OCJAPFEA03769|1__15|SGB125949
SRR33750937.70926__1.69733	UniClust90_ANDLCEDJ02239|1__6|SGB133091
SRR33750937.71452__1.70253	UniClust90_MEABCEIN01365|1__6|SGB84078
SRR33750937.71576__1.70374	UniClust90_BGMDAEJF01493|1__4|SGB122526
SRR33750937.72832__1.71610	UniClust90_ICLCAGBO00707|1__8|SGB131913
SRR33750937.72989__1.71767	UniClust90_OJGLOKOM01673|1__5|SGB84075
SRR33750937.74267__1.73021	UniClust90_OPLEJCPF02018|1__11|SGB125949
SRR33750937.74274__1.73028	UniClust90_LLIEHLNH03552|2__10|SGB130007
SRR33750937.74790__1.73540	UniClust90_GBLMBOPO00290|1__3|SGB133090
SRR33750937.75032__1.73779	UniClust90_DPLIHBNC00975|1__15|SGB89725
SRR33750937.75606__1.74349	UniClust90_OPFCPGGL01536|1__5|SGB89423
