SRR33750935.444__1.436	UniClust90_ICLCAGBO00366|1__6|SGB131913
SRR33750935.776__1.763	UniClust90_IGKPANEM02664|1__15|SGB128987
SRR33750935.2859__1.2803	UniClust90_JKONEDMA00395|1__7|SGB130007
SRR33750935.3694__1.3625	UniClust90_OPLEJCPF02044|4__15|SGB125949
SRR33750935.3862__1.3790	UniRef90_UPI00107E7CB3|1__18|SGB34492
SRR33750935.5887__1.5773	UniClust90_KMEALJDO00961|1__7|SGB84078
SRR33750935.6107__1.5986	UniClust90_BGDHDLNA05620|1__6|SGB84075
SRR33750935.7448__1.7301	UniClust90_BKIEHKJF02037|1__5|SGB131913
SRR33750935.7145__1.7000	UniClust90_JMFJJCJA02397|1__12|SGB130007
SRR33750935.7433__1.7286	UniClust90_DJBDGBNB01841|1__20|SGB89725
SRR33750935.8166__1.8004	UniRef90_A0A2V6SJB6|1__5|SGB131913
SRR33750935.8768__1.8596	UniClust90_HGJNCPHJ01223|1__14|SGB125949
SRR33750935.9013__1.8836	UniClust90_HGJNCPHJ01223|1__14|SGB125949
SRR33750935.8707__1.8540	UniClust90_BOKHIPMC03200|1__15|SGB130007
SRR33750935.10055__1.9858	UniRef90_A0A2P7PM74|7__10|SGB23598
SRR33750935.10277__1.10076	UniRef90_A0A1Q7B8W4|1__6|SGB56640
SRR33750935.12184__1.11950	UniClust90_OPLEJCPF02938|1__11|SGB125949
SRR33750935.13335__1.13077	UniClust90_EDNFDLAG00321|6__16|SGB84078
SRR33750935.13206__1.12952	UniClust90_OJPDPBJK01028|1__6|SGB129125
SRR33750935.14298__1.14029	UniRef90_A0A1Q7BU11|1__5|SGB56640
SRR33750935.17710__1.17362	UniClust90_GFHGLNMO00861|1__5|SGB133091
SRR33750935.17995__1.17642	UniRef90_A0A109J5W4|1__15|SGB11143
SRR33750935.18846__1.18472	UniClust90_FNPCGKEP01967|1__7|SGB84078
SRR33750935.18837__1.18463	UniClust90_FNPCGKEP01967|1__7|SGB84078
SRR33750935.19995__1.19610	UniClust90_NNOGEMDJ02285|1__10|SGB128987
SRR33750935.20244__1.19854	UniClust90_NNOGEMDJ02285|1__10|SGB128987
SRR33750935.20023__1.19638	UniClust90_NNOGEMDJ02285|1__10|SGB128987
SRR33750935.20271__1.19881	UniRef90_A0A0X3RZI8|1__14|SGB16170
SRR33750935.21057__1.20660	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750935.20760__1.20366	UniRef90_A0A1Q8BAM7|1__7|SGB17587
SRR33750935.22398__1.21984	UniClust90_MGMAIHDG00982|1__7|SGB128178
SRR33750935.22406__1.21992	UniClust90_JGLNKPCH01635|1__11|SGB130022
SRR33750935.23284__1.22849	UniClust90_IGKPANEM01128|1__16|SGB128987
SRR33750935.24219__1.23769	UniClust90_PIHLJOEE01054|1__7|SGB84075
SRR33750935.24776__1.24313	UniClust90_OIPOEBPA02071|1__9|SGB84075
SRR33750935.25845__1.25367	UniClust90_IKLAALHE00744|1__11|SGB133354
SRR33750935.28629__1.28096	UniClust90_OCJAPFEA01311|1__9|SGB125949
SRR33750935.28712__1.28177	UniClust90_HGJNCPHJ04065|1__12|SGB125949
SRR33750935.28358__1.27832	UniClust90_HNBLJKFC00678|1__15|SGB128778
SRR33750935.29281__1.28731	UniClust90_OCJAPFEA05355|1__8|SGB125949
SRR33750935.30452__1.29858	UniClust90_DPJLILCC00219|1__5|SGB89725
SRR33750935.31655__1.31025	UniClust90_BOKHIPMC04936|1__5|SGB130007
SRR33750935.32314__1.31676	UniClust90_EJAHAFID01881|1__7|SGB130007
SRR33750935.32381__1.31743	UniRef90_UPI0003143492|1__9|SGB33942
SRR33750935.32501__1.31861	UniClust90_DJBDGBNB02960|1__8|SGB89725
SRR33750935.35922__1.35231	UniClust90_PIHLJOEE04833|1__17|SGB84075
SRR33750935.37357__1.36637	UniClust90_DLOKBJPP00658|1__5|SGB131913
SRR33750935.39357__1.38594	UniClust90_EJAHAFID01041|7__11|SGB130007
SRR33750935.39190__1.38434	UniClust90_CKDECKMG00344|1__11|SGB133121
SRR33750935.41119__1.40330	UniClust90_BOKHIPMC05587|1__8|SGB130007
SRR33750935.41272__1.40480	UniClust90_NOMIGGEC01495|1__12|SGB125949
SRR33750935.41767__1.40961	UniClust90_EKBOINBG00329|1__12|SGB133248
SRR33750935.44838__1.43983	UniClust90_FECOCFCC02754|1__12|SGB128987
SRR33750935.45582__1.44706	UniClust90_EDNFDLAG02092|1__7|SGB84078
SRR33750935.45867__1.44989	UniClust90_AOIMDMKB02037|1__9|SGB129003
SRR33750935.46982__1.46079	UniClust90_PPJAIDOO02132|1__7|SGB84075
SRR33750935.49044__1.48105	UniClust90_OECKFAOL01864|1__3|SGB89423
SRR33750935.49170__1.48230	UniClust90_OECKFAOL01864|1__3|SGB89423
SRR33750935.49354__1.48413	UniClust90_HGAMACDH01313|1__12|SGB128778
SRR33750935.53717__1.52692	UniClust90_AHPFANAF01830|1__6|SGB133354
SRR33750935.54234__1.53201	UniClust90_AHPFANAF01830|1__6|SGB133354
SRR33750935.55707__1.54651	UniClust90_OPLEJCPF05522|1__14|SGB125949
SRR33750935.59611__1.58469	UniClust90_OFJJKHAK02035|1__6|SGB84078
SRR33750935.59571__1.58429	UniClust90_HNBLJKFC02208|1__12|SGB128778
SRR33750935.60845__1.59679	UniClust90_OJGLOKOM01601|1__7|SGB84075
SRR33750935.61812__1.60632	UniClust90_ICLCAGBO00626|1__8|SGB131913
SRR33750935.63814__1.62604	UniClust90_DJFHEFAJ02190|1__3|SGB89423
SRR33750935.65041__1.63810	UniClust90_IMMCPGKG02020|1__9|SGB128778
SRR33750935.65620__1.64377	UniRef90_A0A2V5YTI9|1__13|SGB52714
SRR33750935.65589__1.64347	UniClust90_PEMFFBNE00475|1__8|SGB74789
SRR33750935.67246__1.65975	UniRef90_A0A1Q7B4L6|1__6|SGB56640
SRR33750935.67603__1.66325	UniRef90_A0A1Q7B7K0|1__11|SGB73517
SRR33750935.69791__1.68470	UniClust90_BMFPIMNF01374|1__9|SGB133122
SRR33750935.69840__1.68518	UniClust90_MNCLICOO02003|1__9|SGB133122
SRR33750935.69978__1.68654	UniClust90_PJMNFEMD01304|1__5|SGB133323
SRR33750935.70120__1.68796	UniClust90_EJAHAFID00878|1__7|SGB130007
SRR33750935.71882__1.70537	UniClust90_JKKHKAPH01802|1__7|SGB89408
SRR33750935.72153__1.70801	UniClust90_NOMIGGEC00876|1__9|SGB125949
SRR33750935.73357__1.71988	UniClust90_KIMIJBHB02311|1__20|SGB126432
SRR33750935.74529__1.73136	UniClust90_JMJHPHJK00133|1__13|SGB134112
SRR33750935.74120__1.72733	UniClust90_PKNCJFOJ01144|1__7|SGB56640
SRR33750935.77011__1.75558	UniClust90_IDPAEINK02219|1__4|SGB89725
SRR33750935.77073__1.75616	UniClust90_CHLBPEBB02696|1__7|SGB89725
SRR33750935.77734__1.76263	UniClust90_LOEIEFCJ00738|1__5|SGB74789
SRR33750935.77337__1.75875	UniClust90_OALLKAFI06042|1__12|SGB84078
SRR33750935.78671__1.77182	UniRef90_W4I0Z5|1__6|SGB207601
SRR33750935.79641__1.78124	UniClust90_ADNPOEOK01195|1__13|SGB73712
SRR33750935.80316__1.78783	UniClust90_GMKONCKM01269|1__4|SGB89423
SRR33750935.80802__1.79256	UniClust90_EDNFDLAG01304|1__4|SGB84078
SRR33750935.81116__1.79567	UniClust90_LLIEHLNH03364|1__5|SGB130007
SRR33750935.81431__1.79877	UniClust90_FNPCGKEP00283|1__5|SGB84078
SRR33750935.81238__1.79689	UniClust90_FECOCFCC03701|1__9|SGB128987
SRR33750935.81645__1.80089	UniClust90_EJKKHENI02884|1__8|SGB130045
SRR33750935.82117__1.80558	UniClust90_IPBGJNGD02238|1__11|SGB89408
SRR33750935.81838__1.80280	UniClust90_ANDLCEDJ00060|1__8|SGB133091
SRR33750935.82457__1.80893	UniClust90_EJAHAFID02739|1__11|SGB130007
SRR33750935.83144__1.81559	UniClust90_DCJCBMEC02310|1__7|SGB122526
SRR33750935.83122__1.81538	UniClust90_DCJCBMEC02310|1__7|SGB122526
SRR33750935.82782__1.81211	UniRef90_A0A1Q7B6K8|1__6|SGB56640
SRR33750935.83760__1.82157	UniClust90_EHKFGODG01808|1__10|SGB134112
SRR33750935.85160__1.83532	UniClust90_NBJJALNK06565|1__10|SGB93332
SRR33750935.85136__1.83508	UniClust90_EJFOFLBH00638|1__12|SGB133091
SRR33750935.85541__1.83900	UniClust90_FNPCGKEP02777|8__11|SGB84078
SRR33750935.85348__1.83713	UniClust90_GHPINBAM00800|1__5|SGB84331
SRR33750935.86911__1.85245	UniRef90_A0A1Q7BBN8|1__6|SGB56640
SRR33750935.89179__1.87479	UniClust90_ANDLCEDJ01046|1__14|SGB133091
SRR33750935.89284__1.87580	UniClust90_JMFJJCJA02928|1__7|SGB130007
SRR33750935.89327__1.87623	UniClust90_CMJGEBLA04297|1__7|SGB89408
SRR33750935.89425__1.87720	UniClust90_DJBDGBNB03164|1__3|SGB89725
SRR33750935.89770__1.88063	UniClust90_OEHJKGLE01988|1__12|SGB133122
SRR33750935.91167__1.89435	UniClust90_OPLEJCPF04282|1__12|SGB125949
SRR33750935.91230__1.89498	UniClust90_INCAGLIH00061|1__11|SGB89410
SRR33750935.91947__1.90203	UniClust90_OPLEJCPF02386|1__11|SGB125949
SRR33750935.91955__1.90211	UniRef90_A0A2V6AQN4|1__10|SGB52714
SRR33750935.93081__1.91322	UniClust90_ODHKCIBJ01387|1__4|SGB89423
SRR33750935.93775__1.92008	UniClust90_FOJGPGMP00843|1__6|SGB133334
SRR33750935.93807__1.92036	UniClust90_IJKGCFNK01596|1__14|SGB131808
SRR33750935.93869__1.92096	UniClust90_HGJNCPHJ03629|1__11|SGB125949
SRR33750935.94250__1.92472	UniClust90_OCJAPFEA05725|1__11|SGB125949
SRR33750935.94236__1.92458	UniClust90_OCJAPFEA05725|1__11|SGB125949
SRR33750935.93998__1.92223	UniClust90_EDJDNCNJ03767|3__24|SGB93376
SRR33750935.94726__1.92939	UniRef90_A0A2V5SRL9|1__3|SGB52719
SRR33750935.95375__1.93581	UniClust90_NIILFFCI01265|1__5|SGB89423
SRR33750935.95631__1.93831	UniClust90_EJAHAFID00758|1__6|SGB130007
