SRR33750957.1655__1.1620	UniRef90_A0A2V6AUU0|1__6|SGB52714
SRR33750957.4203__1.4128	UniRef90_A0A3D5DM36|1__8|SGB130007
SRR33750957.3570__1.3502	UniRef90_A0A2V5JP24|1__5|SGB52720
SRR33750957.4153__1.4079	UniRef90_A0A3D5DM36|1__8|SGB130007
SRR33750957.4023__1.3951	UniRef90_A0A1Q7J1L4|1__4|SGB84075
SRR33750957.5157__1.5069	UniRef90_A0A1Q7QJN9|1__5|SGB17434
SRR33750957.5498__1.5406	UniClust90_FNPCGKEP02875|10__15|SGB84078
SRR33750957.6445__1.6331	UniClust90_PKNCJFOJ01298|9__13|SGB56640
SRR33750957.6542__1.6427	UniClust90_MEABCEIN01334|1__6|SGB84078
SRR33750957.6892__1.6770	UniClust90_DIBLBONP01299|1__8|SGB84078
SRR33750957.8166__1.8025	UniClust90_KMEALJDO00236|1__3|SGB84078
SRR33750957.8695__1.8545	UniRef90_A0A1Q8B9Q0|1__5|SGB17587
SRR33750957.10315__1.10142	UniClust90_BOKHIPMC02055|1__16|SGB130007
SRR33750957.10318__1.10145	UniClust90_EOFGAKMC01069|1__12|SGB84075
SRR33750957.10679__1.10501	VDB|0052-004A-0-0000|MV133-c1345-c0-c5
SRR33750957.10722__1.10543	UniClust90_BGMDAEJF00944|8__19|SGB122526
SRR33750957.10451__1.10277	UniClust90_EOFGAKMC01069|1__12|SGB84075
SRR33750957.11800__1.11610	UniClust90_JHNMEHIJ02458|1__5|SGB56640
SRR33750957.11498__1.11311	UniClust90_IBMDDACE00099|1__12|SGB128778
SRR33750957.11510__1.11323	UniClust90_OIPOEBPA02129|1__6|SGB84075
SRR33750957.12849__1.12643	UniClust90_LLHLEBOE00894|1__3|SGB89423
SRR33750957.13081__1.12873	UniClust90_GBLMBOPO00372|1__5|SGB133090
SRR33750957.12951__1.12744	UniClust90_OJGLOKOM00755|1__5|SGB84075
SRR33750957.14588__1.14353	UniClust90_AMDOLPBA02127|1__11|SGB73712
SRR33750957.16481__1.16218	UniClust90_HOILOAEI01862|1__7|SGB132245
SRR33750957.16964__1.16693	UniClust90_NFMPBPOM02976|1__10|SGB128685
SRR33750957.16587__1.16323	UniRef90_A0A1Q7J6B9|1__4|SGB84075
SRR33750957.22163__1.21813	UniClust90_NHHHKJJE02555|1__9|SGB125949
SRR33750957.22381__1.22028	UniClust90_EGKJOLFG01431|1__12|SGB55852
SRR33750957.22855__1.22490	UniClust90_GBLMBOPO00547|2__5|SGB133090
SRR33750957.23926__1.23541	UniClust90_LBNBBHCE01109|1__4|SGB128865
SRR33750957.25403__1.24994	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750957.25714__1.25301	UniClust90_EFMIPELO00218|1__4|SGB56638
SRR33750957.27053__1.26626	UniClust90_IJHKGIGD02566|1__12|SGB128471
SRR33750957.27572__1.27138	UniClust90_GEHFPKBH00350|1__7|SGB84075
SRR33750957.27577__1.27143	UniClust90_GEHFPKBH00350|1__7|SGB84075
SRR33750957.28825__1.28372	UniClust90_NOMIGGEC02016|1__9|SGB125949
SRR33750957.28418__1.27972	UniRef90_A0A1Q7NBV6|2__9|SGB17587
SRR33750957.28838__1.28385	UniClust90_NOMIGGEC02016|1__9|SGB125949
SRR33750957.29826__1.29344	UniClust90_JMFJJCJA05536|1__5|SGB130007
SRR33750957.31551__1.31035	UniClust90_JMFJJCJA04939|1__9|SGB130007
SRR33750957.32035__1.31512	UniClust90_JKONEDMA02815|1__9|SGB130007
SRR33750957.34727__1.34170	UniClust90_PIHLJOEE02851|1__8|SGB84075
SRR33750957.35100__1.34538	UniClust90_HBCNFADG00329|1__4|SGB74789
SRR33750957.35572__1.35002	UniClust90_PPJAIDOO03965|1__7|SGB84075
SRR33750957.36184__1.35587	UniClust90_CHLBPEBB02122|1__15|SGB89725
SRR33750957.36814__1.36198	UniClust90_OIPOEBPA04963|1__4|SGB84075
SRR33750957.38947__1.38308	UniClust90_JMFJJCJA05802|1__6|SGB130007
SRR33750957.38935__1.38296	UniClust90_OJGLOKOM01601|1__7|SGB84075
SRR33750957.40183__1.39521	UniClust90_ANDLCEDJ00060|1__8|SGB133091
SRR33750957.39808__1.39154	UniClust90_ANDLCEDJ00060|1__8|SGB133091
SRR33750957.40727__1.40053	UniRef90_A0A2V8KP69|1__6|SGB17587
SRR33750957.40990__1.40311	UniClust90_EJAHAFID03501|1__5|SGB130007
SRR33750957.41906__1.41212	UniClust90_GEHFPKBH03668|1__6|SGB84075
SRR33750957.42158__1.41463	UniClust90_IDPAEINK02216|1__6|SGB89725
SRR33750957.43279__1.42568	UniClust90_PPJAIDOO01652|1__6|SGB84075
SRR33750957.43412__1.42700	UniClust90_HNBLJKFC00895|1__8|SGB128778
SRR33750957.45066__1.44336	UniClust90_EHNGONEK01160|1__5|SGB89662
SRR33750957.46016__1.45273	UniClust90_PKCJLHDA02483|1__8|SGB89408
SRR33750957.46885__1.46125	UniRef90_A0A2V8B3N8|1__11|SGB24079
SRR33750957.47808__1.47028	UniClust90_EJAHAFID02038|1__5|SGB130007
SRR33750957.48838__1.48032	UniClust90_DBMLCDNA02999|1__14|SGB130909
SRR33750957.49285__1.48472	UniClust90_DPJLILCC02166|1__5|SGB89725
SRR33750957.49347__1.48530	UniClust90_ANDLCEDJ01492|11__18|SGB133091
SRR33750957.49452__1.48633	UniClust90_CHMIEHDJ04510|1__7|SGB56640
SRR33750957.49429__1.48611	UniRef90_A0A2V8B3N8|1__11|SGB24079
SRR33750957.49602__1.48779	UniRef90_A0A2V8B3N8|1__11|SGB24079
SRR33750957.50182__1.49345	UniRef90_A0A2V8JBT6|2__9|SGB17587
SRR33750957.49259__1.48446	UniClust90_CHMIEHDJ04510|1__7|SGB56640
SRR33750957.50782__1.49938	UniClust90_ANDLCEDJ00599|2__6|SGB133091
SRR33750957.54902__1.53995	UniClust90_AOMEFECO00584|3__6|SGB133090
SRR33750957.54934__1.54027	UniClust90_AOMEFECO00584|3__6|SGB133090
SRR33750957.55824__1.54905	UniClust90_OALLKAFI02340|4__8|SGB84078
SRR33750957.56077__1.55154	UniClust90_JMFJJCJA02928|1__7|SGB130007
SRR33750957.57342__1.56395	UniClust90_CMHDMJOM02009|1__7|SGB56640
SRR33750957.58104__1.57144	UniClust90_OAGJJAJI00123|1__4|SGB122683
SRR33750957.64337__1.63291	UniClust90_ECOHMLGB01588|8__11|SGB56640
SRR33750957.64962__1.63911	UniClust90_EFCCPOFO00079|1__8|SGB130183
SRR33750957.65038__1.63987	UniClust90_LLIEHLNH03282|1__7|SGB130007
SRR33750957.65832__1.64768	UniClust90_LJMOGHMP02107|1__7|SGB128778
SRR33750957.66264__1.65193	UniClust90_DBMLCDNA03603|1__12|SGB130909
SRR33750957.66748__1.65669	UniClust90_DBMLCDNA03603|1__12|SGB130909
SRR33750957.68938__1.67818	UniClust90_NOMIGGEC01493|1__17|SGB125949
SRR33750957.69446__1.68316	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750957.71546__1.70384	UniRef90_A0A2V5QCB4|1__6|SGB52719
SRR33750957.72799__1.71623	UniClust90_NJNOLCPJ01552|1__6|SGB69553
SRR33750957.72764__1.71588	UniClust90_NJNOLCPJ01552|1__6|SGB69553
SRR33750957.73149__1.71966	UniClust90_PIHLJOEE01086|1__5|SGB84075
