SRR33750959.1103__1.1088	UniClust90_KIHGAKFE02898|1__16|SGB128778
SRR33750959.1355__1.1336	UniClust90_DPLIHBNC01044|1__6|SGB89725
SRR33750959.2603__1.2559	UniClust90_DJBDGBNB02804|1__3|SGB89725
SRR33750959.3208__1.3156	UniClust90_HJKNIEHA01150|1__9|SGB89408
SRR33750959.4337__1.4260	UniClust90_IOFPBIHC00783|1__6|SGB130007
SRR33750959.4964__1.4880	UniClust90_HGJNCPHJ03596|1__19|SGB125949
SRR33750959.6754__1.6625	UniClust90_EJAHAFID04593|1__5|SGB130007
SRR33750959.6885__1.6755	UniClust90_EHIAFBHG01446|1__9|SGB128778
SRR33750959.7359__1.7223	UniRef90_A0A1Q7WDW0|1__6|SGB130007
SRR33750959.8863__1.8697	UniClust90_EJAHAFID00491|1__5|SGB130007
SRR33750959.9387__1.9206	UniClust90_LLIEHLNH00245|1__5|SGB130007
SRR33750959.9197__1.9022	UniClust90_JMFJJCJA03385|1__6|SGB130007
SRR33750959.11057__1.10850	UniClust90_OFJJKHAK00488|1__5|SGB84078
SRR33750959.11752__1.11530	UniClust90_JAIHKEGN01709|1__6|SGB74789
SRR33750959.11837__1.11613	UniClust90_HGJNCPHJ04381|1__18|SGB125949
SRR33750959.12434__1.12200	UniRef90_UPI00041ED3F4|12__16|SGB31987
SRR33750959.12410__1.12176	UniClust90_OCCAFAEL00313|1__3|SGB74789
SRR33750959.12555__1.12317	UniClust90_DAODNPOA01619|1__6|SGB89725
SRR33750959.13672__1.13409	UniClust90_EJFOFLBH00818|4__7|SGB133091
SRR33750959.13180__1.12930	UniClust90_EDNFDLAG02666|1__4|SGB84078
SRR33750959.14044__1.13773	UniClust90_HJJKGIDI00002|1__5|SGB130045
SRR33750959.15445__1.15157	UniClust90_IAFJOFII01416|1__13|SGB134112
SRR33750959.17239__1.16906	UniClust90_JMFJJCJA01968|1__5|SGB130007
SRR33750959.17260__1.16925	UniRef90_B9XJH3|1__27|SGB8678
SRR33750959.17272__1.16937	UniClust90_HGJNCPHJ02720|1__8|SGB125949
SRR33750959.19027__1.18654	UniClust90_NNOGEMDJ00716|1__10|SGB128987
SRR33750959.21009__1.20597	UniClust90_EJAHAFID00079|1__7|SGB130007
SRR33750959.20960__1.20548	UniClust90_JMFJJCJA03494|1__9|SGB130007
SRR33750959.21162__1.20747	UniClust90_MKPDLIIB01117|1__6|SGB131913
SRR33750959.21770__1.21344	UniClust90_MKNNHAML03493|1__6|SGB56638
SRR33750959.22392__1.21959	UniClust90_OPLEJCPF01626|1__13|SGB125949
SRR33750959.26154__1.25652	UniClust90_JMFJJCJA02092|1__7|SGB130007
SRR33750959.27081__1.26561	UniRef90_UPI0003A94D88|1__8|SGB31966
SRR33750959.27849__1.27320	UniClust90_FJPBOFJK03282|1__10|SGB128677
SRR33750959.28941__1.28393	UniClust90_FNPCGKEP00329|1__5|SGB84078
SRR33750959.28744__1.28199	UniClust90_AGBJGNAA01018|1__7|SGB74789
SRR33750959.30106__1.29521	UniRef90_A0A2V5TZZ8|1__4|SGB52719
SRR33750959.30533__1.29943	UniClust90_HGJNCPHJ03239|1__10|SGB125949
SRR33750959.32332__1.31712	UniClust90_JMFJJCJA02520|1__5|SGB130007
SRR33750959.33171__1.32533	UniClust90_DPLIHBNC00377|1__16|SGB89725
SRR33750959.33433__1.32791	UniRef90_A0A2V6DJY9|1__8|SGB22169
SRR33750959.35041__1.34373	UniClust90_NOMIGGEC00941|1__20|SGB125949
SRR33750959.35571__1.34894	UniClust90_FNPCGKEP01980|1__8|SGB84078
SRR33750959.36522__1.35823	UniClust90_OCJAPFEA05580|1__8|SGB125949
SRR33750959.37202__1.36490	UniClust90_CDCDKIIJ00147|9__20|SGB84331
SRR33750959.38074__1.37349	UniClust90_BGMBCKBA00080|1__9|SGB176266
SRR33750959.38094__1.37369	UniClust90_BGMBCKBA00080|1__9|SGB176266
SRR33750959.38819__1.38086	UniRef90_A0A357CLP1|3__7|SGB133091
SRR33750959.39078__1.38341	UniClust90_DNMMGMDO06406|1__8|SGB93407
SRR33750959.40851__1.40076	UniClust90_JMFJJCJA02092|1__7|SGB130007
SRR33750959.42104__1.41310	UniClust90_BKMLPNMA01734|1__3|SGB89423
SRR33750959.42177__1.41381	UniClust90_HGAMACDH00452|1__8|SGB128778
