SRR33750947.51__1.51	UniRef90_UPI0004982413|1__12|SGB31998
SRR33750947.343__1.339	UniClust90_CHLBPEBB00072|1__8|SGB89725
SRR33750947.567__1.558	UniClust90_OCJAPFEA02293|1__12|SGB125949
SRR33750947.761__1.748	UniClust90_CKIMIKLI02120|1__14|SGB133129
SRR33750947.2281__1.2244	VDB|0043-0016-0-0000|MV643-c1920-c0-c6
SRR33750947.4073__1.4007	UniClust90_PLNJEBMN01624|1__12|SGB133091
SRR33750947.4381__1.4312	UniClust90_JMFJJCJA02353|1__8|SGB130007
SRR33750947.4763__1.4690	UniClust90_DNACOANC06097|1__9|SGB93401
SRR33750947.5261__1.5184	UniClust90_KIMNEABG01368|1__6|SGB131913
SRR33750947.6185__1.6095	UniClust90_IBMDDACE01328|1__8|SGB128778
SRR33750947.6992__1.6888	UniClust90_DAODNPOA02747|1__5|SGB89725
SRR33750947.7907__1.7789	UniClust90_IDPAEINK00126|1__8|SGB89725
SRR33750947.7999__1.7879	UniRef90_A0A1Q7B621|1__9|SGB56640
SRR33750947.7836__1.7721	UniClust90_DMNDKPOI01231|5__17|SGB131805
SRR33750947.8021__1.7901	UniClust90_IDPAEINK00796|1__6|SGB89725
SRR33750947.9633__1.9486	VDB|0043-0016-0-0000|MV643-c1920-c0-c6
SRR33750947.9810__1.9659	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750947.10655__1.10494	UniClust90_NLCCDHMD00664|1__11|SGB124485
SRR33750947.11049__1.10881	UniClust90_NLCCDHMD00664|1__11|SGB124485
SRR33750947.10987__1.10820	UniClust90_NLCCDHMD00664|1__11|SGB124485
SRR33750947.11391__1.11220	UniClust90_DANEOINA00029|1__7|SGB128178
SRR33750947.12275__1.12084	UniClust90_PEMFFBNE01094|1__6|SGB74789
SRR33750947.11921__1.11738	UniClust90_EKCLMAKM04919|2__8|SGB89408
SRR33750947.12553__1.12357	UniClust90_LAIOJIGH03518|1__9|SGB122683
SRR33750947.13644__1.13428	UniClust90_BIKJALLD03374|1__7|SGB131926
SRR33750947.13693__1.13477	UniClust90_DPLIHBNC01730|1__8|SGB89725
SRR33750947.14119__1.13895	UniClust90_IDPAEINK00796|1__6|SGB89725
SRR33750947.14834__1.14592	UniClust90_CBDIOHJF00241|1__7|SGB89725
SRR33750947.14982__1.14737	UniClust90_HGJNCPHJ00225|1__14|SGB125949
SRR33750947.16700__1.16423	UniClust90_OCJAPFEA00421|1__10|SGB125949
SRR33750947.17876__1.17578	UniClust90_OPLEJCPF02938|1__11|SGB125949
SRR33750947.19254__1.18938	UniClust90_PKCJLHDA00304|1__11|SGB89408
SRR33750947.19309__1.18991	UniClust90_KIMNEABG01837|1__5|SGB131913
SRR33750947.20034__1.19696	UniClust90_EDNFDLAG02265|1__12|SGB84078
SRR33750947.21473__1.21103	UniRef90_A0A1Q7BG25|1__8|SGB56640
SRR33750947.22101__1.21720	UniRef90_A0A2V5KHS7|1__4|SGB52719
SRR33750947.21702__1.21327	UniClust90_OECKFAOL00951|1__9|SGB89423
SRR33750947.22768__1.22368	UniClust90_EKCLMAKM04286|1__10|SGB89408
SRR33750947.23613__1.23197	UniClust90_PLNJEBMN01624|1__12|SGB133091
SRR33750947.23934__1.23517	UniClust90_ANDLCEDJ01083|1__3|SGB133091
SRR33750947.24447__1.24020	UniClust90_DCJCBMEC02781|4__8|SGB122526
SRR33750947.24847__1.24413	UniClust90_FNPCGKEP00330|4__8|SGB84078
SRR33750947.24796__1.24362	UniClust90_OELLCOID01299|1__14|SGB128218
SRR33750947.25028__1.24593	UniClust90_PLNJEBMN01986|1__6|SGB133091
SRR33750947.25793__1.25346	UniClust90_MKPDLIIB02177|1__6|SGB131913
SRR33750947.25771__1.25325	UniClust90_NHHHKJJE01743|1__9|SGB125949
SRR33750947.26168__1.25712	UniClust90_OJGLOKOM00748|1__6|SGB84075
SRR33750947.25927__1.25475	UniRef90_UPI00101B8875|1__14|SGB30169
SRR33750947.27275__1.26789	UniRef90_A0A2V5SAL7|1__8|SGB52719
SRR33750947.27420__1.26927	UniClust90_JMFJJCJA01157|1__6|SGB130007
SRR33750947.28898__1.28385	UniClust90_IDPAEINK00124|1__4|SGB89725
SRR33750947.29157__1.28641	UniClust90_NOMIGGEC02314|1__11|SGB125949
SRR33750947.29941__1.29408	UniClust90_PKMOJOJK02584|1__7|SGB84078
SRR33750947.31540__1.30975	UniClust90_KIHGAKFE01201|1__11|SGB128778
SRR33750947.32256__1.31684	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750947.32474__1.31899	UniClust90_ECOHMLGB02482|1__10|SGB56640
SRR33750947.33623__1.33024	UniClust90_HNBLJKFC01800|1__8|SGB128778
SRR33750947.33330__1.32737	UniClust90_IIEDOAEF02571|1__21|SGB128218
SRR33750947.36995__1.36342	UniClust90_NOMIGGEC00360|1__17|SGB125949
SRR33750947.37328__1.36669	UniClust90_IOFPBIHC04164|1__8|SGB130007
SRR33750947.38004__1.37333	UniClust90_DAODNPOA01190|1__12|SGB89725
SRR33750947.39011__1.38325	UniClust90_PIHLJOEE00258|1__13|SGB84075
SRR33750947.40296__1.39596	UniClust90_HGJNCPHJ04504|1__8|SGB125949
SRR33750947.40727__1.40022	UniClust90_HGJNCPHJ00520|1__11|SGB125949
SRR33750947.40309__1.39609	UniClust90_HGJNCPHJ04504|1__8|SGB125949
SRR33750947.44047__1.43260	UniClust90_JMJHPHJK01370|1__17|SGB134112
SRR33750947.45482__1.44670	UniClust90_JMJHPHJK00133|1__13|SGB134112
SRR33750947.46888__1.46051	UniClust90_IBMDDACE00829|1__8|SGB128778
SRR33750947.47869__1.47014	UniClust90_OPLEJCPF05100|1__9|SGB125949
SRR33750947.48356__1.47495	UniClust90_OALLKAFI01964|1__7|SGB84078
SRR33750947.47264__1.46422	UniClust90_GMEAMNGB02583|1__12|SGB134112
SRR33750947.49085__1.48210	UniClust90_MEABCEIN01476|1__16|SGB84078
SRR33750947.49562__1.48679	UniClust90_PEMFFBNE00475|1__8|SGB74789
SRR33750947.49177__1.48300	UniClust90_JKONEDMA00794|1__6|SGB130007
SRR33750947.49182__1.48305	UniClust90_HGFGGOBL00142|1__13|SGB84331
SRR33750947.49187__1.48309	UniClust90_HGFGGOBL00142|1__13|SGB84331
SRR33750947.49469__1.48589	UniClust90_HGJNCPHJ04981|1__8|SGB125949
SRR33750947.49995__1.49100	UniClust90_PCFEFNCA02351|1__8|SGB89408
SRR33750947.50369__1.49468	UniClust90_HDDMLDIO00843|1__6|SGB74789
SRR33750947.50487__1.49583	UniClust90_LGBMFDOL03600|1__15|SGB129206
SRR33750947.51294__1.50383	UniClust90_ICLCAGBO00189|1__5|SGB131913
SRR33750947.51812__1.50891	UniClust90_GAJLLPBG00359|10__29|SGB85064
SRR33750947.52352__1.51423	UniClust90_OCJAPFEA01889|1__12|SGB125949
SRR33750947.52290__1.51363	UniClust90_OEKPEMHO03351|1__22|SGB129874
SRR33750947.53118__1.52178	UniClust90_JBMBCDML01850|4__7|SGB89725
SRR33750947.53232__1.52291	UniClust90_JBMBCDML01850|4__7|SGB89725
SRR33750947.53324__1.52383	UniClust90_HGJNCPHJ04950|1__20|SGB125949
SRR33750947.54054__1.53095	UniClust90_DPLIHBNC01350|1__9|SGB89725
SRR33750947.54108__1.53148	UniClust90_BKMLPNMA00308|1__12|SGB89423
SRR33750947.54163__1.53203	UniClust90_BKMLPNMA00308|1__12|SGB89423
SRR33750947.53471__1.52527	UniClust90_BKMLPNMA00308|1__12|SGB89423
SRR33750947.55106__1.54134	UniClust90_GIMAHFHH00411|8__17|SGB89408
SRR33750947.55968__1.54982	UniClust90_FNPCGKEP04824|1__7|SGB84078
SRR33750947.59224__1.58185	UniClust90_IMMCPGKG01619|1__8|SGB128778
SRR33750947.59386__1.58346	UniClust90_ODGFFLBP06002|1__9|SGB31998
SRR33750947.59454__1.58412	UniClust90_IPBGJNGD03523|2__10|SGB89408
SRR33750947.60132__1.59083	UniClust90_NOMIGGEC00722|1__16|SGB125949
SRR33750947.60654__1.59595	UniClust90_EOFGAKMC00632|1__7|SGB84075
SRR33750947.61790__1.60718	UniClust90_OCJAPFEA01349|1__11|SGB125949
SRR33750947.61827__1.60754	UniClust90_OCJAPFEA01349|1__11|SGB125949
SRR33750947.62058__1.60981	UniClust90_IMMCPGKG00678|1__10|SGB128778
SRR33750947.61931__1.60858	UniClust90_HMPPKHGP01982|4__8|SGB133091
SRR33750947.63038__1.61941	UniClust90_OCJAPFEA01349|1__11|SGB125949
SRR33750947.63019__1.61922	VDB|0019-0001-0-0000|MV367-c172-c0-c0
SRR33750947.65307__1.64177	UniClust90_HGAMACDH01789|1__12|SGB128778
SRR33750947.65887__1.64746	UniClust90_PICJGFGP01664|1__4|SGB89423
SRR33750947.66000__1.64856	UniRef90_A0A2V8H4T2|1__7|SGB17587
SRR33750947.67647__1.66472	UniClust90_GIMAHFHH00711|6__12|SGB89408
SRR33750947.67272__1.66104	UniClust90_LMGIEGHF05718|1__15|SGB135184
SRR33750947.69039__1.67830	UniClust90_DPLIHBNC00975|1__15|SGB89725
SRR33750947.69051__1.67842	UniClust90_DCJCBMEC04166|4__7|SGB122526
SRR33750947.69323__1.68112	UniClust90_CHLBPEBB01456|1__13|SGB89725
SRR33750947.70524__1.69295	UniClust90_DPLIHBNC00378|1__6|SGB89725
SRR33750947.70716__1.69482	UniClust90_HGJNCPHJ00225|1__14|SGB125949
SRR33750947.70922__1.69684	UniClust90_BKIEHKJF02372|1__5|SGB131913
SRR33750947.71619__1.70369	UniClust90_IOFPBIHC03172|1__6|SGB130007
SRR33750947.71734__1.70484	UniClust90_ADGGMJFC00353|1__11|SGB74789
SRR33750947.72949__1.71679	UniClust90_AOMEFECO00986|1__9|SGB133090
SRR33750947.72995__1.71724	UniClust90_HNBLJKFC01396|6__15|SGB128778
SRR33750947.73257__1.71981	UniClust90_IPBGJNGD02238|1__11|SGB89408
SRR33750947.74035__1.72755	UniClust90_IPBGJNGD02238|1__11|SGB89408
SRR33750947.75444__1.74143	UniClust90_MEABCEIN01071|1__9|SGB84078
SRR33750947.75789__1.74485	UniClust90_IIEDOAEF02676|1__10|SGB128218
SRR33750947.75912__1.74604	UniClust90_PIHLJOEE00258|1__13|SGB84075
SRR33750947.76197__1.74882	UniClust90_IOFPBIHC02046|1__12|SGB130007
SRR33750947.75799__1.74495	UniClust90_OCJAPFEA01349|1__11|SGB125949
SRR33750947.76240__1.74925	UniClust90_BAIFHGKB03649|3__17|SGB131188
SRR33750947.76354__1.75039	UniClust90_GFFNGEKC01386|1__5|SGB56640
SRR33750947.76928__1.75607	UniClust90_OGMCPKGA00169|1__5|SGB56638
SRR33750947.77310__1.75986	UniClust90_DJBDGBNB01292|2__8|SGB89725
